env/completion_counter,env/current_idx,eval/mean_reward,time/total_timesteps,eval/success_rate,eval/mean_ep_length,env/n_steps,time/iterations,rollout/success_rate,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/entropy_loss,train/loss,train/explained_variance,train/n_updates
0,171,-0.06954599135555327,360,0.94,1.22,360,,,,,,,0.3166666738688946,0.2,0.038936574,-0.05166286486511425,0.001,0.1616747032850981,-1.5498535990715028,-0.06712355464696884,-0.03237330913543701,110
,,,360,,,,12,0.56,1425,0,2.01,-0.4093447800000001,,,,,,,,,,
0,186,-0.048343021650798616,390,0.94,1.14,390,,,,,,,0.2700000051409006,0.2,0.027966598,-0.056276907486220294,0.001,0.10049965977668762,-1.6481299877166748,-0.07369853556156158,0.4481208920478821,120
,,,390,,,,13,0.56,1525,0,2.02,-0.39267185999999993,,,,,,,,,,
0,203,-0.04793115452863276,420,0.94,1.14,420,,,,,,,0.2633333370089531,0.2,0.022111159,-0.045177251597245414,0.001,0.1747673772275448,-1.4352763891220093,-0.050197064876556396,-0.32879579067230225,130
,,,420,,,,14,0.6,1627,0,1.95,-0.35808897999999995,,,,,,,,,,
0,216,-0.1353682685131207,450,0.88,1.34,450,,,,,,,0.19000000581145288,0.2,0.024536837,-0.05130067068462587,0.001,0.16279615834355354,-1.5972498893737792,-0.07464450597763062,-0.3354755640029907,140
,,,450,,,,15,0.59,1744,0,1.98,-0.3966068599999999,,,,,,,,,,
0,231,-0.027851495761424302,480,0.98,1.12,480,,,,,,,0.33333333507180213,0.2,0.045664854,-0.05977259028082109,0.001,0.1945517137646675,-1.3121984004974365,-0.05011747404932976,0.22338110208511353,150
,,,480,,,,16,0.6,1839,0,1.97,-0.37121241999999993,,,,,,,,,,
0,247,-0.13203950246796012,510,0.88,1.32,510,,,,,,,0.163333335891366,0.2,0.03921036,-0.04268356594101839,0.001,0.18202931955456733,-1.2984511613845826,-0.03972244635224342,-0.12216699123382568,160
,,,510,,,,17,0.63,1957,0,1.92,-0.33928497,,,,,,,,,,
0,260,-0.029175645024515688,540,0.92,1.2,540,,,,,,,0.19333333745598794,0.2,0.04078435,-0.046597428411866246,0.001,0.17921246737241744,-1.2850202202796936,-0.05224920064210892,-0.22655653953552246,170
,,,540,,,,18,0.59,2066,0,2.01,-0.38639130999999993,,,,,,,,,,
0,280,-0.11285971558652819,570,0.88,1.32,570,,,,,,,0.11666666902601719,0.2,0.020545065,-0.036141271767361614,0.001,0.2672765955328941,-1.1702410221099853,-0.00721430778503418,-0.22479093074798584,180
,,,570,,,,19,0.65,2186,0,1.91,-0.33229995,,,,,,,,,,
0,295,-0.04804653187282384,600,0.94,1.12,600,,,,,,,0.17000000402331353,0.2,0.045461528,-0.06215433144786715,0.001,0.1672422967851162,-1.1211835265159606,-0.05618817359209061,0.03452897071838379,190
,,,600,,,,20,0.65,2293,0,1.91,-0.3485535,,,,,,,,,,
0,316,-0.026284399954602123,630,0.98,1.06,630,,,,,,,0.19000000394880773,0.2,0.035207212,-0.06132314667105678,0.001,0.23302368968725204,-1.1086151361465455,-0.021588347852230072,-0.0035861730575561523,200
,,,630,,,,21,0.68,2399,0,1.82,-0.31900733000000003,,,,,,,,,,
0,334,-0.0724243017937988,660,0.92,1.3,660,,,,,,,0.2000000074505806,0.2,0.045946065,-0.04571075929328803,0.001,0.1243618257343769,-0.9690180361270905,-0.040497299283742905,0.36032015085220337,210
,,,660,,,,22,0.73,2513,0,1.73,-0.27202473,,,,,,,,,,
0,349,-0.11319053871091456,690,0.9,1.24,690,,,,,,,0.1866666704416275,0.2,0.11020967,-0.06519394146899385,0.001,0.14933025911450387,-0.8504824161529541,-0.06318935751914978,0.06743389368057251,220
,,,690,,,,23,0.71,2623,0,1.74,-0.27758682,,,,,,,,,,
0,365,-0.06968518785201012,720,0.94,1.26,720,,,,,,,0.3200000111013651,0.2,0.064093545,-0.05691439936558389,0.001,0.15828448459506034,-0.8706209361553192,-0.03805599361658096,0.0436590313911438,230
,,,720,,,,24,0.72,2730,0,1.72,-0.25751915,,,,,,,,,,
0,381,-0.048394995676353574,750,0.94,1.16,750,,,,,,,0.17666667141020298,0.2,0.015790066,-0.033916738831127446,0.001,0.18869991824030877,-1.0526031076908111,-0.008751261979341507,0.0706358551979065,240
,,,750,,,,25,0.67,2830,0,1.78,-0.31496788,,,,,,,,,,
0,397,-0.06783540225587785,780,0.94,1.16,780,,,,,,,0.09666666947305202,0.2,0.012836551,-0.030276270397007466,0.001,0.20987577140331268,-0.9133565545082092,-0.009945817291736603,0.08581048250198364,250
,,,780,,,,26,0.68,2939,0,1.76,-0.29669977999999997,,,,,,,,,,
0,414,-0.09129704874940217,810,0.9,1.26,810,,,,,,,0.2100000087171793,0.2,0.04995602,-0.0588424256428457,0.001,0.1766335040330887,-0.9344282805919647,-0.06124104931950569,-0.01869821548461914,260
,,,810,,,,27,0.65,3050,0,1.82,-0.33596488,,,,,,,,,,
