rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,rollout/success_rate,env/n_steps,time/total_timesteps,time/fps,env/current_idx,time/time_elapsed,env/completion_counter,train/n_updates,train/explained_variance,train/loss,train/approx_kl,train/value_loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/clip_range,train/policy_gradient_loss,eval/success_rate,eval/mean_reward,eval/mean_ep_length
-0.10589587,53,1.45,0.9,1590,1590,0,1098,1844,0,520,0.1806970238685608,-0.051511507481336594,0.039434507,0.0489030797034502,0.1800000049173832,-0.9060827136039734,0.001,0.2,-0.039287106152623964,,,
-0.10726663,54,1.45,0.9,1620,1620,0,1115,1877,0,530,0.18652117252349854,-0.0483475923538208,0.018025672,0.10437210537493229,0.10666666887700557,-0.9377353370189667,0.001,0.2,-0.03811050713683173,,,
-0.07596089999999998,55,1.41,0.92,1650,1650,0,1137,1908,0,540,-0.031061887741088867,-0.0025770477950572968,0.007284862,0.14541807845234872,0.24000000432133675,-0.9409126281738281,0.001,0.2,-0.02930104703332006,,,
-0.07307778000000001,56,1.37,0.92,1680,1680,0,1162,1941,0,550,-1.6085386276245117,-0.08519886434078217,0.058281723,0.061522573977708814,0.2333333384245634,-0.9058597087860107,0.001,0.2,-0.062092631583412404,,,
-0.09350691,57,1.41,0.91,1710,1710,0,1182,1983,0,560,-0.5497281551361084,-0.008906330913305283,0.016982479,0.08070637471973896,0.2500000011175871,-0.8335129916667938,0.001,0.2,-0.02421084625646479,,,
-0.09486867,58,1.45,0.9,1740,1740,0,1202,2017,0,570,0.15796875953674316,-0.0266667902469635,0.015086818,0.13238711804151534,0.24666667431592942,-0.8456319093704223,0.001,0.2,-0.03383998541782311,,,
-0.08271225000000001,59,1.4,0.91,1770,1770,0,1221,2052,0,580,0.18358772993087769,-0.026104848831892014,0.07184371,0.13730469346046448,0.41000001728534696,-0.6526609420776367,0.001,0.2,-0.05591196425259115,,,
-0.09355307000000002,60,1.44,0.91,1800,1800,0,1241,2092,0,590,-0.808712363243103,0.0050612762570381165,0.04969003,0.20926428362727165,0.2100000075995922,-0.7934165298938751,0.001,0.2,-0.03269834073881306,,,
-0.1146533,61,1.51,0.89,1830,1830,0,1260,2126,0,600,0.1419878602027893,-0.037548866122961044,0.015903091,0.12899403795599937,0.13000000528991223,-0.9415524959564209,0.001,0.2,-0.03893170192837716,,,
-0.11471748999999999,62,1.52,0.88,1860,1860,0,1281,2160,0,610,0.29202133417129517,-0.03138040378689766,0.04028934,0.11013612151145935,0.2200000062584877,-0.9735870122909546,0.001,0.2,-0.03873938948847346,,,
-0.09299869999999996,63,1.43,0.91,1890,1890,0,1305,2203,0,620,0.07744491100311279,-0.04872017726302147,0.06758739,0.1413664251565933,0.24000000208616257,-1.1223942399024964,0.001,0.2,-0.05508169013385959,,,
-0.11331321999999998,64,1.47,0.89,1920,1920,0,1322,2234,0,630,-0.7124524116516113,-0.01978958770632744,0.04403677,0.12417529672384262,0.31000000387430193,-1.2975281834602357,0.001,0.2,-0.041867183626940016,,,
-0.10433429999999999,65,1.42,0.9,1950,1950,0,1344,2265,0,640,0.09485512971878052,-0.039995238184928894,0.01792276,0.19864044487476348,0.12333333790302277,-1.2635359287261962,0.001,0.2,-0.05646902604959898,,,
-0.09392367,66,1.39,0.9,1980,1980,0,1368,2298,0,650,0.04520493745803833,-0.022458422929048538,0.048616167,0.11521520614624023,0.38333334363996985,-1.2708781361579895,0.001,0.2,-0.03979693060119951,,,
-0.07284317000000001,67,1.35,0.92,2010,2010,0,1390,2331,0,660,0.14063817262649536,-0.010387986898422241,0.044983253,0.10675833523273467,0.5600000031292438,-1.233423912525177,0.001,0.2,-0.037256691940128664,,,
-0.06280007,68,1.31,0.93,2040,2040,0,1417,2372,0,670,-12.016195297241211,-0.06614413857460022,0.007378111,0.01216042460873723,0.08333333656191826,-1.1489815950393676,0.001,0.2,-0.028280638034145156,,,
-0.05083169,69,1.28,0.93,2070,2070,0,1439,2404,0,680,0.1069367527961731,-0.03166285902261734,0.038115256,0.06760083958506584,0.19666666835546492,-1.2129708528518677,0.001,0.2,-0.02792500766149395,,,
-0.062294449999999994,70,1.34,0.92,2100,2100,0,1460,2436,0,690,-0.16727232933044434,-0.007085777819156647,0.009075095,0.10573879927396775,0.20000000298023224,-1.191275691986084,0.001,0.2,-0.0244138284524281,,,
-0.06383739000000001,71,1.33,0.93,2130,2130,0,1480,2472,0,700,0.13178777694702148,-0.03298288583755493,0.032058526,0.14276919811964034,0.12666666992008685,-1.1191720962524414,0.001,0.2,-0.0407608741149307,,,
-0.07443723000000001,72,1.41,0.91,2160,2160,0,1496,2504,0,710,0.04222917556762695,0.019059626385569572,0.026834276,0.11398346498608589,0.37666667103767393,-1.0318403124809266,0.001,0.2,-0.015254304641857707,,,
-0.08537979999999999,73,1.46,0.9,2190,2190,0,1520,2541,0,720,0.08298242092132568,0.0011315420269966125,0.07214745,0.13991065546870232,0.49999999552965163,-1.0673951268196107,0.001,0.2,-0.037295900272826185,,,
-0.09554858999999999,74,1.48,0.9,2220,2220,0,1541,2572,0,730,0.08405321836471558,-0.040922146290540695,0.056229163,0.09548988193273544,0.35666666850447654,-1.0156233668327332,0.001,0.2,-0.05224559142564722,,,
-0.08430901999999998,75,1.43,0.92,2250,2250,0,1564,2605,0,740,-0.12245035171508789,0.011341974139213562,0.027043873,0.1475565828382969,0.16333333849906922,-0.9735558688640594,0.001,0.2,-0.020457368984352797,,,
-0.08432714000000001,76,1.42,0.92,2280,2280,0,1583,2644,0,750,0.3148841857910156,-0.03632383048534393,0.055820763,0.06766778007149696,0.19333333782851697,-1.04302436709404,0.001,0.2,-0.03371943635245174,,,
-0.10451366000000001,77,1.45,0.91,2310,2310,0,1601,2674,0,760,-0.14817488193511963,-0.0005733072757720947,0.026265359,0.1727175921201706,0.1333333358168602,-1.0688092350959777,0.001,0.2,-0.029386957206297738,,,
-0.11462977,78,1.49,0.9,2340,2340,0,1621,2709,0,770,0.12389707565307617,-0.019685063511133194,0.02583589,0.13486895114183425,0.16333333924412727,-1.090383279323578,0.001,0.2,-0.036136822846408026,,,
-0.12541677,79,1.53,0.88,2370,2370,0,1638,2742,0,780,0.26952534914016724,-0.062437281012535095,0.027898548,0.09304674603044986,0.1533333368599415,-1.1712448596954346,0.001,0.2,-0.045808358729506615,,,
-0.12572479,80,1.53,0.87,2400,2400,0,1661,2775,0,790,0.28488487005233765,0.0184960775077343,0.02043276,0.16415557265281677,0.11666667088866234,-1.0500264406204223,0.001,0.2,-0.01805715074297041,,,
-0.13453682,81,1.55,0.86,2430,2430,0,1680,2806,0,800,-0.536788821220398,-0.019131433218717575,0.036236033,0.14923364967107772,0.09666666984558106,-1.0714252710342407,0.001,0.2,-0.03798489229132755,,,
-0.10309170999999998,82,1.43,0.88,2460,2460,0,1707,2844,0,810,-0.049822449684143066,0.06474088877439499,0.029877655,0.225714373588562,0.13000000156462194,-1.0926610231399536,0.001,0.2,-0.017755262840849894,,,
-0.08203065999999999,83,1.34,0.9,2490,2490,0,1730,2878,0,820,-7.639247894287109,-0.02159130945801735,0.017871393,0.03889423795044422,0.09000000357627869,-1.0984233975410462,0.001,0.2,-0.019618301324856802,,,
-0.0722675,84,1.33,0.91,2520,2520,0,1754,2912,0,830,-0.07212293148040771,-0.07822245359420776,0.019869111,0.08914226628839969,0.09333333671092987,-1.0818879425525665,0.001,0.2,-0.05252678022409487,,,
-0.04015115,85,1.25,0.95,2550,2550,0,1778,2947,0,840,0.29481059312820435,-0.03161219507455826,0.03500108,0.07234741523861885,0.16333333738148212,-0.8088069498538971,0.001,0.2,-0.03734644578769801,,,
-0.051097590000000005,86,1.3,0.94,2580,2580,0,1799,2985,0,850,-63.576881408691406,-0.027469199150800705,0.00667846,0.02215882409363985,0.026666668057441712,-0.8280407130718231,0.001,0.2,-0.01598046324681519,,,
-0.09272269,87,1.39,0.91,2610,2610,0,1817,3020,0,860,0.15006911754608154,0.021881505846977234,0.008226254,0.16513046324253083,0.020000001043081285,-0.8780897200107575,0.001,0.2,-0.016116678355416924,,,
-0.07300914,88,1.34,0.93,2640,2640,0,1841,3053,0,870,0.14899057149887085,-0.03757553547620773,0.060734782,0.17736697793006898,0.16666667126119136,-0.9592278838157654,0.001,0.2,-0.0576372299715878,,,
-0.08423629999999999,89,1.37,0.92,2670,2670,0,1866,3085,0,880,-22.712120056152344,-0.05070324242115021,0.07182154,0.04881734270602465,0.3766666747629642,-0.8839044153690339,0.001,0.2,-0.04339126970308556,,,
-0.07350902,90,1.31,0.93,2700,2700,0,1892,3120,0,890,-0.13678431510925293,-0.013438738882541656,0.033822518,0.11740710735321044,0.08666666932404041,-0.7057911098003388,0.001,0.2,-0.028077857741154587,,,
-0.02178787,91,1.22,0.97,2730,2730,0,1915,3156,0,900,-114.41807556152344,-0.008486641570925713,0.0144226495,0.027096592262387274,0.07000000253319741,-0.5617042183876038,0.001,0.2,-0.008062904997495934,,,
-0.040218910000000004,92,1.23,0.96,2760,2760,0,1938,3191,0,910,-43.29105758666992,-0.02719447948038578,0.012138186,0.0078036143677309155,0.08666666969656944,-0.6927738428115845,0.001,0.2,-0.014328401677000047,,,
-0.04085781,93,1.24,0.96,2790,2790,0,1962,3230,0,920,0.08027690649032593,0.04510500654578209,0.027511176,0.19142976701259612,0.11333333663642406,-0.7218263864517211,0.001,0.2,-0.018930785323803788,,,
-0.05149808,94,1.29,0.95,2820,2820,0,1984,3263,0,930,-0.09190177917480469,0.02827613055706024,0.014396378,0.14602803587913513,0.05333333536982536,-0.8040519893169403,0.001,0.2,-0.013248328358943873,,,
