env/n_steps,eval/mean_ep_length,time/total_timesteps,eval/success_rate,env/current_idx,env/completion_counter,eval/mean_reward,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/success_rate,train/n_updates,train/explained_variance,train/value_loss,train/learning_rate,train/loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/entropy_loss,train/approx_kl
330,1.32,330,0.94,115,0,-0.05000204057432711,,,,,,,100,-3.8247451782226562,0.07230366356670856,0.001,-0.11082616448402405,-0.0624058966649077,0.3333333358168602,0.2,-1.6969701528549195,0.01658115
,,330,,,,,0,-0.39568876,1428,2.77,11,0.69,,,,,,,,,,
360,1.26,360,0.98,127,0,-0.011480625499971212,,,,,,,110,0.009639561176300049,0.1984691269695759,0.001,-0.013921625912189484,-0.026536166025713737,0.1333333346992731,0.2,-1.5830324053764344,0.03134265
,,360,,,,,0,-0.36148518999999996,1537,2.66,12,0.72,,,,,,,,,,
390,1.3,390,0.96,140,0,-0.0531890968605876,,,,,,,120,-0.3527911901473999,0.2812674820423126,0.001,0.02876664325594902,-0.012135546421244037,0.046666668727993965,0.2,-1.5422692537307738,0.015489638
,,390,,,,,0,-0.32626763000000003,1655,2.6,13,0.74,,,,,,,,,,
420,1.38,420,0.94,152,0,-0.05610068996436894,,,,,,,130,-0.00013458728790283203,0.15091046839952468,0.001,-0.07769279181957245,-0.06121358848487342,0.2966666705906391,0.2,-1.561300313472748,0.068401545
,,420,,,,,0,-0.32774526000000004,1771,2.56,14,0.74,,,,,,,,,,
450,1.42,450,0.94,163,0,-0.07529196097515524,,,,,,,140,0.13248497247695923,0.3319493427872658,0.001,0.03289443999528885,-0.042284445166587845,0.2366666693240404,0.2,-1.4494142293930055,0.02888395
,,450,,,,,0,-0.31182354999999995,1884,2.5,15,0.74,,,,,,,,,,
480,1.4,480,0.94,177,0,-0.07182073252741247,,,,,,,150,-0.14173173904418945,0.19390468373894693,0.001,-0.025774605572223663,-0.034962787519519624,0.24000000357627868,0.2,-1.3745678901672362,0.032562576
,,480,,,,,0,-0.25920687,1996,2.37,16,0.78,,,,,,,,,,
510,1.36,510,0.94,193,0,-0.03243590844795108,,,,,,,160,0.12303668260574341,0.1612390585243702,0.001,-0.04550935700535774,-0.03651319388998644,0.12666667029261588,0.2,-1.3246642708778382,0.019651605
,,510,,,,,0,-0.24885228999999995,2109,2.31,17,0.81,,,,,,,,,,
540,1.48,540,0.92,203,0,-0.07569208188913762,,,,,,,170,-1.0687501430511475,0.15192172825336456,0.001,-0.041759081184864044,-0.048155963439494444,0.36999999806284906,0.2,-1.0914881944656372,0.057980377
,,540,,,,,0,-0.27048043,2230,2.33,18,0.79,,,,,,,,,,
570,1.44,570,0.9,213,0,-0.09959266193211079,,,,,,,180,0.18938016891479492,0.22645815163850785,0.001,0.05587545409798622,-0.011696799370498922,0.01666666716337204,0.2,-0.9583678126335144,0.005995965
,,570,,,,,0,-0.318113,2349,2.49,19,0.74,,,,,,,,,,
600,1.18,600,0.98,223,0,-0.028807793785817923,,,,,,,190,-0.1501002311706543,0.19594947397708892,0.001,0.026168357580900192,-0.027112744326392768,0.23666667193174362,0.2,-0.8086460828781128,0.03912968
,,600,,,,,0,-0.31967615000000005,2452,2.48,20,0.74,,,,,,,,,,
630,1.24,630,0.96,237,0,-0.04908903433009982,,,,,,,200,0.04992961883544922,0.27367581278085706,0.001,0.06969112902879715,-0.006344914275299018,0.030000000819563867,0.2,-0.7141435801982879,0.004988553
,,630,,,,,0,-0.34575171999999993,2566,2.54,21,0.73,,,,,,,,,,
660,1.52,660,0.9,256,0,-0.07538177144248039,,,,,,,210,-0.19683444499969482,0.16933449655771254,0.001,-0.0018676146864891052,-0.0192584706734245,0.09666666984558106,0.2,-0.6602813184261322,0.028331036
