eval/mean_ep_length,eval/success_rate,time/total_timesteps,env/current_idx,env/completion_counter,env/n_steps,eval/mean_reward,rollout/ep_len_mean,time/fps,rollout/success_rate,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/entropy_loss,train/approx_kl,train/explained_variance,train/n_updates,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/value_loss
1.52,0.9,6300,2378,0,6300,-0.11699190037790685,,,,,,,-0.10176960378885269,-0.9692173409461975,0.075551376,0.25984781980514526,200,0.001,0.33207386404275896,0.2,-0.07478029636200517,0.08879984080791474
,,6300,,,,,2.21,0,0.79,21,9390,-0.27161838999999993,,,,,,,,,,
1.32,0.94,6600,2510,0,6600,-0.056450024680234495,,,,,,,-0.09903047978878021,-1.0309940385818481,0.08717857,0.19140809774398804,210,0.001,0.39517045378684995,0.2,-0.07565522084012627,0.08346772836521268
,,6600,,,,,2.29,0,0.78,22,9857,-0.25925683000000005,,,,,,,,,,
1.8,0.88,6900,2638,0,6900,-0.10347827425226569,,,,,,,-0.12144537270069122,-1.0003198850154877,0.096305504,0.012827694416046143,220,0.001,0.34795454442501067,0.2,-0.07034891460090875,0.09512892827391624
,,6900,,,,,2.28,0,0.77,23,10366,-0.27764728999999994,,,,,,,,,,
1.54,0.88,7200,2776,0,7200,-0.13982505508698523,,,,,,,-0.09686071425676346,-1.0027421820163727,0.09115475,-0.18907320499420166,230,0.001,0.34886363595724107,0.2,-0.07651772883720696,0.1283965714648366
,,7200,,,,,2.01,0,0.85,24,10814,-0.2133548,,,,,,,,,,
1.58,0.9,7500,2922,0,7500,-0.12048325603362173,,,,,,,-0.1063038557767868,-0.9531346654891968,0.08474626,-0.05209481716156006,240,0.001,0.3971590906381607,0.2,-0.0773357520531863,0.1067575465515256
,,7500,,,,,2.06,0,0.86,25,11276,-0.18507355,,,,,,,,,,
1.28,0.98,7800,3054,0,7800,-0.03194338988512754,,,,,,,-0.10140246152877808,-0.8637933790683746,0.12527831,0.03533434867858887,250,0.001,0.3258238634467125,0.2,-0.06671813843771815,0.08045866046100855
,,7800,,,,,2.21,0,0.8,26,11741,-0.25123422,,,,,,,,,,
1.6,0.92,8100,3198,0,8100,-0.08656298958696425,,,,,,,-0.08911106735467911,-0.879056761264801,0.07011382,0.018379628658294678,260,0.001,0.33130681797862055,0.2,-0.06682788922451437,0.11639690555632115
,,8100,,,,,2.13,0,0.8,27,12181,-0.22456716,,,,,,,,,,
1.54,0.92,8400,3350,0,8400,-0.09564806974492968,,,,,,,-0.06597448885440826,-0.7330772471427918,0.08991517,0.13468819856643677,270,0.001,0.28147727251052856,0.2,-0.056413362734019756,0.08422327691689134
,,8400,,,,,1.94,0,0.86,28,12640,-0.17412080000000002,,,,,,,,,,
1.32,0.96,8700,3487,0,8700,-0.053503624303266405,,,,,,,-0.07251755893230438,-0.8015075588226318,0.06530272,-0.03738093376159668,280,0.001,0.29173295497894286,0.2,-0.05497744304127991,0.10312021091580391
,,8700,,,,,2.04,0,0.84,29,13092,-0.20984192000000002,,,,,,,,,,
1.36,0.94,9000,3635,0,9000,-0.0519602488167584,,,,,,,-0.03807736933231354,-0.669069169163704,0.089971706,0.12748533487319946,290,0.001,0.2876704546809197,0.2,-0.057775928392075,0.1144383005425334
,,9000,,,,,2.1,0,0.85,30,13529,-0.19264604999999999,,,,,,,,,,
