eval/mean_ep_length,env/n_steps,eval/success_rate,env/completion_counter,time/total_timesteps,eval/mean_reward,env/current_idx,time/time_elapsed,rollout/success_rate,time/fps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/value_loss,train/clip_range,train/entropy_loss,train/approx_kl,train/explained_variance,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/clip_fraction
,,,,6660,,,25466,0.76,0,222,-0.22147354999999996,1.59,,,,,,,,,,
1.18,6690,0.92,0,6690,-0.06831322823651136,4157,,,,,,,0.0845307856798172,0.20223939716815947,0.2,-0.00352720208466053,0.0,0.3014668822288513,0.001,1110,2.463658734797036e-08,0.0
,,,,6690,,,25577,0.76,0,223,-0.21057015,1.6,,,,,,,,,,
1.18,6720,0.96,0,6720,-0.04846595462877303,4174,,,,,,,0.08761072158813477,0.18199920654296875,0.2,-0.003527922136709094,0.0,0.11409741640090942,0.001,1115,-4.172325374085517e-09,0.0
,,,,6720,,,25681,0.77,0,224,-0.20362314,1.59,,,,,,,,,,
1.2,6750,0.92,0,6750,-0.07101241355761885,4196,,,,,,,0.09866718202829361,0.2058574974536896,0.2,-0.0036825915332883595,0.0,0.15762317180633545,0.001,1120,3.973643103449831e-09,0.0
,,,,6750,,,25782,0.79,0,225,-0.20599126,1.55,,,,,,,,,,
1.44,6780,0.84,0,6780,-0.15124565029982479,4214,,,,,,,0.095435731112957,0.19542421400547028,0.2,-0.0035265757236629725,0.0,0.1522073745727539,0.001,1125,1.1920928244535389e-09,0.0
,,,,6780,,,25904,0.79,0,226,-0.2035509,1.54,,,,,,,,,,
1.3,6810,0.88,0,6810,-0.13158357466105372,4233,,,,,,,0.08363205194473267,0.17424457371234894,0.2,-0.0035260814242064954,0.0,0.10171926021575928,0.001,1130,-1.4503797185483336e-08,0.0
,,,,6810,,,26010,0.77,0,227,-0.20321754999999997,1.59,,,,,,,,,,
1.22,6840,0.9,0,6840,-0.06848153789527714,4253,,,,,,,0.076888307929039,0.1591595768928528,0.2,-0.00352535592392087,0.0,0.19676518440246582,0.001,1135,-1.748402951307071e-08,0.0
,,,,6840,,,26118,0.79,0,228,-0.18238832,1.54,,,,,,,,,,
1.06,6870,0.98,0,6870,-0.026950927339494227,4272,,,,,,,0.07792937755584717,0.161843404173851,0.2,-0.003527530003339052,0.0,-0.01194775104522705,0.001,1140,-1.8278758240342085e-08,0.0
,,,,6870,,,26219,0.8,0,229,-0.17496880999999997,1.53,,,,,,,,,,
1.34,6900,0.86,0,6900,-0.13210431897547095,4288,,,,,,,0.09740162640810013,0.20920492708683014,0.2,-0.0041569660417735575,1.9868216e-09,-0.013953447341918945,0.001,1145,-8.58545315463033e-06,0.0
,,,,6900,,,26329,0.76,0,230,-0.21475395000000005,1.61,,,,,,,,,,
1.12,6930,0.98,0,6930,-0.007954564574174584,4307,,,,,,,0.13869476318359375,0.31270188093185425,0.2,-0.003539081709459424,0.0,0.09238922595977783,0.001,1150,-3.973642304089253e-09,0.0
,,,,6930,,,26437,0.77,0,231,-0.21464757000000007,1.59,,,,,,,,,,
1.22,6960,0.92,0,6960,-0.09103062166366727,4323,,,,,,,0.09950407594442368,0.19803300499916077,0.2,-0.003547952650114894,0.0,0.1776406168937683,0.001,1155,-3.973640971821624e-10,0.0
,,,,6960,,,26541,0.73,0,232,-0.24884099000000004,1.65,,,,,,,,,,
1.2,6990,0.9,0,6990,-0.07480385451111943,4341,,,,,,,0.0711195096373558,0.15433051884174348,0.2,-0.003554772166535258,0.0,0.37540340423583984,0.001,1160,7.947285496356927e-10,0.0
,,,,6990,,,26640,0.71,0,233,-0.27129185,1.69,,,,,,,,,,
1.16,7020,0.96,0,7020,-0.04882886771578342,4358,,,,,,,0.09748055040836334,0.20078074038028718,0.2,-0.003556730970740318,0.0,0.1632089614868164,0.001,1165,2.6027361244018722e-08,0.0
,,,,7020,,,26737,0.72,0,234,-0.26441144000000005,1.68,,,,,,,,,,
1.22,7050,0.94,0,7050,-0.06875267034396529,4382,,,,,,,0.06807290017604828,0.1412912517786026,0.2,-0.00355721483938396,0.0,0.24044859409332275,0.001,1170,-6.228685194287209e-08,0.0
,,,,7050,,,26843,0.75,0,235,-0.20411369000000001,1.62,,,,,,,,,,
1.3,7080,0.9,0,7080,-0.09013892738614232,4401,,,,,,,0.015423150733113289,0.03645094595849514,0.2,-0.0035586152225732803,0.0,-0.16649198532104492,0.001,1175,-8.344650659353192e-09,0.0
,,,,7080,,,26956,0.76,0,236,-0.20392767000000003,1.6,,,,,,,,,,
1.28,7110,0.88,0,7110,-0.11201042459812015,4422,,,,,,,0.09241034835577011,0.19413391947746278,0.2,-0.003558350680395961,0.0,0.28365659713745117,0.001,1180,-3.099441556742022e-08,0.0
,,,,7110,,,27067,0.81,0,237,-0.17114191999999995,1.5,,,,,,,,,,
1.14,7140,0.94,0,7140,-0.06788323807995766,4438,,,,,,,0.1029103472828865,0.24462802112102508,0.2,-0.0035596937872469426,0.0,0.1019020676612854,0.001,1185,-6.357829107628277e-09,0.0
,,,,7140,,,27166,0.81,0,238,-0.17111063,1.51,,,,,,,,,,
1.2,7170,0.92,0,7170,-0.09071687216404825,4459,,,,,,,0.088655024766922,0.17768095135688783,0.2,-0.0035597989335656166,0.0,0.2527083158493042,0.001,1190,1.0331472211078107e-08,0.0
,,,,7170,,,27272,0.83,0,239,-0.1548701,1.49,,,,,,,,,,
1.42,7200,0.82,0,7200,-0.13204511672258376,4480,,,,,,,0.11195775121450424,0.23752615451812745,0.2,-0.00355958822183311,0.0,0.02042257785797119,0.001,1195,-6.437301722783672e-08,0.0
,,,,7200,,,27398,0.82,0,240,-0.18422053,1.51,,,,,,,,,,
1.26,7230,0.9,0,7230,-0.09110866208095103,4498,,,,,,,0.081296406686306,0.17132585346698762,0.2,-0.003559375833719969,0.0,0.2139400839805603,0.001,1200,3.755092681245742e-08,0.0
,,,,7230,,,27514,0.79,0,241,-0.20706221999999996,1.55,,,,,,,,,,
1.26,7260,0.9,0,7260,-0.11101638841442764,4521,,,,,,,0.06352535635232925,0.13479001224040985,0.2,-0.0035620346665382386,0.0,0.4238964319229126,0.001,1205,1.5099843952981472e-08,0.0
,,,,7260,,,27631,0.81,0,242,-0.18470904000000002,1.52,,,,,,,,,,
1.14,7290,0.96,0,7290,-0.04870768189895898,4539,,,,,,,0.09660249203443527,0.198239004611969,0.2,-0.0035598253831267356,0.0,-0.05366325378417969,0.001,1210,1.1920929487985177e-08,0.0
,,,,7290,,,27730,0.82,0,243,-0.2003061,1.48,,,,,,,,,,
1.4,7320,0.84,0,7320,-0.09317791965790093,4557,,,,,,,0.08538204431533813,0.1989574283361435,0.2,-0.0035594030283391475,0.0,0.43468183279037476,0.001,1215,3.973643103449831e-09,0.0
,,,,7320,,,27851,0.81,0,244,-0.20288684,1.51,,,,,,,,,,
1.32,7350,0.86,0,7350,-0.15031690928619354,4575,,,,,,,0.10148373246192932,0.2406020700931549,0.2,-0.0037602165248245,0.0,-0.3508073091506958,0.001,1220,-1.4344851493319765e-07,0.0
,,,,7350,,,27965,0.78,0,245,-0.21542799000000007,1.56,,,,,,,,,,
1.14,7380,0.94,0,7380,-0.06884974556043744,4595,,,,,,,0.09476739913225174,0.20142040848731996,0.2,-0.003913787892088294,0.0,0.10536748170852661,0.001,1225,-8.497635706206097e-07,0.0
,,,,7380,,,28077,0.79,0,246,-0.19781870000000001,1.57,,,,,,,,,,
1.34,7410,0.86,0,7410,-0.13588955705054104,4612,,,,,,,0.050393231213092804,0.1402257800102234,0.2,-0.0035543335136026142,0.0,-0.3371974229812622,0.001,1230,4.847844614630503e-08,0.0
,,,,7410,,,28195,0.76,0,247,-0.21946407,1.62,,,,,,,,,,
1.3,7440,0.88,0,7440,-0.11094596847891808,4635,,,,,,,0.20960552990436554,0.4016188085079193,0.2,-0.0035530843306332827,0.0,0.0340578556060791,0.001,1235,-1.827875788507072e-08,0.0
,,,,7440,,,28324,0.78,0,248,-0.19316716999999997,1.57,,,,,,,,,,
1.16,7470,0.96,0,7470,-0.04822649197652936,4655,,,,,,,0.07757449895143509,0.17710269689559938,0.2,-0.0035572387278079987,0.0,0.3191959261894226,0.001,1240,-2.1258990479111616e-08,0.0
,,,,7470,,,28436,0.78,0,249,-0.18869787,1.54,,,,,,,,,,
1.08,7500,0.98,0,7500,-0.027177539695985617,4670,,,,,,,0.09926430881023407,0.2027763992547989,0.2,-0.003549104277044535,0.0,0.04965716600418091,0.001,1245,9.73542544357997e-09,0.0
,,,,7500,,,28534,0.76,0,250,-0.21115933999999992,1.6,,,,,,,,,,
1.18,7530,0.94,0,7530,-0.06948460451327264,4687,,,,,,,0.09366779029369354,0.19362950921058655,0.2,-0.0035472622606903315,0.0,0.21469920873641968,0.001,1250,-1.8278757618617192e-08,0.0
,,,,7530,,,28637,0.76,0,251,-0.22811766000000003,1.61,,,,,,,,,,
1.22,7560,0.9,0,7560,-0.09010467595420778,4705,,,,,,,0.10410738736391068,0.2203969955444336,0.2,-0.003545979131013155,0.0,0.06156200170516968,0.001,1255,-1.708666559352423e-08,0.0
,,,,7560,,,28742,0.73,0,252,-0.27424207999999994,1.65,,,,,,,,,,
1.24,7590,0.9,0,7590,-0.09043951836414635,4723,,,,,,,0.11605867743492126,0.23776917457580565,0.2,-0.0035464235115796328,0.0,0.07909291982650757,0.001,1260,1.0331471989033502e-08,0.0
,,,,7590,,,28848,0.75,0,253,-0.25307067000000005,1.64,,,,,,,,,,
1.16,7620,0.96,0,7620,-0.04818051056936383,4744,,,,,,,0.10063298046588898,0.21070850193500518,0.2,-0.0035467555746436117,0.0,0.10090768337249756,0.001,1265,-2.046426210711161e-08,0.0
,,,,7620,,,28953,0.76,0,254,-0.24026441,1.62,,,,,,,,,,
1.26,7650,0.9,0,7650,-0.06906179254874587,4763,,,,,,,0.06135644018650055,0.1340973913669586,0.2,-0.003551284642890096,0.0,0.3188110589981079,0.001,1270,-8.344650304081824e-09,0.0
,,,,7650,,,29085,0.75,0,255,-0.26025476,1.62,,,,,,,,,,
1.2,7680,0.94,0,7680,-0.048872740915976466,4780,,,,,,,0.11632969230413437,0.24095076620578765,0.2,-0.003547067567706108,0.0,0.14051002264022827,0.001,1275,2.2451083303565157e-08,0.0
,,,,7680,,,29199,0.72,0,256,-0.27430095,1.67,,,,,,,,,,
1.2,7710,0.94,0,7710,-0.07038665337488055,4802,,,,,,,0.08375930786132812,0.1748236060142517,0.2,-0.00354609452188015,0.0,0.3078128695487976,0.001,1280,1.1920929310349492e-08,0.0
,,,,7710,,,29300,0.78,0,257,-0.21169295999999996,1.53,,,,,,,,,,
1.18,7740,0.96,0,7740,-0.028895255401730536,4823,,,,,,,0.06799455732107162,0.14460799992084503,0.2,-0.0037955467123538256,0.0,0.21977978944778442,0.001,1285,-5.785624171750215e-07,0.0
,,,,7740,,,29402,0.8,0,258,-0.19272528,1.49,,,,,,,,,,
1.36,7770,0.88,0,7770,-0.1309984040353447,4841,,,,,,,0.09538796544075012,0.20240121483802795,0.2,-0.0035498532466590404,0.0,0.020374655723571777,0.001,1290,-2.7815501724148817e-08,0.0
,,,,7770,,,29522,0.77,0,259,-0.24053783000000004,1.55,,,,,,,,,,
1.22,7800,0.92,0,7800,-0.08906022743321955,4858,,,,,,,0.11053168773651123,0.2570608824491501,0.2,-0.0035522046964615583,0.0,0.19156420230865479,0.001,1295,7.569789985950593e-08,0.0
,,,,7800,,,29648,0.74,0,260,-0.26698293999999995,1.62,,,,,,,,,,
1.3,7830,0.88,0,7830,-0.11239668143447488,4876,,,,,,,0.11564451456069946,0.22614636719226838,0.2,-0.003554171370342374,0.0,0.174663245677948,0.001,1300,6.953875164583679e-09,0.0
,,,,7830,,,29754,0.77,0,261,-0.23637189999999997,1.57,,,,,,,,,,
1.08,7860,0.96,0,7860,-0.047359073152765635,4893,,,,,,,0.13912029564380646,0.3360490143299103,0.2,-0.0035557741299271583,0.0,-0.008633971214294434,0.001,1305,3.317991641438311e-08,0.0
,,,,7860,,,29849,0.74,0,262,-0.26648752,1.63,,,,,,,,,,
1.3,7890,0.88,0,7890,-0.09001784955151379,4911,,,,,,,0.11608326435089111,0.2367171823978424,0.2,-0.003555937157943845,0.0,0.07814055681228638,0.001,1310,7.947286384535346e-10,0.0
,,,,7890,,,29959,0.72,0,263,-0.26427798,1.66,,,,,,,,,,
1.26,7920,0.9,0,7920,-0.050056423977948725,4928,,,,,,,0.12167789787054062,0.2594254046678543,0.2,-0.003557258890941739,0.0,-0.16636765003204346,0.001,1315,2.3841858265427618e-08,0.0
,,,,7920,,,30073,0.71,0,264,-0.26992841,1.69,,,,,,,,,,
1.38,7950,0.82,0,7950,-0.15650346922222524,4945,,,,,,,0.09975483268499374,0.20577916800975798,0.2,-0.0037901476491242645,0.0,0.1724732518196106,0.001,1320,-5.443890991330136e-08,0.0
,,,,7950,,,30184,0.7,0,265,-0.26756381,1.74,,,,,,,,,,
1.2,7980,0.92,0,7980,-0.09405421006958932,4966,,,,,,,0.08562085777521133,0.17646938264369966,0.2,-0.0035556978546082973,0.0,0.10535538196563721,0.001,1325,-4.5100849277446287e-08,0.0
,,,,7980,,,30284,0.73,0,266,-0.23359138000000002,1.68,,,,,,,,,,
1.18,8010,0.92,0,8010,-0.09023519580252469,4986,,,,,,,0.06982911378145218,0.1720251113176346,0.2,-0.003554767370223999,0.0,0.13221526145935059,0.001,1330,-5.20547234650337e-08,0.0
,,,,8010,,,30388,0.76,0,267,-0.20441183,1.61,,,,,,,,,,
1.34,8040,0.86,0,8040,-0.11094960971735418,5004,,,,,,,0.08639773726463318,0.17147135436534883,0.2,-0.003600635984912515,0.0,0.26593583822250366,0.001,1335,-3.973643636356883e-10,0.0
,,,,8040,,,30498,0.75,0,268,-0.22085027000000002,1.65,,,,,,,,,,
1.34,8070,0.86,0,8070,-0.11084991722367704,5026,,,,,,,0.10157503187656403,0.21255041658878326,0.2,-0.003553328523412347,0.0,0.0026656389236450195,0.001,1340,2.8610230096148824e-08,0.0
,,,,8070,,,30608,0.8,0,269,-0.18413629,1.54,,,,,,,,,,
1.1,8100,0.96,0,8100,-0.047670108433812856,5045,,,,,,,0.07153478264808655,0.14566513895988464,0.2,-0.0035537494346499442,0.0,0.26021599769592285,0.001,1345,-3.973643103449831e-09,0.0
,,,,8100,,,30701,0.8,0,270,-0.18418139999999997,1.52,,,,,,,,,,
1.24,8130,0.9,0,8130,-0.07274892582558096,5062,,,,,,,0.1026289090514183,0.2097773939371109,0.2,-0.0035558806266635656,0.0,0.08077287673950195,0.001,1350,1.5894572769070692e-09,0.0
,,,,8130,,,30801,0.79,0,271,-0.21459532,1.55,,,,,,,,,,
1.26,8160,0.9,0,8160,-0.08960827822797,5083,,,,,,,0.10631843656301498,0.2178487718105316,0.2,-0.003553917398676276,0.0,0.14685046672821045,0.001,1355,1.6093254462390404e-08,0.0
,,,,8160,,,30910,0.79,0,272,-0.21207663999999998,1.55,,,,,,,,,,
1.24,8190,0.92,0,8190,-0.07087467274162919,5099,,,,,,,0.12153686583042145,0.2580106109380722,0.2,-0.0035826916340738536,0.0,-0.4070190191268921,0.001,1360,-2.3841861818141297e-09,0.0
,,,,8190,,,31018,0.79,0,273,-0.20625626,1.54,,,,,,,,,,
1.3,8220,0.9,0,8220,-0.11360627254936845,5121,,,,,,,0.08418693393468857,0.16885537207126616,0.2,-0.0035536202602088453,0.0,0.23782169818878174,0.001,1365,5.563099847449848e-09,0.0
,,,,8220,,,31123,0.76,0,274,-0.21873184,1.59,,,,,,,,,,
1.2,8250,0.92,0,8250,-0.06894587453920394,5140,,,,,,,0.06213463470339775,0.1356945589184761,0.2,-0.003556677931919694,0.0,0.12287425994873047,0.001,1370,5.165736105539054e-09,0.0
,,,,8250,,,31222,0.77,0,275,-0.21857433,1.59,,,,,,,,,,
1.12,8280,0.98,0,8280,-0.030089423758909106,5158,,,,,,,0.11418288946151733,0.23297609090805055,0.2,-0.003553991811349988,0.0,0.1640198826789856,0.001,1375,2.145767261652054e-08,0.0
,,,,8280,,,31325,0.77,0,276,-0.22135414,1.58,,,,,,,,,,
1.18,8310,0.94,0,8310,-0.06881445651873946,5175,,,,,,,0.10344332456588745,0.24929187297821045,0.2,-0.0035564109683036806,0.0,0.3401906490325928,0.001,1380,4.132588689031991e-08,0.0
,,,,8310,,,31425,0.76,0,277,-0.22967363,1.61,,,,,,,,,,
1.22,8340,0.92,0,8340,-0.029015712146647273,5193,,,,,,,0.10238046199083328,0.20815905034542084,0.2,-0.003554311813786626,0.0,0.024841248989105225,0.001,1385,-1.430511495925657e-08,0.0
,,,,8340,,,31529,0.72,0,278,-0.25942463,1.65,,,,,,,,,,
1.24,8370,0.9,0,8370,-0.04948631602339446,5213,,,,,,,0.06355877220630646,0.13877329230308533,0.2,-0.003554576775059104,0.0,0.4015694260597229,0.001,1390,3.973643192267673e-09,0.0
,,,,8370,,,31641,0.72,0,279,-0.26823060000000004,1.64,,,,,,,,,,
1.26,8400,0.9,0,8400,-0.09003688375931233,5235,,,,,,,0.0409841388463974,0.10746240168809891,0.2,-0.0035544001031666992,0.0,0.5365453958511353,0.001,1395,1.390775095089225e-08,0.0
,,,,8400,,,31755,0.74,0,280,-0.23877690000000001,1.6,,,,,,,,,,
1.22,8430,0.94,0,8430,-0.06933968883007764,5256,,,,,,,0.07904370874166489,0.18790175020694733,0.2,-0.0035532704088836907,0.0,-0.8232241868972778,0.001,1400,-2.3841855600892357e-09,0.0
,,,,8430,,,31865,0.77,0,281,-0.21006228000000005,1.53,,,,,,,,,,
1.16,8460,0.96,0,8460,-0.0293728962354362,5274,,,,,,,0.18860188126564026,0.3572934627532959,0.2,-0.0035545847378671168,0.0,0.44694066047668457,0.001,1405,2.543131571997037e-08,0.0
,,,,8460,,,31975,0.77,0,282,-0.21085505000000002,1.53,,,,,,,,,,
1.18,8490,0.96,0,8490,-0.04875304551329464,5291,,,,,,,0.1449223905801773,0.3432563662528992,0.2,-0.0035536482464522123,0.0,0.18025493621826172,0.001,1410,-2.185503698015623e-08,0.0
,,,,8490,,,32079,0.78,0,283,-0.216061,1.54,,,,,,,,,,
1.28,8520,0.9,0,8520,-0.09019655014853925,5309,,,,,,,0.11727020144462585,0.27767701745033263,0.2,-0.0035535637754946945,0.0,0.1344907283782959,0.001,1415,9.934107136899684e-09,0.0
,,,,8520,,,32211,0.78,0,284,-0.22832506000000002,1.56,,,,,,,,,,
1.28,8550,0.9,0,8550,-0.11127309105824679,5327,,,,,,,0.09713698923587799,0.19134157598018647,0.2,-0.003553795022889972,0.0,0.23422276973724365,0.001,1420,-2.543131571997037e-08,0.0
,,,,8550,,,32336,0.76,0,285,-0.26993490000000003,1.61,,,,,,,,,,
1.24,8580,0.9,0,8580,-0.06996823661029339,5345,,,,,,,0.10633911192417145,0.2284027397632599,0.2,-0.0035529609769582747,0.0,0.24002712965011597,0.001,1425,1.5894573213159902e-09,0.0
,,,,8580,,,32443,0.71,0,286,-0.30255048,1.69,,,,,,,,,,
1.22,8610,0.92,0,8610,-0.09000857484526932,5363,,,,,,,0.09213156998157501,0.21650320291519165,0.2,-0.0035529850982129576,0.0,0.22339117527008057,0.001,1430,-5.9604651880817984e-09,0.0
,,,,8610,,,32550,0.72,0,287,-0.27612368,1.69,,,,,,,,,,
1.2,8640,0.92,0,8640,-0.07122939271386713,5383,,,,,,,0.103654645383358,0.2067251980304718,0.2,-0.0035535155329853296,0.0,0.1351293921470642,0.001,1435,1.152356476907812e-08,0.0
,,,,8640,,,32658,0.74,0,288,-0.24961384999999997,1.63,,,,,,,,,,
1.26,8670,0.88,0,8670,-0.13318748432677238,5402,,,,,,,0.0682043731212616,0.14731651842594146,0.2,-0.0035537238698452713,0.0,0.25411099195480347,0.001,1440,2.1855036003159965e-09,0.0
,,,,8670,,,32770,0.76,0,289,-0.20615136,1.62,,,,,,,,,,
1.4,8700,0.86,0,8700,-0.11190060179680586,5419,,,,,,,0.07935985177755356,0.1695741295814514,0.2,-0.0035541332326829433,0.0,-0.3258092403411865,0.001,1445,-2.165635457629378e-08,0.0
,,,,8700,,,32899,0.74,0,290,-0.22746458999999994,1.67,,,,,,,,,,
1.16,8730,0.94,0,8730,-0.0492090694559738,5439,,,,,,,0.09704212844371796,0.20237320363521577,0.2,-0.003553179558366537,0.0,0.24239718914031982,0.001,1450,7.947285496356927e-10,0.0
,,,,8730,,,33010,0.78,0,291,-0.19622136000000004,1.6,,,,,,,,,,
1.08,8760,0.98,0,8760,-0.026790349464863538,5462,,,,,,,0.07904314249753952,0.1669120490550995,0.2,-0.0035532901994884012,0.0,0.19915270805358887,0.001,1455,-1.11262007607138e-08,0.0
,,,,8760,,,33106,0.82,0,292,-0.16254123000000004,1.51,,,,,,,,,,
1.18,8790,0.92,0,8790,-0.06861394661478698,5478,,,,,,,0.05384358763694763,0.11537377834320069,0.2,-0.0035963641945272683,0.0,0.317385733127594,0.001,1460,-7.549922020899658e-09,0.0
,,,,8790,,,33218,0.78,0,293,-0.21584833000000003,1.59,,,,,,,,,,
1.18,8820,0.94,0,8820,-0.06929171700496227,5497,,,,,,,0.13619104027748108,0.27951064705848694,0.2,-0.0035556873306632044,0.0,0.26650047302246094,0.001,1465,1.7583370748308625e-08,0.0
,,,,8820,,,33340,0.77,0,294,-0.22554579,1.6,,,,,,,,,,
1.16,8850,0.94,0,8850,-0.04871020594146103,5512,,,,,,,0.08425965160131454,0.1831177920103073,0.2,-0.003553943708539009,0.0,0.25846046209335327,0.001,1470,1.7484029446457328e-08,0.0
,,,,8850,,,33446,0.76,0,295,-0.25810706,1.62,,,,,,,,,,
1.32,8880,0.86,0,8880,-0.15116866204887627,5528,,,,,,,0.09079664945602417,0.20053740441799164,0.2,-0.0035541391465812922,0.0,0.18454378843307495,0.001,1475,3.1789145538141384e-09,0.0
,,,,8880,,,33567,0.73,0,296,-0.27492113000000007,1.66,,,,,,,,,,
1.16,8910,0.94,0,8910,-0.05122273451182991,5547,,,,,,,0.1561240702867508,0.3127063512802124,0.2,-0.0035545006860047577,0.0,0.05143004655838013,0.001,1480,-2.7815502079420184e-08,0.0
,,,,8910,,,33672,0.71,0,297,-0.2855922,1.69,,,,,,,,,,
1.2,8940,0.92,0,8940,-0.06886456245556474,5569,,,,,,,0.07277345657348633,0.17993689179420472,0.2,-0.003555158479139209,0.0,0.48490673303604126,0.001,1485,4.4107438412765984e-08,0.0
,,,,8940,,,33779,0.73,0,298,-0.27860455,1.64,,,,,,,,,,
1.3,8970,0.86,0,8970,-0.11318602613173426,5587,,,,,,,0.11987387388944626,0.2530515223741531,0.2,-0.003555731335654855,0.0,0.05440241098403931,0.001,1490,6.755193382446123e-09,0.0
,,,,8970,,,33887,0.74,0,299,-0.25054107999999997,1.62,,,,,,,,,,
1.18,9000,0.92,0,9000,-0.0886953292414546,5610,,,,,,,0.08388005197048187,0.17580610811710357,0.2,-0.003553689317777753,0.0,0.037076354026794434,0.001,1495,-2.0265579792067e-08,0.0
,,,,9000,,,33991,0.77,0,300,-0.21509794,1.53,,,,,,,,,,
1.2,9030,0.92,0,9030,-0.04857028188183904,5626,,,,,,,0.06417688727378845,0.1363131433725357,0.2,-0.0035598079673945906,0.0,0.31360042095184326,0.001,1500,5.165736105539054e-09,0.0
,,,,9030,,,34094,0.76,0,301,-0.23422419000000003,1.54,,,,,,,,,,
1.18,9060,0.94,0,9060,-0.06898576537147165,5645,,,,,,,0.10975798219442368,0.24321660101413728,0.2,-0.0035547263454645873,0.0,0.06791692972183228,0.001,1505,-1.8278758240342085e-08,0.0
,,,,9060,,,34201,0.76,0,302,-0.2454477,1.55,,,,,,,,,,
1.14,9090,0.98,0,9090,-0.009032914461567999,5664,,,,,,,0.10550206154584885,0.20913332998752593,0.2,-0.0035541428718715907,0.0,0.24735063314437866,0.001,1510,1.927216930486253e-08,0.0
,,,,9090,,,34301,0.75,0,303,-0.25198308,1.56,,,,,,,,,,
1.22,9120,0.9,0,9120,-0.08993560280650854,5683,,,,,,,0.0698142945766449,0.14467356503009796,0.2,-0.0035537433344870807,0.0,0.41254234313964844,0.001,1515,-6.357828929992593e-09,0.0
,,,,9120,,,34418,0.77,0,304,-0.23000815,1.56,,,,,,,,,,
1.36,9150,0.88,0,9150,-0.13088126361835747,5703,,,,,,,0.12969765067100525,0.2983045279979706,0.2,-0.0035540410317480564,0.0,0.0033678412437438965,0.001,1520,-3.854433625605225e-08,0.0
,,,,9150,,,34543,0.75,0,305,-0.2533248,1.6,,,,,,,,,,
1.32,9180,0.86,0,9180,-0.13189232374541462,5726,,,,,,,0.06648457795381546,0.13754785060882568,0.2,-0.003554625529795885,0.0,0.47882819175720215,0.001,1525,3.973643103449831e-09,0.0
,,,,9180,,,34655,0.81,0,306,-0.1989966,1.48,,,,,,,,,,
1.16,9210,0.94,0,9210,-0.06823201095685363,5749,,,,,,,0.05251767858862877,0.11430482268333435,0.2,-0.0035549196880310776,0.0,0.3426705598831177,0.001,1530,-1.3113022134803032e-08,0.0
,,,,9210,,,34760,0.82,0,307,-0.16466377999999998,1.44,,,,,,,,,,
1.4,9240,0.88,0,9240,-0.09186994303017855,5771,,,,,,,0.042370960116386414,0.0891479954123497,0.2,-0.0035544083919376137,0.0,0.3897101879119873,0.001,1535,3.1789144205873756e-09,0.0
,,,,9240,,,34882,0.84,0,308,-0.14734489,1.39,,,,,,,,,,
1.14,9270,0.96,0,9270,-0.04776414172723889,5788,,,,,,,0.07337702810764313,0.16063226163387298,0.2,-0.0035545633640140296,0.0,0.46669042110443115,0.001,1540,-1.768271209456884e-08,0.0
,,,,9270,,,34989,0.82,0,309,-0.16688872,1.41,,,,,,,,,,
1.18,9300,0.92,0,9300,-0.048481046408414843,5809,,,,,,,0.08757396042346954,0.18459537923336028,0.2,-0.0035544581711292266,0.0,0.23374342918395996,0.001,1545,-1.7881393876706397e-08,0.0
,,,,9300,,,35100,0.82,0,310,-0.16029045000000003,1.44,,,,,,,,,,
1.16,9330,0.94,0,9330,-0.06897967217955739,5831,,,,,,,0.08419034630060196,0.17459584772586823,0.2,-0.0035546964965760706,0.0,0.35358625650405884,0.001,1550,3.735224323175856e-08,0.0
,,,,9330,,,35209,0.83,0,311,-0.14727883,1.45,,,,,,,,,,
1.16,9360,0.94,0,9360,-0.06878937408328056,5851,,,,,,,0.06318268924951553,0.15706175267696382,0.2,-0.0035549073945730925,0.0,-0.38367271423339844,0.001,1555,-4.639228157188313e-08,0.0
,,,,9360,,,35309,0.82,0,312,-0.16233878000000002,1.47,,,,,,,,,,
1.14,9390,0.96,0,9390,-0.04887470732908696,5872,,,,,,,0.13119716942310333,0.25744147002696993,0.2,-0.003553899750113487,0.0,0.02946007251739502,0.001,1560,-1.748402951307071e-08,0.0
,,,,9390,,,35420,0.81,0,313,-0.14761360000000004,1.49,,,,,,,,,,
1.16,9420,0.94,0,9420,-0.06805353079456836,5892,,,,,,,0.047096043825149536,0.10316644608974457,0.2,-0.003555005881935358,0.0,0.20262527465820312,0.001,1565,-1.7763568394002506e-16,0.0
,,,,9420,,,35528,0.85,0,314,-0.12222193,1.42,,,,,,,,,,
1.3,9450,0.86,0,9450,-0.14999150577001275,5911,,,,,,,0.09971798956394196,0.21678311228752137,0.2,-0.003554355911910534,0.0,0.1455012559890747,0.001,1570,2.2252401254974075e-08,0.0
,,,,9450,,,35643,0.82,0,315,-0.16253076,1.47,,,,,,,,,,
1.28,9480,0.9,0,9480,-0.11238759551662952,5926,,,,,,,0.06987988948822021,0.1405077487230301,0.2,-0.0035546848084777594,0.0,0.3699289560317993,0.001,1575,-5.960464566356905e-10,0.0
,,,,9480,,,35754,0.76,0,316,-0.20832118000000002,1.58,,,,,,,,,,
