eval/success_rate,eval/mean_reward,env/n_steps,time/total_timesteps,env/completion_counter,env/current_idx,eval/mean_ep_length,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,time/fps,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/loss,train/approx_kl,train/value_loss,train/n_updates,train/clip_range,train/explained_variance
0.96,-0.052284463928081094,25800,25800,0,11766,1.36,,,,,,,0.001,-0.023408168125897647,-0.5387563526630401,0.10892045468091965,0.005357526242733002,0.020634934,0.16897478729486465,425,0.2,0.26301586627960205
,,,25800,,,,-0.21493603999999997,86,2.1,0.78,40155,0,,,,,,,,,,
0.98,-0.03288861042819917,26100,26100,0,11915,1.16,,,,,,,0.001,-0.02189548852853477,-0.439776349067688,0.1214204552769661,0.007215119898319244,0.028421063,0.17123129904270173,430,0.2,0.14126217365264893
,,,26100,,,,-0.22176132999999998,87,2.13,0.8,40601,0,,,,,,,,,,
0.92,-0.057298216614872215,26400,26400,0,12051,1.44,,,,,,,0.001,-0.0318898362852633,-0.46579743146896363,0.1400568187236786,0.018560998141765594,0.039003365,0.17327000588178634,435,0.2,0.06617981195449829
,,,26400,,,,-0.25495807,88,2.15,0.77,41064,0,,,,,,,,,,
1.0,-0.008897806247696281,26700,26700,0,12206,1.2,,,,,,,0.001,-0.020747877415269612,-0.47712452173233033,0.10789772808551788,0.05652160197496414,0.022098517,0.2055679005384445,440,0.2,-0.010532259941101074
,,,26700,,,,-0.23655244000000006,89,1.95,0.8,41498,0,,,,,,,,,,
0.92,-0.07359928057529032,27000,27000,0,12338,1.54,,,,,,,0.001,-0.02441000352613628,-0.4200011324882507,0.10965909153223037,-0.016608573496341705,0.03543675,0.1429867359995842,445,0.2,0.3285408616065979
,,,27000,,,,-0.2703484,90,2.17,0.77,41950,0,,,,,,,,,,
0.96,-0.04978804602753371,27300,27300,0,12489,1.22,,,,,,,0.001,-0.024915046617388727,-0.4865611898899078,0.12602272778749465,0.026933182030916214,0.03276377,0.2130897557735443,450,0.2,0.07962614297866821
,,,27300,,,,-0.17969717999999996,91,1.91,0.83,42382,0,,,,,,,,,,
0.94,-0.07460690360050648,27600,27600,0,12632,1.42,,,,,,,0.001,-0.01815799467265606,-0.28995548069477084,0.08488636404275894,0.03894025459885597,0.02544834,0.17814402729272844,455,0.2,-0.05889391899108887
,,,27600,,,,-0.2645547900000001,92,2.17,0.78,42811,0,,,,,,,,,,
0.94,-0.07163347898051142,27900,27900,0,12785,1.4,,,,,,,0.001,-0.02560877948999405,-0.39514060497283937,0.13090909093618394,0.02474808320403099,0.034572415,0.19465194195508956,460,0.2,0.087024986743927
,,,27900,,,,-0.23833100999999998,93,2.01,0.8,43272,0,,,,,,,,,,
0.94,-0.05503775850404054,28200,28200,0,12932,1.4,,,,,,,0.001,-0.013971390060614795,-0.31784473776817324,0.08301136404275894,0.06380380690097809,0.0254395,0.18154711425304412,465,0.2,0.19964778423309326
,,,28200,,,,-0.12075208999999999,94,1.91,0.85,43690,0,,,,,,,,,,
0.92,-0.07449180918745696,28500,28500,0,13075,1.52,,,,,,,0.001,-0.023930454179644584,-0.3991295027732849,0.1434090915322304,0.07951857894659042,0.03478432,0.1741484832763672,470,0.2,0.14174121618270874
,,,28500,,,,-0.18627381999999998,95,2.01,0.85,44139,0,,,,,,,,,,
1.0,-0.007047543651424348,28800,28800,0,13202,1.06,,,,,,,0.001,-0.023890086598694325,-0.4121360003948212,0.11954545438289642,0.007722444832324982,0.03734582,0.17486826777458192,475,0.2,0.14308595657348633
,,,28800,,,,-0.33447139,96,2.36,0.74,44548,0,,,,,,,,,,
1.0,-0.008167009297758342,29100,29100,0,13333,1.12,,,,,,,0.001,-0.02199051633477211,-0.5113291025161744,0.13880681842565537,0.04181912541389465,0.026332717,0.20490561068058014,480,0.2,0.18935340642929077
,,,29100,,,,-0.26968918,97,2.29,0.75,44977,0,,,,,,,,,,
1.0,-0.008277651509270073,29400,29400,0,13488,1.12,,,,,,,0.001,-0.023940041936002673,-0.5396653544902802,0.16636363685131073,0.022803597152233124,0.02917912,0.1533924397826195,485,0.2,0.2773371934890747
,,,29400,,,,-0.19418301,98,1.93,0.84,45386,0,,,,,,,,,,
0.92,-0.09722611242439598,29700,29700,0,13623,1.52,,,,,,,0.001,-0.027750755473971368,-0.5443234777450562,0.12982954561710358,0.02925083227455616,0.027632896,0.17319911509752273,490,0.2,0.14584141969680786
,,,29700,,,,-0.24540236999999998,99,2.22,0.79,45801,0,,,,,,,,,,
1.0,-0.009074263414368034,30000,30000,0,13754,1.22,,,,,,,0.001,-0.042167328000068664,-0.5679695188999176,0.20909090965986252,-0.03251222148537636,0.053129755,0.18064320415258409,495,0.2,0.12971234321594238
,,,30000,,,,-0.21136134000000006,100,2.29,0.82,46232,0,,,,,,,,,,
0.94,-0.05204305018298328,30300,30300,0,13902,1.3,,,,,,,0.001,-0.029754611551761626,-0.5358562910556793,0.1745454552769661,0.03080228716135025,0.043164343,0.16984369426965715,500,0.2,0.17437875270843506
,,,30300,,,,-0.1640491,101,1.94,0.87,46711,0,,,,,,,,,,
0.94,-0.07358027940150351,30600,30600,0,14059,1.4,,,,,,,0.001,-0.03027940643951297,-0.5077748107910156,0.1504545459151268,0.007524155080318451,0.034591522,0.15481993615627287,505,0.2,0.18690478801727295
,,,30600,,,,-0.15881241999999998,102,1.74,0.87,47127,0,,,,,,,,,,
0.92,-0.031106642368249594,30900,30900,0,14195,1.4,,,,,,,0.001,-0.027119861096143724,-0.4881340253353119,0.12630681842565536,0.0007330663502216339,0.028305914,0.1281805595755577,510,0.2,0.2980368733406067
,,,30900,,,,-0.26401641000000003,103,2.23,0.8,47552,0,,,,,,,,,,
0.94,-0.031929014390334486,31200,31200,0,14331,1.4,,,,,,,0.001,-0.030642987601459025,-0.5699320614337922,0.19857954621315002,-0.022578991949558258,0.041489743,0.21068452864885331,515,0.2,0.08361548185348511
,,,31200,,,,-0.26258056999999996,104,2.34,0.77,47987,0,,,,,,,,,,
0.92,-0.09605700204148888,31500,31500,0,14470,1.52,,,,,,,0.001,-0.03378593218978494,-0.49625317931175233,0.18000000089406967,0.041921570897102356,0.04663794,0.18049657315015794,520,0.2,0.169874370098114
,,,31500,,,,-0.21140376000000002,105,2.04,0.82,48421,0,,,,,,,,,,
0.88,-0.11582374219316989,31800,31800,0,14602,1.48,,,,,,,0.001,-0.030223437771201133,-0.5199793410301209,0.1626704552769661,0.019391454756259918,0.062260725,0.1696992164850235,525,0.2,0.20988768339157104
,,,31800,,,,-0.26496084000000003,106,2.28,0.8,48830,0,,,,,,,,,,
0.9,-0.095123994005844,32100,32100,0,14727,1.58,,,,,,,0.001,-0.03256066864356399,-0.5286091959476471,0.150625,-0.014768537133932114,0.04250089,0.20153125673532485,530,0.2,0.1631171703338623
,,,32100,,,,-0.27831879,107,2.51,0.74,49274,0,,,,,,,,,,
0.96,-0.029831137880682944,32400,32400,0,14870,1.28,,,,,,,0.001,-0.028034975193440913,-0.5519646394252777,0.15573863744735716,-0.0028561726212501526,0.04699306,0.1538916027545929,535,0.2,0.28449440002441406
,,,32400,,,,-0.23780176,108,2.15,0.81,49690,0,,,,,,,,,,
0.98,-0.0352310436218977,32700,32700,0,15009,1.46,,,,,,,0.001,-0.028976572155952455,-0.5781668996810914,0.19522727251052857,0.05328903719782829,0.08132721,0.17478242814540862,540,0.2,0.1760661005973816
,,,32700,,,,-0.25651775,109,2.2,0.78,50136,0,,,,,,,,,,
0.96,-0.013070870046503843,33000,33000,0,15153,1.38,,,,,,,0.001,-0.02500178514048457,-0.5025853979587555,0.14965909123420715,0.022324077785015106,0.050384115,0.15956978172063827,545,0.2,0.2695862054824829
,,,33000,,,,-0.23449892000000003,110,2.08,0.81,50592,0,,,,,,,,,,
0.96,-0.0314871988678351,33300,33300,0,15299,1.32,,,,,,,0.001,-0.03514940803870559,-0.5049680984020233,0.1767045459151268,0.03206609934568405,0.051794402,0.2259347426891327,550,0.2,-0.22698020935058594
,,,33300,,,,-0.17763165,111,1.99,0.84,51003,0,,,,,,,,,,
0.98,-0.02844266387168318,33600,33600,0,15444,1.16,,,,,,,0.001,-0.03198361722752452,-0.4422614753246307,0.1740909093618393,0.01964312419295311,0.0473952,0.1836312848329544,555,0.2,0.18634521961212158
,,,33600,,,,-0.20687316,112,2.08,0.83,51415,0,,,,,,,,,,
0.98,-0.01111112509854138,33900,33900,0,15588,1.36,,,,,,,0.001,-0.02343921199440956,-0.49246093034744265,0.17801136434078216,0.02902279421687126,0.047300585,0.17684516429901123,560,0.2,0.19747143983840942
,,,33900,,,,-0.18443788000000003,113,2.09,0.82,51864,0,,,,,,,,,,
1.0,-0.007544118762016296,34200,34200,0,15730,1.1,,,,,,,0.001,-0.036001880783587695,-0.5741186821460724,0.1868181824684143,0.013495147228240967,0.039233185,0.17546363979578017,565,0.2,0.20096814632415771
,,,34200,,,,-0.26922177999999997,114,2.16,0.79,52291,0,,,,,,,,,,
0.94,-0.05897698906715959,34500,34500,0,15879,1.36,,,,,,,0.001,-0.025766803082078696,-0.4242213606834412,0.12011363685131073,0.018012773245573044,0.036698215,0.18345262110233307,570,0.2,0.17542529106140137
,,,34500,,,,-0.21887825,115,2.12,0.81,52720,0,,,,,,,,,,
0.98,-0.03123624378349632,34800,34800,0,16032,1.24,,,,,,,0.001,-0.027517556175589562,-0.5486936318874359,0.1701136365532875,0.003176439553499222,0.044505056,0.1437479743361473,575,0.2,0.19189471006393433
,,,34800,,,,-0.15684747,116,1.89,0.85,53152,0,,,,,,,,,,
0.9,-0.07404760879930108,35100,35100,0,16169,1.56,,,,,,,0.001,-0.03093813390471041,-0.5720332086086273,0.19284090846776963,0.0071870870888233185,0.057244472,0.12461385473608971,580,0.2,0.25776922702789307
,,,35100,,,,-0.23033984999999998,117,2.2,0.81,53587,0,,,,,,,,,,
0.92,-0.0735599265107885,35400,35400,0,16311,1.44,,,,,,,0.001,-0.03132309924811125,-0.5238854479789734,0.15051136344671248,0.004957880824804306,0.055218793,0.18280843615531922,585,0.2,0.08521336317062378
,,,35400,,,,-0.18979636,118,2.06,0.82,54016,0,,,,,,,,,,
0.94,-0.052849442935548725,35700,35700,0,16455,1.48,,,,,,,0.001,-0.023328790878877043,-0.48782984375953675,0.13602272808551788,0.03549456596374512,0.043572843,0.15509636729955673,590,0.2,0.2570626735687256
,,,35700,,,,-0.24919087999999995,119,2.09,0.79,54471,0,,,,,,,,,,
0.92,-0.09616980387363583,36000,36000,0,16612,1.5,,,,,,,0.001,-0.03377868417650461,-0.5187105739116669,0.19431818127632142,-0.0431520976126194,0.0551718,0.16918913632631302,595,0.2,0.1018713116645813
,,,36000,,,,-0.18219862000000003,120,1.89,0.85,54898,0,,,,,,,,,,
0.9,-0.0957255534734577,36300,36300,0,16749,1.7,,,,,,,0.001,-0.0326035737991333,-0.5442458379268647,0.1547159093618393,-0.013153214007616043,0.03446591,0.1276602753996849,600,0.2,0.2462097406387329
,,,36300,,,,-0.2246289,121,2.15,0.79,55339,0,,,,,,,,,,
0.96,-0.050024133319966496,36600,36600,0,16899,1.24,,,,,,,0.001,-0.029229294322431088,-0.595232253074646,0.1785795459151268,-0.011418111622333527,0.03401024,0.16726731956005098,605,0.2,0.052714645862579346
,,,36600,,,,-0.17579764999999997,122,1.99,0.86,55774,0,,,,,,,,,,
0.98,-0.031042744549922646,36900,36900,0,17035,1.32,,,,,,,0.001,-0.024910429008305073,-0.5113432240486145,0.13431818246841432,0.04123330116271973,0.0367895,0.13779141694307329,610,0.2,0.29001837968826294
,,,36900,,,,-0.23605608000000003,123,2.11,0.8,56208,0,,,,,,,,,,
0.94,-0.07256239204667508,37200,37200,0,17182,1.28,,,,,,,0.001,-0.027910231751739047,-0.547647420167923,0.1278977271914482,-0.018644046038389206,0.028799832,0.14867770045995712,615,0.2,0.31842154264450073
,,,37200,,,,-0.16213065999999998,124,1.95,0.87,56642,0,,,,,,,,,,
0.94,-0.03341062325052917,37500,37500,0,17327,1.52,,,,,,,0.001,-0.03162745077162981,-0.5600297224521636,0.15664772778749467,0.014028206467628479,0.034054168,0.17169400304555893,620,0.2,0.15383940935134888
,,,37500,,,,-0.19219007000000002,125,2.0,0.83,57082,0,,,,,,,,,,
0.98,-0.03022782121784985,37800,37800,0,17473,1.3,,,,,,,0.001,-0.04204125467687845,-0.6577584385871887,0.1825568187236786,-0.015436723828315735,0.057866424,0.17250873237848283,625,0.2,0.17808836698532104
,,,37800,,,,-0.20152870999999997,126,2.05,0.84,57506,0,,,,,,,,,,
0.88,-0.11722398425452411,38100,38100,0,17625,1.6,,,,,,,0.001,-0.02973136610351503,-0.5297336399555206,0.17295454561710358,0.00691831111907959,0.061713587,0.1732468068599701,630,0.2,0.15646588802337646
,,,38100,,,,-0.20584392999999998,127,2.12,0.81,57958,0,,,,,,,,,,
0.96,-0.05634521536994726,38400,38400,0,17772,1.4,,,,,,,0.001,-0.01837517147883773,-0.5459722554683686,0.1414204552769661,0.0220826156437397,0.03606798,0.15715541630983354,635,0.2,0.12944138050079346
,,,38400,,,,-0.27086122,128,2.17,0.79,58397,0,,,,,,,,,,
0.94,-0.0791173024661839,38700,38700,0,17900,1.42,,,,,,,0.001,-0.033665627874433994,-0.5822963190078735,0.15426136404275895,-0.011438943445682526,0.03037029,0.16122292459011078,640,0.2,0.26547688245773315
,,,38700,,,,-0.23998434999999996,129,2.22,0.81,58811,0,,,,,,,,,,
0.98,-0.010495294188149273,39000,39000,0,18042,1.3,,,,,,,0.001,-0.031743668168783185,-0.5065834474563599,0.18755681872367858,0.03791302070021629,0.053157847,0.17255738705396653,645,0.2,0.15055811405181885
,,,39000,,,,-0.2644943,130,2.17,0.76,59260,0,,,,,,,,,,
0.96,-0.0511772303422913,39300,39300,0,18187,1.34,,,,,,,0.001,-0.0273488175496459,-0.44338531970977785,0.16096590965986252,0.05833243578672409,0.039731175,0.1708574825525284,650,0.2,0.1972094178199768
,,,39300,,,,-0.1961575,131,2.11,0.81,59699,0,,,,,,,,,,
0.96,-0.029642201638780535,39600,39600,0,18331,1.24,,,,,,,0.001,-0.02773542957380414,-0.4142428398132324,0.1479545459151268,0.0737084299325943,0.051488526,0.16965093851089477,655,0.2,0.0874098539352417
,,,39600,,,,-0.2422698,132,2.08,0.8,60126,0,,,,,,,,,,
0.96,-0.03325919455848634,39900,39900,0,18473,1.34,,,,,,,0.001,-0.015469948686659336,-0.40016557097434996,0.14693181842565536,0.025073055177927017,0.034942903,0.19530162066221238,660,0.2,0.11083567142486572
,,,39900,,,,-0.27089223,133,2.24,0.77,60544,0,,,,,,,,,,
0.9,-0.08282895147334784,40200,40200,0,18633,1.72,,,,,,,0.001,0.0032770581915974616,-0.41753140211105344,0.2205113637447357,0.050017666071653366,0.09271643,0.16499996423721314,665,0.2,0.3077065944671631
,,,40200,,,,-0.10342537999999997,134,1.74,0.88,60977,0,,,,,,,,,,
0.94,-0.07808509313035757,40500,40500,0,18781,1.42,,,,,,,0.001,-0.02251009877771139,-0.36443583488464354,0.14125000059604645,0.05342544615268707,0.041851424,0.16974082887172698,670,0.2,0.02522587776184082
,,,40500,,,,-0.14746768999999996,135,1.88,0.85,61389,0,,,,,,,,,,
0.92,-0.08399880115874112,40800,40800,0,18915,1.5,,,,,,,0.001,-0.038091770494356754,-0.44792495369911195,0.15602272778749465,-0.00013181567192077637,0.04233222,0.17079852521419525,675,0.2,0.16331768035888672
,,,40800,,,,-0.25165639999999995,136,2.1,0.8,61827,0,,,,,,,,,,
0.96,-0.057438154490664604,41100,41100,0,19053,1.4,,,,,,,0.001,-0.03255078588612378,-0.47512388706207276,0.16227272808551788,-0.008034877479076385,0.04959298,0.2043185207247734,680,0.2,0.17154031991958618
,,,41100,,,,-0.18404562,137,2.14,0.84,62258,0,,,,,,,,,,
0.96,-0.052566880490630866,41400,41400,0,19201,1.4,,,,,,,0.001,-0.024488332010805608,-0.4334594166278839,0.16994318306446077,0.024826642125844955,0.05425278,0.1877352237701416,685,0.2,0.05328488349914551
,,,41400,,,,-0.21009273,138,1.88,0.83,62706,0,,,,,,,,,,
0.96,-0.05318561723921448,41700,41700,0,19326,1.44,,,,,,,0.001,-0.016199554782360792,-0.4095801365375519,0.13767045527696609,0.047150369733572006,0.024702996,0.17791223257780076,690,0.2,0.23429179191589355
,,,41700,,,,-0.30379241,139,2.47,0.75,63131,0,,,,,,,,,,
0.94,-0.05235556737985462,42000,42000,0,19468,1.34,,,,,,,0.001,-0.03897985123097897,-0.5336606895923615,0.19630681812763215,-0.016017116606235504,0.040805798,0.1769493156671524,695,0.2,0.23355937004089355
,,,42000,,,,-0.29195448,140,2.21,0.76,63547,0,,,,,,,,,,
1.0,-0.008203353420831262,42300,42300,0,19615,1.12,,,,,,,0.001,-0.027146789114922285,-0.49752277851104737,0.15244318246841432,0.02406426891684532,0.04163964,0.17989259958267212,700,0.2,0.2749890089035034
,,,42300,,,,-0.22049439000000004,141,1.96,0.83,63963,0,,,,,,,,,,
0.98,-0.027967791007831692,42600,42600,0,19769,1.14,,,,,,,0.001,-0.028833370450884105,-0.4801450407505035,0.1360795456171036,-0.012349780648946762,0.05044157,0.16774098753929137,705,0.2,0.3182147741317749
,,,42600,,,,-0.1947829,142,1.92,0.83,64421,0,,,,,,,,,,
0.9,-0.0964638587133959,42900,42900,0,19924,1.56,,,,,,,0.001,-0.028829286927357315,-0.48986871242523194,0.17323863685131072,0.05309942364692688,0.05255736,0.16072239249944686,710,0.2,0.3014429211616516
,,,42900,,,,-0.17039043999999998,143,1.95,0.86,65067,0,,,,,,,,,,
0.9,-0.0747880513779819,43200,43200,0,20063,1.56,,,,,,,0.001,-0.029000172819942237,-0.39117364287376405,0.12676136434078217,0.024406202137470245,0.06127996,0.19522400557994843,715,0.2,0.06027323007583618
,,,43200,,,,-0.22940286999999998,144,2.14,0.81,65529,0,,,,,,,,,,
0.96,-0.033594911834225055,43500,43500,0,20200,1.4,,,,,,,0.001,-0.029983745301142336,-0.4142863178253174,0.1734090918302536,0.043461352586746216,0.049141333,0.1966167575120926,720,0.2,0.26655083894729614
,,,43500,,,,-0.273288,145,2.23,0.77,65940,0,,,,,,,,,,
0.92,-0.09502852838020771,43800,43800,0,20348,1.42,,,,,,,0.001,-0.02513445306569338,-0.38219491481781004,0.15602272808551787,0.03198714554309845,0.05511155,0.21238551378250123,725,0.2,0.15135574340820312
,,,43800,,,,-0.21543047,146,2.02,0.82,66374,0,,,,,,,,,,
1.0,-0.008034768654033542,44100,44100,0,20505,1.14,,,,,,,0.001,-0.030925932310055942,-0.4822614109516144,0.16778409123420715,0.007785316556692123,0.054383527,0.16490603029727935,730,0.2,0.29988354444503784
,,,44100,,,,-0.21405503,147,2.03,0.86,66778,0,,,,,,,,,,
0.94,-0.07672968002501875,44400,44400,0,20656,1.4,,,,,,,0.001,-0.03362897196318954,-0.4048027002811432,0.13386363714933394,-0.007206536829471588,0.040959675,0.16644858807325363,735,0.2,0.1906219720840454
,,,44400,,,,-0.20989527,148,2.13,0.79,67262,0,,,,,,,,,,
0.98,-0.03292356909718364,44700,44700,0,20791,1.3,,,,,,,0.001,-0.029320371299982072,-0.45408685207366944,0.13522727340459822,0.00034334510564804077,0.04341473,0.1650870031118393,740,0.2,0.12787067890167236
,,,44700,,,,-0.2049237,149,2.13,0.8,67686,0,,,,,,,,,,
0.96,-0.03352251092903316,45000,45000,0,20935,1.38,,,,,,,0.001,-0.022791995545849205,-0.46742918848991394,0.19193181812763213,0.029350705444812775,0.056680035,0.19940439224243164,745,0.2,0.016288816928863525
,,,45000,,,,-0.22704335999999997,150,2.13,0.79,68139,0,,,,,,,,,,
0.94,-0.05305809963028878,45300,45300,0,21073,1.36,,,,,,,0.001,-0.0221598756313324,-0.42635209202766416,0.1315909093618393,-0.010298177599906921,0.031158194,0.1505078074336052,750,0.2,0.27969974279403687
,,,45300,,,,-0.19703776999999995,151,2.12,0.81,68599,0,,,,,,,,,,
0.94,-0.07419766826555133,45600,45600,0,21224,1.38,,,,,,,0.001,-0.026124740280210973,-0.4077902626991272,0.172102273106575,0.06626377999782562,0.04960184,0.1859901314973831,755,0.2,0.08577954769134521
,,,45600,,,,-0.19942130000000002,152,2.1,0.82,69044,0,,,,,,,,,,
0.92,-0.07844693496357649,45900,45900,0,21377,1.5,,,,,,,0.001,-0.021543254666030406,-0.37741502523422243,0.12392045497894287,0.024972327053546906,0.030294593,0.16371996223926544,760,0.2,0.18908214569091797
,,,45900,,,,-0.21760238999999998,153,1.92,0.84,69505,0,,,,,,,,,,
0.92,-0.09609668336808681,46200,46200,0,21535,1.52,,,,,,,0.001,-0.02910905810073018,-0.3677978038787842,0.13812500059604646,0.02243328094482422,0.049024224,0.1735411414504051,765,0.2,0.3054678440093994
,,,46200,,,,-0.19448516999999999,154,1.88,0.82,69968,0,,,,,,,,,,
0.96,-0.049450315781868995,46500,46500,0,21675,1.24,,,,,,,0.001,-0.024269457273185253,-0.3746004784107208,0.12948863685131073,0.01506231352686882,0.042984646,0.16764671325683594,770,0.2,0.13959461450576782
,,,46500,,,,-0.18804975999999995,155,2.17,0.82,70392,0,,,,,,,,,,
0.98,-0.011393922329880297,46800,46800,0,21839,1.26,,,,,,,0.001,-0.024086833009496333,-0.3978156292438507,0.11090909093618392,0.022430256009101868,0.0387575,0.1777040633559227,775,0.2,0.13152551651000977
,,,46800,,,,-0.12611034999999998,156,1.83,0.9,71073,0,,,,,,,,,,
0.98,-0.03157882436644286,47100,47100,0,21991,1.3,,,,,,,0.001,-0.019329779455438255,-0.31681233644485474,0.11636363685131074,0.004496071487665176,0.022130737,0.130008085668087,780,0.2,0.17295289039611816
,,,47100,,,,-0.24460898000000003,157,2.06,0.8,71525,0,,,,,,,,,,
0.94,-0.07347724131774157,47400,47400,0,22128,1.4,,,,,,,0.001,-0.023630234003067015,-0.330594527721405,0.11846590965986252,0.056518569588661194,0.039673936,0.18145449429750443,785,0.2,0.1270107626914978
,,,47400,,,,-0.20473321999999997,158,2.04,0.83,71977,0,,,,,,,,,,
0.98,-0.031042859381996094,47700,47700,0,22259,1.16,,,,,,,0.001,-0.025648838616907598,-0.38023694276809694,0.1330113634467125,0.010888278484344482,0.039937098,0.16818201601505278,790,0.2,0.206898033618927
,,,47700,,,,-0.25011987999999996,159,2.19,0.78,72402,0,,,,,,,,,,
1.0,-0.010934579125605524,48000,48000,0,22411,1.24,,,,,,,0.001,-0.02258418284356594,-0.41198370933532713,0.13750000029802323,0.019844450056552887,0.032775983,0.1926004582643509,795,0.2,0.17033547163009644
,,,48000,,,,-0.22824572999999998,160,2.15,0.81,72835,0,,,,,,,,,,
0.94,-0.05506961583159864,48300,48300,0,22555,1.4,,,,,,,0.001,-0.023923866674304007,-0.4768151044845581,0.1569318187236786,-0.007145930081605911,0.035820715,0.15454299211502076,800,0.2,0.23661094903945923
,,,48300,,,,-0.25756265,161,2.15,0.79,73283,0,,,,,,,,,,
0.98,-0.008679401371628046,48600,48600,0,22698,1.2,,,,,,,0.001,-0.02461370015051216,-0.45687575578689577,0.18000000089406967,-0.00026919320225715637,0.047360342,0.17154292970895768,805,0.2,0.3140128254890442
,,,48600,,,,-0.20139920999999997,162,2.0,0.81,73711,0,,,,,,,,,,
0.96,-0.03132896503899246,48900,48900,0,22836,1.3,,,,,,,0.001,-0.025262472070753574,-0.38425661325454713,0.1376136362552643,0.03920292854309082,0.05992805,0.20006664335727692,810,0.2,0.07679915428161621
,,,48900,,,,-0.27937138,163,2.19,0.76,74174,0,,,,,,,,,,
0.9,-0.10394400022923947,49200,49200,0,22968,1.54,,,,,,,0.001,-0.025862171817570924,-0.36220924496650697,0.12329545497894287,0.02171805500984192,0.04172607,0.16850184857845307,815,0.2,0.2902922034263611
,,,49200,,,,-0.30208562000000005,164,2.38,0.78,74650,0,,,,,,,,,,
0.98,-0.011586585915647447,49500,49500,0,23116,1.36,,,,,,,0.001,-0.023369718715548514,-0.3619611179828644,0.12750000029802322,0.04851242154836655,0.035252213,0.18770968973636626,820,0.2,0.22579318284988403
,,,49500,,,,-0.25155578,165,2.2,0.79,75110,0,,,,,,,,,,
0.96,-0.05312987379729748,49800,49800,0,23267,1.42,,,,,,,0.001,-0.024252676609903573,-0.3553577673435211,0.1445454540848732,0.025126483291387558,0.043961585,0.1719600021839142,825,0.2,0.22173786163330078
,,,49800,,,,-0.19012662000000002,166,2.01,0.84,75543,0,,,,,,,,,,
0.98,-0.009216890935786069,50100,50100,0,23407,1.2,,,,,,,0.001,-0.017505434267222883,-0.3532344698905945,0.14596590906381607,0.04734436422586441,0.03942153,0.17655539393424988,830,0.2,0.23710685968399048
,,,50100,,,,-0.20663598000000005,167,2.15,0.8,76016,0,,,,,,,,,,
0.96,-0.05063965618610382,50400,50400,0,23551,1.32,,,,,,,0.001,-0.028942957781255246,-0.3751326835155487,0.15727272689342497,-0.007851466536521912,0.10586421,0.18028833359479904,835,0.2,0.2018747329711914
,,,50400,,,,-0.27652761000000003,168,2.09,0.8,76454,0,,,,,,,,,,
0.98,-0.030440318617038428,50700,50700,0,23704,1.3,,,,,,,0.001,-0.022138224449008703,-0.3334894120693207,0.12210227340459824,0.04052542895078659,0.050733548,0.16772220969200136,840,0.2,0.28414344787597656
,,,50700,,,,-0.20355275000000003,169,1.99,0.85,76886,0,,,,,,,,,,
0.98,-0.028283973033539953,51000,51000,0,23855,1.18,,,,,,,0.001,-0.023011208735406397,-0.2995573472976685,0.10982954621315003,0.013160504400730133,0.049627315,0.17633640497922898,845,0.2,0.0875135064125061
,,,51000,,,,-0.15591289000000003,170,1.9,0.88,77321,0,,,,,,,,,,
0.88,-0.11946224000304938,51300,51300,0,24019,1.7,,,,,,,0.001,-0.01610849566757679,-0.2895931100845337,0.07704545497894287,0.09440377354621887,0.0209812,0.19108488351106645,850,0.2,0.09203547239303589
,,,51300,,,,-0.18325720999999995,171,1.91,0.86,77786,0,,,,,,,,,,
0.96,-0.04960774444043636,51600,51600,0,24160,1.18,,,,,,,0.001,-0.026127620078623296,-0.2824435245990753,0.11119318246841431,-0.009960338473320007,0.066549435,0.15907144755125047,855,0.2,0.2347741723060608
,,,51600,,,,-0.26531744999999995,172,1.96,0.8,78327,0,,,,,,,,,,
0.9,-0.07348331639077514,51900,51900,0,24316,1.54,,,,,,,0.001,-0.013878251817077398,-0.23964935600757598,0.09250000029802323,0.04042181372642517,0.061543,0.16124915719032287,860,0.2,0.26208817958831787
,,,51900,,,,-0.16021469999999996,173,1.77,0.86,78838,0,,,,,,,,,,
0.96,-0.05126859358046204,52200,52200,0,24474,1.26,,,,,,,0.001,-0.015491671655327081,-0.20578621447086334,0.10971590965986251,0.004907496273517609,0.043738358,0.16580205142498017,865,0.2,0.12911665439605713
,,,52200,,,,-0.18274842,174,2.03,0.84,79277,0,,,,,,,,,,
0.9,-0.09587558954022825,52500,52500,0,24628,1.54,,,,,,,0.001,-0.019097604509443044,-0.2292536664009094,0.12125000029802323,0.02416199818253517,0.056844253,0.16264847934246063,870,0.2,0.1342678666114807
,,,52500,,,,-0.16619558,175,2.0,0.84,79732,0,,,,,,,,,,
0.92,-0.07199543501716107,52800,52800,0,24783,1.44,,,,,,,0.001,-0.018175104663459934,-0.28774460911750793,0.13051136404275895,0.03737475723028183,0.03829127,0.16424844026565552,875,0.2,0.12222641706466675
,,,52800,,,,-0.14237208,176,1.91,0.86,80172,0,,,,,,,,,,
0.94,-0.0749896251084283,53100,53100,0,24944,1.62,,,,,,,0.001,-0.013924544642213732,-0.2583102995157242,0.10647727340459824,0.060888953506946564,0.04984337,0.1674409404397011,880,0.2,0.18664228916168213
,,,53100,,,,-0.15801658999999998,177,1.79,0.87,80719,0,,,,,,,,,,
