eval/success_rate,eval/mean_reward,env/n_steps,time/total_timesteps,env/completion_counter,env/current_idx,eval/mean_ep_length,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,time/fps,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/loss,train/approx_kl,train/value_loss,train/n_updates,train/clip_range,train/explained_variance
0.94,-0.0741101688425988,6300,6300,0,2511,1.5,,,,,,,0.001,-0.04034669794142246,-1.1108321142196655,0.22602272748947144,-0.01397426426410675,0.02555344,0.19044335961341857,100,0.2,-0.0012922286987304688
,,,6300,,,,-0.22627549000000002,21,2.11,0.81,9910,0,,,,,,,,,,
0.94,-0.07291072610765696,6600,6600,0,2645,1.4,,,,,,,0.001,-0.03130314491689205,-0.9137960886955261,0.15545454621315002,-0.0074329376220703125,0.022320688,0.15582544714212418,105,0.2,0.16016948223114014
,,,6600,,,,-0.22829808,22,2.17,0.81,10386,0,,,,,,,,,,
0.98,-0.030556084383279086,6900,6900,0,2794,1.24,,,,,,,0.001,-0.03157203715294599,-0.9243815231323242,0.1999431809782982,-0.012872397899627686,0.020958405,0.19383364647626877,110,0.2,0.013638198375701904
,,,6900,,,,-0.18958179,23,1.89,0.84,10864,0,,,,,,,,,,
0.92,-0.07319182669278235,7200,7200,0,2928,1.36,,,,,,,0.001,-0.03686788335442543,-0.8582586479187012,0.21948863595724105,-0.012587398290634155,0.031761784,0.1851802435517311,115,0.2,-0.0020322799682617188
,,,7200,,,,-0.21813997000000002,24,2.16,0.82,11357,0,,,,,,,,,,
0.92,-0.09121496789623051,7500,7500,0,3071,1.42,,,,,,,0.001,-0.016717841429635883,-0.861563572883606,0.20715909093618393,0.03630188852548599,0.01708513,0.1806126457452774,120,0.2,0.03204548358917236
,,,7500,,,,-0.22268801000000008,25,2.01,0.8,11863,0,,,,,,,,,,
0.98,-0.008480135160498321,7800,7800,0,3219,1.16,,,,,,,0.001,-0.03368428647983819,-0.8987524271011352,0.17943181872367858,-0.013135161250829697,0.021928823,0.1461977556347847,125,0.2,0.2276497483253479
,,,7800,,,,-0.23995577,26,2.05,0.8,12345,0,,,,,,,,,,
0.96,-0.05192841596435756,8100,8100,0,3348,1.36,,,,,,,0.001,-0.026090011037886142,-0.7764038205146789,0.18767045587301254,0.05832558125257492,0.03361234,0.16608599752187728,130,0.2,0.2089245319366455
,,,8100,,,,-0.26916565,27,2.37,0.77,12801,0,,,,,,,,,,
0.98,-0.03204182622022927,8400,8400,0,3503,1.44,,,,,,,0.001,-0.032081115934997795,-0.9394991326332093,0.1844886365532875,-0.002567823976278305,0.026686663,0.21528447538614273,135,0.2,0.04587447643280029
,,,8400,,,,-0.17574694999999999,28,1.84,0.85,13287,0,,,,,,,,,,
0.98,-0.030725306225940587,8700,8700,0,3635,1.32,,,,,,,0.001,-0.03633566584438085,-0.711546185016632,0.1796022728085518,-0.027058549225330353,0.035005156,0.16358994513750078,140,0.2,0.2063896656036377
,,,8700,,,,-0.30113357,29,2.31,0.75,13760,0,,,,,,,,,,
1.0,-0.00933407158125192,9000,9000,0,3788,1.18,,,,,,,0.001,-0.03135905660688877,-0.8403593015670776,0.16352272778749466,-0.015931546688079834,0.025314275,0.16074930101633073,145,0.2,0.07287347316741943
,,,9000,,,,-0.19042049,30,1.95,0.83,14225,0,,,,,,,,,,
0.84,-0.17765158580616117,9300,9300,0,3930,1.74,,,,,,,0.001,-0.035045556854456664,-0.8513876676559449,0.150852273106575,-0.03175133466720581,0.030968767,0.1762198895215988,150,0.2,0.0597691535949707
,,,9300,,,,-0.18298919000000002,31,1.92,0.85,14718,0,,,,,,,,,,
0.96,-0.055745788104832175,9600,9600,0,4092,1.4,,,,,,,0.001,-0.026906928042881192,-0.8573607778549195,0.1475568190217018,0.002660997211933136,0.03636036,0.14269166320562363,155,0.2,0.26526057720184326
,,,9600,,,,-0.15110483,32,1.89,0.89,15202,0,,,,,,,,,,
0.94,-0.05175539684481919,9900,9900,0,4255,1.28,,,,,,,0.001,-0.027229675399139522,-0.8310896754264832,0.17125000029802323,-0.05109462887048721,0.030780252,0.12397694006562233,160,0.2,0.13396495580673218
,,,9900,,,,-0.22148888,33,1.9,0.84,15666,0,,,,,,,,,,
0.96,-0.031410035039298234,10200,10200,0,4415,1.38,,,,,,,0.001,-0.029995948262512683,-0.7541972994804382,0.1715909093618393,0.007698465138673782,0.036497265,0.16075561374425887,165,0.2,0.1738032102584839
