env/n_steps,env/current_idx,time/iterations,time/total_timesteps,rollout/success_rate,env/completion_counter,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_fraction,train/clip_range,train/n_updates,train/entropy_loss,train/loss,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/explained_variance
100,64,1,100,0.9682539682539683,0,147,0,-0.16395392063492065,1.5873015873015872,,,,,,,,,,
200,139,2,200,1.0,0,283,0,-0.07429654000000001,1.32,0.12699999883770943,0.2,10,-1.9378969192504882,-0.02714647725224495,0.19724905900657178,-0.03484370104223489,0.023610849,0.001,0.23272639513015747
300,207,3,300,0.98,0,417,0,-0.13038641,1.42,0.11599999666213989,0.2,20,-1.9103177785873413,-0.03815189003944397,0.064525025524199,-0.02857632958889007,0.013059945,0.001,-0.36803150177001953
400,278,4,400,0.99,0,547,0,-0.10245926000000002,1.38,0.10899999514222145,0.2,30,-1.9104246139526366,-0.01665269210934639,0.15739613249897957,-0.024837358547840437,0.02032504,0.001,0.25521689653396606
500,347,5,500,0.99,0,675,0,-0.11920080000000001,1.38,0.17299999557435514,0.2,40,-1.885788118839264,-0.021216556429862976,0.2228906124830246,-0.04057266728766269,0.026201103,0.001,-1.0633511543273926
600,416,6,600,0.98,0,810,0,-0.14386380000000001,1.54,0.10699999555945397,0.2,50,-1.8082783460617065,-0.0010501742362976074,0.24077213704586028,-0.02036260738410056,0.014160071,0.001,-0.397821307182312
700,487,7,700,0.99,0,934,0,-0.10729983000000004,1.41,0.26299999207258223,0.2,60,-1.7501271963119507,-0.021008117124438286,0.09921148419380188,-0.03225425957515835,0.04448843,0.001,0.4512261152267456
800,556,8,800,1.0,0,1068,0,-0.07403815000000001,1.33,0.1549999937415123,0.2,70,-1.6447844505310059,0.035095687955617905,0.21287962347269057,-0.017341866695322138,0.023283126,0.001,0.3019024133682251
900,636,9,900,0.99,0,1202,0,-0.08394550999999999,1.29,0.4129999838769436,0.2,80,-1.590182888507843,-0.027969997376203537,0.0981427051126957,-0.04051726678386345,0.04133497,0.001,-1.243215560913086
