time/total_timesteps,env/n_steps,time/time_elapsed,time/fps,env/current_idx,env/completion_counter,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/success_rate,time/iterations,train/entropy_loss,train/value_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/loss,train/clip_range,train/approx_kl,train/clip_fraction,eval/mean_ep_length,eval/mean_reward,eval/success_rate
2100,2100,3058,0,1454,0,-0.08301025,1.29,0.98,21,-1.2182784795761108,0.2702745944261551,0.001,200,-0.016692436675541166,0.2140282392501831,0.0888008177280426,0.2,0.028869238,0.20299999564886093,,,
2200,2200,3197,0,1534,0,-0.07395800999999999,1.22,0.99,22,-1.0898268103599549,0.11449437066912652,0.001,210,-0.010843426270643164,0.1640852689743042,0.011257337406277657,0.2,0.008076166,0.04299999922513962,,,
2300,2300,3332,0,1620,0,-0.04220969,1.14,1.0,23,-1.0721242547035217,0.21230603456497193,0.001,220,-0.017785782249178705,0.1628124713897705,0.035002391785383224,0.2,0.013712782,0.06099999770522117,,,
2400,2400,3469,0,1691,0,-0.10451128000000001,1.39,0.98,24,-0.8380935490131378,0.021245984453707935,0.001,230,-0.02348464567773041,-3.02260684967041,-0.029199590906500816,0.2,0.040680427,0.2029999941587448,,,
2500,2500,3619,0,1776,0,-0.06402233,1.24,0.99,25,-0.7707456588745117,0.291679310798645,0.001,240,-0.011971884272526934,0.03317457437515259,0.09637624025344849,0.2,0.01436,0.07599999681115151,,,
2600,2600,3767,0,1842,0,-0.12917494000000002,1.45,0.97,26,-0.743860125541687,0.05401557572185993,0.001,250,-0.021925667661009385,-0.031130075454711914,-0.016789177432656288,0.2,0.02765777,0.11199999731034041,,,
2700,2700,3905,0,1923,0,-0.060529999999999994,1.23,1.0,27,-0.7492316246032715,0.5316346108913421,0.001,260,-0.00482835237320991,0.15419864654541016,0.20065149664878845,0.2,0.010375731,0.036999999172985555,,,
2800,2800,4058,0,1997,0,-0.12092739,1.39,0.98,28,-0.9335197329521179,0.24702049866318704,0.001,270,-0.004106114384252635,0.2811707854270935,0.01888648234307766,0.2,0.0053930837,0.05799999926239252,,,
2900,2900,4195,0,2072,0,-0.07288309,1.25,0.99,29,-0.9172382295131684,0.3495362430810928,0.001,280,-0.0034488555686550625,0.43563616275787354,0.09503292292356491,0.2,0.009665712,0.06799999773502349,,,
3000,3000,,,2158,0,,,,,-0.8856545209884643,0.19329099208116532,0.001,290,-0.010020904824137667,0.3200609087944031,0.04604070633649826,0.2,0.0049634255,0.0139999995008111,1.11,-0.03401591849513352,1.0
3000,,4494,0,,,-0.04700612,1.18,1.0,30,,,,,,,,,,,,,
3100,3100,4633,0,2235,0,-0.0725642,1.24,0.99,31,-0.883491450548172,0.046112021431326866,0.001,300,-0.019617651505395628,-0.9487162828445435,-0.020723922178149223,0.2,0.015404133,0.09499999657273292,,,
3200,3200,4765,0,2316,0,-0.04376258,1.2,1.0,32,-0.8751535654067993,0.12596103847026824,0.001,310,-0.0128151282020335,0.45339488983154297,0.009409651160240173,0.2,0.009409505,0.03399999924004078,,,
