eval/mean_reward,env/n_steps,env/current_idx,eval/success_rate,time/total_timesteps,eval/mean_ep_length,env/completion_counter,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,rollout/success_rate,time/iterations,train/explained_variance,train/learning_rate,train/value_loss,train/clip_fraction,train/entropy_loss,train/loss,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/clip_range
,,,,390,,,1469,1.86,0,-0.3668752799999999,0.63,13,,,,,,,,,,
-0.06718441100791096,420,215,0.94,420,1.14,0,,,,,,,0.5023350715637207,0.001,0.09086704514920711,0.15666666850447655,-0.5296246141195298,-0.020906327292323112,130,-0.029860094909866675,0.09110208,0.2
,,,,420,,,1576,1.87,0,-0.38423644,0.6,14,,,,,,,,,,
-0.09190474851056933,450,228,0.92,450,1.22,0,,,,,,,-0.10221946239471436,0.001,0.15188109166920186,0.0,-0.39724013209342957,0.02320113033056259,140,-0.0008444102524178376,0.0003326714,0.2
,,,,450,,,1681,1.96,0,-0.44042178,0.56,15,,,,,,,,,,
-0.09513348864857107,480,246,0.82,480,1.46,0,,,,,,,0.20279455184936523,0.001,0.14316809102892875,0.01666666753590107,-0.4035713583230972,0.03556721284985542,150,-0.0018192171963043791,0.0024740736,0.2
,,,,480,,,1808,1.92,0,-0.43662005,0.57,16,,,,,,,,,,
-0.06814226955641062,510,264,0.94,510,1.14,0,,,,,,,0.16864556074142456,0.001,0.1685868300497532,0.03666666783392429,-0.37811926305294036,0.01251165010035038,160,-0.010218083491393592,0.009119656,0.2
,,,,510,,,1915,1.92,0,-0.4236853199999999,0.58,17,,,,,,,,,,
-0.04900632096920163,540,282,0.94,540,1.2,0,,,,,,,-0.014865756034851074,0.001,0.21942416504025458,0.03333333507180214,-0.3591769903898239,0.03746000677347183,170,-0.012131650248387249,0.008280405,0.2
,,,,540,,,2020,1.84,0,-0.39269086999999997,0.61,18,,,,,,,,,,
-0.01059800156392157,570,297,0.9,570,1.28,0,,,,,,,-0.12067174911499023,0.001,0.1775979667901993,0.05666666850447655,-0.2717789500951767,0.02493024617433548,180,-0.009419536826511265,0.013490693,0.2
,,,,570,,,2128,1.83,0,-0.3774006,0.62,19,,,,,,,,,,
