rollout/success_rate,time/iterations,env/n_steps,time/fps,time/time_elapsed,rollout/ep_rew_mean,env/current_idx,env/completion_counter,time/total_timesteps,rollout/ep_len_mean,train/value_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/loss,train/entropy_loss,train/clip_range,train/explained_variance
0.9615384615384616,1,100,0,128,-0.2509990384615385,53,0,100,1.9230769230769231,,,,,,,,,,
0.98,2,200,0,255,-0.1372401,122,0,200,1.52,0.3408474147319794,0.017993774,0.001,0.17000000029802323,-0.031365010043606166,10,0.07121840119361877,-1.9379320979118346,0.2,0.0020483732223510742
0.99,3,300,0,388,-0.16646542999999994,182,0,300,1.68,0.23098055869340897,0.011392471,0.001,0.034999999590218066,-0.023772831764071967,20,-0.006012264639139175,-1.9344924092292786,0.2,-0.3089066743850708
0.98,4,400,0,516,-0.15161316,248,0,400,1.63,0.08064371459186077,0.018430633,0.001,0.16399999298155307,-0.03479298820905381,30,-0.03579465299844742,-1.905452597141266,0.2,-0.21017348766326904
0.93,5,500,0,645,-0.24257424999999994,292,0,500,1.9,0.2521680802106857,0.008864262,0.001,0.026999999210238455,-0.01475550048146399,40,0.0239085890352726,-1.91737859249115,0.2,-0.09727191925048828
0.97,6,600,0,782,-0.14375124,368,0,600,1.48,0.5113500922918319,0.007689097,0.001,0.053999999351799485,-0.005402708280831803,50,0.16264963150024414,-1.9085558295249938,0.2,0.12391865253448486
0.99,7,700,0,908,-0.12152808,434,0,700,1.47,0.16932766661047935,0.01657607,0.001,0.09999999795109034,-0.017638831307995418,60,0.006535537540912628,-1.9184210419654846,0.2,0.460396945476532
0.98,8,800,0,1047,-0.14727276,488,0,800,1.59,0.08497229591012001,0.044000268,0.001,0.24999999403953552,-0.04306703193485735,70,-0.03275233879685402,-1.872792160511017,0.2,-0.16344690322875977
0.98,9,900,0,1173,-0.12096654000000001,568,0,900,1.48,0.317347925901413,0.01657006,0.001,0.06599999852478504,-0.02588649075385181,80,0.049976084381341934,-1.8340242147445678,0.2,0.11983484029769897
