time/total_timesteps,env/completion_counter,eval/success_rate,env/current_idx,eval/mean_ep_length,env/n_steps,eval/mean_reward,time/time_elapsed,rollout/success_rate,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/clip_range,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/loss,train/approx_kl,train/entropy_loss,train/value_loss
630,,,,,,,2545,0.66,0,2.96,21,-0.38294890000000004,,,,,,,,,,
660,0,0.9,218,1.56,660,-0.09551467866636813,,,,,,,0.2,0.0001,210,-0.0026721323932481058,-0.3141665458679199,0.0,0.12045180797576904,0.00035342574,-1.8827425241470337,0.3334905683994293
660,,,,,,,2673,0.66,0,2.98,22,-0.39962244999999996,,,,,,,,,,
690,0,0.96,228,1.3,690,-0.05042695492971688,,,,,,,0.2,0.0001,220,-0.006772204824180061,-0.148185133934021,0.0,0.16241829097270966,0.0010060469,-1.8756461501121522,0.403686460852623
690,,,,,,,2794,0.66,0,2.96,23,-0.40027623000000007,,,,,,,,,,
720,0,1.0,237,1.04,720,-0.006543992413207888,,,,,,,0.2,0.0001,230,-0.003887201243875693,0.323932409286499,0.0,0.054333604872226715,0.00070319773,-1.8647647500038147,0.16594839096069336
720,,,,,,,2892,0.67,0,2.98,24,-0.3933272399999999,,,,,,,,,,
750,0,0.94,248,1.48,750,-0.05390473644714802,,,,,,,0.2,0.0001,240,-0.004343145576228035,0.07693701982498169,0.0,0.09486108273267746,0.0007006904,-1.8467036485671997,0.2576102912425995
750,,,,,,,3017,0.67,0,2.91,25,-0.39190540000000007,,,,,,,,,,
780,0,0.98,257,1.34,780,-0.03171034073922783,,,,,,,0.2,0.0001,250,-0.006652243594483842,0.1312353014945984,0.0,0.0537470243871212,0.0009566148,-1.832590389251709,0.1715387523174286
780,,,,,,,3141,0.65,0,2.94,26,-0.40355264999999996,,,,,,,,,,
810,0,0.98,267,1.22,810,-0.02977151074912399,,,,,,,0.2,0.0001,260,-0.011238010159383194,0.31365203857421875,0.0,0.0514562651515007,0.0012447794,-1.8122729063034058,0.19058151096105574
810,,,,,,,3254,0.63,0,3.02,27,-0.44528141,,,,,,,,,,
840,0,0.98,276,1.24,840,-0.029571071146056057,,,,,,,0.2,0.0001,270,-0.004470510672545025,-0.3432340621948242,0.0,0.09121764451265335,0.0009271463,-1.7912457704544067,0.2947229385375977
840,,,,,,,3368,0.64,0,3.01,28,-0.4164777500000001,,,,,,,,,,
