eval/mean_ep_length,eval/success_rate,time/total_timesteps,env/completion_counter,env/current_idx,eval/mean_reward,env/n_steps,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,rollout/success_rate,rollout/ep_len_mean,train/approx_kl,train/clip_range,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/value_loss,train/loss
1.34,0.96,6300,0,2810,-0.05177700769621879,6300,,,,,,,0.004198879,0.2,0.001,100,-0.3689927846193314,-0.002235001511871815,0.28298842906951904,0.02496448904275894,0.18030548840761185,0.07627317309379578
,,6300,,,,,-0.18994145000000004,0,9258,21,0.83,1.96,,,,,,,,,,
1.28,0.96,6600,0,2969,-0.049309870838187636,6600,,,,,,,0.001815479,0.2,0.001,105,-0.31929704248905183,-0.0021048650931334125,0.23061424493789673,0.012606534361839294,0.1688975766301155,0.09257546812295914
,,6600,,,,,-0.18738471999999998,0,9718,22,0.83,1.95,,,,,,,,,,
1.32,0.94,6900,0,3118,-0.07636766843963415,6900,,,,,,,0.00039115682,0.2,0.001,110,-0.25843467116355895,-0.0009417691092039604,0.23481279611587524,0.001953125,0.1694720633327961,0.06095670536160469
,,6900,,,,,-0.26937239,0,10194,23,0.78,2.14,,,,,,,,,,
1.36,0.94,7200,0,3287,-0.07182252033613622,7200,,,,,,,9.8059885e-05,0.2,0.001,115,-0.22911764234304427,0.00034867403946918784,0.1831367015838623,0.0,0.19728021323680878,0.07181794941425323
,,7200,,,,,-0.10397798999999999,0,10680,24,0.92,1.57,,,,,,,,,,
1.44,0.92,7500,0,3439,-0.09340296050067991,7500,,,,,,,0.0007358224,0.2,0.001,120,-0.22911813408136367,-0.0014476493670372292,-0.024843931198120117,0.0030539773404598238,0.21166591197252274,0.06187247857451439
,,7500,,,,,-0.19951483999999997,0,11174,25,0.83,1.98,,,,,,,,,,
1.4,0.94,7800,0,3591,-0.05875206151977182,7800,,,,,,,0.0002388619,0.2,0.001,125,-0.26225985288619996,-1.9982968660769983e-05,0.31538039445877075,0.0,0.1646205499768257,0.06395068764686584
,,7800,,,,,-0.20625475000000004,0,11622,26,0.84,2.02,,,,,,,,,,
1.48,0.92,8100,0,3752,-0.07500874840654433,8100,,,,,,,0.0011890538,0.2,0.001,130,-0.2563223347067833,-0.0026147196987949426,-0.09012162685394287,0.005717329680919647,0.24116517901420592,0.07102875411510468
,,8100,,,,,-0.1911045,0,12076,27,0.83,1.96,,,,,,,,,,
1.18,0.96,8400,0,3909,-0.03039524768013507,8400,,,,,,,0.0006025871,0.2,0.001,135,-0.21819443255662918,-0.00131294468883425,0.184317946434021,0.0,0.1527261108160019,0.07373656332492828
,,8400,,,,,-0.20696147999999998,0,12540,28,0.85,1.92,,,,,,,,,,
1.3,0.96,8700,0,4064,-0.04994611367583275,8700,,,,,,,0.00041685466,0.2,0.001,140,-0.18048522472381592,-0.0009496391573520669,0.19300693273544312,0.001953125,0.1975465402007103,0.0848713219165802
,,8700,,,,,-0.22924123000000002,0,12979,29,0.82,2.06,,,,,,,,,,
1.24,0.96,9000,0,4226,-0.050830949675291774,9000,,,,,,,0.00013988775,0.2,0.001,145,-0.1542839750647545,0.0003970271901152955,0.26384907960891724,0.0,0.19301769733428956,0.059327609837055206
,,9000,,,,,-0.16471999,0,13436,30,0.85,1.96,,,,,,,,,,
1.22,0.98,9300,0,4395,-0.03316966937854886,9300,,,,,,,0.00037648948,0.2,0.001,150,-0.13864212334156037,9.924822119273813e-05,0.18470537662506104,0.0,0.16970568895339966,0.0806993916630745
,,9300,,,,,-0.10931074,0,13876,31,0.89,1.77,,,,,,,,,,
1.4,0.96,9600,0,4555,-0.05209198082797229,9600,,,,,,,0.0012036575,0.2,0.001,155,-0.1321379840373993,-0.00217440324817062,0.16922801733016968,0.0038352273404598236,0.16435232236981392,0.05022874474525452
,,9600,,,,,-0.15094943,0,14333,32,0.87,1.79,,,,,,,,,,
