eval/mean_ep_length,eval/success_rate,time/total_timesteps,env/completion_counter,env/current_idx,eval/mean_reward,env/n_steps,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,rollout/success_rate,rollout/ep_len_mean,train/approx_kl,train/clip_range,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/value_loss,train/loss
,,26100,,,,,-0.13572843,0,38639,87,0.88,1.76,,,,,,,,,,
1.74,0.84,26400,0,13108,-0.1820691160252318,26400,,,,,,,1.0193326e-06,0.2,0.001,435,-0.012139170803129673,-1.2216369875250876e-05,0.12195497751235962,0.0,0.2038356363773346,0.10795382410287857
,,26400,,,,,-0.21750098999999998,0,39119,88,0.82,1.92,,,,,,,,,,
1.12,0.98,26700,0,13259,-0.027317852810956538,26700,,,,,,,8.189818e-06,0.2,0.001,440,-0.012230756320059299,-1.709323418754849e-05,0.2148137092590332,0.0,0.19426360428333284,0.09270155429840088
,,26700,,,,,-0.23361576000000003,0,39544,89,0.82,1.97,,,,,,,,,,
1.2,0.96,27000,0,13399,-0.03042264070827514,27000,,,,,,,3.8013328e-05,0.2,0.001,445,-0.011553629860281944,-0.00034005361058824234,0.15713316202163696,0.0,0.2003881886601448,0.08437324315309525
,,27000,,,,,-0.28041215,0,39981,90,0.77,2.21,,,,,,,,,,
1.22,0.98,27300,0,13575,-0.029866716009564698,27300,,,,,,,0.0,0.2,0.001,450,-0.013221850246191024,5.1337039241872165e-08,0.24887007474899292,0.0,0.1841353565454483,0.09107744693756104
,,27300,,,,,-0.08569962,0,40402,91,0.94,1.57,,,,,,,,,,
1.52,0.92,27600,0,13722,-0.10036681375000626,27600,,,,,,,0.0,0.2,0.001,455,-0.014373919181525707,4.014423655718247e-08,0.3083706498146057,0.0,0.15431588590145112,0.04355578124523163
,,27600,,,,,-0.19594388,0,40843,92,0.84,1.92,,,,,,,,,,
1.36,0.94,27900,0,13892,-0.05128623124212026,27900,,,,,,,4.4400804e-07,0.2,0.001,460,-0.014839495532214642,-2.7401711455432576e-06,0.3274446129798889,0.0,0.1969557598233223,0.09185434132814407
,,27900,,,,,-0.15049341,0,41309,93,0.88,1.68,,,,,,,,,,
1.16,0.98,28200,0,14043,-0.029583673607558012,28200,,,,,,,0.0,0.2,0.001,465,-0.015086490474641324,7.696110948529622e-09,0.28634220361709595,0.0,0.17489011585712433,0.10343004018068314
,,28200,,,,,-0.25257909,0,41726,94,0.79,2.13,,,,,,,,,,
1.32,0.96,28500,0,14202,-0.055629469356499615,28500,,,,,,,0.0,0.2,0.001,470,-0.01517416602000594,-8.043238963750809e-10,0.23677200078964233,0.0,0.19515298455953597,0.12100495398044586
,,28500,,,,,-0.18024582000000003,0,42142,95,0.84,1.84,,,,,,,,,,
1.44,0.92,28800,0,14364,-0.09724692715331912,28800,,,,,,,0.0,0.2,0.001,475,-0.015213289856910705,1.1002306177232413e-08,0.20457768440246582,0.0,0.1865929424762726,0.07588085532188416
,,28800,,,,,-0.21036044,0,42572,96,0.84,1.93,,,,,,,,,,
1.38,0.94,29100,0,14518,-0.032884319084696474,29100,,,,,,,0.0,0.2,0.001,480,-0.015221449639648199,-1.331791317227271e-08,0.26328951120376587,0.0,0.17998487651348113,0.09445137530565262
,,29100,,,,,-0.18969344000000002,0,43024,97,0.84,1.93,,,,,,,,,,
1.12,0.98,29400,0,14663,-0.028409063331782818,29400,,,,,,,8.185161e-07,0.2,0.001,485,-0.015115694049745798,-6.043259053978289e-06,0.3050898313522339,0.0,0.16464348435401915,0.052595507353544235
,,29400,,,,,-0.21190071000000002,0,43432,98,0.84,2.17,,,,,,,,,,
1.4,0.92,29700,0,14818,-0.09394109669141472,29700,,,,,,,0.0,0.2,0.001,490,-0.01479906989261508,2.8447671773790263e-09,0.2780919671058655,0.0,0.18509479910135268,0.09050606936216354
,,29700,,,,,-0.18304442999999998,0,43854,99,0.86,1.93,,,,,,,,,,
1.3,0.96,30000,0,14976,-0.055380200049839914,30000,,,,,,,0.0,0.2,0.001,495,-0.014657498616725207,-1.9629739789195354e-08,0.30208462476730347,0.0,0.18789723366498948,0.06938499212265015
,,30000,,,,,-0.17492337999999996,0,44256,100,0.85,1.83,,,,,,,,,,
1.26,0.98,30300,0,15129,-0.03501024463679642,30300,,,,,,,0.0,0.2,0.001,500,-0.014606769196689129,2.059916202057366e-08,0.23595404624938965,0.0,0.1791531339287758,0.06102452054619789
,,30300,,,,,-0.17506297,0,44648,101,0.87,1.84,,,,,,,,,,
1.44,0.94,30600,0,15279,-0.07830749703105538,30600,,,,,,,8.6054206e-05,0.2,0.001,505,-0.015215038135647774,-0.0010086238765283362,0.21968179941177368,0.000390625,0.19070304185152054,0.1171860322356224
,,30600,,,,,-0.18644329000000007,0,45071,102,0.83,1.97,,,,,,,,,,
1.36,0.94,30900,0,15448,-0.0713475049380213,30900,,,,,,,1.6710044e-06,0.2,0.001,510,-0.018346345983445644,0.00011975737976470669,0.26443183422088623,0.0,0.19528166055679322,0.11117451637983322
,,30900,,,,,-0.19467734999999997,0,45492,103,0.84,1.8,,,,,,,,,,
1.44,0.92,31200,0,15599,-0.07349458558484911,31200,,,,,,,0.0,0.2,0.001,515,-0.01902886778116226,2.1970746466593026e-08,0.3467622399330139,0.0,0.1638329431414604,0.062472034245729446
,,31200,,,,,-0.16583456999999996,0,45900,104,0.86,1.81,,,,,,,,,,
1.18,0.98,31500,0,15741,-0.02995058285072446,31500,,,,,,,0.0,0.2,0.001,520,-0.019107663072645664,-1.6933140223329702e-09,0.2634148597717285,0.0,0.1786853402853012,0.06532831490039825
,,31500,,,,,-0.23978261,0,46308,105,0.78,2.3,,,,,,,,,,
1.48,0.94,31800,0,15892,-0.07645781789440662,31800,,,,,,,2.9177638e-05,0.2,0.001,525,-0.018572482839226724,-0.00025597116486508753,0.19892150163650513,0.0,0.18381736129522325,0.0822509378194809
,,31800,,,,,-0.20229506,0,46797,106,0.83,1.9,,,,,,,,,,
1.34,0.94,32100,0,16075,-0.051970303249545394,32100,,,,,,,1.3336074e-05,0.2,0.001,530,-0.017329090833663942,-7.873805708040749e-05,0.38015538454055786,0.0,0.1594305768609047,0.10564655065536499
,,32100,,,,,-0.13643988999999998,0,47211,107,0.88,1.62,,,,,,,,,,
1.34,0.94,32400,0,16234,-0.0710643614223227,32400,,,,,,,0.0,0.2,0.001,535,-0.018186642043292522,-2.1530484595189138e-08,0.2953665256500244,0.0,0.14543921425938605,0.08084354549646378
,,32400,,,,,-0.17706144999999995,0,47645,108,0.86,1.93,,,,,,,,,,
1.46,0.92,32700,0,16386,-0.09349953173659742,32700,,,,,,,0.0,0.2,0.001,540,-0.018764907121658327,-3.459016717499708e-08,0.2488459348678589,0.0,0.14828486889600753,0.0635838657617569
,,32700,,,,,-0.19457389,0,48049,109,0.84,1.89,,,,,,,,,,
1.18,0.98,33000,0,16529,-0.029595992611721158,33000,,,,,,,1.1508819e-05,0.2,0.001,545,-0.019302165135741234,-4.142683663399538e-05,0.23599791526794434,0.0,0.17909294962882996,0.08092724531888962
,,33000,,,,,-0.23487641,0,48457,110,0.8,2.13,,,,,,,,,,
1.34,0.94,33300,0,16685,-0.07111189123708755,33300,,,,,,,0.00059242226,0.2,0.001,550,-0.01970121879130602,-0.0007431995557536375,0.23899924755096436,0.0022727273404598235,0.1945685252547264,0.11048684269189835
,,33300,,,,,-0.24021419000000002,0,48856,111,0.8,2.01,,,,,,,,,,
1.42,0.94,33600,0,16847,-0.05310722077265382,33600,,,,,,,2.5066664e-05,0.2,0.001,555,-0.017202780582010746,-0.0001447007568051717,0.3117522597312927,0.0,0.18668535351753235,0.11540946364402771
,,33600,,,,,-0.17781281000000004,0,49269,112,0.86,1.76,,,,,,,,,,
1.4,0.94,33900,0,16998,-0.0707972028432414,33900,,,,,,,1.8285355e-05,0.2,0.001,560,-0.015902026370167733,-0.0003099522905277041,0.23817682266235352,0.0,0.18808006197214128,0.09160194545984268
,,33900,,,,,-0.2591319,0,49686,113,0.77,2.11,,,,,,,,,,
1.42,0.92,34200,0,17140,-0.07235328609123826,34200,,,,,,,5.9604645e-08,0.2,0.001,565,-0.018113534711301327,-1.907062854300534e-07,0.24862253665924072,0.0,0.2177014410495758,0.09918342530727386
,,34200,,,,,-0.19952845,0,50107,114,0.85,2.09,,,,,,,,,,
1.44,0.92,34500,0,17298,-0.09414561924524606,34500,,,,,,,0.0,0.2,0.001,570,-0.01970326267182827,4.258684249691669e-09,0.13923603296279907,0.0,0.20150577276945114,0.1077512726187706
,,34500,,,,,-0.16761694000000002,0,50519,115,0.85,1.9,,,,,,,,,,
1.42,0.92,34800,0,17456,-0.09196051772218197,34800,,,,,,,0.00010946614,0.2,0.001,575,-0.019310010597109795,-0.00035798666861168725,0.16868120431900024,0.00078125,0.2153831332921982,0.08559472858905792
,,34800,,,,,-0.14137602999999999,0,50941,116,0.87,1.82,,,,,,,,,,
1.28,0.96,35100,0,17601,-0.0508197389729321,35100,,,,,,,0.0001626591,0.2,0.001,580,-0.01629923777654767,-0.0008925735527157031,0.14364475011825562,0.00078125,0.16349838227033614,0.10040036588907242
,,35100,,,,,-0.25879915,0,51334,117,0.8,2.15,,,,,,,,,,
1.3,0.96,35400,0,17751,-0.030950453486293553,35400,,,,,,,8.603092e-08,0.2,0.001,585,-0.013136335276067257,2.272813997592493e-05,0.2801186442375183,0.0,0.18077020049095155,0.06646081060171127
,,35400,,,,,-0.21350730999999995,0,51750,118,0.82,2.04,,,,,,,,,,
1.24,0.98,35700,0,17889,-0.029400384733453393,35700,,,,,,,0.0,0.2,0.001,590,-0.01258415738120675,4.783609952596634e-10,0.2556595206260681,0.0,0.172028049826622,0.1054345890879631
,,35700,,,,,-0.22306593000000002,0,52149,119,0.81,2.14,,,,,,,,,,
1.72,0.86,36000,0,18043,-0.15801383732818067,36000,,,,,,,0.0,0.2,0.001,595,-0.01246415190398693,-8.204105217402003e-09,0.16773384809494019,0.0,0.20154733210802078,0.08910006284713745
,,36000,,,,,-0.19863614,0,52580,120,0.83,2.01,,,,,,,,,,
1.38,0.92,36300,0,18178,-0.09211948202457279,36300,,,,,,,0.0,0.2,0.001,600,-0.012430304475128651,5.70646723208057e-09,0.249434232711792,0.0,0.19584179818630218,0.07324156165122986
,,36300,,,,,-0.26896811,0,53005,121,0.75,2.29,,,,,,,,,,
1.28,0.96,36600,0,18330,-0.05065149695146829,36600,,,,,,,1.8020626e-05,0.2,0.001,605,-0.012653410527855158,-5.7547564871285316e-05,0.11242204904556274,0.0,0.22960273325443267,0.12702234089374542
,,36600,,,,,-0.24871404000000003,0,53425,122,0.82,1.96,,,,,,,,,,
1.36,0.96,36900,0,18500,-0.05347280152142048,36900,,,,,,,5.0074887e-06,0.2,0.001,610,-0.013403345085680484,-2.2916529666439088e-05,0.32109689712524414,0.0,0.20780856311321258,0.09856808185577393
,,36900,,,,,-0.15231588000000001,0,53857,123,0.89,1.73,,,,,,,,,,
1.38,0.94,37200,0,18672,-0.07095067305490374,37200,,,,,,,1.7287675e-06,0.2,0.001,615,-0.013970637694001198,-3.746609449706284e-06,0.16852807998657227,0.0,0.18780710697174072,0.08184672892093658
,,37200,,,,,-0.15405554999999999,0,54281,124,0.89,1.63,,,,,,,,,,
1.24,0.98,37500,0,18831,-0.03119230829179287,37500,,,,,,,4.2445026e-07,0.2,0.001,620,-0.013752496708184481,-2.845321697053649e-06,0.3689613938331604,0.0,0.1699363186955452,0.07928898930549622
,,37500,,,,,-0.15572170999999999,0,54697,125,0.87,1.76,,,,,,,,,,
1.54,0.9,37800,0,18981,-0.09434296865481884,37800,,,,,,,0.0,0.2,0.001,625,-0.013796448521316052,-1.3872473081377734e-08,0.2707459330558777,0.0,0.18680499643087387,0.08589271456003189
,,37800,,,,,-0.2364073,0,55132,126,0.81,2.06,,,,,,,,,,
1.32,0.94,38100,0,19136,-0.07139273842331022,38100,,,,,,,1.3591372e-05,0.2,0.001,630,-0.013501752726733684,-9.40361610529905e-05,0.22861087322235107,0.0,0.19669829085469245,0.10032377392053604
,,38100,,,,,-0.18964130000000004,0,55559,127,0.85,1.85,,,,,,,,,,
1.3,0.94,38400,0,19277,-0.0750777702452615,38400,,,,,,,1.1704185e-06,0.2,0.001,635,-0.012675600964576006,-1.750852640194367e-05,0.3253811001777649,0.0,0.16858234852552414,0.06545555591583252
,,38400,,,,,-0.20928452000000003,0,55970,128,0.83,2.05,,,,,,,,,,
1.5,0.9,38700,0,19430,-0.11663180809468031,38700,,,,,,,0.0,0.2,0.001,640,-0.013384568598121404,-1.0219148460777206e-08,0.2618069648742676,0.0,0.1896693304181099,0.09271540492773056
,,38700,,,,,-0.17415655000000002,0,56399,129,0.85,1.94,,,,,,,,,,
1.54,0.9,39000,0,19571,-0.11442608856130392,39000,,,,,,,0.00023834524,0.2,0.001,645,-0.015806505177170038,-0.0010038410779748652,0.2368813157081604,0.0030539773404598238,0.16167426109313965,0.07777505367994308
,,39000,,,,,-0.23619484000000004,0,56830,130,0.78,2.15,,,,,,,,,,
1.54,0.92,39300,0,19724,-0.09688301040790975,39300,,,,,,,5.052425e-08,0.2,0.001,650,-0.01924027632921934,2.5839968387231238e-08,0.2373952865600586,0.0,0.19306594729423524,0.0773872435092926
,,39300,,,,,-0.22361724000000002,0,57258,131,0.81,2.01,,,,,,,,,,
1.42,0.94,39600,0,19897,-0.055873097851872444,39600,,,,,,,4.674995e-05,0.2,0.001,655,-0.021694487892091274,-0.00022758001630918123,0.24796134233474731,0.000390625,0.19655893594026566,0.10672557353973389
,,39600,,,,,-0.0685545,0,57685,132,0.93,1.65,,,,,,,,,,
1.5,0.9,39900,0,20061,-0.11834773483686149,39900,,,,,,,5.9604645e-08,0.2,0.001,660,-0.025110901333391666,2.034939807771252e-08,0.22764956951141357,0.0,0.15699530951678753,0.02759048342704773
,,39900,,,,,-0.19103423,0,58108,133,0.84,1.95,,,,,,,,,,
1.6,0.9,40200,0,20229,-0.0948742658412084,40200,,,,,,,3.1880336e-06,0.2,0.001,665,-0.02632259912788868,-4.993487038369437e-05,0.26479047536849976,0.0,0.21337057054042816,0.08123794198036194
,,40200,,,,,-0.14313732999999998,0,58541,134,0.89,1.75,,,,,,,,,,
1.4,0.94,40500,0,20379,-0.05532524432521314,40500,,,,,,,3.3493852e-06,0.2,0.001,670,-0.02560131698846817,4.5697187835891385e-05,0.23862624168395996,0.0,0.18591556400060655,0.10035797208547592
,,40500,,,,,-0.22514815,0,58977,135,0.82,2.04,,,,,,,,,,
1.46,0.94,40800,0,20545,-0.07334593735635281,40800,,,,,,,2.1109008e-05,0.2,0.001,675,-0.02788455206900835,-7.152179023242055e-05,0.26274925470352173,0.0,0.19155552238225937,0.10683339834213257
,,40800,,,,,-0.12466730000000002,0,59402,136,0.9,1.73,,,,,,,,,,
1.2,0.98,41100,0,20714,-0.02942700413055718,41100,,,,,,,1.4020479e-05,0.2,0.001,680,-0.029058428294956685,-0.00011555455963718764,0.17669785022735596,0.0,0.17945783883333205,0.07897588610649109
,,41100,,,,,-0.16200388,0,59815,137,0.87,1.8,,,,,,,,,,
1.24,0.98,41400,0,20867,-0.0294907346367836,41400,,,,,,,5.003519e-05,0.2,0.001,685,-0.026448960416018963,-0.0002543578517030909,0.32072120904922485,0.000390625,0.17864774614572526,0.09066963940858841
,,41400,,,,,-0.1841862,0,60215,138,0.84,2.03,,,,,,,,,,
1.3,0.96,41700,0,21014,-0.0519341682549566,41700,,,,,,,3.2247044e-08,0.2,0.001,690,-0.02873052507638931,-3.2326206413912926e-07,0.26416903734207153,0.0,0.15746360942721366,0.06309714168310165
,,41700,,,,,-0.20183717,0,60619,139,0.85,2.04,,,,,,,,,,
1.2,0.98,42000,0,21168,-0.028259169273078442,42000,,,,,,,1.683482e-05,0.2,0.001,695,-0.02902512140572071,-0.00013964559925128128,0.1000295877456665,0.0,0.21730129569768905,0.10094435513019562
,,42000,,,,,-0.17894369000000002,0,61139,140,0.87,1.81,,,,,,,,,,
1.36,0.94,42300,0,21323,-0.07228665437083691,42300,,,,,,,0.0,0.2,0.001,700,-0.025839701108634473,1.2894584244804718e-08,0.22160357236862183,0.0,0.20106819570064544,0.1074325293302536
,,42300,,,,,-0.1770867,0,61602,141,0.83,1.96,,,,,,,,,,
1.36,0.96,42600,0,21486,-0.05945374865084887,42600,,,,,,,6.0633523e-05,0.2,0.001,705,-0.02340841181576252,-7.084021341441371e-05,0.2502158284187317,0.000390625,0.1770911067724228,0.08434975892305374
,,42600,,,,,-0.18301047,0,62034,142,0.88,1.77,,,,,,,,,,
1.46,0.92,42900,0,21644,-0.09818346651270986,42900,,,,,,,0.0,0.2,0.001,710,-0.023274673148989677,-3.3489512318851664e-08,0.2758601903915405,0.0,0.19441765993833543,0.11231888830661774
,,42900,,,,,-0.16996610000000004,0,62454,143,0.86,1.84,,,,,,,,,,
1.54,0.92,43200,0,21791,-0.074093312965706,43200,,,,,,,0.0,0.2,0.001,715,-0.023987673781812192,-5.5075030758189316e-09,0.22397124767303467,0.0,0.18996284902095795,0.09169672429561615
,,43200,,,,,-0.27166613,0,62873,144,0.78,2.08,,,,,,,,,,
1.08,1.0,43500,0,21947,-0.008755584880709648,43500,,,,,,,0.0,0.2,0.001,720,-0.024270734563469887,2.0218166429941675e-08,0.363780677318573,0.0,0.17425680458545684,0.09251609444618225
,,43500,,,,,-0.23028261999999994,0,63276,145,0.83,1.91,,,,,,,,,,
1.6,0.92,43800,0,22102,-0.1043758732220158,43800,,,,,,,0.00019342199,0.2,0.001,725,-0.024833700992166995,-0.0006579891537761284,0.34075021743774414,0.0,0.16828800663352012,0.04522315412759781
,,43800,,,,,-0.22535637000000006,0,63718,146,0.8,2.06,,,,,,,,,,
1.28,0.98,44100,0,22273,-0.03166870376095176,44100,,,,,,,2.6833732e-07,0.2,0.001,730,-0.028815575316548346,-1.3150697917296838e-07,0.2814489006996155,0.0,0.17410001158714294,0.08462633937597275
,,44100,,,,,-0.13624203000000001,0,64127,147,0.9,1.75,,,,,,,,,,
1.5,0.9,44400,0,22442,-0.08274737318977714,44400,,,,,,,5.9604645e-08,0.2,0.001,735,-0.03233856670558453,-8.427516835496363e-08,0.2817509174346924,0.0,0.15983752757310868,0.11648950725793839
,,44400,,,,,-0.17754476,0,64566,148,0.85,1.88,,,,,,,,,,
1.38,0.94,44700,0,22592,-0.07171848531812429,44700,,,,,,,0.0,0.2,0.001,740,-0.0333798062056303,2.342291091217419e-06,0.38815397024154663,0.0,0.13772028535604477,0.0728101134300232
,,44700,,,,,-0.2199134,0,64989,149,0.81,2.03,,,,,,,,,,
1.22,0.98,45000,0,22740,-0.009539199098944663,45000,,,,,,,4.5420835e-05,0.2,0.001,745,-0.030785284377634524,-0.00026390516537766473,0.21752524375915527,0.0,0.18792335838079452,0.10611674934625626
,,45000,,,,,-0.19910215,0,65400,150,0.86,2.03,,,,,,,,,,
1.52,0.9,45300,0,22906,-0.11692025563213974,45300,,,,,,,1.5133992e-09,0.2,0.001,750,-0.026877495087683202,7.193627005239734e-05,0.2981836199760437,0.0,0.17954102009534836,0.12056379020214081
,,45300,,,,,-0.12792706000000004,0,65825,151,0.9,1.71,,,,,,,,,,
1.64,0.9,45600,0,23054,-0.12081768600270153,45600,,,,,,,5.1511568e-05,0.2,0.001,755,-0.02817088533192873,-0.000360952487047328,0.35532063245773315,0.000390625,0.153023923933506,0.07065866142511368
,,45600,,,,,-0.25923342,0,66263,152,0.79,2.1,,,,,,,,,,
1.18,1.0,45900,0,23197,-0.008839391665533184,45900,,,,,,,3.3129472e-06,0.2,0.001,760,-0.026478336192667484,-4.14134162625146e-06,0.3124788999557495,0.0,0.17641813978552817,0.058463115245103836
,,45900,,,,,-0.27860372,0,66676,153,0.76,2.28,,,,,,,,,,
1.44,0.92,46200,0,23343,-0.05459983650129288,46200,,,,,,,1.5436672e-07,0.2,0.001,765,-0.02574283480644226,-4.812228407757857e-07,0.2684040069580078,0.0,0.1811655730009079,0.09755753725767136
,,46200,,,,,-0.21306498999999998,0,67093,154,0.81,2.06,,,,,,,,,,
1.38,0.92,46500,0,23495,-0.09192721876781434,46500,,,,,,,0.0,0.2,0.001,770,-0.025903510674834252,4.3264167359780005e-09,0.2601853609085083,0.0,0.17481274157762527,0.09009825438261032
,,46500,,,,,-0.24609535999999999,0,67531,155,0.8,2.05,,,,,,,,,,
1.18,1.0,46800,0,23650,-0.011997832069173455,46800,,,,,,,3.9692735e-05,0.2,0.001,775,-0.02452462539076805,-0.00031150245869771,0.3136901259422302,0.0,0.1797892153263092,0.0702744647860527
,,46800,,,,,-0.11889689,0,67955,156,0.92,1.78,,,,,,,,,,
1.32,0.94,47100,0,23805,-0.0773946389555931,47100,,,,,,,7.64858e-05,0.2,0.001,780,-0.022678201086819172,-0.0011280089066451281,0.21083086729049683,0.0026633523404598234,0.17623620182275773,0.07877399027347565
,,47100,,,,,-0.18621385000000001,0,68381,157,0.84,1.89,,,,,,,,,,
1.58,0.92,47400,0,23946,-0.07959135998040438,47400,,,,,,,0.00012793146,0.2,0.001,785,-0.030901200510561465,-0.00021431371993116955,0.2480425238609314,0.00078125,0.18727995157241822,0.061959072947502136
,,47400,,,,,-0.22299073000000003,0,68830,158,0.82,2.0,,,,,,,,,,
1.36,0.94,47700,0,24098,-0.07324982288293541,47700,,,,,,,5.570232e-05,0.2,0.001,790,-0.038657819479703905,-0.00012797256085086416,0.26328253746032715,0.000390625,0.20496408343315126,0.11943449079990387
,,47700,,,,,-0.25856296,0,69262,159,0.8,2.16,,,,,,,,,,
1.42,0.94,48000,0,24243,-0.05178774046711623,48000,,,,,,,3.6114361e-06,0.2,0.001,795,-0.04376737661659717,4.8776047134069246e-05,0.23558038473129272,0.0,0.21328221559524535,0.10609472543001175
,,48000,,,,,-0.22948469999999996,0,69695,160,0.8,2.14,,,,,,,,,,
1.2,0.96,48300,0,24396,-0.029141223984770478,48300,,,,,,,5.9689555e-05,0.2,0.001,800,-0.042480568215250966,7.506553480851608e-06,0.3234456777572632,0.0,0.16212256923317908,0.07602476328611374
,,48300,,,,,-0.21768228,0,70122,161,0.81,1.98,,,,,,,,,,
1.06,1.0,48600,0,24542,-0.0075127715338021515,48600,,,,,,,5.3034702e-05,0.2,0.001,805,-0.04258618392050266,-0.00010095943086021463,0.34561556577682495,0.0,0.16557866856455802,0.07911327481269836
,,48600,,,,,-0.23727387,0,70531,162,0.81,2.13,,,,,,,,,,
1.4,0.92,48900,0,24675,-0.09708223233930767,48900,,,,,,,0.00018866565,0.2,0.001,810,-0.05375535264611244,-0.00028419132314070337,0.1802801489830017,0.001171875,0.21010491698980333,0.07082051038742065
,,48900,,,,,-0.31835015,0,71193,163,0.76,2.24,,,,,,,,,,
1.32,0.94,49200,0,24821,-0.07715663785580545,49200,,,,,,,8.020234e-05,0.2,0.001,815,-0.06634541675448417,0.00021643771086132801,0.32400310039520264,0.0,0.19712794423103333,0.10445050150156021
,,49200,,,,,-0.18175430000000004,0,71644,164,0.84,2.03,,,,,,,,,,
1.28,0.96,49500,0,24971,-0.03391309375874698,49500,,,,,,,5.9609734e-05,0.2,0.001,820,-0.05872555524110794,0.00010910996220729885,0.15416473150253296,0.0026633523404598234,0.1977995216846466,0.07935957610607147
,,49500,,,,,-0.23543512999999996,0,72060,165,0.82,2.07,,,,,,,,,,
1.28,0.98,49800,0,25114,-0.031420951327309016,49800,,,,,,,6.3388143e-06,0.2,0.001,825,-0.05240719504654408,-1.2251061645152106e-05,0.21596908569335938,0.0,0.20747754275798796,0.09154871106147766
,,49800,,,,,-0.23099575000000003,0,72486,166,0.81,2.06,,,,,,,,,,
1.3,0.98,50100,0,25288,-0.03632637491915375,50100,,,,,,,2.5768648e-05,0.2,0.001,830,-0.04756241515278816,-3.6922533041661154e-05,0.26730167865753174,0.0,0.19245830923318863,0.10153141617774963
,,50100,,,,,-0.16796633,0,72910,167,0.87,1.79,,,,,,,,,,
1.52,0.9,50400,0,25436,-0.11731322102248669,50400,,,,,,,1.1920929e-07,0.2,0.001,835,-0.04270055145025253,-2.729029176862241e-07,0.12667500972747803,0.0,0.1910621076822281,0.06609825789928436
,,50400,,,,,-0.26832692999999996,0,73346,168,0.8,2.06,,,,,,,,,,
1.24,0.98,50700,0,25595,-0.029067146563902496,50700,,,,,,,0.0,0.2,0.001,840,-0.04092556945979595,-4.4936315468646625e-08,0.22035133838653564,0.0,0.21318591237068177,0.09510838985443115
,,50700,,,,,-0.16103851,0,73766,169,0.87,1.85,,,,,,,,,,
1.36,0.92,51000,0,25742,-0.09329941978678108,51000,,,,,,,1.0885997e-06,0.2,0.001,845,-0.04073352217674255,6.648370578119512e-05,0.07254523038864136,0.0,0.20449575930833816,0.09267488121986389
,,51000,,,,,-0.20193735999999998,0,74224,170,0.84,2.0,,,,,,,,,,
1.56,0.92,51300,0,25897,-0.09830705559812486,51300,,,,,,,5.9383456e-07,0.2,0.001,850,-0.0373369462788105,0.0004237535684815441,0.2580029368400574,0.0,0.19687382131814957,0.07057903707027435
,,51300,,,,,-0.21139747999999997,0,74701,171,0.84,1.9,,,,,,,,,,
1.6,0.88,51600,0,26048,-0.13560948887374252,51600,,,,,,,0.00017317163,0.2,0.001,855,-0.03890871033072472,-0.0006876047954506248,0.2906479835510254,0.00078125,0.1806888237595558,0.10709255188703537
,,51600,,,,,-0.19133887999999996,0,75165,172,0.84,1.96,,,,,,,,,,
1.38,0.94,51900,0,26180,-0.05136210942175239,51900,,,,,,,4.6545872e-05,0.2,0.001,860,-0.03172907326370478,0.00014358725906902237,0.33032339811325073,0.000390625,0.17050131410360336,0.09236793965101242
,,51900,,,,,-0.30064669000000005,0,75637,173,0.76,2.28,,,,,,,,,,
1.36,0.92,52200,0,26346,-0.09144580787513405,52200,,,,,,,8.818332e-05,0.2,0.001,865,-0.03340446390211582,-0.00022165132622546934,0.2919384837150574,0.00078125,0.19477038830518723,0.06656266003847122
,,52200,,,,,-0.15259139,0,76064,174,0.89,1.8,,,,,,,,,,
1.24,1.0,52500,0,26513,-0.0096287129400298,52500,,,,,,,0.000103965285,0.2,0.001,870,-0.040510083362460134,-0.00016552941974623536,0.286024808883667,0.0030539773404598238,0.17223506420850754,0.08422353863716125
,,52500,,,,,-0.18106018999999995,0,76492,175,0.84,1.98,,,,,,,,,,
1.44,0.92,52800,0,26662,-0.07239512763451784,52800,,,,,,,0.0,0.2,0.001,875,-0.04287301115691662,-3.077682464436293e-07,0.20589584112167358,0.0,0.16293648332357408,0.06733851879835129
,,52800,,,,,-0.24548904,0,76939,176,0.81,2.03,,,,,,,,,,
1.52,0.9,53100,0,26815,-0.09675802330486477,53100,,,,,,,0.0001946145,0.2,0.001,880,-0.041916608810424805,-0.000625368586577224,0.26506125926971436,0.0,0.19145256131887436,0.1056208685040474
,,53100,,,,,-0.20153666999999997,0,77372,177,0.82,2.07,,,,,,,,,,
1.18,0.96,53400,0,26968,-0.049903004900552335,53400,,,,,,,8.615369e-07,0.2,0.001,885,-0.031120264157652854,5.500729834295725e-07,0.34389638900756836,0.0,0.16284351348876952,0.0942474827170372
,,53400,,,,,-0.156688,0,77799,178,0.86,1.9,,,,,,,,,,
1.38,0.92,53700,0,27133,-0.07070174745749683,53700,,,,,,,7.7812e-07,0.2,0.001,890,-0.026686396077275278,3.266512331663307e-05,0.2697468400001526,0.0,0.18658164590597154,0.09687266498804092
,,53700,,,,,-0.18465351999999996,0,78239,179,0.85,1.84,,,,,,,,,,
1.44,0.92,54000,0,27269,-0.09274465184193105,54000,,,,,,,7.804716e-06,0.2,0.001,895,-0.02657370138913393,0.00019924767230321548,0.3926520347595215,0.0,0.17408442199230195,0.095540851354599
,,54000,,,,,-0.27007846999999996,0,78661,180,0.79,2.21,,,,,,,,,,
