eval/mean_ep_length,eval/success_rate,env/current_idx,env/n_steps,time/total_timesteps,eval/mean_reward,env/completion_counter,time/fps,time/iterations,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/clip_range,train/clip_fraction,train/loss,train/explained_variance,train/approx_kl
1.2,0.92,15079,26100,26100,-0.06833892143331469,0,,,,,,,-0.03088425014866516,0.001,0.1610601183027029,860,-0.45885259360075,0.2,0.13464133590459823,0.026058215647935867,0.21582144498825073,0.037695665
,,,,26100,,,0,87,0.7,1.74,38405,-0.28480584000000003,,,,,,,,,,
1.14,0.94,15259,26400,26400,-0.04849292246624828,0,,,,,,,-0.03247229536500527,0.001,0.2040367178618908,870,-0.41619385629892347,0.2,0.13879616633057595,0.03258802369236946,0.08441686630249023,0.041970525
,,,,26400,,,0,88,0.73,1.65,38830,-0.22172031999999997,,,,,,,,,,
1.12,0.96,15431,26700,26700,-0.027665279200300576,0,,,,,,,-0.03795008752495051,0.001,0.16630556993186474,880,-0.5026986166834831,0.2,0.17050781287252903,0.015063226222991943,0.20466160774230957,0.060130328
,,,,26700,,,0,89,0.71,1.75,39238,-0.31568392,,,,,,,,,,
1.18,0.94,15632,27000,27000,-0.06807423372287304,0,,,,,,,-0.022602607787121087,0.001,0.18272304609417916,890,-0.3527703121304512,0.2,0.11157670542597771,0.03843926265835762,0.1912403106689453,0.018422581
,,,,27000,,,0,90,0.79,1.48,39664,-0.16696861000000002,,,,,,,,,,
1.28,0.9,15804,27300,27300,-0.07075692707207054,0,,,,,,,-0.021034558420069516,0.001,0.16748061552643775,900,-0.3744011580944061,0.2,0.11539417691528797,0.044337935745716095,0.1592388153076172,0.032113884
,,,,27300,,,0,91,0.75,1.66,40109,-0.23378796,,,,,,,,,,
1.2,0.9,15991,27600,27600,-0.08921838319860399,0,,,,,,,-0.0302868033060804,0.001,0.1683038778603077,910,-0.5303179025650024,0.2,0.13764204531908036,0.026918798685073853,0.23775434494018555,0.044984408
,,,,27600,,,0,92,0.79,1.59,40518,-0.21114681999999999,,,,,,,,,,
1.2,0.92,16190,27900,27900,-0.0906298203812912,0,,,,,,,-0.032341669863672,0.001,0.14830388501286507,920,-0.4762569203972816,0.2,0.13789062686264514,0.01517370343208313,0.16488808393478394,0.03591043
,,,,27900,,,0,93,0.78,1.55,40931,-0.19285899999999997,,,,,,,,,,
1.22,0.9,16369,28200,28200,-0.10974669325165451,0,,,,,,,-0.03051110536325723,0.001,0.16489143669605255,930,-0.543147298693657,0.2,0.13625710234045982,0.024629227817058563,0.14016705751419067,0.056722153
,,,,28200,,,0,94,0.77,1.6,41343,-0.20045687999999998,,,,,,,,,,
1.2,0.92,16552,28500,28500,-0.04876272258348763,0,,,,,,,-0.03307662687730044,0.001,0.16398761942982673,940,-0.5114930033683777,0.2,0.1283380687236786,0.04922960326075554,0.2751842737197876,0.030705113
,,,,28500,,,0,95,0.71,1.68,41757,-0.2385153,,,,,,,,,,
1.3,0.86,16738,28800,28800,-0.12960752574261278,0,,,,,,,-0.040389484260231256,0.001,0.16571276187896727,950,-0.5633833646774292,0.2,0.15941051281988622,0.01082686334848404,0.19389748573303223,0.050218165
,,,,28800,,,0,96,0.77,1.6,42190,-0.18780423000000002,,,,,,,,,,
1.16,0.94,16915,29100,29100,-0.047979643205180764,0,,,,,,,-0.04324459251947701,0.001,0.13725657239556313,960,-0.6118138432502747,0.2,0.18544034026563166,0.01782989501953125,0.30399423837661743,0.043530457
,,,,29100,,,0,97,0.7,1.7,42608,-0.2602047,,,,,,,,,,
1.24,0.9,17087,29400,29400,-0.10838744740467518,0,,,,,,,-0.03231731625273824,0.001,0.17050404399633406,970,-0.5537976309657097,0.2,0.16507457457482816,0.01239900290966034,0.26532214879989624,0.02699355
,,,,29400,,,0,98,0.75,1.67,43035,-0.22850104999999998,,,,,,,,,,
1.44,0.82,17272,29700,29700,-0.1757526384200901,0,,,,,,,-0.033593070050119425,0.001,0.18284126482903956,980,-0.5314026370644569,0.2,0.1473011367022991,0.014938410371541977,0.07203042507171631,0.044561885
,,,,29700,,,0,99,0.75,1.6,43464,-0.24016363000000004,,,,,,,,,,
1.3,0.9,17447,30000,30000,-0.09048211407382041,0,,,,,,,-0.038907709979685026,0.001,0.17560910806059837,990,-0.5811114862561226,0.2,0.1624822448939085,0.016029827296733856,0.1929405927658081,0.035874818
,,,,30000,,,0,100,0.68,1.79,43876,-0.29078244,,,,,,,,,,
1.18,0.94,17632,30300,30300,-0.07131080400198699,0,,,,,,,-0.030414562519581523,0.001,0.1765965722501278,1000,-0.47223765403032303,0.2,0.11894531361758709,0.04926852881908417,0.2058960199356079,0.03292436
,,,,30300,,,0,101,0.74,1.67,44298,-0.26845654,,,,,,,,,,
1.12,0.98,17812,30600,30600,-0.028771218862384557,0,,,,,,,-0.027068531408440323,0.001,0.1651524867862463,1010,-0.55807995647192,0.2,0.14149502888321877,0.066710464656353,0.2277292013168335,0.022614056
,,,,30600,,,0,102,0.7,1.73,44697,-0.21640594,,,,,,,,,,
1.2,0.92,18019,30900,30900,-0.028747551487758757,0,,,,,,,-0.03496306901797652,0.001,0.16398651003837586,1020,-0.5555166497826576,0.2,0.15800781212747098,0.0341915525496006,0.187591552734375,0.03031219
,,,,30900,,,0,103,0.83,1.48,45100,-0.15262630000000002,,,,,,,,,,
1.16,0.94,18191,31200,31200,-0.04799844869878143,0,,,,,,,-0.03130881023826078,0.001,0.1315350454300642,1030,-0.5284074008464813,0.2,0.13249289877712728,0.03684132173657417,0.2502586245536804,0.046712846
,,,,31200,,,0,104,0.69,1.74,45524,-0.28878024,,,,,,,,,,
1.22,0.92,18362,31500,31500,-0.06829670789185911,0,,,,,,,-0.03336963856781949,0.001,0.20548342689871787,1040,-0.7039541065692901,0.2,0.18066406361758708,0.03437599167227745,0.11654925346374512,0.030023016
,,,,31500,,,0,105,0.67,1.8,45939,-0.30513669,,,,,,,,,,
1.34,0.86,18550,31800,31800,-0.11265160530339927,0,,,,,,,-0.034836576250381765,0.001,0.1828604482114315,1050,-0.5890221148729324,0.2,0.11278409212827682,0.027245305478572845,0.2260017991065979,0.0169278
,,,,31800,,,0,106,0.76,1.61,46353,-0.20505569,,,,,,,,,,
1.22,0.9,18729,32100,32100,-0.08895124020520598,0,,,,,,,-0.034541501104831694,0.001,0.17451046854257585,1060,-0.5697459310293198,0.2,0.1349076706916094,0.01138712465763092,0.10171854496002197,0.036996853
,,,,32100,,,0,107,0.79,1.48,46841,-0.16577972000000002,,,,,,,,,,
1.24,0.92,18896,32400,32400,-0.06909999079070986,0,,,,,,,-0.03315808632178232,0.001,0.1729481264948845,1070,-0.599691615998745,0.2,0.14488636441528796,-0.009144902229309082,0.1793554425239563,0.03670827
,,,,32400,,,0,108,0.66,1.81,47250,-0.29184692,,,,,,,,,,
1.34,0.86,19068,32700,32700,-0.13097329252399503,0,,,,,,,-0.03578617000312079,0.001,0.18665012940764428,1080,-0.7191705018281936,0.2,0.15017755702137947,0.024667639285326004,0.1979159116744995,0.026028287
,,,,32700,,,0,109,0.69,1.74,47652,-0.28664677,,,,,,,,,,
1.18,0.92,19238,33000,33000,-0.06937236355617643,0,,,,,,,-0.0418437389540486,0.001,0.1950137160718441,1090,-0.6245516628026963,0.2,0.16164772845804692,0.0025219544768333435,0.13173234462738037,0.028078388
,,,,33000,,,0,110,0.72,1.69,48046,-0.25946135000000004,,,,,,,,,,
1.2,0.92,19398,33300,33300,-0.02965837669558823,0,,,,,,,-0.037820222042500976,0.001,0.19035882875323296,1100,-0.7200889199972152,0.2,0.14666193276643752,0.03355197608470917,0.12025535106658936,0.041630626
,,,,33300,,,0,111,0.67,1.87,48422,-0.2671194700000001,,,,,,,,,,
1.22,0.9,19584,33600,33600,-0.11031286230776459,0,,,,,,,-0.03454897326882929,0.001,0.16399977244436742,1110,-0.6392635047435761,0.2,0.1271661937236786,0.010225120931863785,0.23004430532455444,0.02391477
,,,,33600,,,0,112,0.73,1.67,48821,-0.24463043999999998,,,,,,,,,,
1.32,0.86,19765,33900,33900,-0.13130717639811337,0,,,,,,,-0.03444245564751327,0.001,0.15916357636451722,1120,-0.6927168637514114,0.2,0.12769886441528797,0.025284383445978165,0.20810413360595703,0.032205015
,,,,33900,,,0,113,0.73,1.7,49243,-0.26553303000000006,,,,,,,,,,
1.46,0.84,19940,34200,34200,-0.17642624800093473,0,,,,,,,-0.03567174905911088,0.001,0.15960032641887664,1130,-0.6411247193813324,0.2,0.16793323941528798,0.005851179361343384,0.17688322067260742,0.03364459
,,,,34200,,,0,114,0.67,1.75,49673,-0.28836042999999995,,,,,,,,,,
1.24,0.9,20111,34500,34500,-0.050739971785806116,0,,,,,,,-0.027408504384584375,0.001,0.15474485903978347,1140,-0.6142537817358971,0.2,0.145472302287817,0.015321165323257446,0.19826596975326538,0.022205513
,,,,34500,,,0,115,0.73,1.69,50074,-0.21639515000000004,,,,,,,,,,
1.28,0.9,20283,34800,34800,-0.09205631930846721,0,,,,,,,-0.037428538416861556,0.001,0.16558060757815837,1150,-0.635498657822609,0.2,0.14589843824505805,-0.00015445426106452942,0.14152395725250244,0.031030186
,,,,34800,,,0,116,0.67,1.78,50482,-0.23747365999999995,,,,,,,,,,
1.26,0.9,20456,35100,35100,-0.11083455955609679,0,,,,,,,-0.0414164200425148,0.001,0.18751169443130494,1160,-0.6826970368623734,0.2,0.1790127858519554,0.007544532418251038,0.07379394769668579,0.04253682
,,,,35100,,,0,117,0.72,1.72,50902,-0.28844804,,,,,,,,,,
1.28,0.86,20641,35400,35400,-0.12891058767214417,0,,,,,,,-0.038197207101620737,0.001,0.1692604523152113,1170,-0.643919026851654,0.2,0.173597302287817,0.00791679322719574,0.2332180142402649,0.037434526
,,,,35400,,,0,118,0.76,1.64,51305,-0.23314614999999997,,,,,,,,,,
1.16,0.94,20816,35700,35700,-0.028242009072564543,0,,,,,,,-0.034243343444541094,0.001,0.1768078599125147,1180,-0.613878133893013,0.2,0.17244318276643752,0.03511684387922287,0.1729068160057068,0.051307134
,,,,35700,,,0,119,0.69,1.74,51696,-0.33350979,,,,,,,,,,
1.32,0.86,20998,36000,36000,-0.11321845739148557,0,,,,,,,-0.032884344982448965,0.001,0.17696836367249488,1190,-0.5550702676177025,0.2,0.1319069616496563,0.021775338798761368,0.2657383680343628,0.024570858
,,,,36000,,,0,120,0.72,1.71,52109,-0.25006129999999993,,,,,,,,,,
1.36,0.84,21176,36300,36300,-0.13123488882556558,0,,,,,,,-0.022174067108426242,0.001,0.17004751227796078,1200,-0.4906474888324738,0.2,0.1449041198939085,0.02280464768409729,0.12653261423110962,0.032641873
,,,,36300,,,0,121,0.74,1.68,52542,-0.22308391,,,,,,,,,,
1.22,0.92,21362,36600,36600,-0.029672410073690116,0,,,,,,,-0.02854280525498325,0.001,0.1711677424609661,1210,-0.5222436875104904,0.2,0.11883877962827682,0.04486089572310448,0.188587486743927,0.025373718
,,,,36600,,,0,122,0.76,1.6,52981,-0.22003563000000004,,,,,,,,,,
1.16,0.96,21551,36900,36900,-0.050753297819755974,0,,,,,,,-0.03179614758773823,0.001,0.16738519854843617,1220,-0.5025088593363762,0.2,0.1571732971817255,0.010387182235717773,0.17958611249923706,0.03966663
,,,,36900,,,0,123,0.71,1.63,53381,-0.21947061999999998,,,,,,,,,,
1.12,0.96,21739,37200,37200,-0.048045155988074836,0,,,,,,,-0.02963424101471901,0.001,0.16464075148105622,1230,-0.49859487563371657,0.2,0.09643110856413842,0.029897794127464294,0.21857726573944092,0.020452466
,,,,37200,,,0,124,0.75,1.57,53792,-0.22600191000000003,,,,,,,,,,
1.38,0.84,21931,37500,37500,-0.15204994674772024,0,,,,,,,-0.02147764774854295,0.001,0.1352652817964554,1240,-0.4253570199012756,0.2,0.09827769957482815,0.013955585658550262,0.25640422105789185,0.020094607
,,,,37500,,,0,125,0.81,1.56,54222,-0.21527491000000004,,,,,,,,,,
1.2,0.94,22106,37800,37800,-0.07475516387261451,0,,,,,,,-0.020862973463954403,0.001,0.15340258479118346,1250,-0.42624345868825914,0.2,0.10218394994735717,0.030418556183576584,0.235706627368927,0.02535702
,,,,37800,,,0,126,0.7,1.73,54631,-0.25414095000000003,,,,,,,,,,
1.26,0.92,22294,38100,38100,-0.09116525469347835,0,,,,,,,-0.022559670276314135,0.001,0.183662236481905,1260,-0.4722826689481735,0.2,0.12792968824505807,0.04942210018634796,0.16396725177764893,0.033380806
,,,,38100,,,0,127,0.75,1.64,55040,-0.20593693999999999,,,,,,,,,,
1.22,0.94,22478,38400,38400,-0.048859070311300455,0,,,,,,,-0.03216194547712803,0.001,0.15509912520647048,1270,-0.4977071151137352,0.2,0.1294034093618393,0.03303559869527817,0.26745182275772095,0.035100438
,,,,38400,,,0,128,0.73,1.67,55446,-0.26989528,,,,,,,,,,
1.18,0.94,22652,38700,38700,-0.0740209787664935,0,,,,,,,-0.030460804246831685,0.001,0.15685163885354997,1280,-0.46131555140018465,0.2,0.11010298393666744,-0.001579470932483673,0.2474222183227539,0.03513049
,,,,38700,,,0,129,0.68,1.81,55844,-0.28846698,,,,,,,,,,
1.32,0.88,22831,39000,39000,-0.12930384724866598,0,,,,,,,-0.025287000043317676,0.001,0.17473762296140194,1290,-0.4389131233096123,0.2,0.11187855191528798,0.030001360923051834,0.21190720796585083,0.025599834
,,,,39000,,,0,130,0.75,1.67,56254,-0.22117444999999997,,,,,,,,,,
1.14,0.96,23011,39300,39300,-0.0483701303973794,0,,,,,,,-0.02903886113781482,0.001,0.15799217745661737,1300,-0.5256693750619889,0.2,0.11448863670229911,0.00748862698674202,0.1974366307258606,0.025004076
,,,,39300,,,0,131,0.73,1.7,56656,-0.24903397000000002,,,,,,,,,,
1.22,0.9,23184,39600,39600,-0.051465263315476475,0,,,,,,,-0.032835781155154106,0.001,0.19824983328580856,1310,-0.5634816274046898,0.2,0.161292614787817,0.06171208620071411,0.15156030654907227,0.057431884
,,,,39600,,,0,132,0.71,1.69,57058,-0.26651426,,,,,,,,,,
1.16,0.94,23356,39900,39900,-0.06846920851618052,0,,,,,,,-0.03206274177646264,0.001,0.1895030714571476,1320,-0.5683616429567337,0.2,0.14129971712827682,0.023460201919078827,0.14338421821594238,0.021042742
,,,,39900,,,0,133,0.74,1.65,57467,-0.26947269000000007,,,,,,,,,,
1.36,0.88,23546,40200,40200,-0.13170898772776127,0,,,,,,,-0.04222633833996951,0.001,0.1574232678860426,1330,-0.6117460072040558,0.2,0.18662997223436834,0.004949413239955902,0.2763381004333496,0.062926166
,,,,40200,,,0,134,0.75,1.57,57887,-0.21655259999999998,,,,,,,,,,
1.2,0.94,23728,40500,40500,-0.052348334291018546,0,,,,,,,-0.034579325537197295,0.001,0.16520916745066644,1340,-0.3991082698106766,0.2,0.17668679021298886,0.01173398643732071,0.19628584384918213,0.042665623
,,,,40500,,,0,135,0.74,1.67,58308,-0.25214536,,,,,,,,,,
1.12,0.94,23908,40800,40800,-0.06771406549029052,0,,,,,,,-0.02653992041014135,0.001,0.18070983923971654,1350,-0.42372708171606066,0.2,0.09557883590459823,0.010951265692710876,0.19106221199035645,0.022411782
,,,,40800,,,0,136,0.79,1.55,58703,-0.13840242,,,,,,,,,,
1.2,0.92,24088,41100,41100,-0.049616635171696545,0,,,,,,,-0.02804060614435002,0.001,0.1630908887833357,1360,-0.4715877711772919,0.2,0.12214133627712727,0.03267505392432213,0.12803524732589722,0.0324484
,,,,41100,,,0,137,0.74,1.67,59106,-0.25786354999999994,,,,,,,,,,
1.42,0.82,24267,41400,41400,-0.17568006133660674,0,,,,,,,-0.033473473181948064,0.001,0.19308657869696616,1370,-0.5120563298463822,0.2,0.13481889367103578,0.0005044341087341309,0.1086263656616211,0.049124036
,,,,41400,,,0,138,0.72,1.63,59539,-0.25171672,,,,,,,,,,
1.14,0.94,24435,41700,41700,-0.04844773951917887,0,,,,,,,-0.029666172317229213,0.001,0.15997169800102712,1380,-0.44263933449983595,0.2,0.12952769920229912,-0.0026485808193683624,0.29338616132736206,0.033351317
,,,,41700,,,0,139,0.67,1.74,59958,-0.30724444000000006,,,,,,,,,,
1.22,0.9,24619,42000,42000,-0.10876023241784423,0,,,,,,,-0.03712724772631191,0.001,0.16745974086225032,1390,-0.4754325315356255,0.2,0.1576882116496563,0.0038321278989315033,0.256104052066803,0.04001788
,,,,42000,,,0,140,0.71,1.71,60377,-0.24143689999999998,,,,,,,,,,
1.14,0.94,24814,42300,42300,-0.047956223147921265,0,,,,,,,-0.024229713424574584,0.001,0.184290262311697,1400,-0.34082644134759904,0.2,0.11629971638321876,0.04456518962979317,0.10973042249679565,0.027407685
,,,,42300,,,0,141,0.75,1.62,60789,-0.2559589500000001,,,,,,,,,,
1.28,0.92,24985,42600,42600,-0.06968554200604558,0,,,,,,,-0.024779502232559026,0.001,0.1603215217590332,1410,-0.35818285048007964,0.2,0.0891335230320692,0.048336345702409744,0.1910892128944397,0.039256703
,,,,42600,,,0,142,0.74,1.71,61210,-0.23100810999999996,,,,,,,,,,
1.22,0.92,25158,42900,42900,-0.0905860292725265,0,,,,,,,-0.02390492203994654,0.001,0.17473088577389717,1420,-0.3620098799467087,0.2,0.10539772808551788,0.042516712099313736,0.06201142072677612,0.030410241
,,,,42900,,,0,143,0.71,1.72,61655,-0.25382647,,,,,,,,,,
1.4,0.84,25340,43200,43200,-0.1532729553664103,0,,,,,,,-0.024474399629980326,0.001,0.1692847978323698,1430,-0.418020398914814,0.2,0.10115412063896656,-0.00814145803451538,0.15248596668243408,0.041345984
,,,,43200,,,0,144,0.74,1.61,62078,-0.24877538000000002,,,,,,,,,,
1.18,0.94,25519,43500,43500,-0.04995860673021525,0,,,,,,,-0.030057327463873663,0.001,0.16410235464572906,1440,-0.46919899731874465,0.2,0.09733664840459824,0.0011829622089862823,0.2325965166091919,0.0203589
,,,,43500,,,0,145,0.64,1.82,62487,-0.32347837000000007,,,,,,,,,,
1.22,0.9,25697,43800,43800,-0.08950486729387194,0,,,,,,,-0.032310754107311365,0.001,0.17416532896459103,1450,-0.47903665602207185,0.2,0.12285156361758709,-0.008847769349813461,0.1412750482559204,0.035261594
,,,,43800,,,0,146,0.72,1.71,62903,-0.29791659,,,,,,,,,,
1.28,0.9,25879,44100,44100,-0.049904888039454816,0,,,,,,,-0.02484471508068964,0.001,0.1568404369056225,1460,-0.43390980660915374,0.2,0.14575639329850673,0.01448800414800644,0.27073025703430176,0.04514488
,,,,44100,,,0,147,0.76,1.64,63336,-0.22888387999999998,,,,,,,,,,
1.3,0.9,26058,44400,44400,-0.07348449023906141,0,,,,,,,-0.027522746587055735,0.001,0.1547859750688076,1470,-0.48405398428440094,0.2,0.12622514367103577,0.014150936156511307,0.2247517704963684,0.029074654
,,,,44400,,,0,148,0.74,1.63,63767,-0.2453775,,,,,,,,,,
1.34,0.88,26247,44700,44700,-0.11103280239738524,0,,,,,,,-0.026687768152623904,0.001,0.17351640500128268,1480,-0.42009183168411257,0.2,0.1388849437236786,0.011419039219617844,0.19154149293899536,0.02479856
,,,,44700,,,0,149,0.73,1.64,64199,-0.27101137999999997,,,,,,,,,,
1.12,0.96,26425,45000,45000,-0.04835570783354342,0,,,,,,,-0.027269981609424575,0.001,0.15735820420086383,1490,-0.387722285091877,0.2,0.09794034138321876,0.030723322182893753,0.28678232431411743,0.01583059
,,,,45000,,,0,150,0.71,1.71,64654,-0.25504687000000004,,,,,,,,,,
1.4,0.82,26600,45300,45300,-0.17238260424230248,0,,,,,,,-0.026915416435804217,0.001,0.17398436665534972,1500,-0.36636882871389387,0.2,0.09639559760689735,0.019741632044315338,0.1389172077178955,0.039822593
,,,,45300,,,0,151,0.71,1.67,65090,-0.24568846,,,,,,,,,,
1.24,0.92,26792,45600,45600,-0.09069792649708688,0,,,,,,,-0.02164664839510806,0.001,0.17926768139004706,1510,-0.31736270487308504,0.2,0.07457386441528797,0.05215201899409294,0.16414308547973633,0.022991454
,,,,45600,,,0,152,0.75,1.64,65515,-0.23432958000000007,,,,,,,,,,
1.16,0.94,26970,45900,45900,-0.05060367007274181,0,,,,,,,-0.021106790029443802,0.001,0.1580347504466772,1520,-0.3315072014927864,0.2,0.13448153510689737,0.009659066796302795,0.21783113479614258,0.030038903
,,,,45900,,,0,153,0.66,1.79,65913,-0.29387252999999997,,,,,,,,,,
1.16,0.92,27150,46200,46200,-0.06939429939258844,0,,,,,,,-0.026949881855398417,0.001,0.18356573805212975,1530,-0.5035770133137702,0.2,0.1516512803733349,0.023116227239370346,0.1830732226371765,0.06254892
,,,,46200,,,0,154,0.7,1.7,66340,-0.24292066,,,,,,,,,,
1.24,0.94,27325,46500,46500,-0.049010649658739566,0,,,,,,,-0.02861887462204322,0.001,0.17084761410951615,1540,-0.4172976866364479,0.2,0.12830255813896657,0.03041572868824005,0.2097398042678833,0.02900374
,,,,46500,,,0,155,0.73,1.72,66764,-0.2564918,,,,,,,,,,
1.24,0.9,27503,46800,46800,-0.09134045903105288,0,,,,,,,-0.022815415053628385,0.001,0.1601351547986269,1550,-0.3826495409011841,0.2,0.093323864787817,0.029931724071502686,0.264187753200531,0.024240995
,,,,46800,,,0,156,0.76,1.65,67190,-0.22134241999999996,,,,,,,,,,
1.26,0.88,27676,47100,47100,-0.13404896929860116,0,,,,,,,-0.028061948978574947,0.001,0.15416417717933656,1560,-0.48388398736715316,0.2,0.13384233079850674,0.03870554640889168,0.19696003198623657,0.034978926
,,,,47100,,,0,157,0.69,1.8,67611,-0.2809528,,,,,,,,,,
1.24,0.94,27854,47400,47400,-0.048844940424896774,0,,,,,,,-0.030992204858921468,0.001,0.2064067989587784,1570,-0.48491998612880705,0.2,0.18030894920229912,0.05780893564224243,0.06170743703842163,0.017466482
,,,,47400,,,0,158,0.7,1.69,68046,-0.26468693,,,,,,,,,,
1.3,0.88,28033,47700,47700,-0.131412284495309,0,,,,,,,-0.029175654146820308,0.001,0.18163793310523033,1580,-0.4649873897433281,0.2,0.11496804058551788,0.039052195847034454,0.18891477584838867,0.02984066
,,,,47700,,,0,159,0.69,1.76,68500,-0.31897809,,,,,,,,,,
1.28,0.88,28231,48000,48000,-0.11272143799811601,0,,,,,,,-0.02773368963971734,0.001,0.18234294205904006,1590,-0.4572807982563972,0.2,0.11706321127712727,0.034506507217884064,0.23593413829803467,0.025347732
,,,,48000,,,0,160,0.79,1.51,68923,-0.22448193000000002,,,,,,,,,,
1.28,0.88,28402,48300,48300,-0.06988246647175402,0,,,,,,,-0.030187087692320348,0.001,0.15472469292581081,1600,-0.39747320413589476,0.2,0.16493252888321877,0.03517627716064453,0.2636772394180298,0.035212576
,,,,48300,,,0,161,0.75,1.65,69348,-0.25513845,,,,,,,,,,
1.36,0.84,28582,48600,48600,-0.11280666019301862,0,,,,,,,-0.017436709254980087,0.001,0.16952505856752395,1610,-0.40423233062028885,0.2,0.07956321090459824,0.05412120744585991,0.2335669994354248,0.018019218
,,,,48600,,,0,162,0.73,1.69,69778,-0.22763117000000002,,,,,,,,,,
1.28,0.92,28773,48900,48900,-0.04977045920211822,0,,,,,,,-0.024973720026900993,0.001,0.18481600806117057,1620,-0.35004663169384004,0.2,0.09160156324505805,0.0593017116189003,0.09123796224594116,0.025680691
,,,,48900,,,0,163,0.79,1.5,70214,-0.21069840000000004,,,,,,,,,,
1.1,0.98,28964,49200,49200,-0.027670911829918623,0,,,,,,,-0.018456196051556618,0.001,0.15697372294962406,1630,-0.34514629244804385,0.2,0.07253196127712727,0.03611256927251816,0.2811504006385803,0.02595921
,,,,49200,,,0,164,0.74,1.67,70638,-0.23857613,,,,,,,,,,
1.3,0.88,29153,49500,49500,-0.11305577724706381,0,,,,,,,-0.019717103568837047,0.001,0.1430734757333994,1640,-0.3921360746026039,0.2,0.0830965917557478,0.0052684396505355835,0.24987876415252686,0.025845286
,,,,49500,,,0,165,0.76,1.61,71072,-0.24583056,,,,,,,,,,
1.16,0.94,29353,49800,49800,-0.028160388628020883,0,,,,,,,-0.024888864252716303,0.001,0.1519602570682764,1650,-0.3330842718482018,0.2,0.101331677287817,0.021557465195655823,0.26445794105529785,0.03983687
,,,,49800,,,0,166,0.78,1.55,71498,-0.20759857,,,,,,,,,,
1.18,0.94,29547,50100,50100,-0.07005334246437997,0,,,,,,,-0.02850782526511466,0.001,0.13066492304205896,1660,-0.3419078066945076,0.2,0.1015092335641384,-0.008815865963697433,0.28375452756881714,0.036893357
,,,,50100,,,0,167,0.76,1.6,71948,-0.25159198,,,,,,,,,,
1.32,0.86,29730,50400,50400,-0.1309064816357568,0,,,,,,,-0.023584490781649946,0.001,0.1607980016618967,1670,-0.3193308047950268,0.2,0.10232599414885044,0.011464767158031464,0.21615713834762573,0.037743688
,,,,50400,,,0,168,0.71,1.68,72377,-0.28550109,,,,,,,,,,
1.16,0.94,29918,50700,50700,-0.050159478625282646,0,,,,,,,-0.022918838262557983,0.001,0.18986241817474364,1680,-0.42131285965442655,0.2,0.10910866633057595,0.05620989575982094,0.16839563846588135,0.07407154
,,,,50700,,,0,169,0.72,1.68,72792,-0.25360026,,,,,,,,,,
1.3,0.88,30105,51000,51000,-0.1108386644674465,0,,,,,,,-0.028444511214911473,0.001,0.15788985304534436,1690,-0.37056742906570433,0.2,0.09730113744735717,-0.002863790839910507,0.25266528129577637,0.021026408
,,,,51000,,,0,170,0.74,1.61,73226,-0.24156650000000002,,,,,,,,,,
1.28,0.86,30295,51300,51300,-0.09047620812430977,0,,,,,,,-0.013149351289030164,0.001,0.17679938450455665,1700,-0.2851449757814407,0.2,0.08602627962827683,0.06183099001646042,0.22922199964523315,0.04720026
,,,,51300,,,0,171,0.75,1.57,73653,-0.23716942999999993,,,,,,,,,,
1.24,0.9,30482,51600,51600,-0.04953319607302546,0,,,,,,,-0.012107366818236187,0.001,0.15831066370010377,1710,-0.2155580647289753,0.2,0.04169034138321877,0.04169180989265442,0.29959696531295776,0.020537307
,,,,51600,,,0,172,0.75,1.59,74093,-0.23439364999999998,,,,,,,,,,
1.22,0.92,30667,51900,51900,-0.07154634146951139,0,,,,,,,-0.013573578155774157,0.001,0.183907201141119,1720,-0.22193165943026544,0.2,0.07395241595804691,0.05342081934213638,0.16639089584350586,0.025337309
,,,,51900,,,0,173,0.77,1.52,74562,-0.21187995000000004,,,,,,,,,,
1.36,0.84,30847,52200,52200,-0.13193907001055777,0,,,,,,,-0.01567273367763846,0.001,0.1564199686050415,1730,-0.2829876132309437,0.2,0.06424005776643753,0.02228051796555519,0.2497609257698059,0.015046496
,,,,52200,,,0,174,0.77,1.57,75002,-0.2285118,,,,,,,,,,
1.28,0.9,31029,52500,52500,-0.09513539762701839,0,,,,,,,-0.01719562965881778,0.001,0.16652187816798686,1740,-0.29440015703439715,0.2,0.07363281361758708,0.05746147409081459,0.2780277132987976,0.028871346
,,,,52500,,,0,175,0.75,1.67,75436,-0.26448329,,,,,,,,,,
1.28,0.88,31221,52800,52800,-0.0720438258908689,0,,,,,,,-0.015197118936339394,0.001,0.1622536402195692,1750,-0.3326079845428467,0.2,0.06438210308551788,0.0350257083773613,0.21641159057617188,0.04234508
,,,,52800,,,0,176,0.79,1.49,75881,-0.19838474,,,,,,,,,,
1.26,0.88,31398,53100,53100,-0.10961490180809051,0,,,,,,,-0.021795319324883166,0.001,0.16158714815974234,1760,-0.35428995341062547,0.2,0.12320667691528797,0.025710172951221466,0.2906210422515869,0.028425708
,,,,53100,,,0,177,0.69,1.75,76304,-0.31326174,,,,,,,,,,
1.28,0.88,31583,53400,53400,-0.07491360782645642,0,,,,,,,-0.021466550760669632,0.001,0.17690690904855727,1770,-0.3546533852815628,0.2,0.09140625074505807,0.06280141323804855,0.21172481775283813,0.029796645
