eval/mean_ep_length,eval/success_rate,env/current_idx,env/n_steps,time/total_timesteps,eval/mean_reward,env/completion_counter,time/fps,time/iterations,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/clip_range,train/clip_fraction,train/loss,train/explained_variance,train/approx_kl
1.32,0.88,3312,6300,6300,-0.09208243933971971,0,,,,,,,-0.04390069274813868,0.001,0.16342212930321692,200,-1.0932487189769744,0.2,0.2305397741496563,-0.044952575117349625,0.1881353259086609,0.028129742
,,,,6300,,,0,21,0.73,1.71,9125,-0.25360954,,,,,,,,,,
1.3,0.9,3481,6600,6600,-0.09136641882825643,0,,,,,,,-0.042466310574673115,0.001,0.17066973224282264,210,-1.0715640127658843,0.2,0.2015092335641384,0.012380808591842651,0.1694132685661316,0.016630018
,,,,6600,,,0,22,0.68,1.79,9573,-0.3137859599999999,,,,,,,,,,
1.12,0.98,3659,6900,6900,-0.007765422253869474,0,,,,,,,-0.02965308204293251,0.001,0.13317283876240255,220,-1.0312515377998352,0.2,0.16448863595724106,-0.01709868386387825,0.3130781054496765,0.01660474
,,,,6900,,,0,23,0.79,1.59,10038,-0.20720507999999999,,,,,,,,,,
1.34,0.84,3831,7200,7200,-0.11462833790108562,0,,,,,,,-0.040785570605657996,0.001,0.14135087169706823,230,-0.9587098866701126,0.2,0.215003552287817,-0.0179196335375309,0.15164971351623535,0.030712735
,,,,7200,,,0,24,0.68,1.74,10510,-0.35657617,,,,,,,,,,
1.28,0.9,4022,7500,7500,-0.07013340608216823,0,,,,,,,-0.032847947975096756,0.001,0.154931266233325,240,-0.8576752305030823,0.2,0.14011008553206922,-0.005167171359062195,0.19999825954437256,0.03397891
,,,,7500,,,0,25,0.75,1.67,10992,-0.2412149,,,,,,,,,,
1.34,0.86,4194,7800,7800,-0.15310652779415249,0,,,,,,,-0.02505815476179123,0.001,0.14183532632887363,250,-0.7950955301523208,0.2,0.10768821015954018,0.002723775804042816,0.20612633228302002,0.03061762
,,,,7800,,,0,26,0.71,1.68,11442,-0.29597875,,,,,,,,,,
1.14,0.98,4375,8100,8100,-0.02889656291343272,0,,,,,,,-0.024420616222778337,0.001,0.18689943701028824,260,-0.7591484546661377,0.2,0.13109020031988622,-0.005345948040485382,0.18667346239089966,0.01821239
,,,,8100,,,0,27,0.8,1.53,11897,-0.21470927999999997,,,,,,,,,,
1.32,0.86,4560,8400,8400,-0.13123142917174846,0,,,,,,,-0.028891903231851757,0.001,0.15032956693321467,270,-0.888059601187706,0.2,0.10861150659620762,0.025977332144975662,0.20493781566619873,0.014420818
,,,,8400,,,0,28,0.75,1.61,12357,-0.22701434999999998,,,,,,,,,,
1.26,0.9,4741,8700,8700,-0.029285702416673304,0,,,,,,,-0.03233974357135594,0.001,0.16964338906109333,280,-0.8776821166276931,0.2,0.1412997167557478,0.023608367890119553,0.05665308237075806,0.024140554
,,,,8700,,,0,29,0.68,1.76,12776,-0.30515072,,,,,,,,,,
1.34,0.9,4911,9000,9000,-0.11138838646467775,0,,,,,,,-0.03413714985363185,0.001,0.15263962969183922,290,-0.8392406672239303,0.2,0.12148437611758708,0.019210776314139366,0.20664167404174805,0.01727666
,,,,9000,,,0,30,0.73,1.67,13217,-0.25004383,,,,,,,,,,
1.26,0.92,5093,9300,9300,-0.05000624153763056,0,,,,,,,-0.042880553321447225,0.001,0.16856634691357614,300,-0.8010385870933533,0.2,0.2148970179259777,-0.021449919790029526,0.14316201210021973,0.03413506
,,,,9300,,,0,31,0.69,1.75,13667,-0.30046895,,,,,,,,,,
1.2,0.92,5283,9600,9600,-0.08928472185041755,0,,,,,,,-0.0266975290607661,0.001,0.1434862170368433,310,-0.6130461484193802,0.2,0.1347123596817255,0.015611264854669571,0.24461466073989868,0.016467076
,,,,9600,,,0,32,0.78,1.56,14142,-0.19845737999999996,,,,,,,,,,
1.28,0.88,5457,9900,9900,-0.0917422942025587,0,,,,,,,-0.030471607699291782,0.001,0.18674164190888404,320,-0.734372191131115,0.2,0.1276278417557478,0.007925227284431458,0.004370510578155518,0.037378184
,,,,9900,,,0,33,0.69,1.8,14619,-0.28477044,,,,,,,,,,
1.14,0.94,5645,10200,10200,-0.05373784561175853,0,,,,,,,-0.029895978479180484,0.001,0.1640311885625124,330,-0.6532959818840027,0.2,0.15919744409620762,0.009196501225233078,0.2686532139778137,0.022889271
,,,,10200,,,0,34,0.74,1.58,15079,-0.22724448999999997,,,,,,,,,,
1.1,0.96,5828,10500,10500,-0.028297971058636903,0,,,,,,,-0.02765504940180108,0.001,0.16648724414408206,340,-0.7031674563884736,0.2,0.14195667579770088,0.0290742926299572,0.1794428825378418,0.022830987
,,,,10500,,,0,35,0.76,1.6,15523,-0.23346020999999997,,,,,,,,,,
1.22,0.9,5995,10800,10800,-0.089716602768749,0,,,,,,,-0.026590241663507187,0.001,0.15435775853693484,350,-0.672681325674057,0.2,0.1485795471817255,-0.016628336161375046,0.1515408158302307,0.029711302
,,,,10800,,,0,36,0.67,1.78,15968,-0.35359003,,,,,,,,,,
1.24,0.92,6167,11100,11100,-0.09025083585642278,0,,,,,,,-0.032132417475804684,0.001,0.1838733471930027,360,-0.8329451620578766,0.2,0.1490234386175871,0.02204151451587677,0.14552193880081177,0.020620119
,,,,11100,,,0,37,0.68,1.75,16435,-0.30938277999999997,,,,,,,,,,
1.34,0.84,6341,11400,11400,-0.13293324314057828,0,,,,,,,-0.03445472499588505,0.001,0.1878344051539898,370,-0.7050825089216233,0.2,0.13986150734126568,0.01678929477930069,0.1133112907409668,0.025463082
,,,,11400,,,0,38,0.68,1.76,16910,-0.30738051,,,,,,,,,,
1.28,0.9,6521,11700,11700,-0.05031334822066128,0,,,,,,,-0.028180061001330615,0.001,0.19141358882188797,380,-0.8151443302631378,0.2,0.119495739787817,0.0341038778424263,0.026836514472961426,0.02555423
,,,,11700,,,0,39,0.73,1.64,17370,-0.24811997000000002,,,,,,,,,,
1.26,0.88,6694,12000,12000,-0.1314890542626381,0,,,,,,,-0.03356581835541874,0.001,0.1690644111484289,390,-0.7777599334716797,0.2,0.14779829569160938,-0.002736218273639679,0.2016417384147644,0.06330995
,,,,12000,,,0,40,0.7,1.7,17816,-0.28686834999999994,,,,,,,,,,
1.2,0.94,6877,12300,12300,-0.06946822476107627,0,,,,,,,-0.03641853135486599,0.001,0.17961131483316423,400,-0.8484966814517975,0.2,0.1571732960641384,0.02931538224220276,0.16689401865005493,0.033764843
,,,,12300,,,0,41,0.75,1.58,18289,-0.21609137,,,,,,,,,,
1.28,0.9,7065,12600,12600,-0.09090693320147693,0,,,,,,,-0.03553525037132203,0.001,0.15906970463693143,410,-0.7328563302755355,0.2,0.17366832569241525,0.017863165587186813,0.21686440706253052,0.021004807
,,,,12600,,,0,42,0.8,1.55,18724,-0.22255509999999998,,,,,,,,,,
1.12,0.96,7245,12900,12900,-0.04776829576585442,0,,,,,,,-0.026698262873105706,0.001,0.1645123202353716,420,-0.7713626980781555,0.2,0.15642755702137948,0.029871022328734398,0.2832602262496948,0.023625217
,,,,12900,,,0,43,0.8,1.55,19149,-0.15419338000000005,,,,,,,,,,
1.24,0.94,7423,13200,13200,-0.06927860931959003,0,,,,,,,-0.03334239966934547,0.001,0.16982243694365023,430,-0.8636216640472412,0.2,0.15490056872367858,-0.005577955394983292,0.13914090394973755,0.028081778
,,,,13200,,,0,44,0.78,1.59,19591,-0.17594697,,,,,,,,,,
1.26,0.9,7588,13500,13500,-0.08927343745250255,0,,,,,,,-0.03316026605971274,0.001,0.18452088981866838,440,-0.9147829443216324,0.2,0.1503906264901161,0.01715366542339325,0.04499155282974243,0.021166913
,,,,13500,,,0,45,0.62,1.9,20020,-0.33302301,,,,,,,,,,
