env/n_steps,env/completion_counter,env/current_idx,eval/mean_ep_length,time/total_timesteps,eval/success_rate,eval/mean_reward,time/iterations,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,time/fps,time/time_elapsed,train/approx_kl,train/learning_rate,train/explained_variance,train/value_loss,train/clip_range,train/loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/policy_gradient_loss
,,,,10500,,,35,-0.20427468000000001,0.74,1.63,0,15548,,,,,,,,,,
10800,0,6137,1.22,10800,0.9,-0.11080992249771952,,,,,,,0.028430551,0.001,0.15869975090026855,0.15598328769207,0.2,0.031758252531290054,0.09079545497894287,175,-0.35740275621414186,-0.012984421160072089
,,,,10800,,,36,-0.21791389000000003,0.75,1.64,0,15996,,,,,,,,,,
11100,0,6322,1.2,11100,0.94,-0.05050059633329511,,,,,,,0.018684767,0.001,0.06503301858901978,0.16066312104463576,0.2,0.07297778874635696,0.05340909123420715,180,-0.44673096418380737,-0.01269946897518821
,,,,11100,,,37,-0.20692537000000003,0.76,1.59,0,16451,,,,,,,,,,
11400,0,6513,1.32,11400,0.88,-0.09135460121557117,,,,,,,0.022149455,0.001,0.10707229375839233,0.14274778753519057,0.2,-0.005354519933462143,0.07670454561710358,185,-0.40437641501426697,-0.017008033748716116
,,,,11400,,,38,-0.20152921,0.8,1.55,0,16912,,,,,,,,,,
11700,0,6695,1.12,11700,0.96,-0.027861206931993364,,,,,,,0.017660093,0.001,-0.03449249267578125,0.17141304135322571,0.2,0.022373421117663383,0.08965909153223038,190,-0.4568463861942291,-0.01696172934025526
,,,,11700,,,39,-0.2604662,0.71,1.71,0,17356,,,,,,,,,,
12000,0,6867,1.14,12000,0.98,-0.00864131524693221,,,,,,,0.016015898,0.001,0.03569483757019043,0.1763540831208229,0.2,0.026220381259918213,0.10443181842565537,195,-0.5387955939769745,-0.023880732990801335
,,,,12000,,,40,-0.28845887000000003,0.68,1.73,0,17790,,,,,,,,,,
12300,0,7052,1.28,12300,0.86,-0.11012963724322616,,,,,,,0.02473432,0.001,0.07498764991760254,0.1942231523990631,0.2,0.02945258840918541,0.15471590995788576,200,-0.4556158208847046,-0.02314153201878071
,,,,12300,,,41,-0.26883866000000006,0.7,1.74,0,18229,,,,,,,,,,
12600,0,7227,1.34,12600,0.88,-0.07120268820784986,,,,,,,0.025954306,0.001,0.12126296758651733,0.17359210878610612,0.2,0.033293142914772034,0.07556818217039109,205,-0.38847293496131896,-0.014866015212610363
,,,,12600,,,42,-0.26332044,0.7,1.69,0,18677,,,,,,,,,,
12900,0,7408,1.26,12900,0.92,-0.09255753699690103,,,,,,,0.021210361,0.001,0.07043707370758057,0.1993725609779358,0.2,0.05016248673200607,0.054772727489471436,210,-0.34928110778331756,-0.010954133856575936
,,,,12900,,,43,-0.26642478,0.72,1.65,0,19108,,,,,,,,,,
13200,0,7602,1.16,13200,0.94,-0.07022048547398299,,,,,,,0.013356194,0.001,0.2352040410041809,0.16925031393766404,0.2,0.03460388258099556,0.08863636404275894,215,-0.3662832170724869,-0.01679863446392119
,,,,13200,,,44,-0.24627002,0.72,1.64,0,19544,,,,,,,,,,
13500,0,7785,1.22,13500,0.92,-0.09510807150509208,,,,,,,0.013300285,0.001,0.22952067852020264,0.13879170536994934,0.2,0.025441884994506836,0.06789772778749466,220,-0.25101938724517825,-0.011755316890776158
,,,,13500,,,45,-0.28019421,0.72,1.64,0,20068,,,,,,,,,,
13800,0,7973,1.3,13800,0.88,-0.07082583878189325,,,,,,,0.015221472,0.001,0.21674203872680664,0.1475999090075493,0.2,0.03321334719657898,0.06335227310657501,225,-0.2955824166536331,-0.010294301034882665
,,,,13800,,,46,-0.29023532,0.73,1.65,0,20524,,,,,,,,,,
14100,0,8164,1.3,14100,0.88,-0.0900691735651344,,,,,,,0.016633336,0.001,0.2984064221382141,0.13364530026912688,0.2,0.018877506256103516,0.08846590936183929,230,-0.42112465381622316,-0.012712142281234264
,,,,14100,,,47,-0.23107881,0.76,1.62,0,20983,,,,,,,,,,
