eval/mean_ep_length,time/total_timesteps,eval/mean_reward,eval/success_rate,env/completion_counter,env/n_steps,env/current_idx,time/iterations,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/success_rate,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/value_loss,train/clip_range,train/approx_kl,train/loss,train/explained_variance,train/clip_fraction,train/learning_rate
,6300,,,,,,21,9656,0,-0.29189898,1.75,0.69,,,,,,,,,,
1.34,6600,-0.09185420981608332,0.86,0,6600,3499,,,,,,,-0.5049820923805237,105,-0.00041889523999998345,0.20368821859359743,0.2,0.00013563836,0.0961969867348671,0.11480379104614258,0.0,0.0001
,6600,,,,,,22,10129,0,-0.24365304,1.58,0.75,,,,,,,,,,
1.28,6900,-0.08980085026472807,0.92,0,6900,3671,,,,,,,-0.48251244783401487,110,-0.0022868509274121605,0.1714722353219986,0.2,0.00048303854,0.07017944753170013,0.2672375440597534,0.0,0.0001
,6900,,,,,,23,10583,0,-0.23649363999999998,1.72,0.69,,,,,,,,,,
1.38,7200,-0.11325396839994938,0.82,0,7200,3853,,,,,,,-0.43268792748451235,115,-0.0036187027487903835,0.18888449430465698,0.2,0.0008791825,0.06599518656730652,0.1347959041595459,0.0,0.0001
,7200,,,,,,24,11065,0,-0.27732228999999997,1.68,0.72,,,,,,,,,,
1.36,7500,-0.11171442303340882,0.84,0,7500,4036,,,,,,,-0.3863058292865753,120,-0.0006152254527114565,0.19938452064990997,0.2,0.00017716941,0.10349694639444351,0.10805994272232056,0.0,0.0001
,7500,,,,,,25,11606,0,-0.30062656000000004,1.69,0.68,,,,,,,,,,
1.34,7800,-0.11162191487383097,0.86,0,7800,4213,,,,,,,-0.36953131675720213,125,-0.0002903409383725375,0.20429056346416474,0.2,7.815688e-05,0.12263336032629013,0.08269095420837402,0.0,0.0001
,7800,,,,,,26,12049,0,-0.29256644000000004,1.75,0.66,,,,,,,,,,
1.32,8100,-0.0923732616379857,0.86,0,8100,4394,,,,,,,-0.3511312162876129,130,-0.0019790522731966574,0.1852395701408386,0.2,0.00045185475,0.061835166066884995,0.16788536310195923,0.0,0.0001
,8100,,,,,,27,12497,0,-0.22985941000000001,1.65,0.75,,,,,,,,,,
1.16,8400,-0.06913560147862881,0.92,0,8400,4575,,,,,,,-0.32338039636611937,135,-0.00251398547727149,0.20335276365280153,0.2,0.00040229186,0.09062898904085159,0.08043879270553589,0.0,0.0001
,8400,,,,,,28,12928,0,-0.29524719000000005,1.7,0.69,,,,,,,,,,
1.32,8700,-0.09068901639897377,0.86,0,8700,4767,,,,,,,-0.3031254720687866,140,-0.00043054743320681155,0.17640124678611754,0.2,6.7065484e-05,0.07671692967414856,0.24791085720062256,0.0,0.0001
,8700,,,,,,29,13426,0,-0.18174563999999993,1.52,0.79,,,,,,,,,,
1.2,9000,-0.09067310978658498,0.92,0,9000,4955,,,,,,,-0.2908968067169189,145,-0.0015168906746112043,0.16880523413419724,0.2,0.0002996719,0.061767082661390305,0.22708266973495483,0.0,0.0001
,9000,,,,,,30,13879,0,-0.24454607999999997,1.58,0.75,,,,,,,,,,
1.1,9300,-0.04711211493704468,0.96,0,9300,5147,,,,,,,-0.27159467339515686,150,-0.0003198058935493009,0.1572972360253334,0.2,5.5282006e-05,0.08438257873058319,0.2698189616203308,0.0,0.0001
,9300,,,,,,31,14326,0,-0.22211059000000002,1.57,0.75,,,,,,,,,,
1.24,9600,-0.08973081822041422,0.9,0,9600,5337,,,,,,,-0.2638171124458313,155,-0.0013124948301992845,0.19653133034706116,0.2,0.00013716836,0.08673543483018875,0.11922705173492432,0.0,0.0001
,9600,,,,,,32,14776,0,-0.15984458999999998,1.6,0.77,,,,,,,,,,
1.14,9900,-0.028676593210548162,0.96,0,9900,5535,,,,,,,-0.24370890200138093,160,-0.0011945498635759578,0.1852422249317169,0.2,0.00026187548,0.08311513811349869,0.015987038612365723,0.0,0.0001
,9900,,,,,,33,15251,0,-0.22547899000000002,1.54,0.77,,,,,,,,,,
1.2,10200,-0.03033422746695578,0.98,0,10200,5721,,,,,,,-0.22607582926750183,165,-0.0007666099711650531,0.1867373901605606,0.2,0.00010373558,0.08871310949325562,0.15874528884887695,0.0,0.0001
,10200,,,,,,34,15704,0,-0.24005864000000002,1.59,0.73,,,,,,,,,,
1.2,10500,-0.04911976375151426,0.92,0,10500,5906,,,,,,,-0.21229347705841065,170,-0.0006479050016787368,0.19586296796798705,0.2,0.000103907056,0.10589126497507095,0.17655062675476074,0.0,0.0001
,10500,,,,,,35,16157,0,-0.26499462000000007,1.75,0.67,,,,,,,,,,
1.28,10800,-0.13258655983954667,0.88,0,10800,6095,,,,,,,-0.2016338264942169,175,7.216623212570994e-05,0.17544364899396897,0.2,5.193461e-06,0.07119771838188171,0.21406477689743042,0.0,0.0001
,10800,,,,,,36,16619,0,-0.23745830999999995,1.57,0.76,,,,,,,,,,
1.28,11100,-0.07372134261764586,0.92,0,11100,6275,,,,,,,-0.1952516567707062,180,-0.0011506822193041444,0.18056682407855987,0.2,0.00011359308,0.07210700958967209,0.20820897817611694,0.0,0.0001
,11100,,,,,,37,17091,0,-0.26355856000000005,1.69,0.69,,,,,,,,,,
