rollout/ep_len_mean,time/iterations,time/total_timesteps,time/fps,time/time_elapsed,env/completion_counter,rollout/ep_rew_mean,env/current_idx,env/n_steps,rollout/success_rate,train/policy_gradient_loss,train/n_updates,train/value_loss,train/clip_fraction,train/explained_variance,train/entropy_loss,train/loss,train/approx_kl,train/clip_range,train/learning_rate,eval/mean_ep_length,eval/mean_reward,eval/success_rate
1.32,20,1200,0,1380,0,-0.042002300000000006,805,1200,0.93,-0.0015245209452890763,190,0.07563384659588337,0.0,-0.23344039916992188,-1.9240736484527587,0.023082595318555832,0.00038973193,0.2,0.0001,,,
1.43,21,1260,0,1453,0,-0.06387674000000002,841,1260,0.9,-0.00764696173990762,200,0.11957880780100823,0.0,-0.23628544807434082,-1.9205121636390685,0.03346255421638489,0.0006985386,0.2,0.0001,,,
1.53,22,1320,0,1529,0,-0.12800104,878,1320,0.85,-0.0024495501629038683,210,0.15200854688882828,0.0,-0.12364315986633301,-1.9167057871818542,0.05642026290297508,0.0004944156,0.2,0.0001,,,
1.57,23,1380,0,1606,0,-0.13962890000000003,917,1380,0.86,-0.007856858378120979,220,0.1612819641828537,0.0,0.23988699913024902,-1.9091964721679688,0.0522889569401741,0.000982212,0.2,0.0001,,,
1.61,24,1440,0,1678,0,-0.17137331000000003,952,1440,0.84,-0.007804195084609056,230,0.1375764563679695,0.0,0.21972787380218506,-1.8968913316726685,0.04112602025270462,0.0017012745,0.2,0.0001,,,
1.58,25,1500,0,1745,0,-0.14760084999999998,992,1500,0.86,-0.015764062494660357,240,0.1954941540956497,0.0,0.11231768131256104,-1.872573435306549,0.043713610619306564,0.0028093199,0.2,0.0001,,,
1.58,26,1560,0,1827,0,-0.14905532000000002,1033,1560,0.86,-0.012843071445822751,250,0.17498486042022704,0.001666666753590107,0.05871009826660156,-1.844571554660797,0.03610220551490784,0.0027025512,0.2,0.0001,,,
1.37,27,1620,0,1898,0,-0.06373488,1078,1620,0.93,-0.006079744421877109,260,0.11666174978017807,0.0,0.1901983618736267,-1.815481996536255,0.03588392212986946,0.0014363328,0.2,0.0001,,,
1.44,28,1680,0,1978,0,-0.08617844999999999,1118,1680,0.91,-0.0013898248409229042,270,0.0666663009673357,0.0,-0.014775395393371582,-1.7965953826904297,0.02107718586921692,0.00031502842,0.2,0.0001,,,
1.45,29,1740,0,2055,0,-0.09498092999999999,1159,1740,0.9,8.478859235765413e-05,280,0.1593024790287018,0.0,0.24278289079666138,-1.7930742979049683,0.062331877648830414,0.00020425518,0.2,0.0001,,,
