env/current_idx,eval/mean_ep_length,eval/success_rate,eval/mean_reward,time/total_timesteps,env/completion_counter,env/n_steps,rollout/ep_len_mean,time/time_elapsed,rollout/success_rate,rollout/ep_rew_mean,time/fps,time/iterations,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/loss,train/learning_rate,train/clip_fraction,train/value_loss,train/explained_variance,train/clip_range,train/n_updates
,,,,6600,,,1.68,9602,0.7,-0.27049098999999993,0,22,,,,,,,,,,
3869,1.34,0.86,-0.1302153858402744,6900,0,6900,,,,,,,-0.47657884120941163,0.00132811,-0.005857225541258231,0.060542479157447815,0.0001,0.012102272808551789,0.15316251680254936,0.24437034130096436,0.2,220
,,,,6900,,,1.67,10045,0.73,-0.29589333,0,23,,,,,,,,,,
4062,1.38,0.82,-0.19090759666636586,7200,0,7200,,,,,,,-0.5088105475902558,0.0025946102,-0.008334730060305447,0.07243746519088745,0.0001,0.018295454680919646,0.17060764983296395,0.19542473554611206,0.2,230
,,,,7200,,,1.58,10499,0.75,-0.23700497999999995,0,24,,,,,,,,,,
4237,1.26,0.88,-0.13391381306108088,7500,0,7500,,,,,,,-0.454957634806633,0.0041502304,-0.00916461787535809,0.028468511998653412,0.0001,0.020681818276643754,0.17637321293354036,0.06924748420715332,0.2,240
,,,,7500,,,1.7,10933,0.73,-0.30226185,0,25,,,,,,,,,,
4412,1.28,0.88,-0.10947482648305595,7800,0,7800,,,,,,,-0.4692590802907944,0.002177481,-0.006587071856483817,0.06950639933347702,0.0001,0.018778409212827682,0.16849778234958648,0.21349793672561646,0.2,250
,,,,7800,,,1.67,11370,0.74,-0.24658681,0,26,,,,,,,,,,
4600,1.24,0.9,-0.09249683953355997,8100,0,8100,,,,,,,-0.4298603826761246,0.0021928267,-0.008204146279022098,0.05999865010380745,0.0001,0.02113636374473572,0.19230646938085555,0.09091132879257202,0.2,260
,,,,8100,,,1.58,11809,0.77,-0.20639675000000002,0,27,,,,,,,,,,
4781,1.3,0.88,-0.1121543638734147,8400,0,8400,,,,,,,-0.40160620808601377,0.003015843,-0.009604946330655366,0.06711410731077194,0.0001,0.0280397729575634,0.18952683508396148,0.06122016906738281,0.2,270
,,,,8400,,,1.7,12276,0.69,-0.30237921000000006,0,28,,,,,,,,,,
4981,1.36,0.84,-0.13179815221577884,8700,0,8700,,,,,,,-0.41972014725208284,0.0026755475,-0.006950032720342278,0.06520582735538483,0.0001,0.01931818202137947,0.17422714531421662,0.17717915773391724,0.2,280
,,,,8700,,,1.49,12732,0.85,-0.12850284999999997,0,29,,,,,,,,,,
5175,1.18,0.96,-0.0092474664747715,9000,0,9000,,,,,,,-0.4746776217222214,0.0060434164,-0.013553446716396139,0.018696799874305725,0.0001,0.037926136553287505,0.15585018426179886,0.12002712488174438,0.2,290
,,,,9000,,,1.58,13174,0.74,-0.25536018000000005,0,30,,,,,,,,,,
5358,1.28,0.9,-0.09044262167066336,9300,0,9300,,,,,,,-0.38755523443222045,0.002329706,-0.007110526270698756,0.0573170930147171,0.0001,0.00838068187236786,0.15650655090808868,0.23973935842514038,0.2,300
,,,,9300,,,1.63,13607,0.75,-0.23187658,0,31,,,,,,,,,,
5545,1.2,0.92,-0.06976843203417957,9600,0,9600,,,,,,,-0.4489974868297577,0.0088107865,-0.009708751265570754,0.04186507314443588,0.0001,0.04988636389374733,0.16817070692777633,0.19725799560546875,0.2,310
,,,,9600,,,1.59,14076,0.77,-0.21235762000000002,0,32,,,,,,,,,,
5727,1.3,0.9,-0.11003778494894505,9900,0,9900,,,,,,,-0.4212847197055817,0.0026349023,-0.010802395795471965,0.020993538200855255,0.0001,0.03213068202137947,0.14831531718373298,0.2568676471710205,0.2,320
,,,,9900,,,1.76,14521,0.69,-0.3029206,0,33,,,,,,,,,,
5900,1.34,0.88,-0.09065828337799758,10200,0,10200,,,,,,,-0.5185302394628525,0.005680556,-0.014252116603311151,0.07771247625350952,0.0001,0.04954545482993126,0.18531831353902817,0.1529003381729126,0.2,330
,,,,10200,,,1.82,14957,0.67,-0.29072549,0,34,,,,,,,,,,
6075,1.24,0.92,-0.09071676928084343,10500,0,10500,,,,,,,-0.5164192461967468,0.0072532357,-0.01426679851487279,0.036257095634937286,0.0001,0.03633522748947143,0.15034210577607154,0.26682746410369873,0.2,340
,,,,10500,,,1.7,15402,0.73,-0.23742282000000006,0,35,,,,,,,,,,
6269,1.16,0.92,-0.04829473144374788,10800,0,10800,,,,,,,-0.451248140335083,0.004508225,-0.014309514975175262,0.032600849866867065,0.0001,0.05079545482993126,0.14708359882235528,0.21393448114395142,0.2,350
,,,,10800,,,1.57,15858,0.8,-0.17667054999999998,0,36,,,,,,,,,,
6450,1.24,0.9,-0.08993302525486797,11100,0,11100,,,,,,,-0.4661386269330978,0.004277751,-0.011472850521095097,0.04842653125524521,0.0001,0.031051136553287506,0.14314335227012634,0.20126795768737793,0.2,360
,,,,11100,,,1.67,16289,0.73,-0.23027873,0,37,,,,,,,,,,
6631,1.18,0.92,-0.048197366576641795,11400,0,11400,,,,,,,-0.5199329155683518,0.0067843646,-0.01779214882888482,0.038558799773454666,0.0001,0.0492897729575634,0.16508278653025626,0.11670184135437012,0.2,370
,,,,11400,,,1.71,16739,0.7,-0.30617982,0,38,,,,,,,,,,
6813,1.24,0.92,-0.05008673447184265,11700,0,11700,,,,,,,-0.5018123018741608,0.0074476646,-0.01495122303487733,0.037536196410655975,0.0001,0.039147727489471436,0.1599357669055462,0.19665026664733887,0.2,380
,,,,11700,,,1.57,17200,0.77,-0.22197884,0,39,,,,,,,,,,
6994,1.22,0.92,-0.08976936825551092,12000,0,12000,,,,,,,-0.4281522798538208,0.0054703313,-0.013462746916338801,0.04470830410718918,0.0001,0.03153409108519554,0.15733956709504127,0.25329452753067017,0.2,390
,,,,12000,,,1.7,17668,0.71,-0.29566448999999995,0,40,,,,,,,,,,
7178,1.26,0.9,-0.09124264047946781,12300,0,12300,,,,,,,-0.3818468999862671,0.0042815525,-0.009821560392156243,0.04417642205953598,0.0001,0.03713068202137947,0.17147431179881095,0.230343759059906,0.2,400
,,,,12300,,,1.66,18126,0.7,-0.27918264,0,41,,,,,,,,,,
7356,1.2,0.96,-0.04979394511319697,12600,0,12600,,,,,,,-0.3156693822145462,0.004447067,-0.013821260759141297,0.03910114988684654,0.0001,0.04281250029802322,0.16744270130991937,0.1953379511833191,0.2,410
,,,,12600,,,1.7,18553,0.74,-0.29652062000000007,0,42,,,,,,,,,,
7526,1.1,0.96,-0.04700192596763372,12900,0,12900,,,,,,,-0.3442253428697586,0.0033794683,-0.007978966865339316,0.06780437380075455,0.0001,0.022130681872367858,0.17065451949834823,0.195581316947937,0.2,420
,,,,12900,,,1.79,18981,0.67,-0.26540390999999997,0,43,,,,,,,,,,
7702,1.36,0.84,-0.1513089348608628,13200,0,13200,,,,,,,-0.3916741526126862,0.008201779,-0.01440437822137028,0.03819669038057327,0.0001,0.07122159138321876,0.16076456487178803,0.12813633680343628,0.2,430
,,,,13200,,,1.75,19420,0.68,-0.27886194000000003,0,44,,,,,,,,,,
7882,1.28,0.92,-0.09061606070026755,13500,0,13500,,,,,,,-0.44133792102336883,0.004889081,-0.01501705320200017,0.03680909425020218,0.0001,0.057755682170391086,0.1491342841088772,0.2790490984916687,0.2,440
,,,,13500,,,1.69,19862,0.73,-0.21312697999999997,0,45,,,,,,,,,,
8061,1.34,0.88,-0.11260495488066226,13800,0,13800,,,,,,,-0.39435953736305235,0.007862528,-0.013096709488891065,0.0247727632522583,0.0001,0.04235795482993126,0.14070980355143548,0.22865444421768188,0.2,450
,,,,13800,,,1.77,20307,0.67,-0.33312829999999993,0,46,,,,,,,,,,
