time/iterations,env/current_idx,time/fps,time/total_timesteps,env/n_steps,env/completion_counter,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,rollout/success_rate,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/loss,train/clip_range,train/value_loss,train/entropy_loss,train/explained_variance,train/n_updates,eval/mean_ep_length,eval/success_rate,eval/mean_reward
25,1014,0,1500,1500,0,1.61,-0.15123602,1859,0.84,0.0,0.0013629537412876759,7.73857e-05,0.0001,0.07252893596887589,0.2,0.181743286550045,-1.8783863306045532,0.27037984132766724,240,,,
26,1058,0,1560,1560,0,1.43,-0.07477965,1926,0.92,0.0,-0.0014569141696847865,0.00014672776,0.0001,0.05610087513923645,0.2,0.1619485341012478,-1.8797621846199035,0.2786966562271118,250,,,
27,1101,0,1620,1620,0,1.41,-0.07394985,1999,0.91,0.0,-0.004636691460812692,0.00054029323,0.0001,0.03370920568704605,0.2,0.1022026225924492,-1.8792582154273987,-0.9441008567810059,260,,,
28,1145,0,1680,1680,0,1.37,-0.0939192,2071,0.91,0.0,-0.004218461699395793,0.0005987922,0.0001,0.029667580500245094,0.2,0.11007860824465751,-1.8627334117889405,0.5290917158126831,270,,,
29,1180,0,1740,1740,0,1.41,-0.09492799000000002,2138,0.91,0.0,-0.005412045325695836,0.0008051336,0.0001,0.029226412996649742,0.2,0.09719077721238137,-1.8520760536193848,0.34707701206207275,280,,,
30,1216,0,1800,1800,0,1.54,-0.11595248000000001,2213,0.87,0.0,-0.010565910258640798,0.0016470521,0.0001,0.05835603550076485,0.2,0.17923355996608734,-1.8387007355690002,0.11825954914093018,290,,,
31,1261,0,1860,1860,0,1.5,-0.07662543000000001,2282,0.9,0.0,-0.0057788729496921045,0.0019847106,0.0001,0.04327315464615822,0.2,0.1336022585630417,-1.8023733377456665,0.03909546136856079,300,,,
32,1308,0,1920,1920,0,1.35,-0.06333214,2360,0.93,0.0,-0.0037016536132432167,0.0011158476,0.0001,0.008542587049305439,0.2,0.050953392684459684,-1.77731454372406,-0.05679428577423096,310,,,
33,1349,0,1980,1980,0,1.3,-0.04173464000000001,2428,0.94,0.0,-0.007866253787651623,0.001329264,0.0001,0.04220644384622574,0.2,0.14992420822381974,-1.7400817632675172,0.050882577896118164,320,,,
34,1396,0,2040,2040,0,1.33,-0.04154096999999999,2505,0.93,0.0,-0.011204572093362942,0.0019442796,0.0001,0.0019319914281368256,0.2,0.0694534420967102,-1.7013858795166015,-0.6161390542984009,330,,,
35,1438,0,2100,2100,0,1.34,-0.08110479,2576,0.92,0.0,-0.006846482767723483,0.0020297638,0.0001,0.038417838513851166,0.2,0.12020981833338737,-1.645774257183075,-0.09684884548187256,340,,,
36,1484,0,2160,2160,0,1.34,-0.06058449000000001,2649,0.94,0.0,-0.0010035721516276296,0.0005192101,0.0001,0.06451597809791565,0.2,0.16054752767086028,-1.6005412697792054,0.0021207332611083984,350,,,
