env/n_steps,eval/success_rate,eval/mean_reward,eval/mean_ep_length,env/current_idx,env/completion_counter,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/success_rate,time/iterations,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/loss,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/explained_variance,train/clip_fraction
26700,0.9,-0.11405292405746877,1.54,12291,0,26700,,,,,,,880,0.001,-0.02981652319431305,0.2,-0.4796297645568848,-0.04059740053489804,0.14081801280379294,0.10394015,-0.019989371299743652,0.243465908318758
,,,,,,26700,41573,-0.23583521000000002,0,0.79,89,2.17,,,,,,,,,,
27000,0.92,-0.08278928712941706,1.42,12430,0,27000,,,,,,,890,0.001,-0.024241063743829727,0.2,-0.48015101611614225,-0.04561176932882518,0.1530916266143322,0.11150324,-0.16855692863464355,0.2377272726595402
,,,,,,27000,42023,-0.24815244,0,0.81,90,2.1,,,,,,,,,,
27300,0.94,-0.07098038325086237,1.34,12582,0,27300,,,,,,,900,0.001,-0.08000509440898895,0.2,-0.46075035095214845,-0.05384813053533435,0.12441693745553493,0.11189594,-0.006538748741149902,0.2397727270424366
,,,,,,27300,42468,-0.16190467000000006,0,0.88,91,1.84,,,,,,,,,,
27600,0.96,-0.05058050996158272,1.22,12721,0,27600,,,,,,,910,0.001,-0.03584054112434387,0.2,-0.4424992573261261,-0.04518588985316455,0.13224912099540234,0.09591117,-0.01865243911743164,0.22411931827664375
,,,,,,27600,42902,-0.21063909000000003,0,0.81,92,2.09,,,,,,,,,,
27900,0.98,-0.030162382051348687,1.26,12876,0,27900,,,,,,,920,0.001,-0.030439231544733047,0.2,-0.37484773218631745,-0.041735651586204764,0.141842542886734,0.08651636,0.0015282630920410156,0.24193181842565536
,,,,,,27900,43325,-0.18839391,0,0.82,93,2.03,,,,,,,,,,
28200,0.92,-0.07463127453811466,1.46,13026,0,28200,,,,,,,930,0.001,-0.07854922115802765,0.2,-0.33077205121517184,-0.04121452931605745,0.0977662843838334,0.12841737,0.20424610376358032,0.21372159123420714
,,,,,,28200,43765,-0.17239929,0,0.84,94,1.99,,,,,,,,,,
28500,0.94,-0.05817522677592933,1.32,13180,0,28500,,,,,,,940,0.001,-0.06318593770265579,0.2,-0.315678531229496,-0.04141148467548192,0.11974016085267067,0.114445195,-0.21036696434020996,0.20974431827664375
,,,,,,28500,44182,-0.18017039999999998,0,0.84,95,1.88,,,,,,,,,,
28800,0.94,-0.05322860012762248,1.34,13339,0,28800,,,,,,,950,0.001,-0.02514931932091713,0.2,-0.25782846093177797,-0.029705768153071403,0.12804959513247013,0.05027451,0.15447908639907837,0.15329545497894287
,,,,,,28800,44607,-0.18320715000000004,0,0.83,96,1.97,,,,,,,,,,
29100,0.98,-0.027653192691504954,1.14,13466,0,29100,,,,,,,960,0.001,-0.02842140570282936,0.2,-0.2586392191052437,-0.03289151975885034,0.12717675536870957,0.12685218,0.04709523916244507,0.16704545497894288
,,,,,,29100,45012,-0.26296335000000004,0,0.74,97,2.37,,,,,,,,,,
29400,0.96,-0.033978022686205804,1.3,13625,0,29400,,,,,,,970,0.001,-0.044006623327732086,0.2,-0.3142209044098854,-0.03713218320161104,0.11537217050790786,0.060688417,-0.10437726974487305,0.20673295468091965
,,,,,,29400,45451,-0.22059271000000003,0,0.82,98,1.86,,,,,,,,,,
29700,0.94,-0.05515112901572138,1.52,13767,0,29700,,,,,,,980,0.001,-0.05893341451883316,0.2,-0.4069432979822159,-0.04931170626543462,0.12894532687962054,0.085279144,-0.038344502449035645,0.24681818142533302
,,,,,,29700,45884,-0.22997276000000003,0,0.78,99,2.13,,,,,,,,,,
30000,0.98,-0.028428568486124278,1.08,13923,0,30000,,,,,,,990,0.001,-0.05800578370690346,0.2,-0.35320527404546737,-0.05046436090022326,0.16029561102390288,0.14048447,0.021387219429016113,0.2288920457661152
,,,,,,30000,46297,-0.17569767000000003,0,0.84,100,2.02,,,,,,,,,,
30300,0.9,-0.09282768091652542,1.5,14055,0,30300,,,,,,,1000,0.001,-0.0345316156744957,0.2,-0.3420013493299484,-0.04541507051348162,0.11599809922277927,0.123309754,0.10353904962539673,0.19988636404275895
,,,,,,30300,46817,-0.26912663000000003,0,0.77,101,2.18,,,,,,,,,,
30600,0.96,-0.05219682251103222,1.2,14197,0,30600,,,,,,,1010,0.001,-0.06339718401432037,0.2,-0.48429173409938814,-0.061003472413867714,0.14355560071766377,0.11890113,0.04385751485824585,0.2776988646388054
,,,,,,30600,47226,-0.25866491999999996,0,0.78,102,2.17,,,,,,,,,,
30900,0.94,-0.07973163238726556,1.44,14344,0,30900,,,,,,,1020,0.001,-0.06947948038578033,0.2,-0.436837882399559,-0.053635145807638764,0.11482825584709644,0.14281075,0.16928386688232422,0.28599431857466695
,,,,,,30900,47651,-0.27101017,0,0.76,103,2.1,,,,,,,,,,
31200,0.94,-0.05491361975669861,1.44,14481,0,31200,,,,,,,1030,0.001,-0.02583327889442444,0.2,-0.43608350574970245,-0.052686729114502666,0.14024907000362874,0.10327182,0.0833977460861206,0.24633522763848303
,,,,,,31200,48076,-0.23253820000000006,0,0.79,104,2.09,,,,,,,,,,
31500,0.92,-0.054920293116010724,1.44,14622,0,31500,,,,,,,1040,0.001,-0.04957536607980728,0.2,-0.4265747165679932,-0.06232386155053973,0.13034974448382855,0.1248435,-9.310245513916016e-05,0.28957386314868927
,,,,,,31500,48494,-0.24728854000000003,0,0.79,105,2.12,,,,,,,,,,
31800,0.92,-0.052204753984697164,1.38,14765,0,31800,,,,,,,1050,0.001,-0.04638780653476715,0.2,-0.4555120009183884,-0.05363858755677939,0.11530910648405551,0.11751521,0.02599811553955078,0.25636363595724104
,,,,,,31800,48913,-0.23851141,0,0.79,106,2.07,,,,,,,,,,
32100,0.94,-0.07248886306304485,1.3,14894,0,32100,,,,,,,1060,0.001,-0.06258706003427505,0.2,-0.5395390158891678,-0.0592489661462605,0.15847870349884033,0.13851489,-0.026479005813598633,0.31394886374473574
,,,,,,32100,49351,-0.31733641999999995,0,0.75,107,2.28,,,,,,,,,,
32400,0.9,-0.0968734028376639,1.54,15045,0,32400,,,,,,,1070,0.001,-0.02405397593975067,0.2,-0.479536435008049,-0.053088035378605125,0.15349772840738296,0.15435,-0.10123193264007568,0.2698295457661152
,,,,,,32400,49781,-0.23055178999999995,0,0.8,108,2.02,,,,,,,,,,
32700,0.98,-0.030578743615187705,1.22,15185,0,32700,,,,,,,1080,0.001,-0.0330309122800827,0.2,-0.41383630484342576,-0.04522619519615546,0.11860603533685207,0.08465067,0.16528987884521484,0.23147727340459823
,,,,,,32700,50196,-0.24831364999999997,0,0.78,109,2.17,,,,,,,,,,
33000,0.92,-0.07651355346199125,1.58,15306,0,33000,,,,,,,1090,0.001,-0.06304865330457687,0.2,-0.5160715478658676,-0.05601609287783504,0.14382976572960615,0.0875601,0.02166825532913208,0.2839204542338848
,,,,,,33000,50659,-0.3208647,0,0.72,110,2.49,,,,,,,,,,
33300,0.9,-0.08767721876502037,1.56,15455,0,33300,,,,,,,1100,0.001,-0.05331556126475334,0.2,-0.46367761850357053,-0.04914082208648324,0.12159217461943626,0.11530199,0.005937933921813965,0.27110795497894286
,,,,,,33300,51104,-0.21049244,0,0.84,111,1.85,,,,,,,,,,
33600,0.96,-0.028843563022091984,1.22,15606,0,33600,,,,,,,1110,0.001,-0.04402824491262436,0.2,-0.47177367091178896,-0.04549010943621397,0.12917862482368947,0.09560331,0.06187021732330322,0.2614488637447357
,,,,,,33600,51523,-0.22122991,0,0.81,112,2.03,,,,,,,,,,
33900,0.92,-0.0945034166239202,1.5,15773,0,33900,,,,,,,1120,0.001,-0.08565784990787506,0.2,-0.44835965216159823,-0.06417088734917342,0.10556002639234066,0.106396355,0.13644415140151978,0.2746590909361839
,,,,,,33900,51975,-0.22727787,0,0.83,113,1.92,,,,,,,,,,
34200,0.92,-0.03117021458223462,1.38,15922,0,34200,,,,,,,1130,0.001,-0.05760268121957779,0.2,-0.40388762891292573,-0.05263221809640527,0.12302113525569439,0.0942322,0.010023176670074463,0.23559659093618393
,,,,,,34200,52404,-0.2347606,0,0.82,114,2.02,,,,,,,,,,
34500,0.94,-0.07281382018700241,1.3,16054,0,34500,,,,,,,1140,0.001,-0.029677726328372955,0.2,-0.4069835305213928,-0.04684205731377006,0.12398721233010292,0.08918543,0.12770795822143555,0.22107954621315
,,,,,,34500,52834,-0.29245064000000004,0,0.74,115,2.32,,,,,,,,,,
34800,0.94,-0.07840375728905201,1.42,16207,0,34800,,,,,,,1150,0.001,-0.059186771512031555,0.2,-0.4923910826444626,-0.0498104122467339,0.11219552285969257,0.07966677,0.129952073097229,0.25624999970197676
,,,,,,34800,53253,-0.22740688000000003,0,0.82,116,1.94,,,,,,,,,,
35100,0.96,-0.05169908294454217,1.44,16340,0,35100,,,,,,,1160,0.001,-0.07645773887634277,0.2,-0.46254627883434296,-0.0493184316683255,0.09997615657746792,0.11127492,0.18516844511032104,0.23454545497894286
,,,,,,35100,53693,-0.20142716,0,0.81,117,2.16,,,,,,,,,,
35400,0.96,-0.05260873417370021,1.32,16488,0,35400,,,,,,,1170,0.001,-0.0362602099776268,0.2,-0.44608562529087065,-0.052137643471360205,0.13471890196204186,0.08074214,-0.11838221549987793,0.2551420457661152
,,,,,,35400,54110,-0.18563487,0,0.82,118,2.02,,,,,,,,,,
35700,0.96,-0.03512192425318062,1.3,16628,0,35700,,,,,,,1180,0.001,-0.07288572192192078,0.2,-0.49966214537620546,-0.06444646128453314,0.09297364499419927,0.12773235,0.12367796897888184,0.29562500029802324
,,,,,,35700,54559,-0.18010426999999996,0,0.83,119,2.06,,,,,,,,,,
36000,0.94,-0.07748839121777565,1.4,16772,0,36000,,,,,,,1190,0.001,-0.007553815841674805,0.2,-0.44007292270660403,-0.049087333027273417,0.14054968498647213,0.086763635,-0.04093444347381592,0.24784090876579284
,,,,,,36000,54972,-0.17811525000000003,0,0.85,120,1.97,,,,,,,,,,
36300,0.98,-0.030693289120681585,1.2,16936,0,36300,,,,,,,1200,0.001,-0.0449601411819458,0.2,-0.4447079622745514,-0.051229937467724085,0.12012721315026283,0.08723335,-0.027992606163024902,0.2508238632977009
,,,,,,36300,55397,-0.19284972,0,0.87,121,1.88,,,,,,,,,,
36600,0.92,-0.052265426241792735,1.42,17070,0,36600,,,,,,,1210,0.001,-0.05219724774360657,0.2,-0.4491258728504181,-0.05192524648271501,0.10408069252967835,0.08621599,0.09780609607696533,0.226846591681242
,,,,,,36600,55848,-0.27014828,0,0.76,122,2.3,,,,,,,,,,
36900,0.94,-0.03902450463734567,1.34,17220,0,36900,,,,,,,1220,0.001,-0.058168716728687286,0.2,-0.4960738515853882,-0.059396892422810196,0.15344719387590885,0.10129623,-0.03654670715332031,0.26829545393586157
,,,,,,36900,56271,-0.24487627000000003,0,0.8,123,1.94,,,,,,,,,,
37200,0.9,-0.12315556838177144,1.46,17360,0,37200,,,,,,,1230,0.001,-0.0510171577334404,0.2,-0.4288805764913559,-0.046256306068971756,0.1222981183975935,0.14172146,0.13713127374649048,0.23497159123420716
,,,,,,37200,56746,-0.17590366,0,0.85,124,1.95,,,,,,,,,,
37500,0.96,-0.05085089100059122,1.32,17522,0,37500,,,,,,,1240,0.001,-0.005593199282884598,0.2,-0.4595629870891571,-0.04750370485708118,0.13360504195094108,0.08436843,-0.04893159866333008,0.23832386374473571
,,,,,,37500,57174,-0.17766948,0,0.85,125,1.8,,,,,,,,,,
37800,0.96,-0.055577865075320004,1.2,17680,0,37800,,,,,,,1250,0.001,-0.07419875264167786,0.2,-0.44815562963485717,-0.05636124445125461,0.12196156270802021,0.11853232,0.08485299348831177,0.2642897728085518
,,,,,,37800,57619,-0.20595871,0,0.81,126,1.99,,,,,,,,,,
38100,0.94,-0.07565423998516053,1.54,17821,0,38100,,,,,,,1260,0.001,-0.057262126356363297,0.2,-0.40146308541297915,-0.05279478058218956,0.13442515701055527,0.13646674,-0.2562357187271118,0.2387215906381607
,,,,,,38100,58090,-0.21581506000000006,0,0.81,127,2.19,,,,,,,,,,
38400,0.98,-0.030305816745385527,1.28,17972,0,38400,,,,,,,1270,0.001,-0.06589827686548233,0.2,-0.43767317712306975,-0.05679876323789358,0.1193677344173193,0.20158684,0.02852344512939453,0.3095170456171036
,,,,,,38400,58524,-0.21807045,0,0.8,128,2.08,,,,,,,,,,
38700,0.92,-0.09361051678657532,1.42,18134,0,38700,,,,,,,1280,0.001,-0.044432930648326874,0.2,-0.48467009723186494,-0.057051638662815096,0.1252565123513341,0.14751963,-0.002698183059692383,0.29167613565921785
,,,,,,38700,58954,-0.19460376000000001,0,0.85,129,1.79,,,,,,,,,,
39000,0.98,-0.009482470345683397,1.22,18280,0,39000,,,,,,,1290,0.001,-0.06683097034692764,0.2,-0.34595021724700925,-0.05114713527262211,0.1313257097452879,0.10570397,0.07293260097503662,0.20698863625526429
,,,,,,39000,59378,-0.19378077000000002,0,0.82,130,2.12,,,,,,,,,,
39300,0.94,-0.05249337851069868,1.38,18434,0,39300,,,,,,,1300,0.001,-0.04221072047948837,0.2,-0.49130191147327423,-0.0502920644544065,0.11984065577387809,0.115778126,-0.16145682334899902,0.27247159123420717
,,,,,,39300,59819,-0.18847182000000004,0,0.85,131,1.87,,,,,,,,,,
39600,0.96,-0.04952126000542194,1.22,18577,0,39600,,,,,,,1310,0.001,-0.04168396443128586,0.2,-0.41848979830741884,-0.048102995492517946,0.1530473394691944,0.1076625,0.0007387995719909668,0.23414772719144822
,,,,,,39600,60250,-0.23412671,0,0.8,132,1.98,,,,,,,,,,
39900,0.92,-0.03664218361955136,1.36,18747,0,39900,,,,,,,1320,0.001,-0.04058868810534477,0.2,-0.44546542525291444,-0.03562061761971563,0.13529700741171838,0.11764561,0.10433238744735718,0.2536647729575634
,,,,,,39900,60684,-0.17239132999999998,0,0.88,133,1.77,,,,,,,,,,
40200,0.94,-0.07775374080054462,1.38,18899,0,40200,,,,,,,1330,0.001,-0.026892848312854767,0.2,-0.5014624834060669,-0.045003321412950756,0.14181576907634735,0.104633674,0.06447994709014893,0.25860795378685
,,,,,,40200,61140,-0.17382340999999996,0,0.84,134,1.97,,,,,,,,,,
40500,1.0,-0.010206695040687918,1.26,19058,0,40500,,,,,,,1340,0.001,0.0009350273758172989,0.2,-0.4186662006378174,-0.04698942366056144,0.10813872665166854,0.14647225,0.12000143527984619,0.23329545482993125
,,,,,,40500,61564,-0.13864125000000002,0,0.87,135,1.9,,,,,,,,,,
40800,0.94,-0.05394711778033525,1.28,19221,0,40800,,,,,,,1350,0.001,-0.03498511761426926,0.2,-0.3858091896772385,-0.04089784561889246,0.08200864586979151,0.12810037,0.24299442768096924,0.20488636389374734
,,,,,,40800,61987,-0.21233222999999996,0,0.8,136,2.1,,,,,,,,,,
41100,0.94,-0.054398075249046086,1.42,19344,0,41100,,,,,,,1360,0.001,-0.038339272141456604,0.2,-0.3238861030340195,-0.03895161184016615,0.09738707978278399,0.09349837,0.1627366542816162,0.18468750044703483
,,,,,,41100,62451,-0.31639198999999996,0,0.71,137,2.36,,,,,,,,,,
41400,0.94,-0.050067591974511744,1.32,19487,0,41400,,,,,,,1370,0.001,-0.03989142179489136,0.2,-0.48841717183589933,-0.051343022026121614,0.10944019921123982,0.14656079,0.21161019802093506,0.26690340965986253
,,,,,,41400,62871,-0.21594291999999998,0,0.83,138,2.01,,,,,,,,,,
41700,0.92,-0.0533371976017952,1.46,19651,0,41700,,,,,,,1380,0.001,-0.04915105551481247,0.2,-0.40781609416007997,-0.045299615133553746,0.12121582746505738,0.13837825,-0.03800821304321289,0.22752840876579283
,,,,,,41700,63301,-0.18608843,0,0.84,139,1.86,,,,,,,,,,
42000,0.98,-0.03201159799937159,1.34,19780,0,42000,,,,,,,1390,0.001,-0.025491278618574142,0.2,-0.3775807350873947,-0.03543231380172074,0.1280599880218506,0.16209325,0.11014801263809204,0.2296306821703911
,,,,,,42000,63733,-0.29587094,0,0.73,140,2.4,,,,,,,,,,
42300,0.94,-0.07081550159491598,1.32,19926,0,42300,,,,,,,1400,0.001,-0.05942890793085098,0.2,-0.4650028717517853,-0.045778565676300786,0.15362389743328095,0.0928498,-0.09660196304321289,0.23156250059604644
,,,,,,42300,64181,-0.20385674,0,0.83,141,1.94,,,,,,,,,,
42600,0.88,-0.11667685294523836,1.56,20062,0,42600,,,,,,,1410,0.001,-0.043782927095890045,0.2,-0.3390368562936783,-0.03993245579302311,0.1323142595589161,0.14300057,0.15035289525985718,0.20340909123420714
,,,,,,42600,64662,-0.27605221999999996,0,0.77,142,2.1,,,,,,,,,,
42900,0.96,-0.05109332628082484,1.26,20223,0,42900,,,,,,,1420,0.001,-0.04967280477285385,0.2,-0.4619098198413849,-0.04277514774817973,0.13665412321686746,0.11294721,0.08169472217559814,0.21994318217039108
,,,,,,42900,65096,-0.14793282000000002,0,0.86,143,1.85,,,,,,,,,,
43200,0.82,-0.18079965048469604,1.86,20387,0,43200,,,,,,,1430,0.001,-0.05124709755182266,0.2,-0.4855525642633438,-0.049196821907535195,0.10357727088034153,0.12586892,0.08435922861099243,0.2565056824684143
,,,,,,43200,65564,-0.12640955,0,0.9,144,1.71,,,,,,,,,,
43500,1.0,-0.009167631287127734,1.2,20530,0,43500,,,,,,,1440,0.001,-0.06447070091962814,0.2,-0.4129188656806946,-0.05319518269971013,0.11268162541091442,0.13318351,0.058067142963409424,0.2070454552769661
,,,,,,43500,65981,-0.26010318999999993,0,0.8,145,1.99,,,,,,,,,,
43800,0.94,-0.05216161886695772,1.34,20662,0,43800,,,,,,,1450,0.001,-0.042089663445949554,0.2,-0.42054222702980043,-0.03599259380251169,0.1444085567444563,0.0924751,0.1523534059524536,0.2019886367022991
,,,,,,43800,66443,-0.28167856,0,0.77,146,2.28,,,,,,,,,,
44100,0.96,-0.05100334722548723,1.32,20804,0,44100,,,,,,,1460,0.001,-0.01400994136929512,0.2,-0.5471934825181961,-0.04527252598665655,0.1372053275257349,0.17538545,0.1813640594482422,0.27795454502105715
,,,,,,44100,66873,-0.2002871,0,0.86,147,1.98,,,,,,,,,,
44400,0.98,-0.010485525531694294,1.28,20950,0,44400,,,,,,,1470,0.001,-0.031011763960123062,0.2,-0.4844662243127823,-0.04917090815491974,0.14441031873226165,0.088629045,0.19887787103652954,0.23928977265954018
,,,,,,44400,67330,-0.22761442,0,0.79,148,2.03,,,,,,,,,,
44700,0.96,-0.051715650241822,1.22,21093,0,44700,,,,,,,1480,0.001,-0.058993980288505554,0.2,-0.5318207609653473,-0.05489729326218366,0.13543467313051225,0.08305164,0.15456032752990723,0.25414772689342496
,,,,,,44700,67785,-0.36100163,0,0.74,149,2.17,,,,,,,,,,
45000,0.92,-0.07529561243485659,1.4,21243,0,45000,,,,,,,1490,0.001,-0.022527098655700684,0.2,-0.47120870649814606,-0.04546714704483747,0.1537493558973074,0.11876805,0.12848788499832153,0.25869318217039106
,,,,,,45000,68259,-0.20833446,0,0.83,150,1.92,,,,,,,,,,
45300,0.98,-0.03303467038553208,1.18,21382,0,45300,,,,,,,1500,0.001,-0.04643494263291359,0.2,-0.5151390939950943,-0.04508182680699974,0.13501316674053668,0.10878833,0.13911575078964233,0.2168465904891491
,,,,,,45300,68698,-0.23697998,0,0.8,151,2.02,,,,,,,,,,
45600,0.94,-0.07117393271997571,1.42,21514,0,45600,,,,,,,1510,0.001,-0.030522488057613373,0.2,-0.5610062199831009,-0.05404457494616508,0.13506627328693865,0.14062479,0.07810014486312866,0.2943181820213795
,,,,,,45600,69148,-0.30433805,0,0.75,152,2.27,,,,,,,,,,
45900,0.88,-0.11514208538457751,1.68,21660,0,45900,,,,,,,1520,0.001,-0.04067610949277878,0.2,-0.5636960887908935,-0.04612013237550855,0.1581055097281933,0.09464883,-0.06021475791931152,0.2578977265954018
,,,,,,45900,69627,-0.17823890000000003,0,0.84,153,2.03,,,,,,,,,,
46200,0.92,-0.05248209111392498,1.46,21798,0,46200,,,,,,,1530,0.001,-0.042290158569812775,0.2,-0.47971318185329437,-0.050365669215098025,0.1537764735519886,0.15156746,-0.029463648796081543,0.23886363670229913
,,,,,,46200,70083,-0.26196394,0,0.76,154,2.19,,,,,,,,,,
46500,0.94,-0.07337779010646045,1.46,21929,0,46500,,,,,,,1540,0.001,-0.04404255375266075,0.2,-0.4879493474960327,-0.040960326096974316,0.1318200745806098,0.09410706,0.15524375438690186,0.2202840919792652
,,,,,,46500,70533,-0.28270554000000003,0,0.78,155,2.26,,,,,,,,,,
46800,0.92,-0.09111626586411148,1.38,22093,0,46800,,,,,,,1550,0.001,-0.04617302492260933,0.2,-0.5302702438831329,-0.04655586506705731,0.14741801843047142,0.13738605,0.018306970596313477,0.2748579543828964
,,,,,,46800,71081,-0.12765888999999997,0,0.9,156,1.7,,,,,,,,,,
47100,0.92,-0.07429934714920819,1.48,22228,0,47100,,,,,,,1560,0.001,-0.0340411551296711,0.2,-0.4998851191997528,-0.052892613587901,0.12554748982191086,0.1287866,0.1179388165473938,0.2686647726595402
,,,,,,47100,71537,-0.24116929000000004,0,0.75,157,2.34,,,,,,,,,,
47400,0.94,-0.0750031313020736,1.54,22361,0,47400,,,,,,,1570,0.001,-0.04622199386358261,0.2,-0.6167817825078964,-0.05622992895543575,0.150372297167778,0.14091799,-0.09699463844299316,0.3001704540848732
,,,,,,47400,71988,-0.3396914499999999,0,0.72,158,2.36,,,,,,,,,,
47700,0.9,-0.10241542568430305,1.48,22491,0,47700,,,,,,,1580,0.001,-0.050046056509017944,0.2,-0.6273231023550033,-0.05987026553601026,0.12370080098509789,0.14059426,0.22876012325286865,0.3267329552769661
,,,,,,47700,72448,-0.33926372,0,0.72,159,2.3,,,,,,,,,,
48000,0.98,-0.03002427700906992,1.3,22625,0,48000,,,,,,,1590,0.001,-0.06784272193908691,0.2,-0.6215006285905837,-0.06023038081148115,0.12620764791965486,0.10939342,0.12491863965988159,0.3161363637447357
,,,,,,48000,72898,-0.25158257,0,0.77,160,2.31,,,,,,,,,,
48300,0.98,-0.031162703521549703,1.16,22756,0,48300,,,,,,,1600,0.001,-0.04794935882091522,0.2,-0.5716199964284897,-0.0585341115295887,0.1534459253400564,0.114262246,-0.1087120771408081,0.30593750059604646
,,,,,,48300,73330,-0.30574665,0,0.73,161,2.32,,,,,,,,,,
48600,0.96,-0.062475027218461036,1.44,22889,0,48600,,,,,,,1610,0.001,-0.06200621277093887,0.2,-0.7099482989311219,-0.06398783227428793,0.14675820119678973,0.13389346,0.10619091987609863,0.33093749955296514
,,,,,,48600,73782,-0.38226128000000004,0,0.71,162,2.33,,,,,,,,,,
48900,0.94,-0.07196216119918972,1.42,23036,0,48900,,,,,,,1620,0.001,-0.047245293855667114,0.2,-0.6115623205900192,-0.06320354711264371,0.13504546210169793,0.15773103,0.1944873332977295,0.31911931857466697
,,,,,,48900,74224,-0.25062868999999993,0,0.79,163,2.08,,,,,,,,,,
49200,0.94,-0.07518229163717478,1.46,23185,0,49200,,,,,,,1630,0.001,-0.08506175875663757,0.2,-0.5518662887811661,-0.06427215291187167,0.11973656453192234,0.2310385,0.05958724021911621,0.3138352270424366
,,,,,,49200,74703,-0.20320981000000005,0,0.82,164,2.03,,,,,,,,,,
49500,0.88,-0.12204960863571614,1.62,23331,0,49500,,,,,,,1640,0.001,-0.08048126846551895,0.2,-0.5841842466592788,-0.059436065591871735,0.11535735346376896,0.14555708,0.08044558763504028,0.28366477236151694
,,,,,,49500,75181,-0.20436274000000004,0,0.84,165,1.94,,,,,,,,,,
49800,0.94,-0.0740811563283205,1.36,23476,0,49800,,,,,,,1650,0.001,-0.022182337939739227,0.2,-0.4457164293527603,-0.04988886401057244,0.16063560046255587,0.19677994,-0.10493755340576172,0.2640340907871723
,,,,,,49800,75627,-0.22674847,0,0.8,166,2.02,,,,,,,,,,
50100,0.94,-0.051214777212589976,1.36,23612,0,50100,,,,,,,1660,0.001,-0.061664409935474396,0.2,-0.5200231891870498,-0.05613858833909035,0.1170006787776947,0.119752124,0.1397297978401184,0.27894886299967764
,,,,,,50100,76071,-0.29555774,0,0.77,167,2.22,,,,,,,,,,
50400,0.92,-0.05635922715533525,1.58,23765,0,50400,,,,,,,1670,0.001,-0.06590648740530014,0.2,-0.48337404787540433,-0.05952765621244907,0.14035265393555163,0.2148138,0.0361061692237854,0.30269886314868927
,,,,,,50400,76534,-0.19792535,0,0.84,168,1.92,,,,,,,,,,
50700,0.94,-0.053523279456421734,1.38,23918,0,50700,,,,,,,1680,0.001,-0.07625004649162292,0.2,-0.4721656250953674,-0.06070527033880353,0.10163382958620787,0.1899238,0.19852274656295776,0.2804545460641384
,,,,,,50700,76972,-0.11673837000000001,0,0.86,169,1.72,,,,,,,,,,
51000,1.0,-0.008440805040299893,1.16,24062,0,51000,,,,,,,1690,0.001,-0.05287852883338928,0.2,-0.4478984600305557,-0.059937823377549646,0.12233835846185684,0.14201361,0.021855711936950684,0.2649715906381607
,,,,,,51000,77403,-0.32397843000000004,0,0.75,170,2.15,,,,,,,,,,
51300,0.9,-0.11886144323740154,1.5,24202,0,51300,,,,,,,1700,0.001,-0.05627581477165222,0.2,-0.5691831469535827,-0.0643837681785226,0.12603592745959757,0.12556852,0.29885268211364746,0.30857954546809196
,,,,,,51300,77859,-0.23048085999999998,0,0.84,171,2.06,,,,,,,,,,
51600,0.98,-0.03240775856655091,1.24,24354,0,51600,,,,,,,1710,0.001,-0.04831579327583313,0.2,-0.5546247088909149,-0.05687914934009314,0.13541154690086843,0.1315535,0.1428757905960083,0.28732954621315004
,,,,,,51600,78309,-0.24561341999999997,0,0.79,172,2.05,,,,,,,,,,
51900,0.92,-0.07501498087774962,1.56,24500,0,51900,,,,,,,1720,0.001,-0.055262818932533264,0.2,-0.4850524890422821,-0.05584005093201995,0.11361960668116808,0.15214325,0.17332106828689575,0.2718465912342072
,,,,,,51900,78762,-0.19126034999999997,0,0.84,173,2.0,,,,,,,,,,
52200,0.94,-0.05702879840508104,1.4,24627,0,52200,,,,,,,1730,0.001,-0.0025917384773492813,0.2,-0.5069791167974472,-0.05004668615758419,0.13057045951485635,0.17881735,0.00859975814819336,0.2856534095108509
,,,,,,52200,79213,-0.29223727,0,0.77,174,2.24,,,,,,,,,,
52500,0.96,-0.052936702161096034,1.5,24756,0,52500,,,,,,,1740,0.001,-0.0539349764585495,0.2,-0.5847061353921891,-0.06743340451270342,0.16331629008054732,0.139286,-0.12481534481048584,0.34852272748947144
,,,,,,52500,79677,-0.30550651000000006,0,0.75,175,2.32,,,,,,,,,,
52800,0.96,-0.03163472797721625,1.34,24894,0,52800,,,,,,,1750,0.001,-0.0637492686510086,0.2,-0.518989104628563,-0.05796174731105566,0.1303710985183716,0.1333513,0.15686655044555664,0.2907954552769661
,,,,,,52800,80140,-0.26153652,0,0.79,176,2.14,,,,,,,,,,
53100,0.92,-0.09991705221123993,1.58,25037,0,53100,,,,,,,1760,0.001,-0.07690980285406113,0.2,-0.48110388934612275,-0.06023884166032076,0.14131638526916504,0.20279703,0.028264105319976807,0.3084090915322304
,,,,,,53100,80580,-0.18296579999999998,0,0.8,177,2.0,,,,,,,,,,
53400,0.88,-0.13677958494517953,1.54,25189,0,53400,,,,,,,1770,0.001,-0.064491406083107,0.2,-0.533708067536354,-0.07014290459454059,0.13833591163158418,0.1291181,-0.2175605297088623,0.32911931842565534
,,,,,,53400,81045,-0.15703105999999997,0,0.86,178,1.91,,,,,,,,,,
53700,0.9,-0.11489110799506307,1.6,25328,0,53700,,,,,,,1780,0.001,-0.04694332554936409,0.2,-0.48354566156864165,-0.06540796894580125,0.125830812305212,0.12839235,0.07761937379837036,0.3034659095108509
,,,,,,53700,81504,-0.26139091,0,0.79,179,2.2,,,,,,,,,,
