eval/mean_reward,eval/mean_ep_length,env/current_idx,eval/success_rate,env/completion_counter,env/n_steps,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,rollout/success_rate,rollout/ep_len_mean,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/entropy_loss,train/learning_rate,train/n_updates,train/value_loss,train/approx_kl,train/explained_variance,train/loss
,,,,,,6300,-0.19417395999999998,0,21,9767,0.8,2.15,,,,,,,,,,
-0.07205239480827004,1.36,2586,0.94,0,6600,6600,,,,,,,-0.0012903526111040264,0.2,0.0,-0.9007036089897156,0.0001,105,0.18572004795074462,0.00033573824,0.1287935972213745,0.06426417082548141
,,,,,,6600,-0.18503455999999993,0,22,10230,0.83,2.12,,,,,,,,,,
-0.03607040748000145,1.36,2724,0.98,0,6900,6900,,,,,,,-0.00030524101690389217,0.2,0.0,-0.9004445886611938,0.0001,110,0.16147691488265992,0.00015363819,0.20337295532226562,0.06966430693864822
,,,,,,6900,-0.20166515999999998,0,23,10687,0.82,2.15,,,,,,,,,,
-0.04964456652291119,1.24,2872,0.96,0,7200,7200,,,,,,,-0.0060364459920674565,0.2,0.0,-0.8576815700531006,0.0001,115,0.16366086781024933,0.0018536181,0.19575190544128418,0.03106963261961937
,,,,,,7200,-0.14684673999999998,0,24,11147,0.89,1.89,,,,,,,,,,
-0.02996424579527229,1.2,3029,0.98,0,7500,7500,,,,,,,-0.0034836875833570958,0.2,0.0,-0.7623966097831726,0.0001,120,0.18349677324295044,0.0015407949,0.1745205521583557,0.06489530205726624
,,,,,,7500,-0.11880386999999999,0,25,11586,0.9,1.73,,,,,,,,,,
-0.07579692889004946,1.36,3161,0.94,0,7800,7800,,,,,,,-0.003459874987602234,0.2,0.0,-0.6841565442085266,0.0001,125,0.20743157625198363,0.0014935902,0.11827754974365234,0.07705648243427277
,,,,,,7800,-0.27615593,0,26,12057,0.74,2.43,,,,,,,,,,
-0.031737261665984985,1.28,3299,0.96,0,8100,8100,,,,,,,-0.0008866995183052495,0.2,0.0,-0.6293427014350891,0.0001,130,0.17661352694034577,0.00017299828,0.2418656349182129,0.08895298093557358
,,,,,,8100,-0.24152911,0,27,12510,0.78,2.26,,,,,,,,,,
-0.0294437934178859,1.26,3432,0.98,0,8400,8400,,,,,,,-0.0005991642741719261,0.2,0.0,-0.632702374458313,0.0001,135,0.19660920143127442,0.00014096245,0.21936821937561035,0.08063313364982605
,,,,,,8400,-0.22027257000000003,0,28,12980,0.77,2.28,,,,,,,,,,
-0.0950200601760298,1.54,3563,0.88,0,8700,8700,,,,,,,-0.0009687120583839714,0.2,0.0,-0.6579287147521973,0.0001,140,0.1771440577507019,0.00040241313,0.14419054985046387,0.06610483676195145
,,,,,,8700,-0.23425226999999998,0,29,13481,0.8,2.22,,,,,,,,,,
-0.0514883334049955,1.44,3697,0.94,0,9000,9000,,,,,,,-0.001429307014332153,0.2,0.0,-0.6653821396827698,0.0001,145,0.18093499600887297,0.00035351235,0.17297548055648804,0.07250360399484634
,,,,,,9000,-0.26004193000000003,0,30,13961,0.77,2.25,,,,,,,,,,
-0.02944692937657237,1.24,3833,0.96,0,9300,9300,,,,,,,-0.0012521719955839216,0.2,0.0,-0.6332366108894348,0.0001,150,0.1902254831790924,0.00037321658,0.23810440301895142,0.10159122943878174
,,,,,,9300,-0.26217865,0,31,14429,0.73,2.34,,,,,,,,,,
-0.12077365188393742,1.72,3971,0.88,0,9600,9600,,,,,,,-0.0028776307494263165,0.2,0.0,-0.5966044211387634,0.0001,155,0.17355616480112077,0.0010453812,0.22701632976531982,0.0829567089676857
,,,,,,9600,-0.20311885999999998,0,32,14913,0.8,2.16,,,,,,,,,,
-0.16035308700054884,1.66,4132,0.86,0,9900,9900,,,,,,,-0.0014669032860547303,0.2,0.0025,-0.5550973868370056,0.0001,160,0.18243712216615676,0.0005387442,0.2031170129776001,0.1105620488524437
,,,,,,9900,-0.18714392,0,33,15387,0.84,1.92,,,,,,,,,,
-0.028767358656041325,1.16,4295,0.98,0,10200,10200,,,,,,,-0.0013156300425180233,0.2,0.0,-0.5333036923408508,0.0001,165,0.1474906826019287,0.0002881274,0.2575240135192871,0.04388146847486496
,,,,,,10200,-0.14458203,0,34,15844,0.89,1.83,,,,,,,,,,
-0.07107543829362839,1.28,4432,0.94,0,10500,10500,,,,,,,-0.0013746983685996384,0.2,0.0,-0.5055350148677826,0.0001,170,0.1619969215989113,0.00034502923,0.17265188694000244,0.07722629606723785
,,,,,,10500,-0.25667903,0,35,16301,0.81,2.24,,,,,,,,,,
-0.029611783297732473,1.2,4581,0.98,0,10800,10800,,,,,,,-0.0006927727127913386,0.2,0.0,-0.4717851686477661,0.0001,175,0.16811764746904373,0.00018296321,0.32458555698394775,0.07479608803987503
,,,,,,10800,-0.19211414,0,36,16780,0.84,2.01,,,,,,,,,,
-0.010937176290899514,1.32,4713,1.0,0,11100,11100,,,,,,,-0.0016145223099738358,0.2,0.001875,-0.45811136603355407,0.0001,180,0.195332807302475,0.00041693184,0.14346355199813843,0.10245587676763535
,,,,,,11100,-0.29693268,0,37,17275,0.75,2.37,,,,,,,,,,
-0.032020701728761196,1.42,4862,0.94,0,11400,11400,,,,,,,-0.0030488447239622476,0.2,0.0,-0.4284000265598297,0.0001,185,0.17432629734277724,0.00069266895,0.2833366394042969,0.05428185686469078
,,,,,,11400,-0.23434118999999998,0,38,17744,0.81,2.01,,,,,,,,,,
-0.09449466266669333,1.44,5014,0.92,0,11700,11700,,,,,,,-0.0006498823035508395,0.2,0.0,-0.3877647018432617,0.0001,190,0.17559875726699828,0.0002053524,0.307464599609375,0.07989376783370972
,,,,,,11700,-0.20157096,0,39,18206,0.83,2.0,,,,,,,,,,
-0.006940534999594092,1.06,5163,1.0,0,12000,12000,,,,,,,-0.0005546540081559215,0.2,0.0,-0.36504692912101744,0.0001,195,0.19292015105485916,0.00023720891,0.21948373317718506,0.050493478775024414
,,,,,,12000,-0.17464257,0,40,18638,0.82,2.09,,,,,,,,,,
-0.05135097629390657,1.32,5313,0.96,0,12300,12300,,,,,,,-0.00023755228909067228,0.2,0.0,-0.34788193345069884,0.0001,200,0.17084312796592713,3.0250643e-05,0.034864962100982666,0.08285894244909286
,,,,,,12300,-0.21176762,0,41,19095,0.83,2.02,,,,,,,,,,
-0.05827409351244569,1.36,5457,0.96,0,12600,12600,,,,,,,-0.0021542634535580874,0.2,0.0,-0.33417716741561887,0.0001,205,0.20287692546844482,0.0004864207,0.19808071851730347,0.08772993087768555
,,,,,,12600,-0.23179332000000005,0,42,19548,0.78,2.06,,,,,,,,,,
-0.03198867589235306,1.4,5622,0.96,0,12900,12900,,,,,,,-0.0013504501641796196,0.2,0.0,-0.29654058814048767,0.0001,210,0.1691686400771141,0.00038869857,0.2789371609687805,0.06888604164123535
,,,,,,12900,-0.14889397000000001,0,43,20006,0.86,1.72,,,,,,,,,,
-0.050498233889229596,1.24,5761,0.96,0,13200,13200,,,,,,,-0.0010601984806908149,0.2,0.0,-0.27024373173713684,0.0001,215,0.16404994010925292,0.00018553883,0.1900930404663086,0.06497883051633835
,,,,,,13200,-0.23625550999999997,0,44,20473,0.8,2.12,,,,,,,,,,
