eval/mean_reward,env/current_idx,eval/mean_ep_length,eval/success_rate,time/total_timesteps,env/n_steps,env/completion_counter,rollout/ep_rew_mean,time/iterations,rollout/success_rate,rollout/ep_len_mean,time/fps,time/time_elapsed,train/clip_fraction,train/n_updates,train/value_loss,train/loss,train/learning_rate,train/explained_variance,train/entropy_loss,train/approx_kl,train/clip_range,train/policy_gradient_loss
,,,,630,,,-0.2661905,21,0.76,2.46,0,2498,,,,,,,,,,
-0.04816534077748656,247,1.16,0.96,660,660,0,,,,,,,0.0,210,0.12016075775027275,0.03365496173501015,0.0001,0.41656965017318726,-1.715998649597168,0.0015613774,0.2,-0.006648961352184557
,,,,660,,,-0.22713888000000002,22,0.8,2.22,0,2601,,,,,,,,,,
-0.00967253282200545,261,1.26,1.0,690,690,0,,,,,,,0.0,220,0.09480980187654495,0.03087540529668331,0.0001,0.4231955409049988,-1.6780602216720581,0.0008827448,0.2,-0.001744373858673498
,,,,690,,,-0.23196477000000001,23,0.8,2.28,0,2728,,,,,,,,,,
-0.008115354543551802,270,1.16,0.98,720,720,0,,,,,,,0.0,230,0.2635735422372818,0.09491641819477081,0.0001,-0.5755103826522827,-1.6478850364685058,0.00041869085,0.2,-0.002656925741466765
,,,,720,,,-0.24394956,24,0.8,2.31,0,2835,,,,,,,,,,
-0.07136430207174271,281,1.36,0.94,750,750,0,,,,,,,0.0,240,0.1335867628455162,0.03184746205806732,0.0001,0.4642776846885681,-1.6417229056358338,0.000674665,0.2,-0.006342125311493874
,,,,750,,,-0.29297858,25,0.76,2.42,0,2949,,,,,,,,,,
-0.050748385428451004,297,1.24,0.96,780,780,0,,,,,,,0.0,250,0.15330511555075646,0.051089126616716385,0.0001,0.20783889293670654,-1.6229802012443542,0.00039981602,0.2,0.0006034221246473237
,,,,780,,,-0.23469167000000002,26,0.81,2.22,0,3064,,,,,,,,,,
-0.09341391259804369,309,1.42,0.92,810,810,0,,,,,,,0.0,260,0.40983893275260924,0.1516728550195694,0.0001,-0.24808228015899658,-1.6087766766548157,0.0001913468,0.2,-0.0028406596253626403
,,,,810,,,-0.26241013,27,0.78,2.34,0,3185,,,,,,,,,,
