time/iterations,env/current_idx,rollout/ep_len_mean,rollout/ep_rew_mean,env/completion_counter,time/total_timesteps,time/time_elapsed,env/n_steps,rollout/success_rate,time/fps,train/learning_rate,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/clip_range,train/n_updates,train/loss,train/entropy_loss,eval/mean_ep_length,eval/mean_reward,eval/success_rate
22,887,1.45,-0.10754646000000001,0,1320,1456,1320,0.88,0,0.0001,0.289666667804122,0.024777502,-0.07454740146345769,0.032416050164029,0.41638004779815674,0.2,1050,-0.10780279338359833,-1.4651385807991029,,,
23,923,1.5,-0.12554807,0,1380,1527,1380,0.87,0,0.0001,0.25433333218097687,0.026240246,-0.07720297252363525,0.07333167850971221,0.014542341232299805,0.2,1100,-0.12826603651046753,-1.4646047568321228,,,
24,967,1.43,-0.08455111999999998,0,1440,1591,1440,0.93,0,0.0001,0.237000002078712,0.024830032,-0.07256070711634428,0.06960746919736266,0.1254030466079712,0.2,1150,-0.1061398833990097,-1.338049738407135,,,
25,1011,1.37,-0.052163720000000004,0,1500,1660,1500,0.95,0,0.0001,0.2463333362340927,0.021906741,-0.07099262042390184,0.027679940345697106,-0.6517267227172852,0.2,1200,-0.10573754459619522,-1.2630563116073608,,,
26,1048,1.46,-0.10258553000000001,0,1560,1733,1560,0.89,0,0.0001,0.17633333645761012,0.021524327,-0.050112413336910924,0.03955748130567372,-0.14181077480316162,0.2,1250,-0.07438815385103226,-1.166439218521118,,,
27,1092,1.44,-0.11738092000000001,0,1620,1801,1620,0.89,0,0.0001,0.15433333352208137,0.020510813,-0.05387688789896978,0.08224649662151932,0.20497119426727295,0.2,1300,-0.09567359834909439,-1.0810708355903627,,,
28,1129,1.52,-0.13919044,0,1680,1868,1680,0.87,0,0.0001,0.2263333349302411,0.025434235,-0.05260109032597393,0.06520959315821528,-0.1471390724182129,0.2,1350,-0.08691319078207016,-0.9528663873672485,,,
29,1170,1.48,-0.12899507999999998,0,1740,1937,1740,0.88,0,0.0001,0.2136666691303253,0.022637188,-0.06155272453619789,0.08834970101714135,-0.12575960159301758,0.2,1400,-0.09281981736421585,-1.0297522497177125,,,
30,1212,1.46,-0.12607366999999997,0,1800,2002,1800,0.87,0,0.0001,0.27700000137090686,0.03647337,-0.07168258402418971,0.04096831964328885,0.2694855332374573,0.2,1450,-0.10899844765663147,-1.1902147388458253,,,
31,1266,1.28,-0.062226100000000006,0,1860,2072,1860,0.93,0,0.0001,0.2966666681692004,0.027621876,-0.0687088151390975,0.04083776321262121,0.30806076526641846,0.2,1500,-0.1017838567495346,-1.1237588548660278,,,
32,1312,1.2,-0.04954252000000001,0,1920,2138,1920,0.96,0,0.0001,0.2119999999552965,0.02609706,-0.05215406004083343,0.034255460817366835,-1.266103982925415,0.2,1550,-0.07726369798183441,-1.110205945968628,,,
33,1361,1.3,-0.06015887,0,1980,2219,1980,0.94,0,0.0001,0.19766666918992995,0.017576817,-0.04872483575499306,0.06281649945303798,0.07827150821685791,0.2,1600,-0.06749184429645538,-0.9927934825420379,,,
34,1407,1.25,-0.039693099999999995,0,2040,2303,2040,0.96,0,0.0001,0.16600000344216823,0.023313712,-0.058953558883241684,0.03352560807019472,-1.3459315299987793,0.2,1650,-0.08095882087945938,-1.0002011716365815,,,
35,1450,1.3,-0.06268536,0,2100,2370,2100,0.95,0,0.0001,0.1476666698977351,0.016289776,-0.043231331709617106,0.03405223176814616,0.050946950912475586,0.2,1700,-0.0598817840218544,-0.7803519761562348,,,
36,1492,1.43,-0.10488686000000001,0,2160,2434,2160,0.91,0,0.0001,0.14566666830331088,0.021635486,-0.04385643746358499,0.047758909706026316,0.2550111413002014,0.2,1750,-0.05747799575328827,-0.7799678361415863,,,
37,1526,1.58,-0.13945298,0,2220,2505,2220,0.86,0,0.0001,0.26100000221282244,0.039905764,-0.058726953898246066,0.0983680647239089,0.097659170627594,0.2,1800,-0.07136375457048416,-0.9513468539714813,,,
38,1569,1.55,-0.10702182000000002,0,2280,2573,2280,0.88,0,0.0001,0.19466666817665101,0.036387064,-0.049932773180926836,0.08602884691208601,-0.2217569351196289,0.2,1850,-0.0641741082072258,-0.8080025577545166,,,
39,1619,1.29,-0.05072636,0,2340,2649,2340,0.94,0,0.0001,0.1783333358541131,0.031578973,-0.053330748429987584,0.0337163165025413,-0.5071169137954712,0.2,1900,-0.06647586822509766,-0.822650419473648,,,
40,1669,1.21,-0.04924162,0,2400,2716,2400,0.95,0,0.0001,0.1923333365470171,0.030237745,-0.05030484929199638,0.06469776272773743,-0.5314222574234009,0.2,1950,-0.06963641196489334,-0.8983758652210235,,,
41,1716,1.23,-0.05224315999999999,0,2460,2786,2460,0.96,0,0.0001,0.23000000216066838,0.053810596,-0.05689792452224839,0.012498003309592604,0.4415190815925598,0.2,2000,-0.07775618880987167,-0.8600661325454712,,,
42,1768,1.23,-0.0623668,0,2520,2855,2520,0.95,0,0.0001,0.18433333620429038,0.021634508,-0.03699266273590425,0.06632169391959905,-0.15817105770111084,0.2,2050,-0.04646371304988861,-0.7298933696746827,,,
43,1801,1.37,-0.06131118,0,2580,2918,2580,0.92,0,0.0001,0.15766666915267705,0.02709048,-0.029182331627196002,0.034062876403331756,0.24418950080871582,0.2,2100,-0.04704362154006958,-0.8263125014305115,,,
44,1845,1.45,-0.0828352,0,2640,2983,2640,0.89,0,0.0001,0.30199999913573267,0.036553662,-0.07035663265758195,0.0427004471514374,0.13516682386398315,0.2,2150,-0.10106758028268814,-1.168522710800171,,,
