env/n_steps,env/current_idx,env/completion_counter,eval/mean_reward,eval/mean_ep_length,eval/success_rate,time/total_timesteps,rollout/success_rate,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/entropy_loss,train/approx_kl,train/loss,train/clip_range,train/clip_fraction,train/learning_rate,train/explained_variance,train/n_updates,train/value_loss,train/policy_gradient_loss
7500,4051,0,-0.09025774725247175,1.24,0.9,7500,,,,,,,-0.9479791831970215,0.035670344,-0.008802138268947601,0.2,0.20437500059604644,0.001,-0.07642102241516113,120,0.19147032022476196,-0.03369264841079712
,,,,,,7500,0.77,25,1.63,0,11006,-0.20498729000000002,,,,,,,,,,
7800,4228,0,-0.11043565155006946,1.32,0.86,7800,,,,,,,-0.9034560966491699,0.037842955,0.007737953215837479,0.2,0.19267045468091964,0.001,0.12458932399749756,125,0.1516810581088066,-0.029153539016842842
,,,,,,7800,0.7,26,1.73,0,11454,-0.31019658,,,,,,,,,,
8100,4398,0,-0.09127717149909585,1.32,0.88,8100,,,,,,,-1.060453176498413,0.017790444,0.008167378604412079,0.2,0.18272727280855178,0.001,0.036685407161712646,130,0.19137919515371324,-0.031477962834760544
,,,,,,8100,0.73,27,1.75,0,11900,-0.2780638,,,,,,,,,,
8400,4572,0,-0.07119584781117737,1.24,0.94,8400,,,,,,,-1.086412706375122,0.022921335,-0.006851620972156525,0.2,0.12346590965986252,0.001,-0.051851511001586914,135,0.1809122633934021,-0.03458112604916096
,,,,,,8400,0.73,28,1.68,0,12317,-0.28482947000000003,,,,,,,,,,
8700,4749,0,-0.091892648357898,1.3,0.9,8700,,,,,,,-1.0245446109771728,0.034385715,-0.03493141382932663,0.2,0.254602273106575,0.001,0.22654396295547485,140,0.16499095171689987,-0.03251994887366891
,,,,,,8700,0.73,29,1.69,0,12758,-0.29911746,,,,,,,,,,
9000,4920,0,-0.06765246564056725,1.16,0.94,9000,,,,,,,-0.9091093850135803,0.028746855,0.0024701356887817383,0.2,0.21392045468091964,0.001,0.016654610633850098,145,0.1852678906917572,-0.02931461177766323
,,,,,,9000,0.7,30,1.71,0,13206,-0.25806914999999997,,,,,,,,,,
9300,5104,0,-0.0685981126036495,1.24,0.92,9300,,,,,,,-0.8968868494033814,0.028259546,0.03923732787370682,0.2,0.16107954531908036,0.001,-0.0723799467086792,150,0.1906659236550331,-0.029251332227140665
,,,,,,9300,0.71,31,1.73,0,13686,-0.26967368999999997,,,,,,,,,,
9600,5285,0,-0.007358598946593702,1.08,1.0,9600,,,,,,,-0.8276441621780396,0.027053261,0.0313480868935585,0.2,0.1813636365532875,0.001,0.092926025390625,155,0.17714006811380387,-0.03360621098428965
,,,,,,9600,0.69,32,1.8,0,14101,-0.25797633000000003,,,,,,,,,,
9900,5463,0,-0.0694060009624809,1.22,0.92,9900,,,,,,,-0.82737699508667,0.021619545,-0.012721925973892212,0.2,0.11363636404275894,0.001,0.1526508927345276,160,0.14737004667520523,-0.031719768773764374
,,,,,,9900,0.76,33,1.63,0,14540,-0.23145369999999998,,,,,,,,,,
10200,5654,0,-0.09075878544710576,1.22,0.92,10200,,,,,,,-0.692596971988678,0.028500084,0.025092903524637222,0.2,0.1392045459151268,0.001,-0.011919617652893066,165,0.17542325139045714,-0.030164340175688267
,,,,,,10200,0.77,34,1.61,0,14987,-0.20167485000000002,,,,,,,,,,
