env/current_idx,env/n_steps,env/completion_counter,time/total_timesteps,eval/mean_ep_length,eval/mean_reward,eval/success_rate,time/fps,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/learning_rate,train/clip_fraction,train/n_updates,train/entropy_loss,train/value_loss,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/loss
2855,5400,0,5400,1.34,-0.1356199898570776,0.84,,,,,,,0.001,0.1572159093618393,85,-0.9049247980117798,0.138955337703228,0.2,0.012988138,-0.02331949330866337,0.16257107257843018,0.022075306624174118
,,,5400,,,,0,-0.23188901,0.74,1.63,8173,18,,,,,,,,,,
3021,5700,0,5700,1.32,-0.0922333945101127,0.86,,,,,,,0.001,0.10034090965986252,90,-0.9164480876922607,0.18538560569286347,0.2,0.012926733,-0.02385223644785583,0.011594891548156738,-0.0012190602719783783
,,,5700,,,,0,-0.26866786000000004,0.64,1.82,8631,19,,,,,,,,,,
3189,6000,0,6000,1.24,-0.05271433424204588,0.9,,,,,,,0.001,0.1018181824684143,95,-0.9440733289718628,0.20177170723676682,0.2,0.0153347775,-0.027624284923076628,0.019874632358551025,0.027824919670820236
,,,6000,,,,0,-0.35704142000000005,0.62,1.86,9100,20,,,,,,,,,,
3362,6300,0,6300,1.32,-0.07137859017588198,0.9,,,,,,,0.001,0.16306818187236785,100,-1.1144340777397155,0.1714134109020233,0.2,0.018357776,-0.03788965463638306,0.14792591333389282,-0.055722348392009735
,,,6300,,,,0,-0.2770444,0.65,1.79,9568,21,,,,,,,,,,
3538,6600,0,6600,1.42,-0.09302120247390121,0.84,,,,,,,0.001,0.1555681824684143,105,-0.9712505650520324,0.17462505519390106,0.2,0.019863851,-0.03796332188765519,0.019565880298614502,-0.029916558414697647
,,,6600,,,,0,-0.29667771000000004,0.69,1.7,10049,22,,,,,,,,,,
3711,6900,0,6900,1.26,-0.09116267169825733,0.88,,,,,,,0.001,0.1656818187236786,110,-0.9449278116226196,0.18744335412979127,0.2,0.021159906,-0.03439352959394455,-0.011237859725952148,0.01475737988948822
,,,6900,,,,0,-0.32301872000000004,0.67,1.8,10513,23,,,,,,,,,,
3885,7200,0,7200,1.28,-0.07006042047869414,0.88,,,,,,,0.001,0.17664772719144822,115,-1.036847960948944,0.18842238634824754,0.2,0.02037941,-0.031243863999843597,-0.055698513984680176,0.01286604255437851
,,,7200,,,,0,-0.28481925,0.68,1.71,10987,24,,,,,,,,,,
4049,7500,0,7500,1.22,-0.0289590328047052,0.92,,,,,,,0.001,0.24238636255264281,120,-0.9609541535377503,0.16804617524147034,0.2,0.038960587,-0.027127050627022982,0.09266388416290283,0.0231025293469429
,,,7500,,,,0,-0.30235529,0.66,1.76,11445,25,,,,,,,,,,
4234,7800,0,7800,1.22,-0.10993188799358905,0.9,,,,,,,0.001,0.21857954561710358,125,-1.0467580366134643,0.18781937420368194,0.2,0.025882835,-0.025399152506142855,0.05473160743713379,0.009606461971998215
,,,7800,,,,0,-0.24310672999999997,0.76,1.56,11906,26,,,,,,,,,,
4418,8100,0,8100,1.36,-0.0922307321568951,0.84,,,,,,,0.001,0.14528409123420716,130,-0.8721988153457642,0.1747717922925949,0.2,0.03182371,-0.03406885825097561,0.037323057651519775,0.020891297608613968
,,,8100,,,,0,-0.20765719000000002,0.75,1.62,12351,27,,,,,,,,,,
4594,8400,0,8400,1.18,-0.04842386561445892,0.92,,,,,,,0.001,0.15119318187236785,135,-0.8494813942909241,0.15401517271995543,0.2,0.02666882,-0.03340504634194076,0.11132913827896118,-0.018352802842855453
,,,8400,,,,0,-0.25275585,0.75,1.61,12812,28,,,,,,,,,,
4773,8700,0,8700,1.34,-0.07075537672266365,0.88,,,,,,,0.001,0.12198863595724106,140,-0.8157457304000855,0.1847582021355629,0.2,0.01973802,-0.0246468161046505,0.10738390684127808,0.019984692335128784
,,,8700,,,,0,-0.30326866,0.66,1.75,13312,29,,,,,,,,,,
4940,9000,0,9000,1.12,-0.047802407583221795,0.96,,,,,,,0.001,0.14875,145,-0.8389432430267334,0.1594107246398926,0.2,0.024195451,-0.03524509537499398,0.1650291085243225,-0.010127946734428406
,,,9000,,,,0,-0.37878677000000005,0.58,1.9,13778,30,,,,,,,,,,
5122,9300,0,9300,1.22,-0.09036411761771887,0.9,,,,,,,0.001,0.1223295459151268,150,-0.9102749919891358,0.1566589841246605,0.2,0.026275521,-0.028814747259020806,0.21579325199127197,-0.011436644941568375
,,,9300,,,,0,-0.25093139,0.69,1.72,14240,31,,,,,,,,,,
5310,9600,0,9600,1.14,-0.06835730497725308,0.94,,,,,,,0.001,0.1954545459151268,155,-0.7820519638061524,0.14924419850111006,0.2,0.06149263,-0.023956471756100654,0.18823403120040894,-0.0021546855568885803
,,,9600,,,,0,-0.20514375000000004,0.79,1.51,14691,32,,,,,,,,,,
5492,9900,0,9900,1.1,-0.007528694872744382,0.98,,,,,,,0.001,0.11125000059604645,160,-0.4878987431526184,0.16280612975358963,0.2,0.025070231,-0.022315931469202042,0.022982418537139893,0.0243656225502491
,,,9900,,,,0,-0.25965228,0.71,1.64,15126,33,,,,,,,,,,
5665,10200,0,10200,1.08,-0.027184759126976134,0.98,,,,,,,0.001,0.10636363685131073,165,-0.5942090904712677,0.17646216601133347,0.2,0.017761681,-0.02004350658506155,0.06631183624267578,0.019971299916505814
,,,10200,,,,0,-0.27902891999999996,0.66,1.75,15590,34,,,,,,,,,,
5851,10500,0,10500,1.16,-0.028864466538652777,0.94,,,,,,,0.001,0.10000000059604645,170,-0.5662845313549042,0.17664773046970367,0.2,0.012533124,-0.021649164706468584,0.10408610105514526,0.049509987235069275
