env/n_steps,env/completion_counter,time/fps,time/total_timesteps,time/time_elapsed,rollout/success_rate,rollout/ep_len_mean,env/current_idx,time/iterations,rollout/ep_rew_mean,train/value_loss,train/learning_rate,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/n_updates,train/explained_variance,train/loss,eval/success_rate,eval/mean_reward,eval/mean_ep_length
870,0,0,870,1162,0.88,1.48,569,29,-0.11501895,0.058311737058684227,0.0001,0.2,0.28933334045112136,-0.07448095497488975,-1.4301572799682618,0.025620315,1400,0.1809660792350769,-0.12053549289703369,,,
900,0,0,900,1197,0.9,1.46,591,30,-0.09380984999999999,0.051112744519487024,0.0001,0.2,0.3853333405405283,-0.09265794966354342,-1.448612666130066,0.0388192,1450,-0.3360944986343384,-0.12766033411026,,,
930,0,0,930,1252,0.9,1.49,610,31,-0.09681338,0.0496213168464601,0.0001,0.2,0.43200000777840614,-0.10099738528858872,-1.4160577321052552,0.05623052,1500,-0.18040132522583008,-0.134070485830307,,,
960,0,0,960,1287,0.89,1.52,630,32,-0.10737659999999999,0.07541277355514467,0.0001,0.2,0.4226666755229235,-0.10122206824117655,-1.3687077808380126,0.034011133,1550,0.08419108390808105,-0.14452910423278809,,,
990,0,0,990,1321,0.92,1.39,656,33,-0.08482969000000003,0.05557854304090142,0.0001,0.2,0.43266667366027833,-0.0931749060427149,-1.3732929706573487,0.041243136,1600,-0.008058309555053711,-0.13378246128559113,,,
1020,0,0,1020,1362,0.91,1.44,673,34,-0.10644554999999999,0.029176474157720803,0.0001,0.2,0.3700000064074993,-0.0979976615157599,-1.3839277482032777,0.036615554,1650,0.2351471185684204,-0.13877654075622559,,,
1050,0,0,1050,1396,0.92,1.4,697,35,-0.09600136000000001,0.06431958975270391,0.0001,0.2,0.36933334097266196,-0.10047255037119612,-1.3910245537757873,0.056797035,1700,0.32210028171539307,-0.16364982724189758,,,
1080,0,0,1080,1431,0.9,1.42,715,36,-0.11385754999999997,0.0364280055090785,0.0001,0.2,0.3933333411067724,-0.08742581019240121,-1.2713559317588805,0.039305124,1750,-0.5955852270126343,-0.13519029319286346,,,
1110,0,0,1110,1477,0.9,1.45,735,37,-0.11390665999999999,0.06627605505287647,0.0001,0.2,0.40266667447984217,-0.09875403965551716,-1.3255270743370056,0.042538173,1800,0.22347432374954224,-0.14318156242370605,,,
1140,0,0,1140,1511,0.88,1.52,753,38,-0.13467413,0.06708067569881677,0.0001,0.2,0.4060000079125166,-0.09128066588069,-1.2096811985969544,0.03151061,1850,-0.21411848068237305,-0.13582606613636017,,,
1170,0,0,1170,1547,0.87,1.51,772,39,-0.14372714,0.07602267850190401,0.0001,0.2,0.3173333414644003,-0.09320032144680347,-1.1383021521568297,0.037707195,1900,0.21245640516281128,-0.14270249009132385,,,
1200,0,0,1200,1579,0.84,1.62,788,40,-0.17491614,0.07210721838288009,0.0001,0.2,0.3193333395570517,-0.09779825061474305,-1.2124423909187316,0.041684374,1950,0.1955862045288086,-0.14499422907829285,,,
1230,0,0,1230,1613,0.85,1.61,809,41,-0.16526763,0.039556293012574316,0.0001,0.2,0.41266666978597644,-0.08351283113316946,-1.0730922245979309,0.03352844,2000,0.5362862944602966,-0.1326945275068283,,,
1260,0,0,1260,1666,0.85,1.62,826,42,-0.15716637,0.058570740856230256,0.0001,0.2,0.4433333394676447,-0.09392312705982477,-1.042800109386444,0.045609213,2050,0.16552674770355225,-0.13820794224739075,,,
1290,0,0,1290,1707,0.86,1.57,849,43,-0.14630979,0.0559744683932513,0.0001,0.2,0.2760000063478947,-0.08157173981827995,-1.0196495974063873,0.038071536,2100,0.07471036911010742,-0.12204673141241074,,,
1320,0,0,1320,1739,0.88,1.53,869,44,-0.11612813,0.05593768225982785,0.0001,0.2,0.44400000631809233,-0.09913930270603548,-1.2566162109375,0.07764937,2150,-0.03741717338562012,-0.1414845734834671,,,
1350,0,0,1350,1772,0.9,1.44,893,45,-0.08487885,0.03038173769135028,0.0001,0.2,0.4553333403915167,-0.10820609743458526,-1.3196618676185607,0.08317789,2200,0.014583826065063477,-0.1457650363445282,,,
1380,0,0,1380,1806,0.9,1.42,914,46,-0.08403872000000001,0.01090276405448094,0.0001,0.2,0.41000000849366186,-0.10714304515191664,-1.3205062413215638,0.05625302,2250,-127.56446838378906,-0.14362531900405884,,,
1410,0,0,1410,1841,0.9,1.41,932,47,-0.09310965000000003,0.12422918444499373,0.0001,0.2,0.42266667395830154,-0.09420598652834698,-1.324670100212097,0.027446441,2300,-0.03504598140716553,-0.13860638439655304,,,
1440,0,0,1440,1876,0.89,1.45,951,48,-0.09355559999999999,0.08164420511573553,0.0001,0.2,0.41666666977107525,-0.10313259547886748,-1.2264093136787415,0.04902372,2350,0.06529563665390015,-0.14812593162059784,,,
1470,0,0,1470,1913,0.88,1.47,971,49,-0.10481334,0.05410235491581261,0.0001,0.2,0.39200000904500487,-0.08589832667789113,-1.0908069491386414,0.05491553,2400,0.29624050855636597,-0.11016841232776642,,,
1500,0,0,1500,1948,0.88,1.51,991,50,-0.11643922999999999,0.049093386586755515,0.0001,0.2,0.25800000704824927,-0.07541105486204223,-0.9794575273990631,0.032003827,2450,-0.5391882658004761,-0.10142916440963745,,,
1530,0,0,1530,1997,0.89,1.5,1014,51,-0.10942460999999999,0.018043322591111063,0.0001,0.2,0.34533333986997605,-0.07307308030221611,-1.0019278049468994,0.04211819,2500,0.5559720993041992,-0.10464418679475784,,,
1560,0,0,1560,2035,0.91,1.42,1037,52,-0.08753556000000001,0.03994697703514248,0.0001,0.2,0.3326666748523712,-0.07745740423103176,-1.041092458963394,0.039886903,2550,0.2783077359199524,-0.1108371838927269,,,
1590,0,0,1590,2072,0.89,1.48,1053,53,-0.10805411000000004,0.06723965933546423,0.0001,0.2,0.4160000090301037,-0.09783231802121736,-1.1561365294456483,0.040430244,2600,0.12634903192520142,-0.1366128921508789,,,
1620,0,0,1620,2107,0.89,1.43,1077,54,-0.11671294000000002,0.09108359548263252,0.0001,0.2,0.25133333645761013,-0.05735615601165534,-0.7787196123600006,0.027423406,2650,-0.09932851791381836,-0.0900271013379097,,,
1650,0,0,1650,2140,0.88,1.43,1095,55,-0.12492592,0.07445469776168466,0.0001,0.2,0.41066667541861535,-0.09664887446630743,-1.0455739498138428,0.063674904,2700,-0.15657472610473633,-0.1285286694765091,,,
1680,0,0,1680,2171,0.87,1.45,1116,56,-0.12453268,0.08087574002332985,0.0001,0.2,0.3460000042617321,-0.07954335998821378,-0.8005137813091278,0.036775757,2750,0.11954587697982788,-0.1061834916472435,,,
1710,0,0,1710,2205,0.87,1.51,1136,57,-0.11641879000000001,0.04531457570381463,0.0001,0.2,0.3120000045746565,-0.08663815254795679,-0.9457311856746674,0.053207207,2800,-0.7949038743972778,-0.11901779472827911,,,
1740,0,0,1740,2242,0.88,1.48,1153,58,-0.10612799000000005,0.050885035283863546,0.0001,0.2,0.30000000692903994,-0.06868168650443351,-0.8513933563232422,0.02988592,2850,-0.27071523666381836,-0.09045345336198807,,,
1770,0,0,1770,2279,0.89,1.48,1179,59,-0.09597536999999999,0.07342169793322682,0.0001,0.2,0.38800000578165056,-0.08632006561197343,-1.0087766790390014,0.04251347,2900,0.09263014793395996,-0.1212761178612709,,,
1800,0,0,1800,2313,0.91,1.39,1205,60,-0.07382795,0.042927693109959364,0.0001,0.2,0.2953333390504122,-0.07563948114588857,-0.9390902197360993,0.05097966,2950,-0.29917848110198975,-0.11192815750837326,,,
1830,0,0,1830,2351,0.9,1.41,1222,61,-0.09836342999999999,0.03386355427093804,0.0001,0.2,0.26400000885128977,-0.059755272883921864,-0.7679851245880127,0.023819763,3000,0.22936701774597168,-0.075995534658432,,,
1860,0,0,1860,2384,0.9,1.4,1241,62,-0.09711064000000003,0.06572913048788905,0.0001,0.2,0.3326666725426912,-0.0819490723996423,-0.8193048810958863,0.045319736,3050,0.24271053075790405,-0.11689229309558868,,,
1890,0,0,1890,2423,0.92,1.34,1265,63,-0.08535610999999997,0.050915724383667114,0.0001,0.2,0.2920000056922436,-0.07727794789709151,-0.9867286789417267,0.018766727,3100,0.050051867961883545,-0.10705655068159103,,,
1920,0,0,1920,2457,0.91,1.42,1285,64,-0.09644338,0.03659569977317005,0.0001,0.2,0.21133333832025528,-0.06426827380030106,-0.7891273474693299,0.042168193,3150,-0.30055081844329834,-0.10413043200969696,,,
1950,0,0,1950,2492,0.92,1.37,1311,65,-0.07346591999999999,0.021422880131285637,0.0001,0.2,0.350666670948267,-0.08184178115117052,-1.0927159762382508,0.045618847,3200,0.434040367603302,-0.10885109007358551,,,
1980,0,0,1980,2526,0.95,1.24,1337,66,-0.04935875,0.018792035090737045,0.0001,0.2,0.29133334048092363,-0.07847561621759087,-0.8310981333255768,0.039075326,3250,0.4903694987297058,-0.1037646159529686,,,
2010,0,0,2010,2562,0.96,1.2,1365,67,-0.03879218,0.028220295764040202,0.0001,0.2,0.25933334082365034,-0.053354046773786336,-0.5837753200531006,0.046079926,3300,0.152496337890625,-0.0676606297492981,,,
2040,0,0,2040,2604,0.98,1.12,1391,68,-0.02764677,0.009173635975457728,0.0001,0.2,0.2666666753590107,-0.06225918542655805,-0.6200476121902466,0.046675626,3350,-620.5166625976562,-0.08477898687124252,,,
2070,0,0,2070,2643,0.96,1.2,1411,69,-0.03904503999999999,0.004112683064304293,0.0001,0.2,0.3333333392441273,-0.06602241390012203,-0.6908057320117951,0.052054275,3400,-96.8473892211914,-0.08903274685144424,,,
2100,0,0,2100,2675,0.95,1.22,1435,70,-0.04921309999999999,0.10075401589274406,0.0001,0.2,0.32133333653211593,-0.07114554712797201,-0.7163930940628052,0.0441832,3450,-0.09653580188751221,-0.09376959502696991,,,
2130,0,0,2130,2710,0.92,1.32,1453,71,-0.0811468,0.03937864429783076,0.0001,0.2,0.34800000317394736,-0.08289659659657626,-0.5987346303462983,0.09046067,3500,0.38396573066711426,-0.10572288185358047,,,
2160,0,0,2160,2743,0.89,1.4,1472,72,-0.11352277999999999,0.05717101033311337,0.0001,0.2,0.2080000075697899,-0.056305433243513114,-0.5004927903413773,0.024078824,3550,0.2646465301513672,-0.08310180902481079,,,
2190,0,0,2190,2780,0.87,1.44,1494,73,-0.13443689,0.0731545379012823,0.0001,0.2,0.26800000309944155,-0.0656027064039372,-0.6648262429237366,0.04099454,3600,0.32738351821899414,-0.09486278146505356,,,
2220,0,0,2220,2817,0.87,1.45,1516,74,-0.14605186,0.02390663529979065,0.0001,0.2,0.2533333420753479,-0.06993367297699056,-0.5932764828205108,0.035040084,3650,0.6689332723617554,-0.09932588040828705,,,
2250,0,0,2250,2849,0.89,1.44,1538,75,-0.11652113000000001,0.05046394009143114,0.0001,0.2,0.1293333361297846,-0.03064989424962551,-0.40053259253501894,0.014774138,3700,0.15305209159851074,-0.03886818140745163,,,
2280,0,0,2280,2887,0.91,1.38,1562,76,-0.09565723999999999,0.015119609868852421,0.0001,0.2,0.18933333963155746,-0.04318658730511864,-0.462712767124176,0.020310828,3750,-84.42520904541016,-0.06572668254375458,,,
2310,0,0,2310,2924,0.96,1.25,1589,77,-0.04250939999999999,0.027084468039683996,0.0001,0.2,0.24600000612437725,-0.0543560657966882,-0.4530301409959793,0.03375796,3800,0.27082234621047974,-0.07940874993801117,,,
2340,0,0,2340,2958,0.95,1.28,1609,78,-0.05104887000000002,0.012678155656903983,0.0001,0.2,0.2106666725128889,-0.06834229879795267,-0.5334872680902482,0.06914567,3850,-562.8193969726562,-0.10238496214151382,,,
2370,0,0,2370,2993,0.94,1.32,1631,79,-0.06234028000000001,0.10817639769986272,0.0001,0.2,0.2406666746735573,-0.06955306539312005,-0.4943746328353882,0.07792277,3900,0.0104445219039917,-0.09865307062864304,,,
2400,0,0,2400,3027,0.94,1.3,1654,80,-0.07147904,0.0551573801971972,0.0001,0.2,0.1513333362340927,-0.02927652924523378,-0.4550996822118759,0.048722334,3950,-0.4239068031311035,-0.033710889518260956,,,
2430,0,0,2430,3065,0.93,1.35,1676,81,-0.0820363,0.03425945372786373,0.0001,0.2,0.1353333367407322,-0.03102711731971551,-0.3445256388187408,0.010928636,4000,-0.3753693103790283,-0.041324637830257416,,,
