time/total_timesteps,eval/mean_ep_length,eval/mean_reward,eval/success_rate,env/current_idx,env/n_steps,env/completion_counter,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/loss,train/learning_rate,train/value_loss
28800,,,,,,,-0.16497103000000002,0.81,1.52,41911,0,96,,,,,,,,,,
29100,1.14,-0.0691482433397323,0.94,17548,29100,0,,,,,,,960,0.12951868772506714,0.2,-0.0004392566832641442,-0.08817954510450363,3.3896882e-05,0.0,0.06974334269762039,0.0001,0.17102080732584
29100,,,,,,,-0.25072051,0.76,1.57,42334,0,97,,,,,,,,,,
29400,1.1,-0.027545869126915933,0.96,17736,29400,0,,,,,,,970,0.28064072132110596,0.2,-0.0005759348267348585,-0.08462520651519298,2.7181348e-05,0.0,0.06101839616894722,0.0001,0.16360941007733346
29400,,,,,,,-0.2175285,0.8,1.51,42726,0,98,,,,,,,,,,
29700,1.28,-0.12960893453564495,0.88,17919,29700,0,,,,,,,980,0.28382408618927,0.2,-0.0006308911151300834,-0.08063281774520874,3.349071e-05,0.0,0.0802035927772522,0.0001,0.16984841823577881
29700,,,,,,,-0.23815870999999997,0.78,1.54,43130,0,99,,,,,,,,,,
30000,1.28,-0.09004023151937872,0.88,18106,30000,0,,,,,,,990,0.2956147789955139,0.2,-0.0005049275131154829,-0.07524800039827824,0.000134641,0.0,0.06362807750701904,0.0001,0.16160080917179584
30000,,,,,,,-0.21401320999999998,0.77,1.55,43545,0,100,,,,,,,,,,
30300,1.2,-0.11000385574996471,0.9,18300,30300,0,,,,,,,1000,0.16972601413726807,0.2,-2.7368297047880576e-05,-0.07149708345532417,7.9497695e-06,0.0,0.0859980434179306,0.0001,0.19027448669075966
30300,,,,,,,-0.20683197,0.77,1.57,43964,0,101,,,,,,,,,,
30600,1.34,-0.13055331704672427,0.86,18481,30600,0,,,,,,,1010,0.222942054271698,0.2,-2.5902542719768994e-05,-0.07084299847483636,8.1025064e-07,0.0,0.09592781960964203,0.0001,0.16462249606847762
30600,,,,,,,-0.19411899999999999,0.79,1.57,44377,0,102,,,,,,,,,,
30900,1.44,-0.1532468651747331,0.82,18684,30900,0,,,,,,,1020,0.21832293272018433,0.2,-9.394045671551332e-05,-0.07049520313739777,1.7840648e-06,0.0,0.09295861423015594,0.0001,0.178671957552433
30900,,,,,,,-0.17490215999999997,0.82,1.45,44799,0,103,,,,,,,,,,
31200,1.22,-0.08849489690735936,0.92,18871,31200,0,,,,,,,1030,0.19720155000686646,0.2,-0.0002555074928253909,-0.06955652572214603,1.5447698e-05,0.0,0.07925925403833389,0.0001,0.17235744819045068
31200,,,,,,,-0.23855966999999997,0.74,1.63,45200,0,104,,,,,,,,,,
31500,1.36,-0.11178336673881858,0.88,19048,31500,0,,,,,,,1040,0.1780029535293579,0.2,1.9535557790462123e-05,-0.06710410825908183,2.5429763e-06,0.0,0.07547349482774734,0.0001,0.18580717891454696
31500,,,,,,,-0.26248163,0.74,1.68,45615,0,105,,,,,,,,,,
31800,1.2,-0.048959107864648105,0.94,19242,31800,0,,,,,,,1050,0.21671909093856812,0.2,6.637060141545525e-06,-0.06638142801821231,4.535065e-06,0.0,0.08274431526660919,0.0001,0.19573851227760314
31800,,,,,,,-0.15068477000000002,0.8,1.48,46004,0,106,,,,,,,,,,
32100,1.22,-0.11053235083352775,0.9,19446,32100,0,,,,,,,1060,0.22896742820739746,0.2,-0.0001476908096180729,-0.06484078392386436,1.2814533e-05,0.0,0.08506494760513306,0.0001,0.16607543528079988
32100,,,,,,,-0.22517916000000004,0.8,1.48,46422,0,107,,,,,,,,,,
32400,1.2,-0.06908507887274026,0.92,19626,32400,0,,,,,,,1070,0.22950750589370728,0.2,-0.0002161775144176703,-0.06778882052749395,0.00093591283,0.002503551170229912,0.060322828590869904,0.0001,0.1687149155884981
32400,,,,,,,-0.26971699999999993,0.71,1.73,46899,0,108,,,,,,,,,,
32700,1.24,-0.06985196116380393,0.92,19810,32700,0,,,,,,,1080,0.2773345112800598,0.2,-0.00019081702440328918,-0.06151851695030928,7.151626e-06,0.0,0.0579049251973629,0.0001,0.16504524648189545
32700,,,,,,,-0.14055185,0.81,1.56,47300,0,109,,,,,,,,,,
33000,1.14,-0.048299050657078624,0.96,20002,33000,0,,,,,,,1090,0.21647119522094727,0.2,2.0161182461730933e-06,-0.059517248347401616,5.1083043e-07,0.0,0.09425841271877289,0.0001,0.17620181813836097
33000,,,,,,,-0.26183476,0.74,1.61,47687,0,110,,,,,,,,,,
33300,1.3,-0.11192128838971258,0.9,20191,33300,0,,,,,,,1100,0.26937657594680786,0.2,-2.1103147227363728e-05,-0.06037044115364552,1.2596138e-06,0.0,0.0711536556482315,0.0001,0.1643418200314045
33300,,,,,,,-0.23551533000000002,0.75,1.62,48129,0,111,,,,,,,,,,
33600,1.26,-0.07169649426825345,0.92,20383,33600,0,,,,,,,1110,0.21786636114120483,0.2,-7.453107626220756e-05,-0.059981882385909555,1.150067e-06,0.0,0.0895429402589798,0.0001,0.1725240856409073
33600,,,,,,,-0.20115614,0.75,1.58,48535,0,112,,,,,,,,,,
33900,1.34,-0.11114153284579516,0.88,20573,33900,0,,,,,,,1120,0.24184930324554443,0.2,-7.263687210219416e-05,-0.05894129648804665,1.9496074e-06,0.0,0.07382453233003616,0.0001,0.1708016000688076
33900,,,,,,,-0.21308932000000005,0.77,1.58,48947,0,113,,,,,,,,,,
34200,1.1,-0.04799732250161469,0.96,20759,34200,0,,,,,,,1130,0.22312921285629272,0.2,-0.00048792628069178613,-0.060125083290040494,2.2363616e-05,0.0,0.10658954083919525,0.0001,0.17479820176959038
34200,,,,,,,-0.25479347,0.76,1.61,49345,0,114,,,,,,,,,,
34500,1.24,-0.06979328825138509,0.9,20956,34500,0,,,,,,,1140,0.28432559967041016,0.2,-0.000491577196358417,-0.060684474371373656,2.914248e-05,0.0,0.07743213325738907,0.0001,0.16480040289461612
34500,,,,,,,-0.23981023,0.76,1.6,49755,0,115,,,,,,,,,,
34800,1.2,-0.0695515932282433,0.92,21157,34800,0,,,,,,,1150,0.2233685851097107,0.2,-4.6468526124821e-05,-0.05827430337667465,5.359412e-06,0.0,0.09364135563373566,0.0001,0.1589215774089098
34800,,,,,,,-0.21611976,0.78,1.49,50172,0,116,,,,,,,,,,
35100,1.1,-0.027220786432735622,0.98,21355,35100,0,,,,,,,1160,0.2215779423713684,0.2,3.49500377605505e-06,-0.05726290587335825,2.8921798e-07,0.0,0.08442393690347672,0.0001,0.17738173976540567
35100,,,,,,,-0.24154592,0.75,1.57,50584,0,117,,,,,,,,,,
35400,1.24,-0.07135524337179959,0.9,21549,35400,0,,,,,,,1170,0.27923309803009033,0.2,-0.00046029425694049664,-0.05612696297466755,8.2812905e-05,0.0,0.09216409176588058,0.0001,0.1683523587882519
35400,,,,,,,-0.26451732000000006,0.76,1.6,50994,0,118,,,,,,,,,,
35700,1.22,-0.09066137862857432,0.92,21745,35700,0,,,,,,,1180,0.28260987997055054,0.2,3.4829475739517337e-06,-0.05385347977280617,3.685074e-08,0.0,0.1135522648692131,0.0001,0.1789057210087776
35700,,,,,,,-0.14444301,0.8,1.53,51412,0,119,,,,,,,,,,
36000,1.2,-0.09018281312659383,0.9,21923,36000,0,,,,,,,1190,0.11103802919387817,0.2,3.7099447736110847e-09,-0.053814802691340445,0.0,0.0,0.07350841909646988,0.0001,0.15908217020332813
36000,,,,,,,-0.23285668999999995,0.71,1.67,51812,0,120,,,,,,,,,,
36300,1.24,-0.06935587744228541,0.92,22113,36300,0,,,,,,,1200,0.20782220363616943,0.2,-0.0005830862083172405,-0.05218658186495304,8.755741e-05,0.0,0.0722542256116867,0.0001,0.17993443533778192
36300,,,,,,,-0.22247887,0.79,1.54,52212,0,121,,,,,,,,,,
36600,1.14,-0.047937753153964875,0.96,22308,36600,0,,,,,,,1210,0.1825595498085022,0.2,-0.0004305867575979505,-0.048501341789960864,2.8834922e-05,0.0,0.08801472187042236,0.0001,0.18735385239124297
36600,,,,,,,-0.13544774,0.8,1.51,52630,0,122,,,,,,,,,,
36900,1.12,-0.028596345633268357,0.94,22490,36900,0,,,,,,,1220,0.2401706576347351,0.2,-2.6595481304525493e-05,-0.04633824452757836,2.9781368e-06,0.0,0.06926198303699493,0.0001,0.15894775725901128
36900,,,,,,,-0.23324173,0.77,1.59,53056,0,123,,,,,,,,,,
37200,1.28,-0.1105766048328951,0.86,22677,37200,0,,,,,,,1230,0.183458149433136,0.2,-8.386232860320142e-05,-0.04542680773884058,2.6756898e-06,0.0,0.0770682841539383,0.0001,0.19026418775320053
37200,,,,,,,-0.20812832999999997,0.77,1.62,53495,0,124,,,,,,,,,,
37500,1.18,-0.07107627072371542,0.92,22862,37500,0,,,,,,,1240,0.1962209939956665,0.2,-0.0001348877194210729,-0.04385776184499264,1.0655844e-05,0.0,0.09568777680397034,0.0001,0.17815977111458778
37500,,,,,,,-0.28571151,0.7,1.65,53902,0,125,,,,,,,,,,
37800,1.18,-0.05028530839364976,0.96,23058,37800,0,,,,,,,1250,0.232275128364563,0.2,1.273456622703506e-05,-0.04222226906567812,9.0210233e-07,0.0,0.09341608732938766,0.0001,0.1850624516606331
37800,,,,,,,-0.23134986999999996,0.77,1.56,54323,0,126,,,,,,,,,,
38100,1.3,-0.11335423014126718,0.88,23240,38100,0,,,,,,,1260,0.17383497953414917,0.2,-0.00010044860703137815,-0.04256462380290031,1.3276236e-05,0.0,0.09784071892499924,0.0001,0.17954076789319515
38100,,,,,,,-0.22347709999999998,0.75,1.63,54745,0,127,,,,,,,,,,
38400,1.34,-0.1534643013216555,0.84,23436,38400,0,,,,,,,1270,0.2110062837600708,0.2,-0.0003253867934372323,-0.04474682342261076,2.699031e-05,0.0,0.06839105486869812,0.0001,0.17155381962656974
38400,,,,,,,-0.23198239,0.79,1.53,55170,0,128,,,,,,,,,,
38700,1.18,-0.0885676846653223,0.92,23610,38700,0,,,,,,,1280,0.23841655254364014,0.2,2.455622474251129e-08,-0.04731733649969101,0.0,0.0,0.09463038295507431,0.0001,0.16294983103871347
38700,,,,,,,-0.23097549999999997,0.74,1.61,55579,0,129,,,,,,,,,,
39000,1.32,-0.1308376657124609,0.88,23811,39000,0,,,,,,,1290,0.3192175626754761,0.2,-0.000375363815367713,-0.047001758590340614,2.1314132e-05,0.0,0.07575894892215729,0.0001,0.16525879465043544
39000,,,,,,,-0.19553218,0.79,1.54,55991,0,130,,,,,,,,,,
39300,1.22,-0.04890526820905507,0.92,24004,39300,0,,,,,,,1300,0.2246948480606079,0.2,4.442527636201454e-05,-0.04473780430853367,1.0395888e-07,0.0,0.07578573375940323,0.0001,0.1589599821716547
39300,,,,,,,-0.22567054000000003,0.77,1.56,56424,0,131,,,,,,,,,,
39600,1.2,-0.04869367269333452,0.94,24201,39600,0,,,,,,,1310,0.2597582936286926,0.2,-0.0007539547027322513,-0.04459151979535818,2.3870147e-05,0.0,0.06499847024679184,0.0001,0.16199738904833794
39600,,,,,,,-0.20864298,0.8,1.52,56870,0,132,,,,,,,,,,
39900,1.2,-0.0496533926948905,0.94,24405,39900,0,,,,,,,1320,0.18759453296661377,0.2,-8.467468218924523e-05,-0.0439027838408947,5.3651165e-06,0.0,0.0709807351231575,0.0001,0.1694946601986885
39900,,,,,,,-0.16410604999999998,0.84,1.48,57291,0,133,,,,,,,,,,
40200,1.16,-0.04916680033318698,0.94,24599,40200,0,,,,,,,1330,0.2382686734199524,0.2,3.058532886224263e-05,-0.04558132365345955,5.800044e-06,0.0,0.053489428013563156,0.0001,0.16500858701765536
40200,,,,,,,-0.21160775,0.8,1.47,57732,0,134,,,,,,,,,,
40500,1.22,-0.109785767798312,0.9,24782,40500,0,,,,,,,1340,0.22030365467071533,0.2,-0.00030705836754942875,-0.04701198004186154,4.114996e-05,0.0,0.0934506505727768,0.0001,0.17810325995087622
40500,,,,,,,-0.18170182999999998,0.77,1.62,58170,0,135,,,,,,,,,,
40800,1.12,-0.02753889113664627,0.96,24973,40800,0,,,,,,,1350,0.2439097762107849,0.2,-0.00043604686166389686,-0.04975310452282429,5.457271e-05,0.0,0.07268616557121277,0.0001,0.1696307621896267
40800,,,,,,,-0.29967382,0.73,1.59,58565,0,136,,,,,,,,,,
41100,1.26,-0.08933957605622708,0.88,25161,41100,0,,,,,,,1360,0.26196229457855225,0.2,-8.694484038822559e-05,-0.052113721147179604,3.110867e-05,0.0,0.09928017854690552,0.0001,0.17980738803744317
41100,,,,,,,-0.2834008600000001,0.72,1.66,58996,0,137,,,,,,,,,,
41400,1.2,-0.050388925168663265,0.92,25352,41400,0,,,,,,,1370,0.25641298294067383,0.2,-0.00023157681148000542,-0.0503681629896164,2.860481e-05,0.0,0.062466464936733246,0.0001,0.17366305887699127
41400,,,,,,,-0.19390579000000002,0.78,1.61,59432,0,138,,,,,,,,,,
41700,1.1,-0.04821530288085341,0.96,25552,41700,0,,,,,,,1380,0.2014501690864563,0.2,-1.7447166233752753e-05,-0.04819218497723341,1.6284175e-06,0.0,0.07422348856925964,0.0001,0.18624875247478484
41700,,,,,,,-0.2564289,0.75,1.6,59850,0,139,,,,,,,,,,
42000,1.3,-0.08974828819278628,0.88,25724,42000,0,,,,,,,1390,0.280281662940979,0.2,-1.771206186162999e-08,-0.047256077826023105,0.0,0.0,0.06547737121582031,0.0001,0.15274369865655898
42000,,,,,,,-0.26519245,0.73,1.68,60255,0,140,,,,,,,,,,
42300,1.22,-0.08948240098077803,0.92,25921,42300,0,,,,,,,1400,0.2477542757987976,0.2,-0.0011871818769968456,-0.04761217832565308,0.0006632015,0.00078125,0.09313981980085373,0.0001,0.17715018838644028
42300,,,,,,,-0.17705450000000003,0.81,1.47,60671,0,141,,,,,,,,,,
42600,1.3,-0.07096945935860276,0.9,26116,42600,0,,,,,,,1410,0.24906307458877563,0.2,-1.007394682117635e-07,-0.041929617337882516,0.0,0.0,0.06750161945819855,0.0001,0.17245431244373322
42600,,,,,,,-0.25875548000000004,0.75,1.56,61099,0,142,,,,,,,,,,
42900,1.12,-0.06770394029095769,0.94,26320,42900,0,,,,,,,1420,0.16522955894470215,0.2,-0.00042841316078678915,-0.04203372430056333,6.6413566e-05,0.0,0.07729880511760712,0.0001,0.19702209755778313
42900,,,,,,,-0.14315383,0.85,1.43,61502,0,143,,,,,,,,,,
43200,1.18,-0.07061023650690913,0.94,26514,43200,0,,,,,,,1430,0.20060789585113525,0.2,-0.0001173733474296057,-0.04467913471162319,1.1572731e-05,0.0,0.0779324620962143,0.0001,0.14997384175658227
43200,,,,,,,-0.19693531999999997,0.81,1.48,61906,0,144,,,,,,,,,,
43500,1.26,-0.11103576230816543,0.88,26701,43500,0,,,,,,,1440,0.3062552213668823,0.2,-0.0001723304149066962,-0.04499627221375704,1.2530247e-05,0.0,0.07678674906492233,0.0001,0.16322942450642586
43500,,,,,,,-0.20636079999999993,0.78,1.59,62330,0,145,,,,,,,,,,
43800,1.26,-0.05029422146268189,0.92,26899,43800,0,,,,,,,1450,0.161476731300354,0.2,-0.00031097265309687483,-0.04269725251942873,6.0220143e-05,0.0,0.10414241254329681,0.0001,0.18493209779262543
43800,,,,,,,-0.22163759999999996,0.79,1.5,62732,0,146,,,,,,,,,,
44100,1.2,-0.11327447730582207,0.9,27083,44100,0,,,,,,,1460,0.317044198513031,0.2,-1.5733636574033482e-06,-0.040870521776378156,5.143229e-07,0.0,0.09215587377548218,0.0001,0.1509425200521946
44100,,,,,,,-0.24186796000000002,0.72,1.66,63139,0,147,,,,,,,,,,
44400,1.34,-0.13450877306051554,0.86,27274,44400,0,,,,,,,1470,0.21272289752960205,0.2,-7.4066770469727315e-06,-0.042886800691485406,5.483056e-07,0.0,0.08015839755535126,0.0001,0.16871469803154468
44400,,,,,,,-0.20082338,0.76,1.57,63564,0,148,,,,,,,,,,
44700,1.2,-0.06872773788869381,0.92,27457,44700,0,,,,,,,1480,0.28451746702194214,0.2,-9.129823989848518e-05,-0.04016230907291174,2.8202776e-06,0.0,0.0743497833609581,0.0001,0.1539320729672909
44700,,,,,,,-0.30314027,0.68,1.71,63982,0,149,,,,,,,,,,
45000,1.26,-0.10996600528713316,0.9,27640,45000,0,,,,,,,1490,0.26805686950683594,0.2,-5.016021249648617e-05,-0.04164870548993349,6.7879446e-06,0.0,0.0930793508887291,0.0001,0.17556505426764488
45000,,,,,,,-0.26709416999999996,0.74,1.69,64436,0,150,,,,,,,,,,
45300,1.26,-0.07077257172204554,0.88,27829,45300,0,,,,,,,1500,0.14393305778503418,0.2,-1.5438325709116186e-05,-0.042471620440483096,8.44826e-07,0.0,0.10218680649995804,0.0001,0.202690389752388
45300,,,,,,,-0.20938991999999998,0.75,1.58,64888,0,151,,,,,,,,,,
45600,1.24,-0.10942274066153913,0.9,28013,45600,0,,,,,,,1510,0.18929892778396606,0.2,-6.48228613333579e-05,-0.0427211144939065,1.1507401e-05,0.0,0.09025586396455765,0.0001,0.17704566493630408
45600,,,,,,,-0.19560092999999998,0.79,1.58,65301,0,152,,,,,,,,,,
45900,1.22,-0.08964191953651607,0.9,28196,45900,0,,,,,,,1520,0.2672883868217468,0.2,-6.637308580863533e-05,-0.04459135700017214,7.0569276e-06,0.0,0.07710995525121689,0.0001,0.1714733600616455
45900,,,,,,,-0.25342176,0.71,1.67,65723,0,153,,,,,,,,,,
46200,1.28,-0.05001360462512821,0.92,28394,46200,0,,,,,,,1530,0.24058640003204346,0.2,-0.0004135046858788627,-0.04480565469712019,2.4180203e-05,0.0,0.07411714643239975,0.0001,0.17103785648941994
46200,,,,,,,-0.19562756999999997,0.76,1.61,66148,0,154,,,,,,,,,,
46500,1.28,-0.11223240212071688,0.9,28576,46500,0,,,,,,,1540,0.19596856832504272,0.2,1.2481839029021558e-08,-0.042061175033450124,0.0,0.0,0.0948382318019867,0.0001,0.1663075003772974
46500,,,,,,,-0.28431337,0.72,1.66,66585,0,155,,,,,,,,,,
46800,1.18,-0.07157194607425481,0.92,28771,46800,0,,,,,,,1550,0.3663902282714844,0.2,-8.563934628114111e-09,-0.041547561436891554,0.0,0.0,0.06387502700090408,0.0001,0.16130905598402023
46800,,,,,,,-0.21293283000000002,0.75,1.63,66994,0,156,,,,,,,,,,
47100,1.2,-0.09048946117982268,0.9,28953,47100,0,,,,,,,1560,0.32401829957962036,0.2,-0.00025597614850041416,-0.0409356189891696,7.688417e-06,0.0,0.07515612989664078,0.0001,0.14926091022789478
47100,,,,,,,-0.23083392000000003,0.74,1.66,67420,0,157,,,,,,,,,,
47400,1.24,-0.1101366901723668,0.9,29154,47400,0,,,,,,,1570,0.2543684244155884,0.2,6.344445533557064e-06,-0.039072565734386444,7.136259e-08,0.0,0.09721136093139648,0.0001,0.17024490609765053
47400,,,,,,,-0.18007609000000002,0.81,1.47,67867,0,158,,,,,,,,,,
47700,1.26,-0.09006408198270947,0.9,29344,47700,0,,,,,,,1580,0.33031952381134033,0.2,-0.00045759100882030167,-0.03772358540445566,2.3959321e-05,0.0,0.05688052251935005,0.0001,0.1423230517655611
47700,,,,,,,-0.23624149000000003,0.75,1.62,68320,0,159,,,,,,,,,,
48000,1.2,-0.06902400605846197,0.9,29539,48000,0,,,,,,,1590,0.23833012580871582,0.2,-3.584533625478059e-08,-0.03477740623056889,0.0,0.0,0.09231474995613098,0.0001,0.16433614008128644
48000,,,,,,,-0.24906520000000004,0.75,1.6,68734,0,160,,,,,,,,,,
48300,1.22,-0.09147288981825114,0.9,29720,48300,0,,,,,,,1600,0.17517238855361938,0.2,4.369265843884307e-06,-0.034140837378799915,1.0477379e-08,0.0,0.11415610462427139,0.0001,0.18212753608822824
48300,,,,,,,-0.24368660999999997,0.72,1.65,69154,0,161,,,,,,,,,,
48600,1.16,-0.09043128139805048,0.92,29906,48600,0,,,,,,,1610,0.2217007875442505,0.2,-3.7091934460820045e-05,-0.03426196444779635,1.9602012e-06,0.0,0.08301083743572235,0.0001,0.18614252656698227
48600,,,,,,,-0.18771127999999998,0.77,1.58,69572,0,162,,,,,,,,,,
48900,1.26,-0.11095773287583142,0.9,30095,48900,0,,,,,,,1620,0.16340100765228271,0.2,-0.0016141454599905459,-0.040939302928745744,0.008287102,0.0036399148404598234,0.06542219966650009,0.0001,0.19209058359265327
48900,,,,,,,-0.24169356,0.76,1.58,70007,0,163,,,,,,,,,,
49200,1.08,-0.00741523967590183,0.98,30273,49200,0,,,,,,,1630,0.25102710723876953,0.2,-1.608504705279401e-05,-0.03491856902837753,2.5068982e-06,0.0,0.05183256417512894,0.0001,0.17698370702564717
49200,,,,,,,-0.26503052000000005,0.73,1.69,70421,0,164,,,,,,,,,,
49500,1.16,-0.02878939928021282,0.96,30460,49500,0,,,,,,,1640,0.27436715364456177,0.2,-7.56064602036588e-09,-0.03443658575415611,0.0,0.0,0.07835468649864197,0.0001,0.17821219861507415
49500,,,,,,,-0.29082506,0.7,1.69,71062,0,165,,,,,,,,,,
49800,1.22,-0.031328498111106454,0.92,30642,49800,0,,,,,,,1650,0.23123419284820557,0.2,-0.00021386868373323152,-0.03373799156397581,1.2012781e-05,0.0,0.07363435626029968,0.0001,0.17583593912422657
49800,,,,,,,-0.29847922999999993,0.7,1.68,71627,0,166,,,,,,,,,,
50100,1.38,-0.13097066431306303,0.84,30832,50100,0,,,,,,,1660,0.29950207471847534,0.2,3.2918840919693436e-05,-0.03234361205250025,2.1444866e-06,0.0,0.08510682731866837,0.0001,0.1632262472063303
50100,,,,,,,-0.25567683999999996,0.75,1.57,72046,0,167,,,,,,,,,,
50400,1.32,-0.13259192634373904,0.86,31008,50400,0,,,,,,,1670,0.29924988746643066,0.2,-6.648445150814197e-06,-0.03213772922754288,3.9674342e-07,0.0,0.08334189653396606,0.0001,0.16825932636857033
50400,,,,,,,-0.27171760999999994,0.71,1.66,72481,0,168,,,,,,,,,,
50700,1.28,-0.10992518457584083,0.9,31179,50700,0,,,,,,,1680,0.15064918994903564,0.2,-0.000103107888571774,-0.034251408837735656,7.4466225e-06,0.0,0.1079854667186737,0.0001,0.2106000378727913
50700,,,,,,,-0.33199083,0.67,1.84,72897,0,169,,,,,,,,,,
51000,1.24,-0.08978198518045247,0.92,31363,51000,0,,,,,,,1690,0.16803336143493652,0.2,-0.00027770555159225554,-0.03232264900580049,3.389048e-05,0.0,0.08475901931524277,0.0001,0.19572993293404578
51000,,,,,,,-0.26326847999999997,0.69,1.74,73319,0,170,,,,,,,,,,
51300,1.08,-0.008194434535689653,0.98,31565,51300,0,,,,,,,1700,0.2805231809616089,0.2,3.334769766993873e-08,-0.02959905406460166,0.0,0.0,0.0636339783668518,0.0001,0.1502916231751442
51300,,,,,,,-0.19017053999999997,0.82,1.46,73729,0,171,,,,,,,,,,
51600,1.32,-0.10994194172322751,0.9,31750,51600,0,,,,,,,1710,0.27884596586227417,0.2,-2.3314814079355985e-09,-0.0290344406850636,0.0,0.0,0.08757251501083374,0.0001,0.15356020256876945
51600,,,,,,,-0.24124180000000003,0.7,1.73,74200,0,172,,,,,,,,,,
51900,1.26,-0.09021610494703054,0.9,31929,51900,0,,,,,,,1720,0.27631860971450806,0.2,-0.00023528813137749794,-0.028334597311913966,0.00018964079,0.0,0.0714602842926979,0.0001,0.1566455952823162
51900,,,,,,,-0.33126947,0.69,1.75,74646,0,173,,,,,,,,,,
52200,1.26,-0.10955760173499585,0.9,32117,52200,0,,,,,,,1730,0.1916942000389099,0.2,-6.333713221007286e-07,-0.02707427404820919,2.3283064e-10,0.0,0.11057143658399582,0.0001,0.19256939962506295
52200,,,,,,,-0.21798035000000004,0.77,1.57,75076,0,174,,,,,,,,,,
52500,1.16,-0.08988871451001615,0.92,32313,52500,0,,,,,,,1740,0.210624098777771,0.2,2.600294957133542e-09,-0.02675404669716954,0.0,0.0,0.10327447950839996,0.0001,0.1862883247435093
52500,,,,,,,-0.21882347000000002,0.72,1.63,75498,0,175,,,,,,,,,,
52800,1.3,-0.10955542110837996,0.9,32507,52800,0,,,,,,,1750,0.311862051486969,0.2,-0.00011373933825371551,-0.02631327584385872,8.097151e-06,0.0,0.0913090631365776,0.0001,0.1589433044195175
52800,,,,,,,-0.20007189000000003,0.8,1.5,75918,0,176,,,,,,,,,,
53100,1.26,-0.1114466220419854,0.9,32689,53100,0,,,,,,,1760,0.31321007013320923,0.2,-0.0011088827878920071,-0.03230686569586396,0.0054895473,0.0036399148404598234,0.0715327337384224,0.0001,0.14899280928075315
53100,,,,,,,-0.33516908,0.69,1.69,76364,0,177,,,,,,,,,,
53400,1.22,-0.06928289358969777,0.92,32884,53400,0,,,,,,,1770,0.2794097065925598,0.2,-4.581087005939288e-05,-0.02499065576121211,9.254975e-06,0.0,0.0946904867887497,0.0001,0.17382337376475335
53400,,,,,,,-0.2162366,0.76,1.57,76779,0,178,,,,,,,,,,
53700,1.18,-0.07046593013219535,0.92,33077,53700,0,,,,,,,1780,0.19444847106933594,0.2,1.7709945243638003e-08,-0.02455716095864773,0.0,0.0,0.0951213538646698,0.0001,0.17256736420094967
53700,,,,,,,-0.25600037,0.74,1.57,77206,0,179,,,,,,,,,,
54000,1.06,-0.02689936540555209,0.98,33274,54000,0,,,,,,,1790,0.36903250217437744,0.2,-7.068971034307481e-07,-0.024519403465092182,0.0,0.0,0.05235963687300682,0.0001,0.14728371612727642
54000,,,,,,,-0.24631391,0.76,1.59,77629,0,180,,,,,,,,,,
54300,1.22,-0.11051369385793805,0.9,33471,54300,0,,,,,,,1800,0.25669586658477783,0.2,-1.8002041413112125e-09,-0.024412636831402778,0.0,0.0,0.055620305240154266,0.0001,0.16826956979930402
54300,,,,,,,-0.22801327000000005,0.74,1.61,78072,0,181,,,,,,,,,,
54600,1.16,-0.049411120684817435,0.94,33661,54600,0,,,,,,,1810,0.39872610569000244,0.2,-0.0004216118429953397,-0.026464077178388834,0.016373806,0.0017578125,0.055063396692276,0.0001,0.133006314560771
54600,,,,,,,-0.21532084,0.76,1.6,78501,0,182,,,,,,,,,,
54900,1.2,-0.03177021249197423,0.94,33845,54900,0,,,,,,,1820,0.2145645022392273,0.2,2.7980951688988397e-08,-0.023199606500566006,0.0,0.0,0.0840938463807106,0.0001,0.18023111000657083
54900,,,,,,,-0.21938148,0.76,1.62,78949,0,183,,,,,,,,,,
55200,1.16,-0.06913728538900614,0.92,34041,55200,0,,,,,,,1830,0.2861320972442627,0.2,6.988094325421912e-09,-0.023012134805321695,0.0,0.0,0.05271894484758377,0.0001,0.15459446385502815
55200,,,,,,,-0.19132125,0.82,1.49,79375,0,184,,,,,,,,,,
55500,1.26,-0.06988668424542993,0.88,34231,55500,0,,,,,,,1840,0.21156048774719238,0.2,-0.0010208403839812696,-0.03232112964615226,0.013793161,0.002894176170229912,0.09225160628557205,0.0001,0.17928246632218361
55500,,,,,,,-0.20624492,0.79,1.51,79800,0,185,,,,,,,,,,
55800,1.2,-0.10971020606346428,0.9,34422,55800,0,,,,,,,1850,0.18894869089126587,0.2,-5.918131851245789e-09,-0.02300783572718501,0.0,0.0,0.1100090891122818,0.0001,0.18848935514688492
55800,,,,,,,-0.21563845999999998,0.79,1.56,80222,0,186,,,,,,,,,,
56100,1.12,-0.008337824526242911,0.96,34616,56100,0,,,,,,,1860,0.16533005237579346,0.2,-0.00014725706529485904,-0.029640951473265887,5.97653e-06,0.0,0.08871478587388992,0.0001,0.1831020049750805
56100,,,,,,,-0.21823457000000002,0.78,1.56,80652,0,187,,,,,,,,,,
56400,1.2,-0.0884614643547684,0.92,34786,56400,0,,,,,,,1870,0.249242901802063,0.2,-1.1959024881491587e-09,-0.022974887024611236,0.0,0.0,0.08395924419164658,0.0001,0.17421908676624298
