rollout/ep_rew_mean,rollout/ep_len_mean,env/current_idx,env/n_steps,time/total_timesteps,rollout/success_rate,time/time_elapsed,env/completion_counter,time/fps,time/iterations,train/n_updates,train/clip_fraction,train/explained_variance,train/learning_rate,train/loss,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/clip_range,eval/mean_reward,eval/success_rate,eval/mean_ep_length
-0.056808409090909076,1.3636363636363635,23,30,30,0.9090909090909091,34,0,0,1,,,,,,,,,,,,,
-0.11916276923076922,1.4615384615384615,40,60,60,0.8717948717948718,73,0,0,2,10,0.0,-0.4248727560043335,0.0001,0.007096155546605587,-1.9458203315734863,0.00033961335,-0.007111667957312107,0.08716786727309227,0.2,,,
-0.11415538095238097,1.4285714285714286,64,90,90,0.873015873015873,107,0,0,3,20,0.0,-0.424574613571167,0.0001,0.0975145474076271,-1.945384395122528,0.00011318922,-0.00018579819831465727,0.2892873287200928,0.2,,,
-0.08583305813953487,1.3604651162790697,87,120,120,0.9069767441860465,143,0,0,4,30,0.0,-0.0011305809020996094,0.0001,0.04180249199271202,-1.9452404260635376,4.993677e-05,-0.001326797155816095,0.1332941934466362,0.2,,,
-0.10897865999999999,1.42,106,150,150,0.89,177,0,0,5,40,0.0,-17.783580780029297,0.0001,0.029766669496893883,-1.9454740762710572,9.9080804e-05,-0.00201814809290255,0.10001872107386589,0.2,,,
-0.10928829000000002,1.41,129,180,180,0.9,211,0,0,6,50,0.0,0.21798884868621826,0.0001,0.07527505606412888,-1.9454762101173402,5.503893e-05,-0.0005873358109845129,0.29952224493026736,0.2,,,
-0.08909639999999999,1.39,148,210,210,0.91,246,0,0,7,60,0.0,-0.12759184837341309,0.0001,0.06104052811861038,-1.9453760504722595,4.7641992e-05,-0.0015233532178292818,0.17569711804389954,0.2,,,
-0.11041093000000002,1.44,168,240,240,0.9,289,0,0,8,70,0.0,-0.24628710746765137,0.0001,0.0663054808974266,-1.9453054904937743,0.00031276146,-0.007739466410906282,0.21372816115617752,0.2,,,
-0.11096194000000001,1.44,192,270,270,0.9,324,0,0,9,80,0.0,0.39474111795425415,0.0001,0.02342352643609047,-1.9454238295555115,0.000114117065,-0.0021286936528243537,0.08837800435721874,0.2,,,
-0.08845178999999997,1.37,217,300,300,0.92,358,0,0,10,90,0.0,-0.37086963653564453,0.0001,0.02930239401757717,-1.9453593969345093,0.00027896962,-0.004508261552158288,0.11914938762784004,0.2,,,
-0.07381189,1.38,235,330,330,0.92,394,0,0,11,100,0.0,-0.6488221883773804,0.0001,0.057097792625427246,-1.9447425484657288,0.00017594297,-0.0027846376246694502,0.1734064370393753,0.2,,,
-0.09413407,1.44,253,360,360,0.91,437,0,0,12,110,0.0,-0.10728263854980469,0.0001,0.02448296546936035,-1.9434775829315185,0.00024382472,-0.0040522984199924394,0.09662791490554809,0.2,,,
-0.12776555,1.5,268,390,390,0.88,473,0,0,13,120,0.0,0.31304657459259033,0.0001,0.04074034467339516,-1.942487895488739,8.504391e-05,-0.000802214514599875,0.12658344358205795,0.2,,,
-0.13790198,1.53,289,420,420,0.87,520,0,0,14,130,0.0,-0.07306849956512451,0.0001,0.09790849685668945,-1.9419200897216797,4.1552386e-05,-0.0006403023956303322,0.2513756349682808,0.2,,,
-0.17427343999999997,1.67,304,450,450,0.83,554,0,0,15,140,0.0,-0.13921046257019043,0.0001,0.10997533053159714,-1.941590392589569,3.49919e-05,-0.0008997575486503706,0.31676442325115206,0.2,,,
-0.20567502,1.78,319,480,480,0.8,591,0,0,16,150,0.0,0.2189711332321167,0.0001,0.05172935873270035,-1.9410487771034242,0.00020652215,-0.0032038255555866257,0.1665581189095974,0.2,,,
-0.20701876000000005,1.77,337,510,510,0.79,626,0,0,17,160,0.0,0.11765426397323608,0.0001,0.0572596937417984,-1.9383136749267578,0.00035181444,-0.005653971785989853,0.18198587447404863,0.2,,,
-0.20733811000000008,1.74,356,540,540,0.79,825,0,0,18,170,0.0,-0.2599642276763916,0.0001,0.08893294632434845,-1.9350211143493652,0.0006331404,-0.003943250109829588,0.2714484915137291,0.2,,,
-0.18527186,1.71,375,570,570,0.81,859,0,0,19,180,0.0,0.10999667644500732,0.0001,0.08350324630737305,-1.930545938014984,0.00048807065,-0.004398621207801589,0.24062079489231109,0.2,,,
-0.18795644999999997,1.77,392,600,600,0.8,897,0,0,20,190,0.0,-0.12422668933868408,0.0001,0.06002793461084366,-1.9273649096488952,0.0003791074,-0.004924441831693116,0.18450965434312822,0.2,,,
-0.17470544,1.7,408,630,630,0.82,938,0,0,21,200,0.0,0.04054749011993408,0.0001,0.06860937178134918,-1.9237459301948547,0.00040976604,-0.004077829939390853,0.20726057291030883,0.2,,,
