env/completion_counter,env/current_idx,time/total_timesteps,eval/mean_reward,eval/success_rate,env/n_steps,eval/mean_ep_length,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/success_rate,time/iterations,train/clip_fraction,train/clip_range,train/n_updates,train/loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/value_loss
0,10534,22500,-0.07122560832649469,0.94,22500,1.38,,,,,,,0.0,0.2,740,0.08562704920768738,2.664336e-05,0.044834673404693604,-0.06503434956073761,-0.00017926611938264613,0.0001,0.18594623118638992
,,22500,,,,,1.74,0,34861,-0.13337605000000002,0.88,75,,,,,,,,,,
0,10674,22800,-0.07310605491045863,0.94,22800,1.38,,,,,,,0.0010795454680919648,0.2,750,0.06356808543205261,0.00012357309,0.047582149505615234,-0.0617362679541111,-0.000756163057599224,0.0001,0.15485564455389977
,,22800,,,,,2.03,0,35320,-0.19101941999999997,0.83,76,,,,,,,,,,
0,10833,23100,-0.101547691533342,0.92,23100,1.5,,,,,,,0.0009375,0.2,760,0.05050339922308922,0.00012112025,0.1992751955986023,-0.061848206147551536,-0.000814224049805432,0.0001,0.16715035796165467
,,23100,,,,,1.99,0,35776,-0.20028248,0.83,77,,,,,,,,,,
0,10987,23400,-0.032212067884393035,0.92,23400,1.44,,,,,,,0.00125,0.2,770,0.0508306622505188,0.00022180616,0.1632363200187683,-0.0619974198192358,-0.001021457506576553,0.0001,0.15417309552431108
,,23400,,,,,1.83,0,36232,-0.1507586,0.88,78,,,,,,,,,,
0,11141,23700,-0.0292365318024531,0.98,23700,1.24,,,,,,,0.000625,0.2,780,0.07348232716321945,0.00016794105,0.12696629762649536,-0.05453209422528744,-0.0009389028920668351,0.0001,0.1580250345170498
,,23700,,,,,1.91,0,36665,-0.21840614000000003,0.81,79,,,,,,,,,,
0,11285,24000,-0.049143363106995824,0.96,24000,1.2,,,,,,,0.0,0.2,790,0.062322311103343964,0.0,0.24271166324615479,-0.051957218274474144,-1.641735468638217e-07,0.0001,0.15740094482898712
,,24000,,,,,2.06,0,37106,-0.19252471999999998,0.83,80,,,,,,,,,,
0,11431,24300,-0.054947326895780864,0.92,24300,1.42,,,,,,,0.0,0.2,800,0.051062166690826416,4.098732e-05,0.20582133531570435,-0.05140416666865349,-0.0003689564002354473,0.0001,0.15477296814322472
,,24300,,,,,2.13,0,37575,-0.21903727000000003,0.79,81,,,,,,,,,,
0,11572,24600,-0.07769940133206546,0.94,24600,1.5,,,,,,,0.0,0.2,810,0.0434703603386879,0.00013649867,0.193159282207489,-0.04905580013990402,-0.0007502546721832459,0.0001,0.1567862971127033
,,24600,,,,,2.06,0,38020,-0.22243707000000001,0.8,82,,,,,,,,,,
0,11726,24900,-0.09386082484852523,0.92,24900,1.38,,,,,,,0.0,0.2,820,0.037505052983760834,1.4097852e-06,0.2187793254852295,-0.04844312503933906,-5.4144517366694345e-06,0.0001,0.15408554926514625
,,24900,,,,,1.78,0,38466,-0.09144154,0.91,83,,,,,,,,,,
