time/total_timesteps,eval/mean_ep_length,eval/success_rate,env/n_steps,env/completion_counter,eval/mean_reward,env/current_idx,rollout/success_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/clip_range,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/value_loss,train/loss
26400,,,,,,,0.81,-0.24956099,2.06,88,0,38939,,,,,,,,,,
26700,1.6,0.92,26700,0,-0.10176099549978972,13162,,,,,,,-0.0008830660810188106,0.072998046875,0.0001,0.2,0.0013920454680919647,880,-0.0627537452429533,0.00010973774,0.21043513149023055,0.058881595730781555
26700,,,,,,,0.84,-0.22539127,2.0,89,0,39374,,,,,,,,,,
27000,1.34,0.92,27000,0,-0.07221023129299282,13310,,,,,,,-0.0009475759871897082,0.14854103326797485,0.0001,0.2,0.0010795454680919648,890,-0.06147713765501976,0.00018550176,0.19627838745713233,0.08430603891611099
27000,,,,,,,0.79,-0.25720343,2.13,90,0,39822,,,,,,,,,,
27300,1.18,0.96,27300,0,-0.05041142145171761,13465,,,,,,,-0.000148191487666125,0.14521431922912598,0.0001,0.2,0.0,900,-0.062049902379512786,2.8677827e-05,0.17454994320869446,0.06008981913328171
27300,,,,,,,0.88,-0.16768919000000002,1.84,91,0,40244,,,,,,,,,,
27600,1.36,0.94,27600,0,-0.05631895283702761,13618,,,,,,,-0.000982071608305386,0.22850960493087769,0.0001,0.2,0.0024715909361839295,910,-0.06305422015488148,0.00027535722,0.15787359401583673,0.08338860422372818
27600,,,,,,,0.83,-0.22574454000000002,1.98,92,0,40672,,,,,,,,,,
27900,1.36,0.96,27900,0,-0.05104827192146331,13768,,,,,,,-0.00027021611241622167,0.15012633800506592,0.0001,0.2,0.0,920,-0.0670711450278759,0.00021724387,0.17002688005566596,0.07147952169179916
27900,,,,,,,0.83,-0.21630074999999999,1.93,93,0,41104,,,,,,,,,,
28200,1.46,0.92,28200,0,-0.10242813150398433,13917,,,,,,,-0.0002713924217229646,0.17906951904296875,0.0001,0.2,0.0,930,-0.05820348106324673,0.00012466757,0.1737736429274082,0.06395211070775986
28200,,,,,,,0.8,-0.22281685999999998,2.03,94,0,41532,,,,,,,,,,
28500,1.34,0.94,28500,0,-0.0531615193746984,14066,,,,,,,-0.002354897557154878,0.19802993535995483,0.0001,0.2,0.0075852273404598235,940,-0.047450446039438245,0.00077828486,0.16757697448134423,0.07017909735441208
28500,,,,,,,0.81,-0.20019477,1.99,95,0,41966,,,,,,,,,,
28800,1.2,0.96,28800,0,-0.029882246721535922,14237,,,,,,,-0.00019871193873264304,0.24776726961135864,0.0001,0.2,0.0,950,-0.04089348457753658,3.5235473e-05,0.1467222146689892,0.044717542827129364
28800,,,,,,,0.85,-0.19941389999999995,1.79,96,0,42366,,,,,,,,,,
29100,1.28,0.96,29100,0,-0.03011479096021503,14392,,,,,,,-0.000627734187084883,0.161166250705719,0.0001,0.2,0.00125,960,-0.03665780156850815,0.00011164808,0.1698812548816204,0.044055964797735214
29100,,,,,,,0.88,-0.15574063999999999,1.87,97,0,42794,,,,,,,,,,
29400,1.18,0.98,29400,0,-0.03028977324254811,14554,,,,,,,-7.727495987310817e-05,0.13970762491226196,0.0001,0.2,0.0,970,-0.03694434769451618,2.1182559e-05,0.15520353868603706,0.06977926939725876
29400,,,,,,,0.86,-0.17685196000000006,1.85,98,0,43204,,,,,,,,,,
29700,1.22,0.96,29700,0,-0.029396100039593875,14716,,,,,,,-0.00020080033224093797,0.04292327165603638,0.0001,0.2,0.0,980,-0.037113037556409836,3.6850553e-05,0.17981202512979508,0.07223083078861237
29700,,,,,,,0.87,-0.18587472000000002,1.79,99,0,43632,,,,,,,,,,
30000,1.42,0.92,30000,0,-0.07941488839685917,14864,,,,,,,-1.3169747674623977e-08,0.1469530463218689,0.0001,0.2,0.0,990,-0.033815689533948895,0.0,0.1880352534353733,0.0552406907081604
30000,,,,,,,0.8,-0.23898271,2.09,100,0,44041,,,,,,,,,,
30300,1.38,0.94,30300,0,-0.07360405734274536,15017,,,,,,,-1.603398825267277e-08,0.16460180282592773,0.0001,0.2,0.0,1000,-0.03364015705883503,0.0,0.18415180057287217,0.06741254776716232
30300,,,,,,,0.88,-0.15149377,1.82,101,0,44445,,,,,,,,,,
30600,1.36,0.94,30600,0,-0.05253447231370956,15176,,,,,,,-0.0003761189744214022,0.1513441801071167,0.0001,0.2,0.0,1010,-0.03168526876717806,6.952323e-05,0.18034107625484466,0.08208920061588287
30600,,,,,,,0.89,-0.15040018,1.76,102,0,44856,,,,,,,,,,
30900,1.24,0.96,30900,0,-0.03133908381685615,15311,,,,,,,-0.0005134677834049483,0.27456748485565186,0.0001,0.2,0.00125,1020,-0.031146902553737164,0.0001717234,0.13315451815724372,0.03159403055906296
30900,,,,,,,0.78,-0.26921478,2.23,103,0,45273,,,,,,,,,,
31200,1.24,0.96,31200,0,-0.05278508690651506,15471,,,,,,,-7.675791318106917e-09,0.18385249376296997,0.0001,0.2,0.0,1030,-0.034977659583091736,0.0,0.18368978813290596,0.06477408111095428
31200,,,,,,,0.88,-0.1460645,1.77,104,0,45693,,,,,,,,,,
31500,1.3,0.96,31500,0,-0.031074804053641856,15629,,,,,,,-2.4450004778113765e-05,0.13076210021972656,0.0001,0.2,0.0,1040,-0.034892648458480835,8.527748e-06,0.1546633480489254,0.07361648231744766
31500,,,,,,,0.84,-0.16148819,1.9,105,0,46093,,,,,,,,,,
31800,1.26,0.96,31800,0,-0.031300050225108865,15781,,,,,,,-0.0005355434373698565,0.004084646701812744,0.0001,0.2,0.0009375,1050,-0.032491163536906245,0.0001500737,0.15942572623491288,0.0582333542406559
31800,,,,,,,0.82,-0.22347049999999996,1.87,106,0,46517,,,,,,,,,,
32100,1.28,0.94,32100,0,-0.07108964517246932,15946,,,,,,,-0.0005887601634656825,0.2838866710662842,0.0001,0.2,0.00125,1060,-0.032399041131138805,0.00014264061,0.17940810561180115,0.05494942516088486
32100,,,,,,,0.84,-0.17696708,1.88,107,0,46984,,,,,,,,,,
32400,1.26,0.96,32400,0,-0.05259437694214284,16113,,,,,,,1.7819164259691433e-08,0.3018715977668762,0.0001,0.2,0.0,1070,-0.03399731695652008,0.0,0.1383758145570755,0.054133810102939606
32400,,,,,,,0.87,-0.18378288000000004,1.78,108,0,47396,,,,,,,,,,
32700,1.36,0.92,32700,0,-0.10137207388412207,16266,,,,,,,-0.0005291045931252115,0.16811585426330566,0.0001,0.2,0.0013920454680919647,1080,-0.036644268035888675,9.44566e-05,0.16672598496079444,0.06073235347867012
32700,,,,,,,0.84,-0.21445448999999997,1.94,109,0,47790,,,,,,,,,,
33000,1.34,0.94,33000,0,-0.05063483412843198,16424,,,,,,,-0.0009941981432282177,0.2640005946159363,0.0001,0.2,0.0023295454680919646,1090,-0.03885405063629151,0.00025322905,0.15630023419857025,0.06583011895418167
33000,,,,,,,0.84,-0.20598512000000002,1.99,110,0,48186,,,,,,,,,,
33300,1.32,0.98,33300,0,-0.031030137189663947,16565,,,,,,,-0.00012974952179067856,0.3479205369949341,0.0001,0.2,0.0003125,1100,-0.042681634277105335,6.5632164e-05,0.13411060079932213,0.04805672541260719
33300,,,,,,,0.79,-0.25324769,2.12,111,0,48580,,,,,,,,,,
33600,1.24,0.96,33600,0,-0.04974030760116875,16731,,,,,,,-0.0015597796079898885,0.18124353885650635,0.0001,0.2,0.007698863744735718,1110,-0.039286136850714685,0.0008653326,0.18148273095488549,0.07572567462921143
33600,,,,,,,0.89,-0.12059642999999999,1.65,112,0,48981,,,,,,,,,,
33900,1.2,0.98,33900,0,-0.030235009687021374,16889,,,,,,,-0.0006588312293494348,0.1330600380897522,0.0001,0.2,0.002017045468091965,1120,-0.03964951954782009,0.00032658974,0.15143870458006858,0.054247140884399414
33900,,,,,,,0.85,-0.17878592000000001,1.93,113,0,49382,,,,,,,,,,
34200,1.42,0.9,34200,0,-0.11307289803866297,17039,,,,,,,-0.00034732547935242055,0.2633722424507141,0.0001,0.2,0.0007670454680919648,1130,-0.04055001109838486,0.00018837876,0.1566145932674408,0.05330899357795715
34200,,,,,,,0.82,-0.21783862999999998,1.96,114,0,49798,,,,,,,,,,
34500,1.42,0.92,34500,0,-0.07731753502972424,17188,,,,,,,-3.545603376207574e-05,0.0792844295501709,0.0001,0.2,0.0,1140,-0.037987127006053924,1.0236353e-05,0.1855822415649891,0.04470837488770485
34500,,,,,,,0.8,-0.21439271999999998,2.01,115,0,50213,,,,,,,,,,
34800,1.3,0.94,34800,0,-0.0737270718254149,17338,,,,,,,-0.0008929279701127602,0.1734660267829895,0.0001,0.2,0.0049715909361839295,1150,-0.03761274866759777,0.00045050215,0.1697986151278019,0.06480608135461807
34800,,,,,,,0.83,-0.20207904999999993,2.03,116,0,50617,,,,,,,,,,
35100,1.36,0.92,35100,0,-0.09566293661482632,17504,,,,,,,-0.0002942021292720387,0.114993155002594,0.0001,0.2,0.0007670454680919648,1160,-0.03838190123438835,0.00010171234,0.15992679253220557,0.04977171868085861
35100,,,,,,,0.84,-0.19710901000000003,1.82,117,0,51042,,,,,,,,,,
35400,1.36,0.94,35400,0,-0.07314797178376466,17664,,,,,,,-4.862694185874261e-06,0.18549317121505737,0.0001,0.2,0.0,1170,-0.041767198741436,2.2981317e-06,0.1535485103726387,0.05014389753341675
35400,,,,,,,0.83,-0.18925720999999998,1.95,118,0,51442,,,,,,,,,,
35700,1.26,0.96,35700,0,-0.04918711442500353,17838,,,,,,,-0.000659268052708697,0.34388577938079834,0.0001,0.2,0.0017045454680919647,1180,-0.041688311100006106,0.000245478,0.13285817369818687,0.03280051425099373
35700,,,,,,,0.89,-0.13190965,1.76,119,0,51846,,,,,,,,,,
36000,1.7,0.88,36000,0,-0.12946277271956205,18005,,,,,,,-0.0003073194918376387,0.06917649507522583,0.0001,0.2,0.0003125,1190,-0.0385312020778656,0.00015601,0.14535827934741974,0.053950972855091095
36000,,,,,,,0.88,-0.1321206,1.86,120,0,52268,,,,,,,,,,
36300,1.18,0.98,36300,0,-0.033129954757168886,18147,,,,,,,-0.0003976136800008412,0.11840295791625977,0.0001,0.2,0.0003125,1200,-0.03655521005392075,0.00012719407,0.12846280552446843,0.07086563855409622
36300,,,,,,,0.81,-0.15186117,1.97,121,0,52676,,,,,,,,,,
36600,1.4,0.92,36600,0,-0.09416526070795954,18295,,,,,,,-0.0008094768497076287,0.08937221765518188,0.0001,0.2,0.0018465909361839294,1210,-0.03779552429914475,0.00015942976,0.1994900457561016,0.062396518886089325
36600,,,,,,,0.83,-0.18914265,2.01,122,0,53104,,,,,,,,,,
36900,1.18,0.98,36900,0,-0.02870682193432003,18448,,,,,,,-0.00018398784545510692,0.1632779836654663,0.0001,0.2,0.0,1220,-0.038492055013775825,4.757475e-05,0.1736345285177231,0.057418446987867355
36900,,,,,,,0.79,-0.20973931,2.03,123,0,53515,,,,,,,,,,
37200,1.52,0.94,37200,0,-0.05397688136436045,18594,,,,,,,-0.00025249116715417405,0.14024066925048828,0.0001,0.2,0.0009375,1230,-0.04451769508421421,6.872749e-05,0.18937079057097436,0.07683773338794708
37200,,,,,,,0.86,-0.18502421,1.95,124,0,53945,,,,,,,,,,
37500,1.44,0.92,37500,0,-0.09938214872032404,18746,,,,,,,-0.0001836471994084832,0.2517164349555969,0.0001,0.2,0.0,1240,-0.0465996365994215,9.278618e-05,0.1607905164361,0.06166597828269005
37500,,,,,,,0.78,-0.27352274,2.04,125,0,54383,,,,,,,,,,
37800,1.24,0.96,37800,0,-0.042482326636090875,18892,,,,,,,2.0397031171981438e-06,0.3789447546005249,0.0001,0.2,0.0,1250,-0.04584877654910088,2.5760383e-07,0.14452084943652152,0.05094731226563454
37800,,,,,,,0.78,-0.27811281,2.22,126,0,54791,,,,,,,,,,
38100,1.54,0.9,38100,0,-0.09544265177566558,19056,,,,,,,-0.0006053208729589699,0.14961403608322144,0.0001,0.2,0.0027840909361839293,1260,-0.05046867027878761,0.00036453365,0.19753841191530228,0.07905865460634232
38100,,,,,,,0.81,-0.22512527000000002,1.97,127,0,55213,,,,,,,,,,
38400,1.06,1.0,38400,0,-0.007333612171933055,19214,,,,,,,-0.0005623402477863237,0.21579575538635254,0.0001,0.2,0.000625,1270,-0.04994457460939884,0.00013106447,0.1339099782705307,0.05845646932721138
38400,,,,,,,0.81,-0.21852859,1.92,128,0,55601,,,,,,,,,,
38700,1.6,0.88,38700,0,-0.11421857815235853,19378,,,,,,,-1.7833980585635343e-08,0.2980566620826721,0.0001,0.2,0.0,1280,-0.044424838945269586,0.0,0.16028389915823937,0.06937357038259506
38700,,,,,,,0.85,-0.18949004999999997,1.84,129,0,56006,,,,,,,,,,
39000,1.36,0.94,39000,0,-0.031542855259031055,19546,,,,,,,-0.0002806441301733997,0.284429132938385,0.0001,0.2,0.0015340909361839295,1290,-0.0457670059800148,0.000101198304,0.14308050781488418,0.06000157445669174
39000,,,,,,,0.88,-0.15530391000000002,1.72,130,0,56410,,,,,,,,,,
39300,1.56,0.88,39300,0,-0.11619045325554907,19701,,,,,,,-0.001248818038306645,0.248304545879364,0.0001,0.2,0.003579545468091965,1300,-0.05107520304620266,0.00023028915,0.15118859454989433,0.0636918842792511
39300,,,,,,,0.82,-0.20958162000000005,1.96,131,0,56835,,,,,,,,,,
39600,1.22,0.98,39600,0,-0.03120216915849596,19863,,,,,,,-0.0001425088884901271,0.292569100856781,0.0001,0.2,0.0,1310,-0.04882442057132721,8.4217754e-05,0.14556381240487098,0.05559680238366127
39600,,,,,,,0.87,-0.17216714,1.71,132,0,57255,,,,,,,,,,
39900,1.56,0.9,39900,0,-0.12482118912041187,20006,,,,,,,-0.0006534304519564316,0.3158922791481018,0.0001,0.2,0.002017045468091965,1320,-0.04204665832221508,0.00021642205,0.17107661366462706,0.08402714878320694
39900,,,,,,,0.81,-0.22167749,2.04,133,0,57682,,,,,,,,,,
40200,1.1,0.98,40200,0,-0.027650079606100917,20147,,,,,,,-2.5247504771925834e-05,0.19369947910308838,0.0001,0.2,0.0,1330,-0.03937893874943257,6.3717366e-06,0.17711590692400933,0.09199816733598709
40200,,,,,,,0.84,-0.21126143000000003,1.97,134,0,58105,,,,,,,,,,
40500,1.52,0.9,40500,0,-0.10030575112439692,20311,,,,,,,-0.001460727124304846,0.285103976726532,0.0001,0.2,0.0034375,1340,-0.03514956586062908,0.00036803895,0.16111740946769715,0.042845308780670166
40500,,,,,,,0.83,-0.22440417999999995,1.93,135,0,58516,,,,,,,,,,
40800,1.38,0.92,40800,0,-0.09313930763397366,20483,,,,,,,-0.0007994815808803324,0.25607138872146606,0.0001,0.2,0.002017045468091965,1350,-0.02933397512882948,0.0002630342,0.15327775090932846,0.04595709592103958
40800,,,,,,,0.89,-0.12304947000000001,1.63,136,0,58923,,,,,,,,,,
41100,1.36,0.94,41100,0,-0.07733901744242758,20632,,,,,,,-8.082186679914117e-09,0.19248324632644653,0.0001,0.2,0.0,1360,-0.027594243474304676,0.0,0.12975615091621875,0.03119877725839615
41100,,,,,,,0.8,-0.24980113999999998,2.07,137,0,59339,,,,,,,,,,
41400,1.28,0.96,41400,0,-0.05511445476673543,20784,,,,,,,6.6462565939673365e-09,0.06665438413619995,0.0001,0.2,0.0,1370,-0.02755428172647953,0.0,0.20938934475183488,0.09490068256855011
41400,,,,,,,0.85,-0.18556783,1.81,138,0,59759,,,,,,,,,,
41700,1.54,0.92,41700,0,-0.07326210512779653,20941,,,,,,,-4.905530026633187e-09,0.1352243423461914,0.0001,0.2,0.0,1380,-0.027556881718337537,0.0,0.17550037145614625,0.052370551973581314
41700,,,,,,,0.84,-0.18794276000000004,1.9,139,0,60163,,,,,,,,,,
42000,1.26,0.96,42000,0,-0.04998665015678853,21097,,,,,,,-8.004294276275914e-09,0.23415684700012207,0.0001,0.2,0.0,1390,-0.02755230341106653,0.0,0.14758738934993743,0.061684321612119675
42000,,,,,,,0.84,-0.20369505,1.93,140,0,60568,,,,,,,,,,
42300,1.36,0.94,42300,0,-0.05456786356400698,21231,,,,,,,-1.9822693130500114e-07,0.1795356273651123,0.0001,0.2,0.0,1400,-0.02757393170148134,0.0,0.17256472378969193,0.08007589727640152
42300,,,,,,,0.75,-0.26252441,2.25,141,0,61024,,,,,,,,,,
42600,1.44,0.92,42600,0,-0.09363023629412055,21376,,,,,,,-0.000337127556346708,0.17334526777267456,0.0001,0.2,0.00125,1410,-0.026271074414253234,0.00013599228,0.17777424022555352,0.07172304391860962
42600,,,,,,,0.78,-0.26557403999999996,2.12,142,0,61451,,,,,,,,,,
42900,1.6,0.9,42900,0,-0.11895637804176658,21531,,,,,,,8.872964407657946e-10,0.276930570602417,0.0001,0.2,0.0,1420,-0.025319440513849257,0.0,0.17000569343566896,0.06878676265478134
42900,,,,,,,0.83,-0.19452568,1.94,143,0,61881,,,,,,,,,,
43200,1.24,0.98,43200,0,-0.030478218011558054,21688,,,,,,,-8.869577516890104e-09,0.025310993194580078,0.0001,0.2,0.0,1430,-0.025305778048932553,0.0,0.17549164235591888,0.05470928177237511
43200,,,,,,,0.82,-0.19232918999999998,1.95,144,0,62323,,,,,,,,,,
43500,1.14,0.98,43500,0,-0.029827926498837767,21839,,,,,,,1.5239828954349832e-10,0.17551618814468384,0.0001,0.2,0.0,1440,-0.025314172618091105,0.0,0.15598032161593436,0.05022871866822243
43500,,,,,,,0.84,-0.23008419000000002,2.0,145,0,62734,,,,,,,,,,
43800,1.16,0.98,43800,0,-0.02851365156006068,22017,,,,,,,-3.794777275865968e-05,0.31702595949172974,0.0001,0.2,0.0,1450,-0.024602715075016022,1.1278316e-05,0.15254016906023027,0.05638473108410835
43800,,,,,,,0.9,-0.12951073999999999,1.67,146,0,63163,,,,,,,,,,
44100,1.5,0.92,44100,0,-0.07895393470302224,22185,,,,,,,-0.0005208416105068636,0.3261866569519043,0.0001,0.2,0.0034090909361839295,1460,-0.026279868818819524,0.00030423078,0.12827217385172843,0.06799441576004028
44100,,,,,,,0.88,-0.14249813,1.83,147,0,63589,,,,,,,,,,
44400,1.3,0.96,44400,0,-0.033366433018818496,22334,,,,,,,-0.0008463082335550709,0.06902772188186646,0.0001,0.2,0.0015340909361839295,1470,-0.025236899703741072,0.00016502403,0.15566255480051042,0.07924859970808029
44400,,,,,,,0.81,-0.22091008,2.02,148,0,64022,,,,,,,,,,
44700,1.42,0.9,44700,0,-0.09182447526603937,22485,,,,,,,2.423978813226313e-09,0.1755346655845642,0.0001,0.2,0.0,1480,-0.022469197511672975,0.0,0.15358462497591974,0.03964148461818695
44700,,,,,,,0.86,-0.18141263,1.84,149,0,64446,,,,,,,,,,
45000,1.28,0.96,45000,0,-0.03189577763900161,22639,,,,,,,-0.0006803848552095637,0.1854678988456726,0.0001,0.2,0.001875,1490,-0.02120798870921135,0.00017346404,0.18230577498674394,0.08223752677440643
45000,,,,,,,0.82,-0.24290249,2.02,150,0,64880,,,,,,,,,,
45300,1.3,0.96,45300,0,-0.05205283713061362,22789,,,,,,,1.139854168386023e-08,0.12926912307739258,0.0001,0.2,0.0,1500,-0.020433188416063786,0.0,0.17877776503562928,0.055453307926654816
45300,,,,,,,0.83,-0.22854866999999998,1.95,151,0,65290,,,,,,,,,,
45600,1.52,0.88,45600,0,-0.11960366202052683,22931,,,,,,,-3.945421127582449e-09,0.2557302713394165,0.0001,0.2,0.0,1510,-0.020423771776258946,0.0,0.1652342511713505,0.0643056258559227
45600,,,,,,,0.83,-0.2024475,2.06,152,0,65709,,,,,,,,,,
45900,1.24,0.96,45900,0,-0.05115265044849366,23073,,,,,,,2.2571872548837745e-09,-0.020182013511657715,0.0001,0.2,0.0,1520,-0.020423435270786286,0.0,0.19285481050610542,0.09635259211063385
45900,,,,,,,0.81,-0.21829535000000003,2.08,153,0,66121,,,,,,,,,,
46200,1.34,0.94,46200,0,-0.05054476408753544,23234,,,,,,,4.242079081125283e-05,0.24899792671203613,0.0001,0.2,0.0,1530,-0.02049796350300312,1.1749565e-06,0.15463501915335656,0.05069207772612572
46200,,,,,,,0.85,-0.16917178,1.8,154,0,66525,,,,,,,,,,
46500,1.46,0.94,46500,0,-0.05392672163434327,23389,,,,,,,-0.0010850525579669502,0.06986868381500244,0.0001,0.2,0.002301136404275894,1540,-0.02327064298093319,0.00013704393,0.14998321995139122,0.07651028037071228
46500,,,,,,,0.87,-0.15452493000000003,1.85,155,0,66945,,,,,,,,,,
46800,1.24,0.94,46800,0,-0.07164288869127632,23549,,,,,,,-1.1025165971290107e-08,0.2396290898323059,0.0001,0.2,0.0,1550,-0.024990214221179485,0.0,0.14167629286646843,0.041548628360033035
46800,,,,,,,0.9,-0.1459134,1.83,156,0,67411,,,,,,,,,,
47100,1.36,0.96,47100,0,-0.05277016027830541,23724,,,,,,,-4.683302715424276e-05,0.2082926630973816,0.0001,0.2,0.0,1560,-0.024268752671778204,3.1151623e-05,0.17090077131986617,0.0495794452726841
47100,,,,,,,0.9,-0.12098996999999999,1.68,157,0,67835,,,,,,,,,,
47400,1.46,0.92,47400,0,-0.07742559577804059,23885,,,,,,,-0.0007030399126764309,0.19853943586349487,0.0001,0.2,0.002642045468091965,1570,-0.02074938029050827,0.00032691905,0.12534500531852244,0.06648826599121094
47400,,,,,,,0.82,-0.23430812000000004,1.96,158,0,68266,,,,,,,,,,
47700,1.44,0.94,47700,0,-0.05641070710495114,24042,,,,,,,1.186166365130248e-09,0.3426302671432495,0.0001,0.2,0.0,1580,-0.019212138429284095,0.0,0.14498005695641042,0.05567673593759537
47700,,,,,,,0.83,-0.20529469,1.93,159,0,68711,,,,,,,,,,
48000,1.42,0.94,48000,0,-0.07088784775231033,24196,,,,,,,-0.0001736095149747463,0.2055751085281372,0.0001,0.2,0.0003125,1590,-0.020305496640503407,6.536264e-05,0.16112952381372453,0.061669301241636276
48000,,,,,,,0.79,-0.2577890199999999,2.1,160,0,69162,,,,,,,,,,
48300,1.26,0.96,48300,0,-0.05115338881034404,24374,,,,,,,-1.0293654328918932e-08,0.2619851231575012,0.0001,0.2,0.0,1600,-0.022228485122323036,0.0,0.14721139639616013,0.0470004677772522
48300,,,,,,,0.9,-0.12131307,1.64,161,0,69583,,,,,,,,,,
48600,1.06,1.0,48600,0,-0.007016384652815759,24525,,,,,,,-1.0909597394359593e-08,0.3160156011581421,0.0001,0.2,0.0,1610,-0.02231799028813839,0.0,0.12205559588968753,0.03845537081360817
48600,,,,,,,0.85,-0.16915407999999996,1.82,162,0,69977,,,,,,,,,,
48900,1.32,0.96,48900,0,-0.03523921850603074,24687,,,,,,,-0.0004556509242153695,0.20450854301452637,0.0001,0.2,0.0017045454680919647,1620,-0.02040700528770685,0.00025240163,0.15699566751718522,0.051541510969400406
48900,,,,,,,0.88,-0.13412864000000002,1.71,163,0,70417,,,,,,,,,,
49200,1.52,0.88,49200,0,-0.11793832018505782,24837,,,,,,,-0.0003430068288367849,0.18010544776916504,0.0001,0.2,0.0007670454680919648,1630,-0.01687203025445342,0.00014456645,0.1457688495516777,0.05632254108786583
49200,,,,,,,0.86,-0.19256292000000003,1.94,164,0,71032,,,,,,,,,,
49500,1.38,0.92,49500,0,-0.09243105751462281,24996,,,,,,,1.1497601093424237e-09,0.06174910068511963,0.0001,0.2,0.0,1640,-0.015350734889507294,0.0,0.18400897607207298,0.07628770172595978
49500,,,,,,,0.84,-0.19521948000000003,1.92,165,0,71560,,,,,,,,,,
49800,1.36,0.94,49800,0,-0.07377648540772498,25166,,,,,,,-0.0001745353766124058,0.21875542402267456,0.0001,0.2,0.000625,1650,-0.015792834851890803,0.000116115065,0.1592437981069088,0.05475202202796936
49800,,,,,,,0.86,-0.17274739,1.88,166,0,71980,,,,,,,,,,
50100,1.18,1.0,50100,0,-0.008471264317631722,25310,,,,,,,-0.0005408533383358716,0.22386670112609863,0.0001,0.2,0.0012215909361839295,1660,-0.014854714814573526,0.00020816436,0.1506361585855484,0.08817604929208755
50100,,,,,,,0.81,-0.23406892,2.04,167,0,72414,,,,,,,,,,
50400,1.28,0.96,50400,0,-0.050634711184538904,25464,,,,,,,-3.4574490643759506e-05,0.228959858417511,0.0001,0.2,0.0,1670,-0.013194070290774107,2.7350336e-05,0.17299120858311653,0.04651603475213051
50400,,,,,,,0.83,-0.19921682999999998,1.93,168,0,72825,,,,,,,,,,
50700,1.34,0.98,50700,0,-0.03457328727468848,25630,,,,,,,-0.00010418593444302183,0.3603277802467346,0.0001,0.2,0.000625,1680,-0.013383011408150196,0.00010121092,0.16586919158697128,0.0428023636341095
50700,,,,,,,0.87,-0.18095787000000002,1.9,169,0,73264,,,,,,,,,,
51000,1.22,0.98,51000,0,-0.030657062865793706,25778,,,,,,,8.412382914713135e-09,0.2114892601966858,0.0001,0.2,0.0,1690,-0.014650194123387337,0.0,0.16266943901777267,0.06246504560112953
51000,,,,,,,0.79,-0.25554757,2.11,170,0,73682,,,,,,,,,,
51300,1.36,0.94,51300,0,-0.05163427718449384,25919,,,,,,,-8.633360248921917e-09,0.1368367075920105,0.0001,0.2,0.0,1700,-0.01470039077103138,0.0,0.1709473930299282,0.059680841863155365
51300,,,,,,,0.75,-0.26943609999999996,2.28,171,0,74155,,,,,,,,,,
51600,1.48,0.9,51600,0,-0.1147493443917483,26088,,,,,,,-0.00020049778286843179,0.23528218269348145,0.0001,0.2,0.0017045454680919647,1710,-0.015436912514269352,0.000131917,0.18350704059004783,0.07745161652565002
51600,,,,,,,0.91,-0.11405976999999996,1.62,172,0,74622,,,,,,,,,,
51900,1.38,0.94,51900,0,-0.0793225187342614,26247,,,,,,,-0.000849121764132903,0.269403338432312,0.0001,0.2,0.0024715909361839295,1720,-0.015135092400014401,0.00016583242,0.1443449929356575,0.03494616225361824
51900,,,,,,,0.84,-0.16830185,1.97,173,0,75062,,,,,,,,,,
52200,1.48,0.92,52200,0,-0.09288827686104924,26388,,,,,,,1.0210681633537888e-09,0.19724422693252563,0.0001,0.2,0.0,1730,-0.014730201866477728,0.0,0.1586226511001587,0.0702776163816452
52200,,,,,,,0.76,-0.24177033,2.27,174,0,75501,,,,,,,,,,
52500,1.46,0.9,52500,0,-0.1135446788975969,26544,,,,,,,-0.0001872721229765517,0.12127840518951416,0.0001,0.2,0.0013920454680919647,1740,-0.015343973338603973,0.000132991,0.16786939829587935,0.07078910619020462
52500,,,,,,,0.86,-0.18259386,1.9,175,0,75934,,,,,,,,,,
52800,1.42,0.96,52800,0,-0.05321932816877961,26702,,,,,,,-3.0479646717651577e-09,0.14152902364730835,0.0001,0.2,0.0,1750,-0.01587978199124336,0.0,0.1486337147653103,0.04410024732351303
52800,,,,,,,0.85,-0.18211891000000002,1.88,176,0,76357,,,,,,,,,,
53100,1.36,0.96,53100,0,-0.03223966859281063,26854,,,,,,,-2.352012851147833e-09,0.1068539023399353,0.0001,0.2,0.0,1760,-0.01590781528502703,0.0,0.1584237125515938,0.08009837567806244
53100,,,,,,,0.82,-0.23581405,2.12,177,0,76790,,,,,,,,,,
53400,1.32,0.96,53400,0,-0.05869439165573567,27014,,,,,,,-0.0007779820949177641,0.15241122245788574,0.0001,0.2,0.0015625,1770,-0.013982612378895283,0.00019127243,0.16958454191684724,0.056514084339141846
53400,,,,,,,0.82,-0.2275631,1.9,178,0,77227,,,,,,,,,,
53700,1.26,0.98,53700,0,-0.03013764606323093,27173,,,,,,,-1.33619390219053e-08,0.14461666345596313,0.0001,0.2,0.0,1780,-0.012709899786859751,0.0,0.15824760615825653,0.06810274720191956
53700,,,,,,,0.81,-0.24655834999999995,1.93,179,0,77662,,,,,,,,,,
54000,1.4,0.92,54000,0,-0.05374455312266946,27329,,,,,,,-8.624047076466469e-09,0.30902600288391113,0.0001,0.2,0.0,1790,-0.012696957010775804,0.0,0.16935331478714943,0.08063612878322601
