time/total_timesteps,eval/mean_ep_length,eval/success_rate,env/n_steps,env/completion_counter,eval/mean_reward,env/current_idx,rollout/success_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/clip_range,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/value_loss,train/loss
6300,1.34,0.98,6300,0,-0.03106968892738223,2753,,,,,,,-0.0009040269063552842,0.06967490911483765,0.0001,0.2,0.0,200,-0.5650133574008942,0.00035446853,0.17651417091488839,0.08500070124864578
6300,,,,,,,0.89,-0.15905085000000002,1.81,21,0,9263,,,,,,,,,,
6600,1.42,0.92,6600,0,-0.058271645540371536,2907,,,,,,,-0.007058899851544993,0.2366105318069458,0.0001,0.2,0.02565340921282768,210,-0.505364425778389,0.0036844965,0.13670764058828355,0.04149816557765007
6600,,,,,,,0.82,-0.21873049000000003,2.04,22,0,9728,,,,,,,,,,
6900,1.28,0.96,6900,0,-0.03240791348274797,3056,,,,,,,-0.0034167031705146654,0.26926374435424805,0.0001,0.2,0.014119318276643754,220,-0.4164963561296463,0.0022573576,0.14389080196619033,0.05814974755048752
6900,,,,,,,0.85,-0.19942860000000007,1.96,23,0,10180,,,,,,,,,,
7200,1.36,0.94,7200,0,-0.07345360100269317,3208,,,,,,,-0.0030082602534093894,0.11643534898757935,0.0001,0.2,0.010681818276643752,230,-0.3595405811071396,0.0021646612,0.15596455723047256,0.051497507840394974
7200,,,,,,,0.88,-0.12451404999999999,1.81,24,0,10623,,,,,,,,,,
7500,1.44,0.92,7500,0,-0.07222758834250272,3364,,,,,,,-0.0002683092201323234,0.09313011169433594,0.0001,0.2,0.0,240,-0.32504421830177305,5.841719e-05,0.13685177206993104,0.044066496193408966
7500,,,,,,,0.88,-0.16823479999999996,1.83,25,0,11103,,,,,,,,,,
7800,1.46,0.94,7800,0,-0.07351652410347015,3506,,,,,,,-0.0032017607880698053,0.2073754072189331,0.0001,0.2,0.0066477273404598235,250,-0.29996277451515196,0.0012528852,0.14924238234758377,0.04606540501117706
7800,,,,,,,0.82,-0.24202975999999995,2.02,26,0,11534,,,,,,,,,,
8100,1.46,0.9,8100,0,-0.12102989892475308,3663,,,,,,,-0.0012928309661219828,0.04924619197845459,0.0001,0.2,0.0,260,-0.2763286417722702,0.00018534879,0.20940825209021569,0.0984603613615036
8100,,,,,,,0.8,-0.21904444,1.9,27,0,11991,,,,,,,,,,
8400,1.22,0.96,8400,0,-0.049182272320613264,3818,,,,,,,-0.001948799901016116,0.2601185441017151,0.0001,0.2,0.00528409093618393,270,-0.298298112154007,0.0007334428,0.1468675084412098,0.04879174381494522
8400,,,,,,,0.86,-0.20449778,1.98,28,0,12433,,,,,,,,,,
8700,1.28,0.96,8700,0,-0.052625216231681406,3968,,,,,,,-0.0005940312164801753,0.10901856422424316,0.0001,0.2,0.0,280,-0.3130994510650635,0.00018847108,0.16901944875717162,0.058386821299791336
8700,,,,,,,0.84,-0.21395498,1.92,29,0,12869,,,,,,,,,,
9000,1.46,0.92,9000,0,-0.09326692597940564,4136,,,,,,,-0.0019293868594104425,0.26068902015686035,0.0001,0.2,0.002642045468091965,290,-0.29509237825870516,0.0006852875,0.1405918687582016,0.05694129690527916
9000,,,,,,,0.87,-0.15779417,1.83,30,0,13332,,,,,,,,,,
9300,1.34,0.96,9300,0,-0.05187072572298348,4300,,,,,,,-0.0019391659573688002,-0.0420759916305542,0.0001,0.2,0.0034090909361839295,300,-0.2702824303507805,0.00077548466,0.17711373239755632,0.08066090196371078
9300,,,,,,,0.88,-0.17506594000000003,1.89,31,0,13766,,,,,,,,,,
9600,1.24,0.96,9600,0,-0.04921717651654035,4446,,,,,,,-0.001274879076134372,0.2213374376296997,0.0001,0.2,0.000625,310,-0.25022347658872607,0.0002755245,0.14369866237044335,0.04704199358820915
9600,,,,,,,0.8,-0.22544902000000003,2.08,32,0,14190,,,,,,,,,,
9900,1.38,0.92,9900,0,-0.07136038335040212,4629,,,,,,,-0.0002205434112090643,0.0805363655090332,0.0001,0.2,0.0,320,-0.2610424399375916,3.085429e-05,0.17239113703370093,0.054631926119327545
9900,,,,,,,0.89,-0.14652313,1.63,33,0,14643,,,,,,,,,,
10200,1.24,0.98,10200,0,-0.02927052363753319,4781,,,,,,,-0.004453673990356038,0.13282692432403564,0.0001,0.2,0.013210227340459823,330,-0.23280529469251632,0.0019188579,0.1533667442202568,0.04263867065310478
10200,,,,,,,0.85,-0.16858402999999997,1.89,34,0,15071,,,,,,,,,,
10500,1.3,0.96,10500,0,-0.05067182537168265,4936,,,,,,,-0.0017922059537613677,0.07058978080749512,0.0001,0.2,0.0025,340,-0.19552150577306748,0.00077247666,0.1653689420223236,0.07019393146038055
10500,,,,,,,0.81,-0.23142795999999996,2.07,35,0,15510,,,,,,,,,,
10800,1.74,0.88,10800,0,-0.1388192944880575,5090,,,,,,,-0.00020700976601204958,0.10165059566497803,0.0001,0.2,0.0,350,-0.18173161685466765,8.033479e-05,0.17612750604748725,0.05213512107729912
10800,,,,,,,0.86,-0.15200165,2.0,36,0,15976,,,,,,,,,,
11100,1.34,0.94,11100,0,-0.07304876785259694,5235,,,,,,,-0.002570987196113492,0.1104046106338501,0.0001,0.2,0.007130681872367859,360,-0.17305780649185182,0.0008330553,0.15736352175474166,0.06486675143241882
11100,,,,,,,0.83,-0.21433212999999998,1.9,37,0,16436,,,,,,,,,,
11400,1.42,0.92,11400,0,-0.0920641122944653,5385,,,,,,,-0.00036259073246043273,0.28179121017456055,0.0001,0.2,0.0,370,-0.1580875313282013,3.5273704e-05,0.16032861083745956,0.06170409917831421
11400,,,,,,,0.84,-0.21899261999999997,1.96,38,0,16930,,,,,,,,,,
11700,1.42,0.92,11700,0,-0.1019168071867898,5535,,,,,,,-0.00017207882834071597,0.20740848779678345,0.0001,0.2,0.0,380,-0.15725546330213547,4.4605797e-05,0.1647226543724537,0.04427362233400345
11700,,,,,,,0.79,-0.25354462,2.06,39,0,17403,,,,,,,,,,
12000,1.38,0.92,12000,0,-0.09113843495957553,5676,,,,,,,-0.0015293139781252308,0.05455183982849121,0.0001,0.2,0.0017045454680919647,390,-0.14703533411026,0.00027005197,0.17915118589997292,0.05555889382958412
12000,,,,,,,0.78,-0.2613474,2.19,40,0,17846,,,,,,,,,,
12300,1.44,0.92,12300,0,-0.07756459289230407,5817,,,,,,,-0.0005631962158804527,0.20049738883972168,0.0001,0.2,0.0,400,-0.133181069791317,0.00017032614,0.17202750384807586,0.09403274953365326
12300,,,,,,,0.77,-0.26369523,2.18,41,0,18286,,,,,,,,,,
12600,1.4,0.92,12600,0,-0.08132608771789819,5958,,,,,,,-0.0006088606233509397,0.029328465461730957,0.0001,0.2,0.0,410,-0.12090442210435867,7.6369215e-05,0.17477602660655975,0.06343807280063629
12600,,,,,,,0.83,-0.20456197999999998,2.05,42,0,18732,,,,,,,,,,
12900,1.36,0.92,12900,0,-0.0726558181270957,6099,,,,,,,-8.143263436437565e-05,0.04307198524475098,0.0001,0.2,0.0,420,-0.11496838599443436,1.3907813e-05,0.18215562164783478,0.07426409423351288
12900,,,,,,,0.77,-0.25306252,2.21,43,0,19161,,,,,,,,,,
13200,1.36,0.92,13200,0,-0.09624379010871052,6267,,,,,,,-0.000874438147690313,0.15203100442886353,0.0001,0.2,0.0027840909361839293,430,-0.11541071027517319,0.0024880324,0.1831499394774437,0.06454209983348846
13200,,,,,,,0.86,-0.17623988999999998,1.83,44,0,19620,,,,,,,,,,
13500,1.3,0.96,13500,0,-0.030200209878385068,6415,,,,,,,-0.00044170738822280954,0.0831151008605957,0.0001,0.2,0.0,440,-0.10732505694031716,0.00020335996,0.1696196447312832,0.05716150626540184
13500,,,,,,,0.84,-0.18789362,1.96,45,0,20070,,,,,,,,,,
13800,1.36,0.96,13800,0,-0.054676508298143744,6570,,,,,,,-0.0008602705537551003,0.23292547464370728,0.0001,0.2,0.0009090909361839294,450,-0.1037688647210598,0.0002185227,0.16219351783394814,0.05448564514517784
13800,,,,,,,0.83,-0.21123756,2.0,46,0,20508,,,,,,,,,,
14100,1.32,0.96,14100,0,-0.054686836185865104,6718,,,,,,,-0.0015308806657347417,0.1759270429611206,0.0001,0.2,0.0018465909361839294,460,-0.11097358956933022,0.00027707947,0.16398875162005425,0.04984169080853462
14100,,,,,,,0.87,-0.14953123999999998,1.92,47,0,20981,,,,,,,,,,
14400,1.26,0.96,14400,0,-0.058680464271456005,6871,,,,,,,-0.00021554962308739434,0.05348563194274902,0.0001,0.2,0.0,470,-0.11003440871834755,3.9417297e-05,0.15487839341163634,0.05728960037231445
14400,,,,,,,0.82,-0.23188697000000003,2.02,48,0,21430,,,,,,,,,,
14700,1.44,0.9,14700,0,-0.11745383526198566,7020,,,,,,,-0.0018063931544958223,0.09358972311019897,0.0001,0.2,0.0040625,480,-0.09782692834734917,0.00050534774,0.20789212986826897,0.09478779137134552
14700,,,,,,,0.88,-0.15261097,1.87,49,0,21872,,,,,,,,,,
15000,1.24,0.98,15000,0,-0.029714191760867835,7171,,,,,,,-0.00016736263701623954,0.15076208114624023,0.0001,0.2,0.0,490,-0.09155683919787407,2.4993904e-05,0.16152143150568007,0.06513354182243347
15000,,,,,,,0.8,-0.24762647999999998,2.08,50,0,22326,,,,,,,,,,
15300,1.24,0.98,15300,0,-0.03159588004462421,7313,,,,,,,-0.00011735337016334668,0.2215057611465454,0.0001,0.2,0.0,500,-0.0928643374145031,2.9605068e-05,0.16317007079720497,0.04492952674627304
15300,,,,,,,0.77,-0.27516994,2.17,51,0,22766,,,,,,,,,,
15600,1.44,0.9,15600,0,-0.09626357035711408,7454,,,,,,,-0.0012612134572753675,0.24413925409317017,0.0001,0.2,0.0003125,510,-0.09241306453943253,0.00020950809,0.17253011122345924,0.06738258898258209
15600,,,,,,,0.81,-0.23045538000000002,2.1,52,0,23212,,,,,,,,,,
15900,1.3,0.98,15900,0,-0.032099997624754906,7606,,,,,,,-0.0011254541498919223,0.20103853940963745,0.0001,0.2,0.00125,520,-0.0827295020222664,0.00027053946,0.17776212960481644,0.05649968236684799
15900,,,,,,,0.81,-0.22519825000000002,1.95,53,0,23670,,,,,,,,,,
16200,1.54,0.9,16200,0,-0.09507829609327018,7760,,,,,,,-0.0012733055647490233,0.1813955307006836,0.0001,0.2,0.0021590909361839297,530,-0.07568297877907754,0.00024258252,0.1865956164896488,0.07084144651889801
16200,,,,,,,0.86,-0.17989083000000006,1.78,54,0,24103,,,,,,,,,,
16500,1.54,0.88,16500,0,-0.13752608272712677,7927,,,,,,,-0.0004273303670127859,0.26072484254837036,0.0001,0.2,0.0,540,-0.0695838288962841,0.00015394334,0.17284760057926177,0.05710117146372795
16500,,,,,,,0.89,-0.14145750999999998,1.77,55,0,24552,,,,,,,,,,
16800,1.1,1.0,16800,0,-0.007852792721241713,8092,,,,,,,-0.0013583687780680976,0.26659929752349854,0.0001,0.2,0.0018465909361839294,550,-0.06082624129951,0.0003893243,0.12199126422405243,0.014532133005559444
16800,,,,,,,0.89,-0.14372039,1.75,56,0,24980,,,,,,,,,,
17100,1.58,0.9,17100,0,-0.12438923560082912,8238,,,,,,,-0.00023791361663665355,0.24494510889053345,0.0001,0.2,0.002642045468091965,560,-0.05897433489561081,0.0043441467,0.15446829810738563,0.06312698125839233
17100,,,,,,,0.82,-0.23627502,2.04,57,0,25432,,,,,,,,,,
17400,1.38,0.92,17400,0,-0.0906546086119488,8378,,,,,,,-0.0007604766649786044,0.13880932331085205,0.0001,0.2,0.0004545454680919647,570,-0.050396719723939894,0.00016839358,0.1623011215031147,0.05893402546644211
17400,,,,,,,0.8,-0.27789625,2.09,58,0,25860,,,,,,,,,,
17700,1.32,0.94,17700,0,-0.0759506556391716,8537,,,,,,,-0.0002669169111653602,0.28012192249298096,0.0001,0.2,0.0,580,-0.04845556244254112,6.489083e-05,0.18045591622591017,0.05408944934606552
17700,,,,,,,0.85,-0.16985472999999995,1.89,59,0,26283,,,,,,,,,,
18000,1.58,0.86,18000,0,-0.1354266339261085,8688,,,,,,,-0.00013940997719382508,0.16781002283096313,0.0001,0.2,0.0,590,-0.05064035579562187,2.0545722e-05,0.14447146713733672,0.05023029074072838
18000,,,,,,,0.78,-0.23655699,2.1,60,0,26719,,,,,,,,,,
18300,1.26,0.96,18300,0,-0.05031555195804685,8841,,,,,,,-0.002279780744895561,0.28335535526275635,0.0001,0.2,0.006789772808551788,600,-0.04451556466519833,0.0010032787,0.14458999469876288,0.03312753140926361
18300,,,,,,,0.86,-0.18398411,1.9,61,0,27130,,,,,,,,,,
18600,1.06,1.0,18600,0,-0.007006072103977203,8984,,,,,,,-0.0008686051020315145,0.2602633833885193,0.0001,0.2,0.000625,610,-0.042954519614577295,0.00013112053,0.139244514554739,0.04934113100171089
18600,,,,,,,0.81,-0.24249825999999997,2.02,62,0,27569,,,,,,,,,,
18900,1.44,0.92,18900,0,-0.10028507562354207,9137,,,,,,,-0.0004156736273381867,0.24259471893310547,0.0001,0.2,0.0,620,-0.04486521825194359,9.907577e-05,0.16996649384498597,0.04783874750137329
18900,,,,,,,0.87,-0.17165587,1.78,63,0,28045,,,,,,,,,,
19200,1.56,0.88,19200,0,-0.0989034807914868,9285,,,,,,,2.7076086528410315e-09,0.15849924087524414,0.0001,0.2,0.0,630,-0.041210073307156564,0.0,0.19816133856773377,0.07530723512172699
19200,,,,,,,0.85,-0.16633667,1.99,64,0,28518,,,,,,,,,,
19500,1.04,1.0,19500,0,-0.006630000993609429,9435,,,,,,,-3.436495638275971e-08,0.20538604259490967,0.0001,0.2,0.0,640,-0.04103240966796875,0.0,0.13587246537208558,0.04534780606627464
19500,,,,,,,0.8,-0.23449268000000004,2.03,65,0,28937,,,,,,,,,,
19800,1.28,0.94,19800,0,-0.053041399251669646,9583,,,,,,,-6.130642504764694e-09,0.2778790593147278,0.0001,0.2,0.0,650,-0.04100574493408203,0.0,0.1377366626262665,0.06515974551439285
19800,,,,,,,0.8,-0.23877506999999998,2.02,66,0,29358,,,,,,,,,,
20100,1.54,0.92,20100,0,-0.09570362363941967,9730,,,,,,,-0.00030125093498266863,0.1620197892189026,0.0001,0.2,0.0,660,-0.042532435730099676,5.4314547e-05,0.18612724006175996,0.07043378800153732
20100,,,,,,,0.85,-0.18107437,1.97,67,0,29799,,,,,,,,,,
20400,1.12,0.98,20400,0,-0.029309654952958227,9899,,,,,,,8.23119815862583e-09,0.17872267961502075,0.0001,0.2,0.0,670,-0.045948004350066185,0.0,0.14811332553625106,0.05974474921822548
20400,,,,,,,0.89,-0.14083765999999998,1.69,68,0,30220,,,,,,,,,,
20700,1.4,0.94,20700,0,-0.08497783210594206,10069,,,,,,,-0.00017737889260232008,0.2219136357307434,0.0001,0.2,0.0,680,-0.04719084173440933,4.2253174e-05,0.14305348366498946,0.04512019082903862
20700,,,,,,,0.89,-0.12668801,1.59,69,0,30660,,,,,,,,,,
21000,1.16,0.96,21000,0,-0.048624302265234294,10223,,,,,,,-1.3841653084796234e-05,0.256646990776062,0.0001,0.2,0.0,690,-0.04974113635718822,3.847666e-06,0.13551269426941873,0.057049307972192764
21000,,,,,,,0.85,-0.18081155,1.94,70,0,31082,,,,,,,,,,
21300,1.24,0.96,21300,0,-0.050602887612767516,10368,,,,,,,-0.00010737586513805297,0.0890660285949707,0.0001,0.2,0.0,700,-0.051331719607114794,2.8437562e-05,0.16267900809645652,0.049908801913261414
21300,,,,,,,0.78,-0.23680341000000002,2.13,71,0,31502,,,,,,,,,,
21600,1.34,0.94,21600,0,-0.03514248307328671,10537,,,,,,,-0.0006389680661418496,0.1449996829032898,0.0001,0.2,0.0021590909361839297,710,-0.05623218491673469,0.00023775901,0.1620631617307663,0.07411684095859528
21600,,,,,,,0.89,-0.13925437000000002,1.75,72,0,31922,,,,,,,,,,
