rollout/ep_rew_mean,time/fps,env/n_steps,rollout/success_rate,time/total_timesteps,env/current_idx,env/completion_counter,rollout/ep_len_mean,time/iterations,time/time_elapsed,train/value_loss,train/clip_range,train/learning_rate,train/n_updates,train/loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,eval/mean_ep_length,eval/mean_reward,eval/success_rate
-0.06593315384615384,0,60,0.8974358974358975,60,40,0,1.5128205128205128,1,77,,,,,,,,,,,,,
-0.09609181578947368,0,120,0.881578947368421,120,77,0,1.5657894736842106,2,147,0.0732278025150299,0.2,0.0001,50,-0.062109969556331635,0.0089453645,-1.3284099102020264,-1.9431853914260864,-0.02803351312767095,0.009666666984558106,,,
-0.09548236000000002,0,180,0.9,180,122,0,1.48,3,219,0.07814675983972848,0.2,0.0001,100,-0.07148119807243347,0.01167495,-0.25950169563293457,-1.9261709618568421,-0.040722633521926274,0.10666666813194751,,,
-0.09472002,0,240,0.91,240,165,0,1.4,4,291,0.02636914393864572,0.2,0.0001,150,-0.09178493916988373,0.012371832,0.03168034553527832,-1.9151733946800231,-0.04519043549478617,0.08200000129640102,,,
-0.12772217999999996,0,300,0.88,300,201,0,1.5,5,357,0.053137434832751754,0.2,0.0001,200,-0.10571029037237167,0.014460135,-0.12979602813720703,-1.9203598475456238,-0.054996407840876296,0.1030000026151538,,,
-0.12844185000000002,0,360,0.88,360,237,0,1.55,6,430,0.06577432853169739,0.2,0.0001,250,-0.11532171815633774,0.016748207,0.06453549861907959,-1.9231470227241516,-0.06563746377678277,0.14933333449065686,,,
-0.12575367999999998,0,420,0.89,420,279,0,1.51,7,498,0.05897737207822502,0.2,0.0001,300,-0.12256837636232376,0.015925925,-0.10534000396728516,-1.9039334225654603,-0.06827920943580101,0.1643333361297846,,,
-0.13439022,0,480,0.88,480,321,0,1.52,8,567,0.07244106160476804,0.2,0.0001,350,-0.11813147366046906,0.015160069,-0.3735233545303345,-1.909459125995636,-0.06359218567159647,0.15633333534002303,,,
-0.1036731,0,540,0.9,540,365,0,1.43,9,642,0.04513537371531129,0.2,0.0001,400,-0.12329444289207458,0.018767038,0.09495604038238525,-1.8799579930305481,-0.07062191744210822,0.17166666902601718,,,
-0.08686999999999999,0,600,0.91,600,409,0,1.34,10,716,0.05480786793865264,0.2,0.0001,450,-0.10928405076265335,0.012588694,-0.3064981698989868,-1.8609731054306031,-0.059224740194389586,0.13300000205636026,,,
-0.08699515999999999,0,660,0.91,660,456,0,1.37,11,790,0.0506640241201967,0.2,0.0001,500,-0.12732887268066406,0.020024141,0.32823383808135986,-1.8837378215789795,-0.0836824287706986,0.3036666675657034,,,
-0.10220053,0,720,0.91,720,496,0,1.35,12,858,0.04303489034064114,0.2,0.0001,550,-0.11418220400810242,0.018627642,-0.058202505111694336,-1.8468868517875672,-0.07676255765929818,0.28066666670143603,,,
-0.11444386000000001,0,780,0.89,780,538,0,1.41,13,928,0.05832969096489251,0.2,0.0001,600,-0.135515958070755,0.019601537,0.2522962689399719,-1.821941328048706,-0.07689403591871574,0.22500000044703483,,,
-0.12623789,0,840,0.88,840,579,0,1.47,14,996,0.03946709386073053,0.2,0.0001,650,-0.12624314427375793,0.019498078,0.11213350296020508,-1.8150197577476501,-0.0765969565679164,0.17133333705365658,,,
-0.12043171999999998,0,900,0.87,900,614,0,1.55,15,1075,0.0911261824145913,0.2,0.0001,700,-0.12402596324682236,0.017896654,-0.14391160011291504,-1.781743130683899,-0.08033733268314971,0.27866666547954083,,,
-0.13014745,0,960,0.86,960,657,0,1.55,16,1145,0.06285238636657596,0.2,0.0001,750,-0.1366681158542633,0.02537747,0.009555637836456299,-1.7792301392555236,-0.0864389040786773,0.28133333548903466,,,
-0.09566123000000001,0,1020,0.87,1020,700,0,1.5,17,1226,0.05246146319434047,0.2,0.0001,800,-0.12390662729740143,0.023999114,-0.1400623321533203,-1.793269033432007,-0.08881690625008197,0.34633333086967466,,,
-0.11338751999999998,0,1080,0.87,1080,738,0,1.48,18,1295,0.04258799000643194,0.2,0.0001,850,-0.12767702341079712,0.026431004,0.22530341148376465,-1.7947487330436707,-0.0862241876119903,0.356000000461936,,,
-0.11387262999999999,0,1140,0.88,1140,781,0,1.45,19,1364,0.06355405867099762,0.2,0.0001,900,-0.13994699716567993,0.02183315,0.10971266031265259,-1.8189862585067749,-0.08790675107653563,0.27566666778177024,,,
-0.11374600999999998,0,1200,0.88,1200,825,0,1.45,20,1439,0.06388612505979836,0.2,0.0001,950,-0.1284226030111313,0.022272248,-0.06881284713745117,-1.8007389903068542,-0.08755687532550656,0.31466666534543036,,,
-0.11231090999999999,0,1260,0.9,1260,866,0,1.42,21,1508,0.049857248309999706,0.2,0.0001,1000,-0.1245187446475029,0.025761176,0.010626912117004395,-1.790657947063446,-0.07993488714269673,0.30833333522081374,,,
-0.13648984999999997,0,1320,0.87,1320,907,0,1.52,22,1582,0.09120606007054448,0.2,0.0001,1050,-0.1484876126050949,0.024070656,-0.02905094623565674,-1.7672446060180664,-0.07943592269318955,0.20533333476632834,,,
-0.09466704,0,1380,0.9,1380,948,0,1.41,23,1646,0.036187479184009136,0.2,0.0001,1100,-0.1395682841539383,0.030315118,0.28168320655822754,-1.7631154584884643,-0.0950371920694597,0.30200000267475846,,,
-0.11954063000000001,0,1440,0.88,1440,987,0,1.51,24,1712,0.06022015856578946,0.2,0.0001,1150,-0.13625425100326538,0.020243498,-0.2226426601409912,-1.6930358982086182,-0.08298880290915259,0.2149999998137355,,,
