eval/success_rate,time/total_timesteps,eval/mean_ep_length,env/completion_counter,env/n_steps,env/current_idx,eval/mean_reward,time/fps,rollout/ep_len_mean,time/iterations,rollout/success_rate,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/loss,train/clip_fraction,train/clip_range,train/explained_variance,train/entropy_loss,train/value_loss,train/n_updates
0.94,630,1.4,0,630,203,-0.07401327620260417,,,,,,,-0.0015798538903858627,4.156629e-05,0.0001,0.18134436011314392,0.0,0.2,-0.7037855386734009,-1.9428128004074097,0.3839137852191925,100
,630,,,,,,0,2.96,21,0.62,2659,-0.44670704000000006,,,,,,,,,,
0.88,660,1.5,0,660,216,-0.10109998850151897,,,,,,,-0.00238273579239241,8.476178e-05,0.0001,0.12474723160266876,0.0,0.2,-0.026563405990600586,-1.9421476602554322,0.27578881978988645,105
,660,,,,,,0,3.01,22,0.61,2785,-0.44842721999999996,,,,,,,,,,
0.96,690,1.34,0,690,223,-0.05099717180244625,,,,,,,0.00037899852031841874,4.769365e-05,0.0001,0.17603786289691925,0.0,0.2,-0.8717749118804932,-1.9414029836654663,0.3836686611175537,110
,690,,,,,,0,3.04,23,0.61,2907,-0.45542599,,,,,,,,,,
0.98,720,1.26,0,720,231,-0.010541715039871634,,,,,,,-0.0014190890511962095,5.0101677e-05,0.0001,0.0804501622915268,0.0,0.2,0.27717125415802,-1.9404455900192261,0.17379809617996217,115
,720,,,,,,0,3.06,24,0.6,3015,-0.45926856,,,,,,,,,,
0.98,750,1.26,0,750,240,-0.029446535143069923,,,,,,,0.000337762436538469,1.8795332e-05,0.0001,0.14433401823043823,0.0,0.2,-1.1058404445648193,-1.9392496585845946,0.3402880847454071,120
,750,,,,,,0,3.12,25,0.58,3135,-0.4771689400000001,,,,,,,,,,
0.98,780,1.14,0,780,249,-0.02786495938897133,,,,,,,-0.0010552644700510428,2.3180246e-05,0.0001,0.12274578958749771,0.0,0.2,-0.3629450798034668,-1.9388859510421752,0.2650799691677094,125
,780,,,,,,0,3.03,26,0.59,3238,-0.4747393099999999,,,,,,,,,,
0.94,810,1.32,0,810,257,-0.07495514267124236,,,,,,,0.00010138511871140565,2.0372867e-05,0.0001,0.10885179042816162,0.0,0.2,-0.15617191791534424,-1.9387926816940309,0.24750524759292603,130
,810,,,,,,0,3.13,27,0.56,3360,-0.49852930000000006,,,,,,,,,,
0.96,840,1.36,0,840,265,-0.051460720067843795,,,,,,,-0.0006107465426126168,1.11043455e-05,0.0001,0.19083890318870544,0.0,0.2,-0.5363956689834595,-1.938733983039856,0.391522216796875,135
,840,,,,,,0,3.18,28,0.55,3479,-0.4958540200000001,,,,,,,,,,
0.94,870,1.42,0,870,275,-0.05351123814471066,,,,,,,-0.0006095182982971181,1.13248825e-05,0.0001,0.2385954111814499,0.0,0.2,-0.5493021011352539,-1.9379823207855225,0.5220523297786712,140
,870,,,,,,0,3.18,29,0.56,3599,-0.50488552,,,,,,,,,,
0.96,900,1.46,0,900,284,-0.054902267823927105,,,,,,,-0.0018776655142817233,5.481442e-05,0.0001,0.08189920336008072,0.0,0.2,0.25631260871887207,-1.9378026008605957,0.1836844801902771,145
,900,,,,,,0,3.24,30,0.55,3727,-0.5044292699999999,,,,,,,,,,
0.96,930,1.2,0,930,297,-0.04883081310428679,,,,,,,-0.003010203459610583,0.00010541876,0.0001,0.04933861270546913,0.0,0.2,0.4364827275276184,-1.9366733074188232,0.12628361135721206,150
,930,,,,,,0,3.21,31,0.55,3838,-0.5063916500000001,,,,,,,,,,
0.96,960,1.24,0,960,306,-0.04902414407581091,,,,,,,-0.003789659054018557,0.00016941229,0.0001,0.10531830042600632,0.0,0.2,0.09351164102554321,-1.935036826133728,0.24518314003944397,155
,960,,,,,,0,3.16,32,0.56,3955,-0.49127771000000003,,,,,,,,,,
0.94,990,1.4,0,990,315,-0.03122153544332832,,,,,,,-0.0054861738439649695,0.00025189717,0.0001,0.11331438273191452,0.0,0.2,-0.27476727962493896,-1.9316529750823974,0.2598415851593018,160
,990,,,,,,0,3.32,33,0.52,4075,-0.5289321,,,,,,,,,,
0.98,1020,1.22,0,1020,325,-0.03315716339740902,,,,,,,-0.0032767987313370383,0.00018432736,0.0001,0.1277284324169159,0.0,0.2,-0.29029905796051025,-1.9272512674331665,0.2874423384666443,165
,1020,,,,,,0,3.21,34,0.53,4193,-0.51744821,,,,,,,,,,
0.96,1050,1.24,0,1050,333,-0.05027895334642381,,,,,,,-0.004279390713200115,0.00021774769,0.0001,0.13293930888175964,0.0,0.2,-0.05571091175079346,-1.9219002723693848,0.29768577218055725,170
,1050,,,,,,0,3.2,35,0.55,4318,-0.5051040200000001,,,,,,,,,,
0.98,1080,1.16,0,1080,346,-0.028228935366496444,,,,,,,-0.004026047685183443,0.00021173756,0.0001,0.15153323113918304,0.0,0.2,-0.4411889314651489,-1.915257167816162,0.3370527267456055,175
,1080,,,,,,0,3.13,36,0.57,4433,-0.48075162,,,,,,,,,,
