rollout/ep_rew_mean,env/current_idx,env/completion_counter,rollout/ep_len_mean,time/fps,env/n_steps,time/iterations,rollout/success_rate,time/time_elapsed,time/total_timesteps,train/approx_kl,train/clip_fraction,train/n_updates,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/entropy_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length,eval/success_rate
-0.0499746,26,0,1.2,0,30,1,0.96,37,30,,,,,,,,,,,,,
-0.08425788095238095,43,0,1.4285714285714286,0,60,2,0.9047619047619048,77,60,0.012152219,0.016666667386889458,50,0.0001,0.03680915764183737,-0.03617494466264425,-0.35826730728149414,-0.07986223697662354,-1.9429659914970399,0.2,,,
-0.09338224193548385,63,0,1.4193548387096775,0,90,3,0.9032258064516129,111,90,0.016412253,0.172666669562459,100,0.0001,0.04390781594906002,-0.06260268519690726,-0.40600621700286865,-0.11067330837249756,-1.9340539026260375,0.2,,,
-0.09645358823529411,86,0,1.411764705882353,0,120,4,0.9058823529411765,143,120,0.013867331,0.10066666945815086,150,0.0001,0.03911279634921812,-0.05078922546573448,-0.21669542789459229,-0.10135094076395035,-1.925070388317108,0.2,,,
-0.11587394000000001,101,0,1.47,0,150,5,0.88,186,150,0.019921176,0.17333333745598792,200,0.0001,0.08281513291876763,-0.06595382217434236,-0.5037072896957397,-0.1117430180311203,-1.9004235005378722,0.2,,,
-0.14645095000000002,122,0,1.54,0,180,6,0.85,222,180,0.01591277,0.14733333632349968,250,0.0001,0.0498444920219481,-0.06023457208578475,0.2074517011642456,-0.12441585958003998,-1.8926926040649414,0.2,,,
-0.15862084999999998,140,0,1.56,0,210,7,0.84,254,210,0.02045568,0.23666667208075523,300,0.0001,0.1056173384282738,-0.07894203371106415,-0.380206823348999,-0.1456635296344757,-1.922027804851532,0.2,,,
-0.17806504,158,0,1.57,0,240,8,0.83,289,240,0.018443823,0.1860000043362379,350,0.0001,0.03218047051224857,-0.07838947156521801,0.4903980493545532,-0.1342926025390625,-1.8955516934394836,0.2,,,
-0.17666357000000002,181,0,1.58,0,270,9,0.83,325,270,0.019721385,0.18933333739638328,400,0.0001,0.06826053271535784,-0.07342108867490121,0.01027756929397583,-0.13226579129695892,-1.9112030291557311,0.2,,,
-0.16461197000000002,201,0,1.52,0,300,10,0.85,356,300,0.02220928,0.19933333851397037,450,0.0001,0.046569229101296516,-0.08516905884002336,-0.6194405555725098,-0.1515568196773529,-1.9017019033432008,0.2,,,
-0.14759031,213,0,1.59,0,330,11,0.84,394,330,0.02533315,0.3046666718274355,500,0.0001,0.04279958749189973,-0.09104494730241519,0.3288925290107727,-0.15431863069534302,-1.8658687996864318,0.2,,,
-0.14574544,234,0,1.59,0,360,12,0.84,427,360,0.02660926,0.31000000223517415,550,0.0001,0.04358630131930113,-0.0859909816022652,-0.2702075242996216,-0.13773515820503235,-1.8261318588256836,0.2,,,
-0.13644086000000002,253,0,1.58,0,390,13,0.85,460,390,0.025788268,0.2940000046789646,600,0.0001,0.03839851927245036,-0.0912402157562125,0.2970147132873535,-0.1507633775472641,-1.765330069065094,0.2,,,
-0.14820706,273,0,1.59,0,420,14,0.84,504,420,0.027265662,0.3106666710227728,650,0.0001,0.0615594732388854,-0.0976672905925662,-0.23919272422790527,-0.16039827466011047,-1.7434944415092468,0.2,,,
-0.1585041,291,0,1.61,0,450,15,0.83,537,450,0.02743444,0.2653333376348019,700,0.0001,0.045090770884417,-0.0901046024870205,0.3571334481239319,-0.15620745718479156,-1.7159593725204467,0.2,,,
-0.15516186999999998,310,0,1.5,0,480,16,0.86,578,480,0.019452132,0.3086666698753834,750,0.0001,0.07472881795838475,-0.07993988011855009,-0.03039395809173584,-0.13723355531692505,-1.7008169603347778,0.2,,,
-0.14508751000000003,334,0,1.5,0,510,17,0.86,810,510,0.027868997,0.35933333963155745,800,0.0001,0.04511090301675722,-0.097702255921904,-0.06245744228363037,-0.15543709695339203,-1.7438538336753846,0.2,,,
-0.15759078999999998,351,0,1.53,0,540,18,0.85,847,540,0.03282578,0.3333333370834589,850,0.0001,0.0484964131237939,-0.09795728826088211,0.202580988407135,-0.14410805702209473,-1.6679717230796813,0.2,,,
-0.13572909,373,0,1.5,0,570,19,0.86,881,570,0.05455383,0.42866666793823244,900,0.0001,0.06730252790264785,-0.11584721014322713,0.1481207013130188,-0.17262692749500275,-1.540342803001404,0.2,,,
-0.13603314,391,0,1.51,0,600,20,0.86,916,600,0.029367262,0.3286666738986969,950,0.0001,0.02570671171648428,-0.09772846303212766,-0.11987960338592529,-0.14808854460716248,-1.6875096201896667,0.2,,,
-0.11548420000000002,412,0,1.48,0,630,21,0.87,951,630,0.03321656,0.34600000753998755,1000,0.0001,0.04637600458227098,-0.09525986107826855,0.342343270778656,-0.15330567955970764,-1.5934013891220093,0.2,,,
-0.08457777,437,0,1.44,0,660,22,0.9,988,660,0.03507706,0.2946666691452265,1050,0.0001,0.05906122763175517,-0.08453095184608053,-1.511000156402588,-0.12583626806735992,-1.5958896088600159,0.2,,,
-0.07210144999999998,456,0,1.44,0,690,23,0.9,1025,690,0.053776063,0.4353333403170109,1100,0.0001,0.0115154470782727,-0.09725845550280064,-163.1696319580078,-0.13354088366031647,-1.3213321995735168,0.2,,,
-0.05204340999999999,480,0,1.39,0,720,24,0.92,1063,720,0.025830546,0.26666667208075523,1150,0.0001,0.03654285891912878,-0.07988653015034891,-0.03830218315124512,-0.11736388504505157,-1.2664201259613037,0.2,,,
