eval/mean_ep_length,eval/success_rate,env/current_idx,env/n_steps,eval/mean_reward,env/completion_counter,time/total_timesteps,time/time_elapsed,rollout/success_rate,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/clip_range,train/clip_fraction,train/loss,train/n_updates,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/explained_variance
1.3,0.88,5916,9420,-0.09019644890911876,0,9420,,,,,,,0.2,0.0,0.027861298993229866,1565,-0.01803487129509449,0.07857521772384643,4.827976276544632e-08,0.0,0.001,-2.7696902751922607
,,,,,,9420,35526,0.84,314,-0.14742337,0,1.42,,,,,,,,,,
1.32,0.86,5932,9450,-0.10991704317275434,0,9450,,,,,,,0.2,0.0,0.12578259408473969,1570,-0.01805204413831234,0.24848905801773072,-2.9404958468148834e-08,0.0,0.001,0.15258866548538208
,,,,,,9450,35640,0.79,315,-0.20017224,0,1.52,,,,,,,,,,
1.26,0.88,5946,9480,-0.13050371959339827,0,9480,,,,,,,0.2,0.0,0.12976744771003723,1575,-0.018064245581626892,0.3135860085487366,8.742013513085566e-09,0.0,0.001,0.2981621026992798
,,,,,,9480,35750,0.75,316,-0.22827169999999997,0,1.61,,,,,,,,,,
1.16,0.94,5964,9510,-0.048993556587956844,0,9510,,,,,,,0.2,0.0,0.11031007021665573,1580,-0.018015932664275168,0.24053401052951812,9.53674348380673e-09,0.0,0.001,0.08572810888290405
,,,,,,9510,35857,0.73,317,-0.25218468,0,1.67,,,,,,,,,,
1.24,0.9,5987,9540,-0.08893220672383904,0,9540,,,,,,,0.2,0.0,0.09896957129240036,1585,-0.01806731931865215,0.19329411685466766,-1.907348696761346e-08,0.0,0.001,0.3156406283378601
,,,,,,9540,35976,0.72,318,-0.2631733,0,1.65,,,,,,,,,,
1.24,0.88,6008,9570,-0.12904227181803435,0,9570,,,,,,,0.2,0.0,0.12357838451862335,1590,-0.018061615526676178,0.28796339631080625,-3.3775965135873776e-09,0.0,0.001,0.18899810314178467
,,,,,,9570,36097,0.74,319,-0.26680077999999996,0,1.61,,,,,,,,,,
1.26,0.9,6029,9600,-0.09096098454669117,0,9600,,,,,,,0.2,0.0,0.07345545291900635,1595,-0.018088029697537422,0.16788101196289062,-6.119410169702633e-08,0.0,0.001,0.2837807536125183
,,,,,,9600,36205,0.75,320,-0.23474688999999999,0,1.6,,,,,,,,,,
1.28,0.88,6050,9630,-0.08961025105323643,0,9630,,,,,,,0.2,0.0,0.07797761261463165,1600,-0.018063371628522874,0.153732368350029,-2.9404958645784517e-08,0.0,0.001,0.2746775150299072
,,,,,,9630,36318,0.84,321,-0.15582442000000002,0,1.44,,,,,,,,,,
1.28,0.88,6067,9660,-0.07044965956360101,0,9660,,,,,,,0.2,0.0,0.06452972441911697,1605,-0.018042299523949624,0.13440337777137756,-1.9868215694884838e-08,0.0,0.001,0.16936558485031128
,,,,,,9660,36425,0.84,322,-0.1446519,0,1.46,,,,,,,,,,
1.16,0.92,6081,9690,-0.048009652080945674,0,9690,,,,,,,0.2,0.020000001043081285,0.06598401069641113,1610,-0.015599826350808144,0.15035272538661956,-0.0059769950124128005,0.008880657,0.001,0.23049873113632202
,,,,,,9690,36529,0.78,323,-0.18832629,0,1.58,,,,,,,,,,
1.26,0.9,6097,9720,-0.05063735511153936,0,9720,,,,,,,0.2,0.0,0.12747740745544434,1615,-0.011277782917022704,0.2690719783306122,-1.1861324331619016e-07,0.0,0.001,-0.15200650691986084
,,,,,,9720,36635,0.74,324,-0.23375358000000002,0,1.68,,,,,,,,,,
1.14,0.94,6112,9750,-0.06776282235514372,0,9750,,,,,,,0.2,0.0,0.09418568015098572,1620,-0.009444884955883026,0.19132358431816102,-1.1086464191123468e-07,0.0,0.001,0.1378861665725708
,,,,,,9750,36740,0.7,325,-0.29056492,0,1.75,,,,,,,,,,
1.3,0.88,6129,9780,-0.13107974679209292,0,9780,,,,,,,0.2,0.0,0.08123176544904709,1625,-0.00855093114078045,0.17099721729755402,-1.8278758240342085e-08,0.0,0.001,0.18850243091583252
,,,,,,9780,36857,0.69,326,-0.30565053,0,1.79,,,,,,,,,,
1.22,0.9,6149,9810,-0.110101702734828,0,9810,,,,,,,0.2,0.0,0.12026313692331314,1630,-0.008077047020196914,0.24600857496261597,5.563100291539058e-09,0.0,0.001,0.07989001274108887
,,,,,,9810,36964,0.67,327,-0.32639589,0,1.81,,,,,,,,,,
1.26,0.88,6167,9840,-0.0893150039203465,0,9840,,,,,,,0.2,0.0,0.08127011358737946,1635,-0.007817187625914813,0.1686404824256897,-1.4305114781620887e-08,0.0,0.001,0.25549042224884033
,,,,,,9840,37075,0.66,328,-0.34846936000000006,0,1.8,,,,,,,,,,
1.2,0.92,6185,9870,-0.08818324087187648,0,9870,,,,,,,0.2,0.0,0.09584566205739975,1640,-0.007656153570860624,0.20045705437660216,4.410743765781433e-08,0.0,0.001,0.288224995136261
,,,,,,9870,37176,0.7,329,-0.30539141,0,1.72,,,,,,,,,,
1.16,0.96,6208,9900,-0.0493666916526854,0,9900,,,,,,,0.2,0.0,0.05264703184366226,1645,-0.00756765017285943,0.11320145279169083,-4.490216607422326e-08,0.0,0.001,0.4422253370285034
,,,,,,9900,37281,0.76,330,-0.24780436000000003,0,1.59,,,,,,,,,,
1.3,0.88,6224,9930,-0.07171967103611677,0,9930,,,,,,,0.2,0.0,0.06712939590215683,1650,-0.007516819890588522,0.14631751477718352,8.742014756535354e-09,0.0,0.001,0.30186963081359863
,,,,,,9930,37392,0.76,331,-0.22069270999999996,0,1.59,,,,,,,,,,
1.2,0.92,6240,9960,-0.08955403071362525,0,9960,,,,,,,0.2,0.0,0.09468786418437958,1655,-0.007492523267865181,0.21631834506988526,-3.05970515590559e-08,0.0,0.001,-0.21644198894500732
,,,,,,9960,37500,0.72,332,-0.25211549,0,1.66,,,,,,,,,,
1.18,0.92,6257,9990,-0.054333041324280205,0,9990,,,,,,,0.2,0.0,0.09814275056123734,1660,-0.007460093498229981,0.20495880246162415,-4.8478444902855246e-08,0.0,0.001,0.3644297122955322
,,,,,,9990,37610,0.71,333,-0.25184531,0,1.69,,,,,,,,,,
1.3,0.86,6274,10020,-0.151079587880522,0,10020,,,,,,,0.2,0.0,0.0820913091301918,1665,-0.0074511666782200335,0.17118531465530396,1.6689300785799332e-08,0.0,0.001,0.23795247077941895
,,,,,,10020,37721,0.74,334,-0.22116202999999995,0,1.67,,,,,,,,,,
1.26,0.9,6294,10050,-0.11015988384839147,0,10050,,,,,,,0.2,0.006666667014360428,0.11157553642988205,1670,-0.007744073402136564,0.2405712127685547,-0.0010674468835350837,0.0010539453,0.001,-0.002226114273071289
,,,,,,10050,37824,0.72,335,-0.25271644000000004,0,1.71,,,,,,,,,,
1.24,0.92,6314,10080,-0.09188548477366566,0,10080,,,,,,,0.2,0.0,0.0719817504286766,1675,-0.008957447670400142,0.14949738681316377,5.205472319858018e-08,0.0,0.001,0.3317064046859741
,,,,,,10080,37931,0.72,336,-0.26224733,0,1.71,,,,,,,,,,
1.3,0.86,6331,10110,-0.11137528312392533,0,10110,,,,,,,0.2,0.0,0.07999762147665024,1680,-0.009963088855147361,0.17184006571769714,-3.3775966024052195e-08,0.0,0.001,0.26024532318115234
,,,,,,10110,38039,0.76,337,-0.23616638,0,1.64,,,,,,,,,,
1.2,0.94,6349,10140,-0.0689256802527234,0,10140,,,,,,,0.2,0.0,0.08443289995193481,1685,-0.01066988967359066,0.17558935582637786,-3.258387373250571e-08,0.0,0.001,0.23215603828430176
,,,,,,10140,38141,0.73,338,-0.28105694999999997,0,1.67,,,,,,,,,,
1.34,0.86,6371,10170,-0.11228189039509744,0,10170,,,,,,,0.2,0.0,0.07126738876104355,1690,-0.011074701696634293,0.15168815851211548,-2.622604373669901e-08,0.0,0.001,0.4256272315979004
,,,,,,10170,38254,0.78,339,-0.24363941000000003,0,1.54,,,,,,,,,,
1.28,0.9,6390,10200,-0.09005389799829572,0,10200,,,,,,,0.2,0.013333334028720856,0.053911931812763214,1695,-0.010334677621722221,0.12841361612081528,-0.003466060566715878,0.0034687717,0.001,0.387215793132782
,,,,,,10200,38365,0.77,340,-0.24176169000000003,0,1.54,,,,,,,,,,
1.24,0.9,6409,10230,-0.06962184824515134,0,10230,,,,,,,0.2,0.0,0.06489285081624985,1700,-0.007894173543900252,0.14139618277549743,3.8941703017769666e-08,0.0,0.001,0.38854390382766724
,,,,,,10230,38463,0.75,341,-0.26222283,0,1.58,,,,,,,,,,
1.26,0.9,6428,10260,-0.10879280708730221,0,10260,,,,,,,0.2,0.0,0.08419997245073318,1705,-0.0066953133791685104,0.189034366607666,2.861022938560609e-08,0.0,0.001,0.18768471479415894
,,,,,,10260,38573,0.78,342,-0.24051222000000003,0,1.54,,,,,,,,,,
1.32,0.88,6449,10290,-0.11114922938868403,0,10290,,,,,,,0.2,0.0,0.06433706730604172,1710,-0.006099683325737714,0.14147652983665465,4.818041610121781e-09,0.0,0.001,0.3059026598930359
,,,,,,10290,38710,0.81,343,-0.1950594,0,1.48,,,,,,,,,,
1.2,0.94,6468,10320,-0.06911908791866153,0,10320,,,,,,,0.2,0.0,0.06386005878448486,1715,-0.005780359171330929,0.13729338943958283,5.96046483281043e-09,0.0,0.001,0.3332309126853943
,,,,,,10320,38815,0.79,344,-0.21983398,0,1.52,,,,,,,,,,
1.38,0.84,6489,10350,-0.11122088121250272,0,10350,,,,,,,0.2,0.0,0.07299601286649704,1720,-0.00559105584397912,0.16180845499038696,-1.1920930198527912e-08,0.0,0.001,0.4226137399673462
,,,,,,10350,38933,0.82,345,-0.20129937,0,1.51,,,,,,,,,,
1.14,0.96,6503,10380,-0.027794270613230764,0,10380,,,,,,,0.2,0.0,0.10725322365760803,1725,-0.00548771433532238,0.2151499629020691,-4.6888986204862706e-08,0.0,0.001,0.3878740072250366
,,,,,,10380,39034,0.79,346,-0.22995139,0,1.58,,,,,,,,,,
1.18,0.94,6520,10410,-0.06837161601055414,0,10410,,,,,,,0.2,0.0,0.14083875715732574,1730,-0.005426155403256416,0.301348078250885,-7.549921487992606e-09,0.0,0.001,-0.19314062595367432
,,,,,,10410,39140,0.77,347,-0.25033817999999997,0,1.62,,,,,,,,,,
1.2,0.96,6538,10440,-0.049466010723263024,0,10440,,,,,,,0.2,0.0,0.097202368080616,1735,-0.005395318567752838,0.20200591087341307,-4.80810806280374e-08,0.0,0.001,0.27065449953079224
,,,,,,10440,39246,0.76,348,-0.26845993999999995,0,1.64,,,,,,,,,,
1.24,0.88,6561,10470,-0.11588396111037583,0,10470,,,,,,,0.2,0.0,0.062080007046461105,1740,-0.005372670665383339,0.13307847380638121,1.8676121893435037e-08,0.0,0.001,0.42292284965515137
,,,,,,10470,39364,0.75,349,-0.28025441000000006,0,1.64,,,,,,,,,,
1.32,0.86,6582,10500,-0.110997676840052,0,10500,,,,,,,0.2,0.0,0.05593361333012581,1745,-0.005359295941889286,0.1311854362487793,-2.3444494434698983e-08,0.0,0.001,0.39268362522125244
,,,,,,10500,39474,0.76,350,-0.24224366999999997,0,1.6,,,,,,,,,,
1.12,0.96,6603,10530,-0.047902471679262815,0,10530,,,,,,,0.2,0.0,0.04876795411109924,1750,-0.00535259023308754,0.1184438943862915,-1.8676122159888563e-08,0.0,0.001,-0.2026669979095459
,,,,,,10530,39584,0.8,351,-0.20772648,0,1.5,,,,,,,,,,
1.2,0.92,6625,10560,-0.05120181908831,0,10560,,,,,,,0.2,0.0,0.1414419710636139,1755,-0.005345786642283201,0.28314386010169984,-1.0331471855806739e-08,0.0,0.001,0.5260587930679321
,,,,,,10560,39700,0.84,352,-0.16097429000000002,0,1.4,,,,,,,,,,
1.12,0.96,6641,10590,-0.04916381187736988,0,10590,,,,,,,0.2,0.0,0.05801067128777504,1760,-0.005351058766245842,0.12992890328168868,5.086263072939801e-08,0.0,0.001,0.025727272033691406
,,,,,,10590,39798,0.81,353,-0.17607839999999997,0,1.47,,,,,,,,,,
1.26,0.9,6660,10620,-0.10892459129914642,0,10620,,,,,,,0.2,0.0,0.10532211512327194,1765,-0.005340977106243372,0.2409900814294815,-2.3841861818141297e-09,0.0,0.001,0.11233687400817871
,,,,,,10620,39907,0.81,354,-0.17896718,0,1.51,,,,,,,,,,
1.36,0.86,6680,10650,-0.09117713962681591,0,10650,,,,,,,0.2,0.0,0.06835386157035828,1770,-0.005344404559582472,0.13345431089401244,-1.3113021957167347e-08,0.0,0.001,0.5833010673522949
,,,,,,10650,40031,0.8,355,-0.20197950999999997,0,1.52,,,,,,,,,,
1.18,0.94,6700,10680,-0.04841751869302243,0,10680,,,,,,,0.2,0.0,0.07612621039152145,1775,-0.005344063695520163,0.1701673686504364,1.7881393743479635e-08,0.0,0.001,0.33107680082321167
,,,,,,10680,40131,0.79,356,-0.2004006,0,1.56,,,,,,,,,,
1.22,0.92,6718,10710,-0.092198831057176,0,10710,,,,,,,0.2,0.0,0.08122330904006958,1780,-0.005343704484403133,0.1653990238904953,2.3047129893427608e-08,0.0,0.001,0.1875362992286682
,,,,,,10710,40243,0.79,357,-0.2017342,0,1.57,,,,,,,,,,
1.2,0.92,6738,10740,-0.06832038850989193,0,10740,,,,,,,0.2,0.0,0.1140536516904831,1785,-0.005344894807785749,0.23878511488437654,1.7881393699070713e-08,0.0,0.001,0.04550999402999878
,,,,,,10740,40349,0.81,358,-0.17716551000000003,0,1.55,,,,,,,,,,
1.28,0.9,6754,10770,-0.06934243757277728,0,10770,,,,,,,0.2,0.0,0.04811597988009453,1790,-0.0053389365784823895,0.09932451993227005,7.947286206899663e-09,0.0,0.001,0.13865280151367188
,,,,,,10770,40461,0.77,359,-0.20413629000000003,0,1.62,,,,,,,,,,
1.28,0.9,6770,10800,-0.09045761622488499,0,10800,,,,,,,0.2,0.0,0.12532734870910645,1795,-0.005342530086636543,0.26461654901504517,1.9470851064795623e-08,0.0,0.001,0.06502288579940796
,,,,,,10800,40569,0.75,360,-0.21183227999999998,0,1.66,,,,,,,,,,
1.32,0.86,6794,10830,-0.10994714411441237,0,10830,,,,,,,0.2,0.0,0.09994535148143768,1800,-0.00534073980525136,0.2078179657459259,2.2848447578383002e-08,0.0,0.001,0.05716848373413086
,,,,,,10830,40683,0.78,361,-0.19845498,0,1.61,,,,,,,,,,
1.26,0.88,6814,10860,-0.11091173083521426,0,10860,,,,,,,0.2,0.0,0.09384933114051819,1805,-0.005341443419456482,0.19075867533683777,3.973642748178463e-09,0.0,0.001,0.11853963136672974
,,,,,,10860,40789,0.78,362,-0.19510852,0,1.58,,,,,,,,,,
1.22,0.92,6836,10890,-0.0917642858158797,0,10890,,,,,,,0.2,0.0,0.09774772822856903,1810,-0.00533719090744853,0.2000384360551834,-1.5894572769070692e-09,0.0,0.001,0.15110111236572266
,,,,,,10890,40890,0.81,363,-0.18555960999999999,0,1.52,,,,,,,,,,
1.28,0.88,6855,10920,-0.13200473648495972,0,10920,,,,,,,0.2,0.0,0.08535610884428024,1815,-0.005339511763304472,0.18453315794467925,7.152557746081811e-09,0.0,0.001,-0.03102588653564453
,,,,,,10920,40998,0.84,364,-0.15969488,0,1.47,,,,,,,,,,
1.16,0.94,6876,10950,-0.06885216757189483,0,10950,,,,,,,0.2,0.0,0.07858308404684067,1820,-0.005339278001338243,0.16007901430130006,-1.2715657859985185e-08,0.0,0.001,-0.06145179271697998
,,,,,,10950,41107,0.86,365,-0.14066755,0,1.44,,,,,,,,,,
1.24,0.9,6894,10980,-0.0908354659145698,0,10980,,,,,,,0.2,0.0,0.03712150454521179,1825,-0.005345230083912611,0.09181616902351379,-6.755193426855044e-09,0.0,0.001,0.5974697470664978
,,,,,,10980,41210,0.83,366,-0.18044477000000003,0,1.49,,,,,,,,,,
1.12,0.98,6909,11010,-0.00820220678113401,0,11010,,,,,,,0.2,0.0,0.12641213834285736,1830,-0.0053419707342982296,0.27938424348831176,-9.139379208988884e-09,0.0,0.001,0.09179264307022095
,,,,,,11010,41317,0.78,367,-0.20152084000000003,0,1.57,,,,,,,,,,
1.18,0.94,6930,11040,-0.008356795529834926,0,11040,,,,,,,0.2,0.0,0.1607191413640976,1835,-0.0053399217315018175,0.33798364996910096,-1.6291936510981487e-08,0.0,0.001,-0.5148791074752808
,,,,,,11040,41417,0.76,368,-0.21336349999999998,0,1.59,,,,,,,,,,
1.18,0.94,6948,11070,-0.07013517567422241,0,11070,,,,,,,0.2,0.0,0.10096422582864761,1840,-0.005341624282300473,0.20888783633708954,-1.867612247075101e-08,0.0,0.001,0.188795804977417
,,,,,,11070,41514,0.74,369,-0.22707325,0,1.63,,,,,,,,,,
1.28,0.92,6965,11100,-0.07217714400496333,0,11100,,,,,,,0.2,0.0,0.09912516176700592,1845,-0.0053411382250487804,0.22476660311222077,3.973643636356883e-10,0.0,0.001,0.01082146167755127
,,,,,,11100,41621,0.75,370,-0.23532205,0,1.62,,,,,,,,,,
1.08,0.98,6981,11130,-0.02701729483436793,0,11130,,,,,,,0.2,0.0,0.12967586517333984,1850,-0.005342354718595743,0.2541119933128357,1.3510386409620879e-08,0.0,0.001,0.02542746067047119
,,,,,,11130,41734,0.73,371,-0.23701853999999997,0,1.67,,,,,,,,,,
1.3,0.9,6999,11160,-0.07141619564965368,0,11160,,,,,,,0.2,0.0,0.07547055184841156,1855,-0.005340540502220392,0.1595200151205063,-1.6689301141070702e-08,0.0,0.001,0.20991331338882446
,,,,,,11160,41854,0.7,372,-0.24717108999999998,0,1.7,,,,,,,,,,
1.36,0.86,7022,11190,-0.13000741444993763,0,11190,,,,,,,0.2,0.0,0.11534368991851807,1860,-0.005342375859618187,0.23293151557445527,-2.5828680438877426e-08,0.0,0.001,0.08004719018936157
,,,,,,11190,41968,0.76,373,-0.21244352,0,1.61,,,,,,,,,,
1.3,0.88,7040,11220,-0.07017502820119262,0,11220,,,,,,,0.2,0.0,0.07563633471727371,1865,-0.0053400896489620205,0.16583433151245117,-2.3444493990609773e-08,0.0,0.001,0.3560376763343811
,,,,,,11220,42074,0.75,374,-0.23281956,0,1.63,,,,,,,,,,
1.42,0.82,7057,11250,-0.13318141849245876,0,11250,,,,,,,0.2,0.0,0.13399119675159454,1870,-0.005342468060553074,0.2722107172012329,1.3113022179211952e-08,0.0,0.001,0.00038301944732666016
,,,,,,11250,42189,0.72,375,-0.24890373999999998,0,1.67,,,,,,,,,,
1.16,0.94,7077,11280,-0.009940941617824137,0,11280,,,,,,,0.2,0.0,0.09717172384262085,1875,-0.0053415060043334964,0.19748004376888276,-3.973643192267673e-09,0.0,0.001,0.11272400617599487
,,,,,,11280,42290,0.75,376,-0.23298965999999996,0,1.58,,,,,,,,,,
1.34,0.86,7093,11310,-0.09351616258732974,0,11310,,,,,,,0.2,0.0,0.0741431787610054,1880,-0.005341732129454613,0.16140670478343963,1.6689300785799332e-08,0.0,0.001,0.3496256470680237
,,,,,,11310,42408,0.75,377,-0.26452189,0,1.6,,,,,,,,,,
1.22,0.92,7108,11340,-0.04861391769256443,0,11340,,,,,,,0.2,0.0,0.08125913888216019,1885,-0.005335567053407431,0.17755716145038605,-1.1722246950895965e-08,0.0,0.001,0.24706602096557617
,,,,,,11340,42513,0.71,378,-0.30290573000000004,0,1.7,,,,,,,,,,
1.3,0.86,7125,11370,-0.11083709811791778,0,11370,,,,,,,0.2,0.0,0.06989099085330963,1890,-0.005342225544154644,0.14906454384326934,1.9868215517249156e-09,0.0,0.001,0.3317257761955261
,,,,,,11370,42620,0.68,379,-0.32969655000000003,0,1.75,,,,,,,,,,
1.18,0.92,7145,11400,-0.04886258641723543,0,11400,,,,,,,0.2,0.0,0.10321610420942307,1895,-0.005341006349772215,0.22154902219772338,-4.172325240858754e-09,0.0,0.001,0.11760586500167847
,,,,,,11400,42735,0.7,380,-0.29768905,0,1.72,,,,,,,,,,
1.2,0.9,7164,11430,-0.1148239689739421,0,11430,,,,,,,0.2,0.0,0.10195489972829819,1900,-0.00534214023500681,0.2211602360010147,1.688798310084394e-08,0.0,0.001,-0.3358736038208008
,,,,,,11430,42834,0.72,381,-0.27713259,0,1.68,,,,,,,,,,
1.2,0.92,7184,11460,-0.0894632886722684,0,11460,,,,,,,0.2,0.0,0.10923070460557938,1905,-0.005340695194900036,0.2314283311367035,7.947286384535346e-09,0.0,0.001,0.1110994815826416
,,,,,,11460,42944,0.75,382,-0.24874680000000002,0,1.62,,,,,,,,,,
1.34,0.86,7207,11490,-0.13036733123473823,0,11490,,,,,,,0.2,0.0,0.07873186469078064,1910,-0.005336664710193872,0.16472924649715423,-1.5099844041799315e-08,0.0,0.001,-0.02887892723083496
,,,,,,11490,43050,0.8,383,-0.19686218999999996,0,1.52,,,,,,,,,,
1.2,0.92,7225,11520,-0.09166686532087624,0,11520,,,,,,,0.2,0.0,0.05162709578871727,1915,-0.005340791866183281,0.10435627698898316,-1.0331472033442424e-08,0.0,0.001,0.5036450624465942
,,,,,,11520,43158,0.82,384,-0.18150149,0,1.5,,,,,,,,,,
1.12,0.94,7244,11550,-0.06826051728334277,0,11550,,,,,,,0.2,0.0,0.10333576053380966,1920,-0.005337679665535689,0.2198106825351715,-2.781550278996292e-09,0.0,0.001,0.10709637403488159
,,,,,,11550,43262,0.8,385,-0.20932618000000006,0,1.51,,,,,,,,,,
1.2,0.94,7267,11580,-0.06945943861734122,0,11580,,,,,,,0.2,0.0,0.07598144561052322,1925,-0.00534027237445116,0.16991341412067412,6.079673866565827e-08,0.0,0.001,0.3340456485748291
,,,,,,11580,43363,0.83,386,-0.18914438,0,1.46,,,,,,,,,,
1.3,0.9,7287,11610,-0.11182140031829477,0,11610,,,,,,,0.2,0.0,0.12898647785186768,1930,-0.005344414059072733,0.24899227917194366,-1.5497207606074427e-08,0.0,0.001,0.1395549774169922
,,,,,,11610,43474,0.84,387,-0.15621626,0,1.46,,,,,,,,,,
1.14,0.94,7311,11640,-0.0718762859562412,0,11640,,,,,,,0.2,0.0,0.12338840961456299,1935,-0.005364532768726349,0.3219062715768814,1.9431114139933925e-07,0.0,0.001,-23.01007843017578
,,,,,,11640,43574,0.84,388,-0.14332358999999997,0,1.44,,,,,,,,,,
1.38,0.82,7328,11670,-0.1514976895553991,0,11670,,,,,,,0.2,0.0,0.032391395419836044,1940,-0.005343446508049965,0.09449226409196854,-2.145767261652054e-08,0.0,0.001,0.23323124647140503
,,,,,,11670,43689,0.84,389,-0.12389712999999997,0,1.45,,,,,,,,,,
