env/n_steps,eval/success_rate,env/current_idx,eval/mean_ep_length,time/total_timesteps,env/completion_counter,eval/mean_reward,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,rollout/success_rate,train/value_loss,train/approx_kl,train/loss,train/n_updates,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/learning_rate,train/entropy_loss,train/clip_fraction
3450,0.98,1463,1.28,3450,0,-0.017268809620290995,,,,,,,0.23614502549171448,0.0002233843,0.09627192467451096,1140,-0.0009204576001502929,0.2,-0.2472306489944458,0.0001,-0.9474828541278839,0.0
,,,,3450,,,115,0,2.29,14270,-0.23469991999999998,0.81,,,,,,,,,,
3480,0.98,1477,1.3,3480,0,-0.01055909480433911,,,,,,,0.205766898393631,0.00074597,0.08217759430408478,1150,-0.004721769398699038,0.2,0.3263458013534546,0.0001,-0.9511516749858856,0.0
,,,,3480,,,116,0,2.31,14394,-0.23196083,0.81,,,,,,,,,,
3510,0.98,1491,1.18,3510,0,-0.010264815604314208,,,,,,,0.15228693261742593,0.0012587388,0.05276254191994667,1160,-0.004373955418122933,0.2,0.4792916178703308,0.0001,-1.015041357278824,0.0
,,,,3510,,,117,0,2.26,14525,-0.2691442399999999,0.8,,,,,,,,,,
3540,0.9,1507,1.42,3540,0,-0.09207810715772212,,,,,,,0.34028451442718505,6.982684e-05,0.15909452736377716,1170,0.0021723683786694535,0.2,0.08546340465545654,0.0001,-1.060786199569702,0.0
,,,,3540,,,118,0,2.25,14650,-0.26503783,0.8,,,,,,,,,,
3570,0.98,1518,1.26,3570,0,-0.02879457256756723,,,,,,,0.13635050356388093,0.00062337716,0.052123140543699265,1180,-0.0029452520951355867,0.2,0.40492111444473267,0.0001,-1.0620026350021363,0.0
,,,,3570,,,119,0,2.25,14781,-0.27004533,0.8,,,,,,,,,,
3600,0.94,1533,1.44,3600,0,-0.08280686866957694,,,,,,,0.09609659314155579,0.0016753812,0.027991244569420815,1190,-0.00628718791723557,0.2,0.595816969871521,0.0001,-1.1378101706504822,0.0
,,,,3600,,,120,0,2.11,14910,-0.25486059,0.81,,,,,,,,,,
3630,0.96,1545,1.5,3630,0,-0.05318322089500725,,,,,,,0.13396079316735268,0.00060564873,0.04676628112792969,1200,-0.003521864194578139,0.2,0.4105849862098694,0.0001,-1.1816337347030639,0.0
,,,,3630,,,121,0,2.14,15035,-0.26669891999999995,0.8,,,,,,,,,,
3660,0.94,1560,1.28,3660,0,-0.07013494016136974,,,,,,,0.2663459077477455,0.00051357545,0.10406088829040527,1210,-0.001989431560117172,0.2,-0.36313700675964355,0.0001,-1.1234415531158448,0.0
,,,,3660,,,122,0,2.14,15148,-0.27907628999999995,0.79,,,,,,,,,,
3690,0.9,1579,1.44,3690,0,-0.1219136428553611,,,,,,,0.2376372456550598,0.0023150563,0.09176847338676453,1220,-0.0045547993052363015,0.2,0.11424589157104492,0.0001,-1.0907225131988525,0.010000000521540642
,,,,3690,,,123,0,2.07,15267,-0.23867499999999997,0.82,,,,,,,,,,
3720,0.98,1591,1.28,3720,0,-0.029897051849402487,,,,,,,0.19456151276826858,0.0001004378,0.07193030416965485,1230,-0.0012237920664269098,0.2,-10.14307975769043,0.0001,-1.0765813350677491,0.0
,,,,3720,,,124,0,2.1,15377,-0.23046164000000005,0.82,,,,,,,,,,
3750,0.94,1602,1.26,3750,0,-0.009575929213315248,,,,,,,0.25855938494205477,0.0019151886,0.09696103632450104,1240,-0.00812357416609295,0.2,-0.06680285930633545,0.0001,-1.1428363800048829,0.003333333507180214
,,,,3750,,,125,0,2.23,15509,-0.25537333000000006,0.79,,,,,,,,,,
3780,0.98,1618,1.18,3780,0,-0.0286897649243474,,,,,,,0.25681147873401644,0.0036291082,0.09562645852565765,1250,-0.006976477129695358,0.2,-0.09189307689666748,0.0001,-1.1813752412796021,0.020000000298023225
,,,,3780,,,126,0,2.13,15613,-0.22144637,0.81,,,,,,,,,,
3810,1.0,1631,1.14,3810,0,-0.008043718906119466,,,,,,,0.2575002834200859,0.0005919039,0.10062368959188461,1260,-0.002145384726415145,0.2,0.12050586938858032,0.0001,-1.1829500436782836,0.0
,,,,3810,,,127,0,2.16,15729,-0.20922695000000002,0.81,,,,,,,,,,
3840,0.96,1642,1.22,3840,0,-0.04999990340322256,,,,,,,0.23758209943771363,0.00011029641,0.09506478160619736,1270,-0.0024174559477250666,0.2,-0.28348851203918457,0.0001,-1.1357059717178344,0.0
,,,,3840,,,128,0,2.14,15843,-0.22214897,0.8,,,,,,,,,,
3870,0.92,1653,1.48,3870,0,-0.07910005518700927,,,,,,,0.2732111468911171,0.0003771444,0.09334773570299149,1280,-0.0025623075050923206,0.2,0.03584986925125122,0.0001,-1.1684642791748048,0.0
,,,,3870,,,129,0,2.26,15969,-0.24332914999999997,0.77,,,,,,,,,,
3900,0.92,1666,1.58,3900,0,-0.09399456601589919,,,,,,,0.19277762323617936,0.0004994214,0.07428273558616638,1290,-0.003752638737399394,0.2,0.06975847482681274,0.0001,-1.0741720080375672,0.0
,,,,3900,,,130,0,2.33,16113,-0.25638550000000004,0.75,,,,,,,,,,
3930,0.96,1682,1.34,3930,0,-0.03301176288165152,,,,,,,0.2158145785331726,0.0009846429,0.0796365812420845,1300,-0.009371731237042625,0.2,0.12905633449554443,0.0001,-1.0834310412406922,0.0
,,,,3930,,,131,0,2.34,16241,-0.2613283,0.75,,,,,,,,,,
3960,0.9,1699,1.58,3960,0,-0.1206033053342253,,,,,,,0.2366483300924301,0.0005958776,0.0934077575802803,1310,-0.0006211136809664008,0.2,0.07058382034301758,0.0001,-1.060406255722046,0.0
,,,,3960,,,132,0,2.17,16379,-0.22812418999999995,0.79,,,,,,,,,,
3990,0.96,1711,1.38,3990,0,-0.05173434265423566,,,,,,,0.11269010752439498,0.0011736234,0.03794815391302109,1320,-0.003987268409885658,0.2,0.3144148588180542,0.0001,-1.040097141265869,0.0
,,,,3990,,,133,0,2.24,16519,-0.22524683000000006,0.77,,,,,,,,,,
4020,0.96,1722,1.24,4020,0,-0.029554551606997846,,,,,,,0.144712233543396,0.0040596286,0.04452533274888992,1330,-0.010176788583242313,0.2,-0.2916673421859741,0.0001,-0.9894926428794861,0.0
,,,,4020,,,134,0,2.25,16650,-0.23420956,0.77,,,,,,,,,,
4050,0.92,1737,1.38,4050,0,-0.07163220248650759,,,,,,,0.2612104997038841,0.00059084495,0.11507803201675415,1340,0.001109939206120103,0.2,-0.29006266593933105,0.0001,-0.90121408700943,0.0
,,,,4050,,,135,0,2.2,16776,-0.22322526,0.79,,,,,,,,,,
4080,0.98,1749,1.36,4080,0,-0.01144764810334891,,,,,,,0.22531426101922988,0.0006514768,0.09259682893753052,1350,-0.0033717097072318404,0.2,-0.019675016403198242,0.0001,-0.8707344114780426,0.0
,,,,4080,,,136,0,2.24,16903,-0.22557056999999997,0.79,,,,,,,,,,
4110,0.96,1762,1.34,4110,0,-0.05698634741827845,,,,,,,0.22944608181715012,0.001361543,0.09493647515773773,1360,-0.005212832182490601,0.2,0.172629714012146,0.0001,-0.8290842950344086,0.0
,,,,4110,,,137,0,2.23,17020,-0.24287097,0.78,,,,,,,,,,
4140,0.9,1776,1.54,4140,0,-0.12404946295078843,,,,,,,0.1970801442861557,0.00037436883,0.08512022346258163,1370,-0.00029696166685155845,0.2,0.15030860900878906,0.0001,-0.7680647432804107,0.0
,,,,4140,,,138,0,2.19,17164,-0.24758717,0.78,,,,,,,,,,
4170,0.88,1792,1.6,4170,0,-0.1367694755224511,,,,,,,0.1451795667409897,8.094907e-05,0.06301549077033997,1380,-0.001091061250311398,0.2,0.3368697166442871,0.0001,-0.7597073495388031,0.0
,,,,4170,,,139,0,2.23,17305,-0.25502597,0.77,,,,,,,,,,
4200,0.92,1803,1.66,4200,0,-0.09607095498126,,,,,,,0.1608636721968651,0.0001531283,0.059186555445194244,1390,-0.002404580910030418,0.2,0.3413401246070862,0.0001,-0.7689277470111847,0.0
,,,,4200,,,140,0,2.26,17448,-0.28519511999999997,0.76,,,,,,,,,,
4230,1.0,1827,1.16,4230,0,-0.011642225696705281,,,,,,,0.2713111534714699,0.00073180994,0.11761381477117538,1400,-0.0011607857341491723,0.2,0.11313211917877197,0.0001,-0.8144945919513702,0.0
,,,,4230,,,141,0,2.03,17558,-0.2359938,0.8,,,,,,,,,,
4260,0.94,1838,1.34,4260,0,-0.030941498936153947,,,,,,,0.06684299446642399,2.946655e-05,0.025209015235304832,1410,-0.00018159429144963822,0.2,0.44651031494140625,0.0001,-0.8186668992042542,0.0
,,,,4260,,,142,0,2.06,17685,-0.25583323999999996,0.79,,,,,,,,,,
4290,0.96,1849,1.26,4290,0,-0.0292018556734547,,,,,,,0.27234223783016204,7.29839e-05,0.11870181560516357,1420,-0.0002220865204193956,0.2,0.19075417518615723,0.0001,-0.8311999678611756,0.0
,,,,4290,,,143,0,2.1,17801,-0.23048042999999993,0.79,,,,,,,,,,
4320,0.98,1858,1.26,4320,0,-0.008952027964405716,,,,,,,0.2074189841747284,5.1446757e-05,0.08764398843050003,1430,-0.0002920788450502698,0.2,-0.49964332580566406,0.0001,-0.8391828835010529,0.0
,,,,4320,,,144,0,2.18,17920,-0.25480421999999997,0.78,,,,,,,,,,
4350,0.94,1870,1.44,4350,0,-0.056021063197404145,,,,,,,0.5380044430494308,9.063085e-05,0.2410060316324234,1440,-0.0013286716566653922,0.2,-0.05767238140106201,0.0001,-0.8569751799106597,0.0
,,,,4350,,,145,0,2.14,18060,-0.21154904,0.82,,,,,,,,,,
4380,0.98,1891,1.32,4380,0,-0.031033290047198535,,,,,,,0.1838908851146698,0.0011344493,0.06147950142621994,1450,-0.00960544977104263,0.2,-0.5388679504394531,0.0001,-0.8247966170310974,0.0
,,,,4380,,,146,0,2.11,18179,-0.21530965000000002,0.82,,,,,,,,,,
4410,0.96,1901,1.2,4410,0,-0.04824488439131528,,,,,,,0.12363415136933327,0.0004386445,0.053145479410886765,1460,-0.0011050013633211897,0.2,0.36223912239074707,0.0001,-0.7601732671260834,0.0
,,,,4410,,,147,0,2.16,18290,-0.24041657,0.8,,,,,,,,,,
4440,0.92,1913,1.5,4440,0,-0.09488744075410067,,,,,,,0.2597059473395348,6.308357e-05,0.10520496219396591,1470,0.0005007706075169871,0.2,0.1765291690826416,0.0001,-0.7416041314601898,0.0
,,,,4440,,,148,0,2.27,18422,-0.25082140999999997,0.79,,,,,,,,,,
4470,0.92,1926,1.46,4470,0,-0.07492255507037043,,,,,,,0.38229222893714904,0.00021658142,0.17411760985851288,1480,-0.003392579805476981,0.2,0.058972835540771484,0.0001,-0.7486674129962921,0.0
,,,,4470,,,149,0,2.43,18553,-0.25551163000000005,0.79,,,,,,,,,,
4500,0.92,1943,1.34,4500,0,-0.05516472756396979,,,,,,,0.23021680861711502,0.0002566119,0.06912241876125336,1490,0.0006963700096832781,0.2,-7.545098304748535,0.0001,-0.7180149614810943,0.0
,,,,4500,,,150,0,2.25,18684,-0.22464022999999997,0.82,,,,,,,,,,
4530,0.96,1958,1.22,4530,0,-0.031232954459264873,,,,,,,0.204675355553627,0.00040947794,0.08889388293027878,1500,-0.00328545750817284,0.2,0.15846848487854004,0.0001,-0.6821140706539154,0.0
,,,,4530,,,151,0,2.09,18796,-0.19477447,0.85,,,,,,,,,,
4560,0.94,1972,1.46,4560,0,-0.07324449616950006,,,,,,,0.1369349479675293,0.00071233313,0.05217783898115158,1510,-0.004191974389444475,0.2,0.3822021484375,0.0001,-0.6497927963733673,0.0
,,,,4560,,,152,0,2.01,18946,-0.20549362000000002,0.85,,,,,,,,,,
4590,0.9,1984,1.64,4590,0,-0.1265087048942223,,,,,,,0.23757237792015076,9.1862676e-05,0.10692791640758514,1520,-0.0003565822057861823,0.2,0.21855264902114868,0.0001,-0.6250245332717895,0.0
,,,,4590,,,153,0,2.17,19088,-0.24525695,0.82,,,,,,,,,,
4620,0.94,1997,1.32,4620,0,-0.032012251303531226,,,,,,,0.3128386288881302,0.00022172928,0.12978561222553253,1530,-0.0011494783702073797,0.2,-0.16675662994384766,0.0001,-0.6354337871074677,0.0
,,,,4620,,,154,0,2.28,19202,-0.26843033,0.8,,,,,,,,,,
4650,0.96,2009,1.36,4650,0,-0.050841618818230926,,,,,,,0.2185589477419853,0.00061998767,0.09119654446840286,1540,-0.0038766301978224505,0.2,0.253007709980011,0.0001,-0.6546775162220001,0.0
,,,,4650,,,155,0,2.19,19320,-0.24256075,0.82,,,,,,,,,,
4680,0.94,2024,1.4,4680,0,-0.05494847025256604,,,,,,,0.17949818670749665,0.0010629733,0.06480937451124191,1550,-0.007529000836269261,0.2,0.2639811038970947,0.0001,-0.6829837262630463,0.003333333507180214
,,,,4680,,,156,0,2.12,19445,-0.24731704000000002,0.82,,,,,,,,,,
4710,1.0,2037,1.1,4710,0,-0.0074066205695271494,,,,,,,0.20633758902549743,0.009539231,0.06738083064556122,1560,-0.009458516395146433,0.2,0.17458242177963257,0.0001,-0.7618225872516632,0.023333334550261497
,,,,4710,,,157,0,2.24,19549,-0.25863773,0.8,,,,,,,,,,
4740,0.94,2052,1.44,4740,0,-0.052778646913357076,,,,,,,0.15052083432674407,0.002356708,0.05531403049826622,1570,-0.005837681756820512,0.2,0.1982324719429016,0.0001,-0.7020769059658051,0.0
,,,,4740,,,158,0,2.19,19678,-0.24006025,0.82,,,,,,,,,,
4770,0.98,2070,1.2,4770,0,-0.03263687635306269,,,,,,,0.2001116767525673,0.0004583756,0.08558334410190582,1580,-0.0021499369539256462,0.2,0.13737493753433228,0.0001,-0.6800292909145356,0.0
,,,,4770,,,159,0,2.13,19794,-0.22961444999999997,0.82,,,,,,,,,,
4800,0.98,2083,1.18,4800,0,-0.02914938466157764,,,,,,,0.18059878349304198,0.00016314586,0.07394745945930481,1590,-0.001602106001034187,0.2,0.2174520492553711,0.0001,-0.6837555229663849,0.0
,,,,4800,,,160,0,2.12,19908,-0.22836752000000005,0.82,,,,,,,,,,
4830,0.96,2096,1.22,4830,0,-0.04983064444269985,,,,,,,0.16182451993227004,0.0008665641,0.057014696300029755,1600,-0.005300401505082775,0.2,0.3007934093475342,0.0001,-0.7205429255962372,0.0
,,,,4830,,,161,0,2.11,20022,-0.23579558000000003,0.82,,,,,,,,,,
4860,0.96,2110,1.3,4860,0,-0.0555652384320274,,,,,,,0.2206091582775116,0.0007614732,0.08960878103971481,1610,-0.004778322247633149,0.2,0.19306552410125732,0.0001,-0.7577539384365082,0.003333333507180214
,,,,4860,,,162,0,2.09,20137,-0.21452830999999997,0.83,,,,,,,,,,
4890,0.92,2123,1.46,4890,0,-0.07570843484252691,,,,,,,0.2387136250734329,9.389122e-05,0.0882774293422699,1620,-0.00044534543985150774,0.2,0.12511783838272095,0.0001,-0.7565407454967499,0.0
,,,,4890,,,163,0,2.12,20263,-0.2425075,0.8,,,,,,,,,,
4920,0.94,2140,1.28,4920,0,-0.030488942614756525,,,,,,,0.20435730814933778,0.00047647755,0.08550813794136047,1630,-0.0035139909602003526,0.2,0.40281790494918823,0.0001,-0.7513689935207367,0.0
,,,,4920,,,164,0,2.02,20378,-0.22869491999999997,0.82,,,,,,,,,,
4950,0.98,2156,1.26,4950,0,-0.030167285855859517,,,,,,,0.1290912464261055,0.00033115348,0.05138590931892395,1640,-0.001396604184410677,0.2,0.3866994380950928,0.0001,-0.733077985048294,0.0
,,,,4950,,,165,0,1.98,20489,-0.23171865,0.82,,,,,,,,,,
4980,0.98,2170,1.2,4980,0,-0.029554595588706434,,,,,,,0.1331666648387909,5.755027e-05,0.053029876202344894,1650,-0.0005759776550075202,0.2,0.4488045573234558,0.0001,-0.7018952071666718,0.0
,,,,4980,,,166,0,2.09,20597,-0.25361591,0.8,,,,,,,,,,
5010,0.88,2186,1.8,5010,0,-0.12330791836138814,,,,,,,0.15227745175361634,0.00059513253,0.05965050682425499,1660,-0.002557804422297849,0.2,0.29414743185043335,0.0001,-0.7109243988990783,0.0
,,,,5010,,,167,0,1.99,20802,-0.21177516000000002,0.83,,,,,,,,,,
5040,0.98,2199,1.24,5040,0,-0.030150708914734422,,,,,,,0.14422897547483443,0.00036259493,0.04778757691383362,1670,-0.003582678021484753,0.2,0.28828537464141846,0.0001,-0.6974382162094116,0.0
,,,,5040,,,168,0,2.05,20921,-0.22036219,0.82,,,,,,,,,,
5070,0.92,2215,1.48,5070,0,-0.0927965558320284,,,,,,,0.19695818573236465,0.000109303,0.06174276024103165,1680,-0.001451052622772764,0.2,0.08083206415176392,0.0001,-0.6581584215164185,0.0
,,,,5070,,,169,0,2.0,21060,-0.20976913999999997,0.84,,,,,,,,,,
5100,1.0,2237,1.08,5100,0,-0.007275657169520855,,,,,,,0.27091623842716217,0.00016286373,0.11240042746067047,1690,-0.00150004745451362,0.2,-0.9248828887939453,0.0001,-0.6241150200366974,0.0
,,,,5100,,,170,0,1.83,21160,-0.14906211,0.89,,,,,,,,,,
5130,0.9,2248,1.58,5130,0,-0.11471112846396864,,,,,,,0.06820958480238914,5.0403676e-05,0.024470124393701553,1700,-0.0008835095260291582,0.2,-0.9022742509841919,0.0001,-0.6021038115024566,0.0
,,,,5130,,,171,0,1.94,21299,-0.18542208999999998,0.86,,,,,,,,,,
5160,0.92,2265,1.68,5160,0,-0.09713693897705525,,,,,,,0.3560124605894089,1.1086464e-05,0.1395678073167801,1710,0.00013050297934888989,0.2,0.23286187648773193,0.0001,-0.6190904557704926,0.0
,,,,5160,,,172,0,1.88,21437,-0.15761597,0.88,,,,,,,,,,
5190,0.98,2276,1.14,5190,0,-0.0278450369508937,,,,,,,0.11713513508439063,0.00014107625,0.04548307880759239,1720,-0.0019057550512179943,0.2,0.3607916831970215,0.0001,-0.5919087827205658,0.0
,,,,5190,,,173,0,1.97,21542,-0.16266263000000006,0.87,,,,,,,,,,
5220,0.94,2290,1.38,5220,0,-0.07267099733930081,,,,,,,0.2479007989168167,0.00027291378,0.11185576766729355,1730,-0.002245986489966967,0.2,-0.10571599006652832,0.0001,-0.6256639957427979,0.0
,,,,5220,,,174,0,2.02,21661,-0.17559080999999999,0.86,,,,,,,,,,
5250,0.98,2305,1.22,5250,0,-0.02892254636157304,,,,,,,0.18666274547576905,0.0016808729,0.07142798602581024,1740,-0.005851754785204832,0.2,0.051757752895355225,0.0001,-0.6679621875286103,0.003333333507180214
,,,,5250,,,175,0,1.96,21775,-0.17944853000000002,0.86,,,,,,,,,,
5280,0.96,2319,1.36,5280,0,-0.034499638485722246,,,,,,,0.20191978365182878,9.1123584e-05,0.08621171116828918,1750,0.001036465140435494,0.2,0.39656078815460205,0.0001,-0.6951366603374481,0.0
,,,,5280,,,176,0,2.06,21898,-0.2177416,0.83,,,,,,,,,,
5310,0.9,2335,1.48,5310,0,-0.07547590832691639,,,,,,,0.25926946848630905,0.0016054928,0.10451079905033112,1760,-0.008439416554756463,0.2,0.054736554622650146,0.0001,-0.6753770589828492,0.0
,,,,5310,,,177,0,2.14,22021,-0.23898092,0.81,,,,,,,,,,
5340,0.98,2351,1.22,5340,0,-0.02927320288028568,,,,,,,0.2016826391220093,0.0014973123,0.08002345263957977,1770,-0.004772660591018862,0.2,0.06336426734924316,0.0001,-0.5998446524143219,0.0
,,,,5340,,,178,0,1.98,22136,-0.19315361000000003,0.85,,,,,,,,,,
5370,1.0,2365,1.22,5370,0,-0.009065777258947492,,,,,,,0.13653504773974418,7.5856847e-06,0.05820532143115997,1780,0.0004856310208773529,0.2,-0.1138530969619751,0.0001,-0.5618138313293457,0.0
,,,,5370,,,179,0,2.1,22248,-0.19573970000000002,0.85,,,,,,,,,,
5400,0.94,2379,1.38,5400,0,-0.07498026093933731,,,,,,,0.12658517584204673,0.0002301991,0.05213825777173042,1790,-0.0022534784172119513,0.2,-0.04975771903991699,0.0001,-0.5644578099250793,0.0
,,,,5400,,,180,0,2.02,22375,-0.19733927999999998,0.85,,,,,,,,,,
5430,0.9,2393,1.48,5430,0,-0.0933265788340941,,,,,,,0.2117119625210762,5.5253504e-06,0.08879415690898895,1800,-1.8759072563589995e-05,0.2,0.17620569467544556,0.0001,-0.5477005243301392,0.0
,,,,5430,,,181,0,2.03,22497,-0.20186238000000004,0.85,,,,,,,,,,
5460,1.0,2404,1.02,5460,0,-0.00623398439027369,,,,,,,0.23148614019155503,0.00016014774,0.09536701440811157,1810,-0.0021672461378599906,0.2,0.23934316635131836,0.0001,-0.5359852492809296,0.0
,,,,5460,,,182,0,2.12,22599,-0.19302183000000003,0.84,,,,,,,,,,
5490,0.92,2420,1.46,5490,0,-0.07460281342733652,,,,,,,0.24516550153493882,8.4799525e-05,0.10953640937805176,1820,0.0007087161267796738,0.2,-0.6019959449768066,0.0001,-0.5153280258178711,0.0
,,,,5490,,,183,0,2.05,22721,-0.16683194,0.86,,,,,,,,,,
5520,0.9,2437,1.5,5520,0,-0.11573774167336523,,,,,,,0.16309002041816711,3.1789145e-07,0.06948835402727127,1830,9.366273810318404e-06,0.2,0.16917544603347778,0.0001,-0.5046278655529022,0.0
,,,,5520,,,184,0,2.05,22855,-0.17605723999999995,0.85,,,,,,,,,,
5550,0.94,2448,1.42,5550,0,-0.05586914472747594,,,,,,,0.13692817389965056,0.00043226877,0.05888885259628296,1840,-0.002314917444891762,0.2,0.1921834945678711,0.0001,-0.498445400595665,0.0
,,,,5550,,,185,0,2.13,22979,-0.19729052,0.83,,,,,,,,,,
5580,0.98,2463,1.28,5580,0,-0.03050663215108216,,,,,,,0.23105492293834687,3.8764872e-05,0.09264039993286133,1850,0.0001261055479034212,0.2,0.15642476081848145,0.0001,-0.4753045290708542,0.0
,,,,5580,,,186,0,2.11,23089,-0.19637786,0.83,,,,,,,,,,
5610,0.96,2479,1.26,5610,0,-0.051623536478728055,,,,,,,0.14966802000999452,0.00011604627,0.06392022222280502,1860,-0.0022018801230781816,0.2,-0.1248164176940918,0.0001,-0.4592583417892456,0.0
,,,,5610,,,187,0,2.1,23216,-0.20092233999999998,0.83,,,,,,,,,,
5640,0.96,2495,1.22,5640,0,-0.050627770596183834,,,,,,,0.18952519148588182,9.9551675e-05,0.08342798054218292,1870,-0.000798858011015291,0.2,0.267994225025177,0.0001,-0.44503814578056333,0.0
,,,,5640,,,188,0,2.03,23326,-0.17624890000000001,0.86,,,,,,,,,,
5670,0.98,2507,1.24,5670,0,-0.029574131700210272,,,,,,,0.15940506756305695,3.2418968e-05,0.06831472367048264,1880,-0.00042600929968692467,0.2,0.2292797565460205,0.0001,-0.43370102941989896,0.0
,,,,5670,,,189,0,1.98,23437,-0.17744773000000003,0.85,,,,,,,,,,
5700,1.0,2518,1.14,5700,0,-0.008104494460858404,,,,,,,0.2074403867125511,5.2972635e-05,0.09185901284217834,1890,-0.000635200930361579,0.2,0.17044192552566528,0.0001,-0.4472436934709549,0.0
,,,,5700,,,190,0,2.15,23551,-0.22263741000000004,0.81,,,,,,,,,,
5730,1.0,2529,1.22,5730,0,-0.008929853602312505,,,,,,,0.09825919046998025,0.00012471477,0.03342088684439659,1900,-0.0014971584055455621,0.2,0.5227845907211304,0.0001,-0.46635033190250397,0.0
,,,,5730,,,191,0,2.19,23659,-0.24079952,0.81,,,,,,,,,,
5760,0.9,2547,1.66,5760,0,-0.07919218247756361,,,,,,,0.20656643956899642,0.00016472538,0.09326402842998505,1910,-0.001015922730245311,0.2,0.323309063911438,0.0001,-0.47005772590637207,0.0
,,,,5760,,,192,0,2.12,23799,-0.22768065999999998,0.81,,,,,,,,,,
5790,0.96,2561,1.34,5790,0,-0.05199782285373658,,,,,,,0.20327357500791549,8.43366e-05,0.08003590255975723,1920,0.0007899085698105601,0.2,0.005501985549926758,0.0001,-0.4947648972272873,0.0
,,,,5790,,,193,0,2.15,23915,-0.25556184,0.79,,,,,,,,,,
5820,0.92,2575,1.4,5820,0,-0.052256800597533584,,,,,,,0.20903371274471283,0.00013577739,0.08979719877243042,1930,-0.0026516201250100123,0.2,0.2775198817253113,0.0001,-0.4983496814966202,0.0
,,,,5820,,,194,0,2.2,24046,-0.26323369,0.78,,,,,,,,,,
5850,0.92,2586,1.54,5850,0,-0.1014781104819849,,,,,,,0.12757315561175347,0.00070833764,0.04232753813266754,1940,-0.006125095322107299,0.2,0.42081594467163086,0.0001,-0.5074467062950134,0.0
,,,,5850,,,195,0,2.23,24167,-0.27937398999999996,0.77,,,,,,,,,,
5880,0.98,2600,1.34,5880,0,-0.0354914834164083,,,,,,,0.2595223233103752,2.006491e-05,0.11517274379730225,1950,-0.00010582496757702842,0.2,0.19374984502792358,0.0001,-0.4989084661006927,0.0
,,,,5880,,,196,0,2.25,24290,-0.29230821999999995,0.77,,,,,,,,,,
5910,0.96,2613,1.26,5910,0,-0.05116759283468127,,,,,,,0.3321915715932846,0.0003210803,0.13432157039642334,1960,-0.004622855564812056,0.2,-0.5206242799758911,0.0001,-0.5108984768390655,0.0
,,,,5910,,,197,0,2.2,24414,-0.2803389499999999,0.78,,,,,,,,,,
5940,0.96,2626,1.32,5940,0,-0.05001661049667746,,,,,,,0.12743691056966783,1.2894471e-06,0.05459972470998764,1970,0.0006978453744279633,0.2,0.4936174154281616,0.0001,-0.5276208877563476,0.0
,,,,5940,,,198,0,2.22,24533,-0.27785816,0.77,,,,,,,,,,
5970,0.92,2641,1.44,5970,0,-0.07786213372834026,,,,,,,0.17148434221744538,1.4491876e-05,0.0779716968536377,1980,8.171399412577607e-05,0.2,0.2778034210205078,0.0001,-0.5195288240909577,0.0
,,,,5970,,,199,0,2.22,24655,-0.27706219,0.78,,,,,,,,,,
6000,0.98,2655,1.26,6000,0,-0.029899534792639314,,,,,,,0.12038181871175765,8.12451e-05,0.050612449645996094,1990,-0.001115038400166668,0.2,0.5163465738296509,0.0001,-0.5174397230148315,0.0
,,,,6000,,,200,0,2.24,24770,-0.26959194,0.79,,,,,,,,,,
6030,0.98,2672,1.18,6030,0,-0.028639466483145953,,,,,,,0.1953673005104065,0.00012446444,0.08320018649101257,2000,-0.0016158042165139719,0.2,0.06376254558563232,0.0001,-0.5179786920547486,0.0
,,,,6030,,,201,0,2.17,24878,-0.24575682999999995,0.81,,,,,,,,,,
6060,0.98,2683,1.26,6060,0,-0.03363554405979812,,,,,,,0.15681565999984742,6.580949e-05,0.05962781608104706,2010,-0.0010808891495495132,0.2,-0.501137375831604,0.0001,-0.5143718123435974,0.0
,,,,6060,,,202,0,2.2,24986,-0.24591064999999998,0.81,,,,,,,,,,
6090,0.96,2700,1.28,6090,0,-0.04962921082042158,,,,,,,0.24743352234363555,0.00011109511,0.10628638416528702,2020,-0.00034274395652253984,0.2,0.09354972839355469,0.0001,-0.515850430727005,0.0
,,,,6090,,,203,0,2.09,25099,-0.22279648999999996,0.82,,,,,,,,,,
6120,0.94,2713,1.46,6120,0,-0.0725740333320573,,,,,,,0.19602638334035874,0.028143425,0.05473456531763077,2030,-0.01756777383387096,0.2,-0.4737511873245239,0.0001,-0.5445676863193512,0.026666668057441712
,,,,6120,,,204,0,2.11,25222,-0.22074328,0.82,,,,,,,,,,
6150,0.88,2722,1.6,6150,0,-0.11594569799955934,,,,,,,0.21955358386039733,0.000110417604,0.08900872617959976,2040,-0.001557440183823644,0.2,0.09977763891220093,0.0001,-0.49391102492809297,0.0
,,,,6150,,,205,0,2.18,25361,-0.22276454999999998,0.81,,,,,,,,,,
6180,0.9,2745,1.54,6180,0,-0.07684374776203186,,,,,,,0.18190230429172516,0.00014962752,0.07824823260307312,2050,-0.0011436727116233669,0.2,0.20225214958190918,0.0001,-0.5031916201114655,0.0
,,,,6180,,,206,0,1.98,25494,-0.17727667999999996,0.85,,,,,,,,,,
