env/n_steps,eval/mean_reward,env/completion_counter,env/current_idx,eval/mean_ep_length,eval/success_rate,time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/success_rate,train/loss,train/entropy_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/explained_variance
26400,-0.10941259895451366,0,16048,1.22,0.9,26400,,,,,,,0.06484325230121613,-0.009060697350651025,0.001,435,-1.8081687051729743e-05,0.1706269919872284,0.0,0.2,5.683163e-06,0.3200383186340332
,,,,,,26400,88,-0.21615032,1.57,39728,0,0.75,,,,,,,,,,
26700,-0.048808108447119594,0,16233,1.22,0.92,26700,,,,,,,0.07671812921762466,-0.009685763344168662,0.001,440,4.00680374212925e-08,0.15935141518712043,0.0,0.2,0.0,0.28214675188064575
,,,,,,26700,89,-0.23931654000000002,1.61,40154,0,0.73,,,,,,,,,,
27000,-0.02719871777575463,0,16421,1.12,0.98,27000,,,,,,,0.08628233522176743,-0.009958466608077287,0.001,445,-3.881921806225819e-09,0.17268244922161102,0.0,0.2,0.0,0.2442563772201538
,,,,,,27000,90,-0.24150266,1.65,40597,0,0.73,,,,,,,,,,
27300,-0.0892365075321868,0,16614,1.24,0.9,27300,,,,,,,0.0874115452170372,-0.010054669063538312,0.001,450,-1.3372945950607118e-08,0.16532962992787362,0.0,0.2,0.0,0.26409631967544556
,,,,,,27300,91,-0.16750765999999997,1.55,41038,0,0.77,,,,,,,,,,
27600,-0.027691647852770986,0,16795,1.1,0.96,27600,,,,,,,0.08254526555538177,-0.010100921709090471,0.001,455,-1.970170551146566e-08,0.16959664225578308,0.0,0.2,0.0,0.1859365701675415
,,,,,,27600,92,-0.25637091,1.73,41463,0,0.69,,,,,,,,,,
27900,-0.06941489813383668,0,16979,1.26,0.88,27900,,,,,,,0.07423987984657288,-0.010170371271669865,0.001,460,-0.0001524709715426731,0.1683518871665001,0.0,0.2,1.6848673e-05,0.24295175075531006
,,,,,,27900,93,-0.27365141,1.71,41901,0,0.69,,,,,,,,,,
28200,-0.06955770108383148,0,17159,1.28,0.92,28200,,,,,,,0.07574404031038284,-0.01040926445275545,0.001,465,-4.284083576777675e-09,0.17894452512264253,0.0,0.2,0.0,0.17472082376480103
,,,,,,28200,94,-0.22873501999999996,1.68,42328,0,0.71,,,,,,,,,,
28500,-0.029355417652986944,0,17344,1.26,0.92,28500,,,,,,,0.10368165373802185,-0.01055600754916668,0.001,470,-1.0058283805847169e-08,0.19161349684000015,0.0,0.2,0.0,0.1950131058692932
,,,,,,28500,95,-0.2094932,1.65,42765,0,0.71,,,,,,,,,,
28800,-0.06872559478506446,0,17532,1.22,0.92,28800,,,,,,,0.07121887803077698,-0.010611616913229227,0.001,475,4.072419557132889e-09,0.16966652572155,0.0,0.2,0.0,0.23395812511444092
,,,,,,28800,96,-0.24861692000000005,1.56,43196,0,0.75,,,,,,,,,,
29100,-0.08914628013037146,0,17723,1.24,0.9,29100,,,,,,,0.07741504162549973,-0.010634367354214191,0.001,480,-1.5578486722844787e-08,0.17858817502856256,0.0,0.2,0.0,0.20327049493789673
,,,,,,29100,97,-0.20170135999999997,1.57,43626,0,0.76,,,,,,,,,,
29400,-0.0700623509241268,0,17907,1.2,0.92,29400,,,,,,,0.07599364966154099,-0.010659063793718815,0.001,485,-2.4155121103319745e-08,0.1765895515680313,0.0,0.2,0.0,0.1602494716644287
,,,,,,29400,98,-0.28821496,1.72,44055,0,0.68,,,,,,,,,,
29700,-0.11167852559126913,0,18096,1.34,0.86,29700,,,,,,,0.054614998400211334,-0.010669666342437267,0.001,490,2.7550215087046582e-08,0.15089181214570999,0.0,0.2,0.0,0.2941608428955078
,,,,,,29700,99,-0.31355670999999996,1.77,44483,0,0.65,,,,,,,,,,
30000,-0.0932888174848631,0,18284,1.38,0.86,30000,,,,,,,0.06588372588157654,-0.009977765008807182,0.001,495,-0.0012141299010679952,0.18877628296613694,0.0022727273404598235,0.2,0.00053379685,0.1511472463607788
,,,,,,30000,100,-0.24049603,1.69,44909,0,0.69,,,,,,,,,,
30300,-0.06784414064139127,0,18469,1.18,0.94,30300,,,,,,,0.07618642598390579,-0.0085604895837605,0.001,500,1.3919038721610378e-08,0.17781441658735275,0.0,0.2,0.0,0.200434148311615
,,,,,,30300,101,-0.26439671,1.63,45325,0,0.72,,,,,,,,,,
30600,-0.048829451622441414,0,18659,1.22,0.92,30600,,,,,,,0.08454029262065887,-0.013897178880870342,0.001,505,0.0008326525588268297,0.17786966264247894,0.005007102340459824,0.2,0.12648332,0.26001542806625366
,,,,,,30600,102,-0.2053548,1.55,45758,0,0.79,,,,,,,,,,
30900,-0.046820479775778946,0,18846,1.08,0.96,30900,,,,,,,0.08984605222940445,-0.007917754538357257,0.001,510,4.2886557878318853e-07,0.16222652345895766,0.0,0.2,1.1641532e-10,0.2698408365249634
,,,,,,30900,103,-0.17191558999999998,1.49,46186,0,0.8,,,,,,,,,,
31200,-0.11615659397561102,0,19028,1.32,0.86,31200,,,,,,,0.08226215094327927,-0.007617670344188809,0.001,515,-0.0008953711144958021,0.18172034323215486,0.0022727273404598235,0.2,0.00038257835,0.21773970127105713
,,,,,,31200,104,-0.26176278,1.69,46773,0,0.71,,,,,,,,,,
31500,-0.07024932768195867,0,19214,1.28,0.9,31500,,,,,,,0.08206605166196823,-0.009331058710813522,0.001,520,-0.0003187728834080694,0.18449128270149232,0.0015625,0.2,0.00038425066,0.21463847160339355
,,,,,,31500,105,-0.22849893999999998,1.58,47185,0,0.76,,,,,,,,,,
31800,-0.11081464075949043,0,19403,1.28,0.88,31800,,,,,,,0.08629755675792694,-0.006633437797427177,0.001,525,1.7350962879802979e-07,0.17724677920341492,0.0,0.2,0.0,0.3038511276245117
,,,,,,31800,106,-0.22928794999999996,1.59,47600,0,0.76,,,,,,,,,,
32100,-0.06912224286701531,0,19582,1.16,0.94,32100,,,,,,,0.08753835409879684,-0.018447803193703295,0.001,530,-0.002006761930798251,0.20470935404300689,0.0061079546809196476,0.2,0.003461278,0.13418465852737427
,,,,,,32100,107,-0.24047374,1.65,48012,0,0.72,,,,,,,,,,
32400,-0.09121927620843052,0,19769,1.28,0.9,32400,,,,,,,0.09169729053974152,-0.007073509087786078,0.001,535,-0.0003067208384891273,0.1799229070544243,0.000390625,0.2,4.4148393e-05,0.2576141357421875
,,,,,,32400,108,-0.22072978999999995,1.55,48436,0,0.77,,,,,,,,,,
32700,-0.04781980857718736,0,19948,1.14,0.96,32700,,,,,,,0.06869643926620483,-0.009734341921284796,0.001,540,-0.00037281352455167396,0.17070332765579224,0.000390625,0.2,6.3176965e-05,0.26613128185272217
,,,,,,32700,109,-0.31354642,1.84,48836,0,0.65,,,,,,,,,,
33000,-0.08949564078357071,0,20130,1.26,0.9,33000,,,,,,,0.07138101011514664,-0.012401710683479904,0.001,545,-0.000834301592376363,0.18578155785799028,0.0034446023404598237,0.2,0.0001848063,0.21761566400527954
,,,,,,33000,110,-0.21174310000000005,1.64,49260,0,0.75,,,,,,,,,,
33300,-0.08951157381292432,0,20313,1.24,0.9,33300,,,,,,,0.10830145329236984,-0.006361197866499424,0.001,550,1.519114078973871e-08,0.18900448828935623,0.0,0.2,0.0,0.21579939126968384
,,,,,,33300,111,-0.28519179999999994,1.68,49681,0,0.7,,,,,,,,,,
33600,-0.02839052239432931,0,20499,1.14,0.96,33600,,,,,,,0.07736938446760178,-0.013250769022852183,0.001,555,-0.00020816955841915786,0.1930135667324066,0.0,0.2,3.315339e-06,0.23485487699508667
,,,,,,33600,112,-0.18123778000000001,1.56,50086,0,0.79,,,,,,,,,,
33900,-0.046862773005850615,0,20692,1.08,0.96,33900,,,,,,,0.09947945922613144,-0.00741481389850378,0.001,560,-0.0005039898231558482,0.20522734075784682,0.0015625,0.2,0.0004177679,0.10209780931472778
,,,,,,33900,113,-0.21547800000000006,1.59,50506,0,0.75,,,,,,,,,,
34200,-0.06829397175926716,0,20886,1.14,0.94,34200,,,,,,,0.09511559456586838,-0.006848547141999006,0.001,565,9.829686327123e-08,0.19782854318618776,0.0,0.2,0.0,0.2055308222770691
,,,,,,34200,114,-0.18515822999999995,1.47,50910,0,0.79,,,,,,,,,,
34500,-0.04771395702380687,0,21082,1.14,0.96,34500,,,,,,,0.09633989632129669,-0.01538203083910048,0.001,570,-0.00045284638326847926,0.17557416558265687,0.001171875,0.2,0.0064874045,0.21825242042541504
,,,,,,34500,115,-0.1809108,1.57,51328,0,0.76,,,,,,,,,,
34800,-0.09242095293477177,0,21258,1.26,0.92,34800,,,,,,,0.09247346222400665,-0.010780195984989405,0.001,575,-2.635830949788698e-05,0.16727906689047814,0.0,0.2,1.1748232e-05,0.23314142227172852
,,,,,,34800,116,-0.21523744,1.63,51749,0,0.72,,,,,,,,,,
35100,-0.048768517654389144,0,21432,1.22,0.92,35100,,,,,,,0.08144904673099518,-0.007618694193661213,0.001,580,-3.04034488252114e-08,0.20997314900159836,0.0,0.2,0.0,0.12725889682769775
,,,,,,35100,117,-0.24479087000000002,1.49,52170,0,0.78,,,,,,,,,,
35400,-0.04930645331740379,0,21622,1.12,0.96,35400,,,,,,,0.07595188915729523,-0.03908925224095583,0.001,585,-0.00017308330134255812,0.1868663027882576,0.0,0.2,2.7743548e-05,0.28424298763275146
,,,,,,35400,118,-0.16219868,1.53,52604,0,0.78,,,,,,,,,,
35700,-0.13467451948672532,0,21807,1.34,0.86,35700,,,,,,,0.07168452441692352,-0.007615913031622767,0.001,590,-3.3923848370420727e-07,0.19608188420534134,0.0,0.2,0.0,0.2251937985420227
,,,,,,35700,119,-0.2829631399999999,1.67,53052,0,0.72,,,,,,,,,,
36000,-0.029363128594122826,0,21997,1.24,0.92,36000,,,,,,,0.11256093531847,-0.014990074140951038,0.001,595,-0.0006558001890054399,0.20317052602767943,0.0015625,0.2,0.0016569266,0.15337318181991577
,,,,,,36000,120,-0.18670594000000001,1.59,53481,0,0.77,,,,,,,,,,
36300,-0.06827446836046874,0,22180,1.14,0.94,36300,,,,,,,0.09738502651453018,-0.013241459522396326,0.001,600,-0.0005106503829159336,0.18483023047447206,0.000390625,0.2,6.0644466e-05,0.14977890253067017
,,,,,,36300,121,-0.19413806,1.61,53896,0,0.75,,,,,,,,,,
36600,-0.11139270047657192,0,22363,1.24,0.9,36600,,,,,,,0.1018233522772789,-0.008281971607357264,0.001,605,2.1445581875090268e-05,0.2008022904396057,0.0,0.2,1.701992e-07,0.1359294056892395
,,,,,,36600,122,-0.24796653000000002,1.68,54325,0,0.73,,,,,,,,,,
36900,-0.06853093946352601,0,22546,1.2,0.94,36900,,,,,,,0.10336977243423462,-0.0059557497035712,0.001,610,-1.357135955615263e-06,0.17339280024170875,0.0,0.2,1.1641532e-09,0.20756012201309204
,,,,,,36900,123,-0.26040834999999996,1.67,54729,0,0.72,,,,,,,,,,
37200,-0.04944959149695933,0,22726,1.16,0.94,37200,,,,,,,0.10973310470581055,-0.005957350740209222,0.001,615,-6.166062832395625e-05,0.21314581483602524,0.0,0.2,3.0772295e-05,0.14163553714752197
,,,,,,37200,124,-0.19743666999999998,1.52,55138,0,0.8,,,,,,,,,,
37500,-0.07099817674607038,0,22920,1.28,0.92,37500,,,,,,,0.07591520249843597,-0.015136955585330725,0.001,620,-0.0017953659386641617,0.19018893986940383,0.0065696023404598234,0.2,0.04544882,0.22132045030593872
,,,,,,37500,125,-0.24974697,1.57,55537,0,0.74,,,,,,,,,,
37800,-0.029965220568701625,0,23122,1.28,0.9,37800,,,,,,,0.09328657388687134,-0.015332001214846968,0.001,625,-0.001356674789644785,0.18361342698335648,0.003125,0.2,0.032174096,0.20212852954864502
,,,,,,37800,126,-0.18147298999999997,1.48,55963,0,0.81,,,,,,,,,,
38100,-0.06856244234833866,0,23313,1.18,0.92,38100,,,,,,,0.10297950357198715,-0.005702074989676476,0.001,630,-1.0113316584181575e-08,0.1721871852874756,0.0,0.2,0.0,0.28712600469589233
,,,,,,38100,127,-0.12528982,1.42,56386,0,0.84,,,,,,,,,,
38400,-0.07149496178142727,0,23502,1.22,0.92,38400,,,,,,,0.08326517790555954,-0.010804309975355864,0.001,635,-0.002650358193469238,0.18019001185894012,0.005326704680919647,0.2,0.00035964965,0.1431174874305725
,,,,,,38400,128,-0.16633871000000003,1.49,56794,0,0.79,,,,,,,,,,
38700,-0.027911472520790993,0,23696,1.1,0.98,38700,,,,,,,0.09275951236486435,-0.0056427241768687965,0.001,640,6.874854197036484e-09,0.1736607037484646,0.0,0.2,0.0,0.13928472995758057
,,,,,,38700,129,-0.18773654,1.54,57206,0,0.76,,,,,,,,,,
39000,-0.0692826751479879,0,23877,1.16,0.92,39000,,,,,,,0.11698147654533386,-0.012236202554777264,0.001,645,-0.0002637986845163809,0.1832006588578224,0.0,0.2,8.479925e-06,0.21236896514892578
,,,,,,39000,130,-0.28238838,1.76,57625,0,0.65,,,,,,,,,,
39300,-0.04801829183008522,0,24064,1.14,0.96,39300,,,,,,,0.06165486201643944,-0.017475938983261587,0.001,650,-0.0014790430792011478,0.1730304054915905,0.004225852340459824,0.2,0.00030606834,0.23841696977615356
,,,,,,39300,131,-0.20409585999999996,1.56,58029,0,0.74,,,,,,,,,,
39600,-0.11140477118548006,0,24253,1.24,0.9,39600,,,,,,,0.10281848907470703,-0.011520073423162103,0.001,655,-0.00040329405297097055,0.18671155869960784,0.0,0.2,4.2305328e-05,0.20496296882629395
,,,,,,39600,132,-0.26115899,1.57,58446,0,0.74,,,,,,,,,,
39900,-0.08849345029797405,0,24440,1.2,0.92,39900,,,,,,,0.0957835391163826,-0.011803093273192644,0.001,660,-0.0011831846426835213,0.19624638855457305,0.001953125,0.2,0.002423718,0.19958281517028809
,,,,,,39900,133,-0.19988210999999997,1.61,58868,0,0.72,,,,,,,,,,
40200,-0.050130763235501946,0,24626,1.24,0.92,40200,,,,,,,0.07794924080371857,-0.005703683337196707,0.001,665,-8.96633338252073e-06,0.16525021195411682,0.0,0.2,7.310882e-08,0.2750415802001953
,,,,,,40200,134,-0.21746052999999999,1.59,59277,0,0.75,,,,,,,,,,
40500,-0.08875475674401968,0,24817,1.24,0.9,40500,,,,,,,0.077915258705616,-0.005420691333711147,0.001,670,-2.6652758933209953e-08,0.16617160886526108,0.0,0.2,0.0,0.2764577269554138
,,,,,,40500,135,-0.29510929,1.66,59720,0,0.71,,,,,,,,,,
40800,-0.051532528381794694,0,25008,1.24,0.9,40800,,,,,,,0.10441593080759048,-0.007455580215901136,0.001,675,-0.0004724190655082339,0.22049963921308519,0.0034446023404598237,0.2,0.008524751,0.22166019678115845
,,,,,,40800,136,-0.25001614,1.6,60152,0,0.74,,,,,,,,,,
41100,-0.17516006113030017,0,25201,1.4,0.82,41100,,,,,,,0.07633630931377411,-0.005411247536540031,0.001,680,2.269040422220314e-09,0.1642896428704262,0.0,0.2,0.0,0.3172924518585205
,,,,,,41100,137,-0.24167323,1.61,60591,0,0.73,,,,,,,,,,
41400,-0.0282073659170419,0,25393,1.14,0.96,41400,,,,,,,0.09157759696245193,-0.00541364517994225,0.001,685,1.9409608142950675e-09,0.17612653747200965,0.0,0.2,0.0,0.2659069895744324
,,,,,,41400,138,-0.24304088000000001,1.57,60992,0,0.76,,,,,,,,,,
41700,-0.007620430095121264,0,25572,1.12,0.96,41700,,,,,,,0.12405142188072205,-0.006213026214390993,0.001,690,-0.0015392096015521162,0.19180865436792374,0.007990057021379471,0.2,0.0041275574,0.22847557067871094
,,,,,,41700,139,-0.21788097,1.61,61403,0,0.75,,,,,,,,,,
42000,-0.06819527498912066,0,25754,1.18,0.92,42000,,,,,,,0.0725926011800766,-0.008324889885261654,0.001,695,-0.0003580902763950178,0.18685160726308822,0.001171875,0.2,0.0002895192,0.22508466243743896
,,,,,,42000,140,-0.29277785999999995,1.71,61831,0,0.69,,,,,,,,,,
42300,-0.1114517473988235,0,25944,1.28,0.88,42300,,,,,,,0.06993767619132996,-0.010867537651211023,0.001,700,-2.1115622672596147e-08,0.1863112196326256,0.0,0.2,0.0,0.19514334201812744
,,,,,,42300,141,-0.27222331,1.69,62275,0,0.69,,,,,,,,,,
42600,-0.11188830533996225,0,26143,1.26,0.88,42600,,,,,,,0.08338281512260437,-0.014223453029990197,0.001,705,-0.0003689656711438616,0.16991567686200143,0.00078125,0.2,0.00020166009,0.29993051290512085
,,,,,,42600,142,-0.20599369,1.54,62728,0,0.76,,,,,,,,,,
42900,-0.06811212645377963,0,26330,1.16,0.94,42900,,,,,,,0.054551105946302414,-0.011380591336637736,0.001,710,-0.0004693077919492694,0.15197471156716347,0.00078125,0.2,8.9752255e-05,0.3240675926208496
,,,,,,42900,143,-0.30057155999999996,1.73,63125,0,0.66,,,,,,,,,,
43200,-0.04891531495843083,0,26508,1.22,0.92,43200,,,,,,,0.07751735299825668,-0.009704388305544853,0.001,715,-6.75716854914299e-08,0.17585012018680574,0.0,0.2,0.0,0.2648813724517822
,,,,,,43200,144,-0.28060815,1.67,63556,0,0.7,,,,,,,,,,
43500,-0.04920787183567882,0,26686,1.22,0.92,43500,,,,,,,0.1033925861120224,-0.009086630120873452,0.001,720,-4.483048243741905e-09,0.17651220709085463,0.0,0.2,0.0,0.2781214118003845
,,,,,,43500,145,-0.19267154,1.65,63992,0,0.73,,,,,,,,,,
43800,-0.08852225463371724,0,26879,1.24,0.9,43800,,,,,,,0.062236856669187546,-0.009144720621407032,0.001,725,-1.2551044874697937e-05,0.16805022805929185,0.0,0.2,1.9874424e-06,0.18302321434020996
,,,,,,43800,146,-0.19828189999999998,1.55,64434,0,0.77,,,,,,,,,,
44100,-0.09286929761525244,0,27065,1.26,0.9,44100,,,,,,,0.08184994757175446,-0.009382905066013336,0.001,730,1.7559664033939272e-08,0.18045811206102372,0.0,0.2,0.0,0.2316797971725464
,,,,,,44100,147,-0.28418476000000004,1.65,64891,0,0.72,,,,,,,,,,
44400,-0.06875983264762908,0,27247,1.2,0.94,44400,,,,,,,0.09812133759260178,-0.009564576856791972,0.001,735,6.603923630166264e-10,0.1891348972916603,0.0,0.2,0.0,0.24822402000427246
,,,,,,44400,148,-0.26516291,1.66,65321,0,0.7,,,,,,,,,,
44700,-0.04870686889160424,0,27435,1.22,0.92,44700,,,,,,,0.12227486819028854,-0.009627759922295809,0.001,740,-1.679343950566903e-08,0.1757628910243511,0.0,0.2,0.0,0.2755433917045593
,,,,,,44700,149,-0.19730968999999998,1.59,65748,0,0.75,,,,,,,,,,
45000,-0.08985995545517653,0,27625,1.3,0.88,45000,,,,,,,0.10225694626569748,-0.008718792675063014,0.001,745,-0.0006454986054443169,0.16611237078905106,0.0015625,0.2,0.00030273118,0.2693859338760376
,,,,,,45000,150,-0.21950050999999998,1.55,66207,0,0.77,,,,,,,,,,
45300,-0.09614009070210158,0,27815,1.22,0.9,45300,,,,,,,0.07137264311313629,-0.007177432905882597,0.001,750,-0.0008676903110673706,0.19503622353076935,0.004545454680919647,0.2,0.0012788061,0.2100650668144226
,,,,,,45300,151,-0.19950535999999996,1.62,66622,0,0.73,,,,,,,,,,
45600,-0.11184798535890877,0,28012,1.38,0.84,45600,,,,,,,0.09172696620225906,-0.00566386436112225,0.001,755,7.18896361107113e-08,0.21009428799152374,0.0,0.2,0.0,0.10756361484527588
,,,,,,45600,152,-0.13225777,1.47,67060,0,0.83,,,,,,,,,,
45900,-0.07418614719994367,0,28212,1.34,0.88,45900,,,,,,,0.09547539800405502,-0.005332916136831045,0.001,760,-3.102997325754586e-09,0.17057443112134935,0.0,0.2,0.0,0.21608859300613403
,,,,,,45900,153,-0.13273448999999998,1.41,67509,0,0.86,,,,,,,,,,
46200,-0.11358403806574642,0,28386,1.3,0.88,46200,,,,,,,0.10870382934808731,-0.00515592391602695,0.001,765,4.394149488717858e-09,0.17344666495919228,0.0,0.2,0.0,0.23623502254486084
,,,,,,46200,154,-0.28335034000000003,1.66,67950,0,0.71,,,,,,,,,,
46500,-0.07131523933727295,0,28559,1.24,0.92,46500,,,,,,,0.07844865322113037,-0.005128086358308792,0.001,770,-2.3973089824380624e-08,0.17291824221611024,0.0,0.2,0.0,0.25575947761535645
,,,,,,46500,155,-0.30755170000000004,1.73,68407,0,0.67,,,,,,,,,,
46800,-0.1328759901318699,0,28757,1.38,0.84,46800,,,,,,,0.10568302869796753,-0.005107974773272872,0.001,775,-9.59262251853943e-09,0.2069825917482376,0.0,0.2,0.0,0.2567986845970154
,,,,,,46800,156,-0.21755889000000003,1.58,68865,0,0.77,,,,,,,,,,
47100,-0.1347371889092028,0,28955,1.3,0.86,47100,,,,,,,0.10303114354610443,-0.005094630550593138,0.001,780,-1.5244057216534658e-08,0.17135257571935653,0.0,0.2,0.0,0.328468382358551
,,,,,,47100,157,-0.24290634000000005,1.56,69295,0,0.74,,,,,,,,,,
47400,-0.1538593779457733,0,29150,1.44,0.8,47400,,,,,,,0.06364145874977112,-0.0050924733281135556,0.001,785,-2.548437194604958e-09,0.1765231542289257,0.0,0.2,0.0,0.2408689260482788
,,,,,,47400,158,-0.21118958,1.5,69769,0,0.79,,,,,,,,,,
47700,-0.13082335968036204,0,29327,1.34,0.86,47700,,,,,,,0.06781460344791412,-0.0050985024776309725,0.001,790,-4.880977044763312e-09,0.17966822683811187,0.0,0.2,0.0,0.29692476987838745
,,,,,,47700,159,-0.35792089,1.82,70203,0,0.64,,,,,,,,,,
48000,-0.00598329468164593,0,29515,1.02,1.0,48000,,,,,,,0.10283859074115753,-0.005091500747948885,0.001,795,1.2428923268359427e-08,0.19914184659719467,0.0,0.2,0.0,0.27705681324005127
,,,,,,48000,160,-0.19273545000000003,1.5,70624,0,0.81,,,,,,,,,,
48300,-0.07129707029089331,0,29702,1.2,0.92,48300,,,,,,,0.055527497082948685,-0.007942118542268872,0.001,800,-1.573527909126682e-05,0.1594867967069149,0.0,0.2,3.2521784e-06,0.3056500554084778
,,,,,,48300,161,-0.23514413,1.67,71079,0,0.72,,,,,,,,,,
48600,-0.029944770447909833,0,29889,1.24,0.94,48600,,,,,,,0.05809576064348221,-0.007822684617713094,0.001,805,-0.0005720687776126887,0.16369615197181703,0.00078125,0.2,0.00014456036,0.2705230116844177
,,,,,,48600,162,-0.20026429999999998,1.59,71527,0,0.78,,,,,,,,,,
48900,-0.007439144914969802,0,30066,1.08,0.98,48900,,,,,,,0.04914529621601105,-0.005255824606865645,0.001,810,-7.560362361846984e-06,0.16921558007597923,0.0,0.2,1.0489952e-05,0.25523024797439575
,,,,,,48900,163,-0.25800081,1.68,71937,0,0.71,,,,,,,,,,
49200,-0.06924925150349737,0,30258,1.24,0.88,49200,,,,,,,0.07061457633972168,-0.00534500703215599,0.001,815,1.822005613050237e-08,0.17489709854125976,0.0,0.2,0.0,0.277828574180603
,,,,,,49200,164,-0.2056223,1.47,72369,0,0.79,,,,,,,,,,
49500,-0.092782429670915,0,30448,1.26,0.92,49500,,,,,,,0.05936441570520401,-0.0053855120204389095,0.001,820,-2.3621726974454304e-08,0.16649107113480568,0.0,0.2,0.0,0.29133498668670654
,,,,,,49500,165,-0.17866402999999995,1.54,72803,0,0.76,,,,,,,,,,
49800,-0.13522388732992113,0,30637,1.44,0.84,49800,,,,,,,0.09660232812166214,-0.0060643631964921955,0.001,825,-0.0008599498266868011,0.19617891311645508,0.0034446023404598237,0.2,0.00031632883,0.16154557466506958
,,,,,,49800,166,-0.20680186000000003,1.54,73239,0,0.78,,,,,,,,,,
50100,-0.11030333647504449,0,30832,1.3,0.86,50100,,,,,,,0.08804850280284882,-0.007382537657395005,0.001,830,-7.153150095362548e-07,0.18787751495838165,0.0,0.2,0.0,0.24368900060653687
,,,,,,50100,167,-0.26409254,1.59,73662,0,0.74,,,,,,,,,,
50400,-0.028575053960084914,0,31015,1.16,0.92,50400,,,,,,,0.05362547188997269,-0.008515687566250563,0.001,835,-3.0396010895827885e-05,0.1834450416266918,0.0,0.2,3.9436854e-06,0.22316735982894897
,,,,,,50400,168,-0.29772954,1.68,74111,0,0.7,,,,,,,,,,
50700,-0.028911089291796088,0,31199,1.18,0.94,50700,,,,,,,0.10402221232652664,-0.008187818527221679,0.001,840,-2.021983875089006e-06,0.17742698192596434,0.0,0.2,3.7252903e-09,0.2583014965057373
,,,,,,50700,169,-0.26755269000000004,1.7,74579,0,0.71,,,,,,,,,,
51000,-0.048184496681205925,0,31388,1.16,0.96,51000,,,,,,,0.13311706483364105,-0.009951380919665099,0.001,845,-0.0018570104698564904,0.1834668681025505,0.005326704680919647,0.2,0.0032845526,0.27479463815689087
,,,,,,51000,170,-0.19215021,1.56,75013,0,0.78,,,,,,,,,,
51300,-0.06723764158319682,0,31571,1.12,0.94,51300,,,,,,,0.051917362958192825,-0.01390848783776164,0.001,850,-0.00020858558789118575,0.1609676495194435,0.0,0.2,8.3937775e-06,0.23907792568206787
,,,,,,51300,171,-0.25575550999999996,1.61,75457,0,0.73,,,,,,,,,,
51600,-0.053545167297124864,0,31768,1.36,0.88,51600,,,,,,,0.08205946534872055,-0.008032577484846115,0.001,855,-2.1306120423503216e-08,0.1912185937166214,0.0,0.2,0.0,0.23450195789337158
,,,,,,51600,172,-0.23262043999999998,1.58,75890,0,0.76,,,,,,,,,,
51900,-0.09022489219438284,0,31952,1.18,0.92,51900,,,,,,,0.09938991814851761,-0.011729457043111324,0.001,860,-0.0002137900824894956,0.18023639917373657,0.000390625,0.2,5.1234616e-05,0.2921125888824463
,,,,,,51900,173,-0.31293316,1.67,76323,0,0.7,,,,,,,,,,
52200,-0.028202227177098395,0,32127,1.14,0.98,52200,,,,,,,0.09230472147464752,-0.008048744220286608,0.001,865,1.7331066182180167e-08,0.1950301334261894,0.0,0.2,0.0,0.2756879925727844
,,,,,,52200,174,-0.21917669000000004,1.61,76770,0,0.74,,,,,,,,,,
52500,-0.13732249293476342,0,32320,1.5,0.8,52500,,,,,,,0.10486467182636261,-0.008055541943758727,0.001,870,1.0301274260271498e-07,0.19994898438453673,0.0,0.2,0.0,0.1875985860824585
,,,,,,52500,175,-0.24856749999999997,1.58,77212,0,0.75,,,,,,,,,,
52800,-0.09101206890773028,0,32501,1.32,0.92,52800,,,,,,,0.05806704983115196,-0.008159701712429523,0.001,875,-1.9835477118590462e-07,0.16310783252120017,0.0,0.2,0.0,0.31933242082595825
,,,,,,52800,176,-0.24800752000000004,1.65,77714,0,0.73,,,,,,,,,,
53100,-0.11454909346997738,0,32686,1.34,0.88,53100,,,,,,,0.09142781794071198,-0.01481137601658702,0.001,880,-0.0001079463817903914,0.15787629559636115,0.0,0.2,3.7493744e-05,0.3273574113845825
,,,,,,53100,177,-0.21096763,1.67,78164,0,0.72,,,,,,,,,,
53400,-0.07267160612158477,0,32879,1.24,0.9,53400,,,,,,,0.09187088906764984,-0.008018451184034348,0.001,885,9.22856280283213e-10,0.17298673763871192,0.0,0.2,0.0,0.2509365677833557
,,,,,,53400,178,-0.23821377999999999,1.62,78601,0,0.74,,,,,,,,,,
53700,-0.13358295419253408,0,33057,1.34,0.84,53700,,,,,,,0.07886974513530731,-0.008013816829770804,0.001,890,1.4901157641133977e-09,0.17431776225566864,0.0,0.2,0.0,0.23743653297424316
,,,,,,53700,179,-0.34241073,1.74,79052,0,0.66,,,,,,,,,,
54000,-0.04757647743448615,0,33237,1.12,0.96,54000,,,,,,,0.08223822712898254,-0.013250016467645764,0.001,895,-0.0005558207342719612,0.1813972681760788,0.0038352273404598236,0.2,0.00026582798,0.2642676830291748
,,,,,,54000,180,-0.25280004000000006,1.69,79484,0,0.7,,,,,,,,,,
54300,-0.04755367380101234,0,33424,1.12,0.96,54300,,,,,,,0.09524913877248764,-0.006456997198984027,0.001,900,1.7695127141337252e-09,0.19335978329181672,0.0,0.2,0.0,0.22642457485198975
