env/completion_counter,eval/mean_ep_length,eval/mean_reward,env/n_steps,eval/success_rate,time/total_timesteps,env/current_idx,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/success_rate,time/fps,train/explained_variance,train/entropy_loss,train/clip_range,train/n_updates,train/clip_fraction,train/value_loss,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/loss
,,,,,4200,,-0.18418269,1.81,14,6136,0.84,0,,,,,,,,,,
0,1.22,-0.051518776640295985,4500,0.96,4500,1851,,,,,,,0.14767605066299438,-0.8896573662757874,0.2,70,0.013778409361839295,0.17455463260412216,0.005645159,0.001,-0.00753876420785673,0.053536441177129745
,,,,,4500,,-0.29269217000000003,2.36,15,6581,0.73,0,,,,,,,,,,
0,1.72,-0.15950494640506804,4800,0.86,4800,2002,,,,,,,0.036158084869384766,-0.7800432920455933,0.2,75,0.0689985804259777,0.2258154958486557,0.013678854,0.001,-0.008826750935986638,0.07821222394704819
,,,,,4800,,-0.22304432999999999,1.93,16,7076,0.82,0,,,,,,,,,,
0,1.34,-0.0714299719966948,5100,0.94,5100,2129,,,,,,,0.24707603454589844,-0.5480663537979126,0.2,80,0.06356534212827683,0.18240139335393907,0.009503344,0.001,-0.008512916532345116,0.06185140460729599
,,,,,5100,,-0.22701982000000004,2.3,17,7562,0.77,0,,,,,,,,,,
0,1.62,-0.09752277114894241,5400,0.9,5400,2285,,,,,,,0.058531224727630615,-0.4770157277584076,0.2,85,0.025035511702299118,0.22016020864248276,0.0052297143,0.001,-0.003231683166450239,0.0905112698674202
,,,,,5400,,-0.17119009999999998,1.86,18,8056,0.85,0,,,,,,,,,,
0,1.28,-0.05110997439362109,5700,0.96,5700,2435,,,,,,,0.08351355791091919,-0.36213864386081696,0.2,90,0.01995738670229912,0.22093300074338912,0.0036409278,0.001,-0.0036879145016428085,0.10194149613380432
,,,,,5700,,-0.18697558,2.01,19,8521,0.84,0,,,,,,,,,,
0,1.36,-0.03088316715788096,6000,0.96,6000,2584,,,,,,,0.11082589626312256,-0.30674847662448884,0.2,95,0.0,0.20317527800798416,0.00041493238,0.001,-0.0008648380499380437,0.08668076246976852
,,,,,6000,,-0.13597304,1.87,20,8990,0.88,0,,,,,,,,,,
0,1.32,-0.05855924278032035,6300,0.96,6300,2730,,,,,,,0.20786714553833008,-0.2709905177354813,0.2,100,0.000390625,0.20905085057020187,0.00035599666,0.001,-0.0012693204316292395,0.14544865489006042
,,,,,6300,,-0.19479940000000004,1.97,21,9550,0.83,0,,,,,,,,,,
0,1.3,-0.05192058002576232,6600,0.96,6600,2870,,,,,,,0.16941291093826294,-0.24100030362606048,0.2,105,0.01111505702137947,0.18454085886478425,0.004016823,0.001,-0.002347168477717787,0.08371845632791519
,,,,,6600,,-0.2725697,2.21,22,10013,0.75,0,,,,,,,,,,
0,1.28,-0.03350388694554567,6900,0.98,6900,3025,,,,,,,0.2206631302833557,-0.2119032233953476,0.2,110,0.0,0.20154042094945906,0.00023278003,0.001,8.104029666355927e-05,0.08954540640115738
,,,,,6900,,-0.25225316,1.98,23,10498,0.81,0,,,,,,,,,,
0,1.28,-0.07109368703328073,7200,0.94,7200,3162,,,,,,,0.3131182789802551,-0.20126381367444993,0.2,115,0.0,0.20020638927817344,0.0002547633,0.001,-0.0005067446792963893,0.05778616666793823
,,,,,7200,,-0.25835675,2.22,24,10980,0.77,0,,,,,,,,,,
0,1.44,-0.0987258717790246,7500,0.9,7500,3312,,,,,,,0.17783743143081665,-0.1943553626537323,0.2,120,0.00234375,0.19886788874864578,0.0031046693,0.001,-0.0014580074457171577,0.08679157495498657
,,,,,7500,,-0.19988115,2.06,25,11469,0.81,0,,,,,,,,,,
0,1.28,-0.050654386789537965,7800,0.96,7800,3458,,,,,,,0.22725999355316162,-0.18001963943243027,0.2,125,0.001171875,0.18730195313692094,0.00037721897,0.001,-0.0019535471001290716,0.10354898869991302
,,,,,7800,,-0.22875981999999997,2.02,26,11934,0.81,0,,,,,,,,,,
0,1.66,-0.16249514758586883,8100,0.86,8100,3611,,,,,,,0.2706459164619446,-0.14255962073802947,0.2,130,0.001171875,0.17992589622735977,0.00023510926,0.001,-0.0002098792348988354,0.05842142924666405
,,,,,8100,,-0.18414559,1.87,27,12419,0.85,0,,,,,,,,,,
0,1.22,-0.028963986057788133,8400,0.98,8400,3757,,,,,,,0.19925427436828613,-0.1348195865750313,0.2,135,0.0,0.20664579421281815,4.6524103e-05,0.001,-0.00038372076123778244,0.08237018436193466
,,,,,8400,,-0.23967824000000007,2.07,28,12888,0.82,0,,,,,,,,,,
0,1.52,-0.09442284289281816,8700,0.92,8700,3913,,,,,,,0.2206348180770874,-0.1622101902961731,0.2,140,0.0,0.20496302843093872,0.00013192394,0.001,-5.9937284845545946e-05,0.08817039430141449
,,,,,8700,,-0.14245200000000002,1.84,29,13356,0.87,0,,,,,,,,,,
0,1.12,-0.028944384418427945,9000,0.98,9000,4045,,,,,,,0.24920111894607544,-0.14837078303098677,0.2,145,0.0015625,0.15479532182216643,0.00029973357,0.001,-0.0012665862470498724,0.06536827981472015
,,,,,9000,,-0.27456821000000003,2.25,30,13793,0.75,0,,,,,,,,,,
0,1.08,-0.007623576908372343,9300,1.0,9300,4196,,,,,,,0.19208306074142456,-0.12736446559429168,0.2,150,0.0,0.2102365180850029,5.931314e-05,0.001,0.0001461780860950057,0.11781152337789536
