time/total_timesteps,env/n_steps,time/iterations,env/completion_counter,rollout/ep_len_mean,env/current_idx,time/fps,time/time_elapsed,rollout/success_rate,rollout/ep_rew_mean,train/clip_fraction,train/value_loss,train/n_updates,train/entropy_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/loss,train/clip_range,eval/success_rate,eval/mean_reward,eval/mean_ep_length
870,870,29,0,1.29,631,0,1051,0.94,-0.07146428,0.0,0.0036684152507223187,1400,-0.008652569130063056,0.001,1.3113022e-07,-339.56146240234375,-0.00019459877366838186,-0.0002721138880588114,0.2,,,
900,900,30,0,1.34,651,0,1083,0.92,-0.08382678000000002,0.06733333662152291,0.062116928754840046,1450,-0.047220664508640764,0.001,0.1406929,-0.01853799819946289,-0.02474925018112921,-0.04844340682029724,0.2,,,
930,930,31,0,1.36,675,0,1116,0.92,-0.08433027000000001,0.17200000286102296,0.04110711344401352,1500,-0.131086982563138,0.001,0.11732556,-0.12333893775939941,-0.05181405751849524,-0.07111424952745438,0.2,,,
960,960,32,0,1.32,699,0,1156,0.93,-0.0737451,0.0,0.013874334773863666,1550,-0.010578614072874188,0.001,0.00074614683,-0.04359257221221924,-0.008068154497072086,-0.008491476997733116,0.2,,,
990,990,33,0,1.29,724,0,1191,0.93,-0.07343176000000001,0.03133333496749401,0.039922480729292144,1600,-0.05559650748968124,0.001,0.103755355,-0.41721439361572266,-0.002327274924182987,-0.0023530854377895594,0.2,,,
1020,1020,34,0,1.28,746,0,1223,0.94,-0.06085434,0.0,0.013295087438309565,1650,-0.005259409667924046,0.001,0.0,-0.11011195182800293,-9.257137764882018e-06,8.027073636185378e-05,0.2,,,
1050,1050,35,0,1.28,769,0,1259,0.95,-0.049928059999999996,0.0,0.0471869199629873,1700,-0.006846637288108468,0.001,6.755193e-08,-0.35461974143981934,-1.763260359341601e-05,0.0004002671630587429,0.2,,,
1080,1080,36,0,1.29,791,0,1292,0.95,-0.05140593,0.0,0.023097118907026017,1750,-0.0045085992757231,0.001,0.0,-0.16276895999908447,-1.6357501347918913e-06,0.00011938429088331759,0.2,,,
1110,1110,37,0,1.28,814,0,1324,0.95,-0.05161012,0.0,0.05040384370164247,1800,-0.00446975676342845,0.001,0.0,-0.08275055885314941,-1.2835264165467208e-06,0.00011251713294768706,0.2,,,
1140,1140,38,0,1.27,840,0,1365,0.96,-0.05197169999999999,0.0,0.008451660259161144,1850,-0.0043780990317463875,0.001,3.973643e-09,0.28722620010375977,-3.1339526187146305e-06,0.0002772086882032454,0.2,,,
1170,1170,39,0,1.21,868,0,1396,0.97,-0.04096896000000001,0.0,0.005038809346151538,1900,-0.004343114867806435,0.001,0.0,0.1955302357673645,-7.097621759299955e-07,6.289458542596549e-05,0.2,,,
1200,1200,40,0,1.09,898,0,1430,0.99,-0.017620350000000003,0.0,0.0006169979623518884,1950,-0.003938671862706542,0.001,0.0,-62.60595703125,-8.361637593878867e-07,8.021671237656847e-05,0.2,,,
1230,1230,41,0,1.08,925,0,1465,0.99,-0.01762159,0.0,0.00012714531709207222,2000,-0.0038425728818401693,0.001,0.0,-332.269287109375,-1.2312332757602462e-06,6.890040822327137e-06,0.2,,,
1260,1260,42,0,1.11,947,0,1502,0.98,-0.02763597,0.0,0.056074211911763996,2050,-0.004144552536308766,0.001,0.0,0.0035511255264282227,-2.2361278468707724e-06,0.0003900813462678343,0.2,,,
