time/total_timesteps,env/current_idx,eval/mean_reward,env/completion_counter,env/n_steps,eval/mean_ep_length,eval/success_rate,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/iterations,rollout/success_rate,train/value_loss,train/clip_fraction,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/loss,train/n_updates
40800,20220,-0.08306200937367976,0,40800,1.48,0.92,,,,,,,0.1476127289235592,0.0,0.2,-0.006443670019507408,-3.7760896987037994e-08,0.001,1.3504177e-08,0.32988548278808594,0.050568874925374985,675
40800,,,,,,,-0.30636918,0,2.26,61421,136,0.76,,,,,,,,,,
41100,20387,-0.03384803077671677,0,41100,1.32,0.98,,,,,,,0.2203207105398178,0.0,0.2,-0.006421417417004705,3.5390256947209766e-09,0.001,0.0,0.22310543060302734,0.1033792644739151,680
41100,,,,,,,-0.17927893,0,1.82,61856,137,0.85,,,,,,,,,,
41400,20541,-0.031237458670511843,0,41400,1.38,0.94,,,,,,,0.16575125008821487,0.0,0.2,-0.006456516031175852,7.87390952439182e-10,0.001,0.0,0.2806997299194336,0.0638359785079956,685
41400,,,,,,,-0.16658933999999997,0,2.02,62290,138,0.84,,,,,,,,,,
41700,20686,-0.030538946744054555,0,41700,1.3,0.96,,,,,,,0.17717451751232147,0.0,0.2,-0.006456940853968263,4.1814266715789475e-09,0.001,0.0,0.2027633786201477,0.08703584969043732,690
41700,,,,,,,-0.16374775,0,1.99,62715,139,0.82,,,,,,,,,,
42000,20853,-0.031854650150053204,0,42000,1.34,0.96,,,,,,,0.16715334355831146,0.0,0.2,-0.006439827149733901,-8.11732294714318e-09,0.001,0.0,0.28309428691864014,0.050459425896406174,695
42000,,,,,,,-0.16020379999999995,0,1.85,63142,140,0.88,,,,,,,,,,
42300,21012,-0.009688403028994798,0,42300,1.3,1.0,,,,,,,0.18179066032171248,0.0,0.2,-0.0064159408677369354,-2.0235100706145202e-09,0.001,0.0,0.31636983156204224,0.0688769593834877,700
42300,,,,,,,-0.17592796,0,1.87,63574,141,0.85,,,,,,,,,,
42600,21145,-0.03156975551042706,0,42600,1.2,0.98,,,,,,,0.18874922394752502,0.0,0.2,-0.0064299423713237045,-1.936592161655426e-06,0.001,2.8207432e-07,0.16704589128494263,0.07847834378480911,705
42600,,,,,,,-0.24970477000000002,0,2.27,64007,142,0.76,,,,,,,,,,
42900,21287,-0.008813745137304067,0,42900,1.18,1.0,,,,,,,0.1791221633553505,0.0,0.2,-0.006292478973045945,-1.498582768988399e-09,0.001,0.0,0.23139631748199463,0.07465546578168869,710
42900,,,,,,,-0.21182150000000002,0,2.12,64439,143,0.83,,,,,,,,,,
43200,21426,-0.010839921212755144,0,43200,1.3,0.96,,,,,,,0.15203792601823807,0.0,0.2,-0.006350962072610855,-6.488778350188796e-08,0.001,0.0,0.29765522480010986,0.10900862514972687,715
43200,,,,,,,-0.26763296,0,2.16,64895,144,0.79,,,,,,,,,,
43500,21572,-0.052371602645143865,0,43500,1.24,0.96,,,,,,,0.2075393721461296,0.0,0.2,-0.006320521142333746,-1.0783690925997291e-05,0.001,1.952285e-06,0.2702447175979614,0.12323246896266937,720
43500,,,,,,,-0.22524999999999998,0,2.04,65325,145,0.81,,,,,,,,,,
43800,21724,-0.07588859144598245,0,43800,1.38,0.92,,,,,,,0.20613465458154678,0.000390625,0.2,-0.006646337732672691,-7.937142462566271e-05,0.001,4.4176355e-05,0.16439837217330933,0.10777450352907181,725
43800,,,,,,,-0.1916302,0,1.97,65764,146,0.86,,,,,,,,,,
44100,21870,-0.05247301189694554,0,44100,1.38,0.96,,,,,,,0.20414185225963594,0.000390625,0.2,-0.0065130507573485374,-0.00041474284530860215,0.001,0.000102169535,0.24964964389801025,0.08741236478090286,730
44100,,,,,,,-0.19442483999999996,0,2.01,66204,147,0.82,,,,,,,,,,
44400,22024,-0.008954429961740971,0,44400,1.18,1.0,,,,,,,0.16887709647417068,0.0,0.2,-0.005123117519542575,5.172015260512808e-08,0.001,0.0,0.24673140048980713,0.07433760166168213,735
44400,,,,,,,-0.16367985000000004,0,1.89,66617,148,0.86,,,,,,,,,,
44700,22176,-0.010417430694215,0,44700,1.24,0.98,,,,,,,0.17763250321149826,0.0,0.2,-0.0046467477921396496,-3.22406924269103e-08,0.001,0.0,0.23545008897781372,0.08123395591974258,740
44700,,,,,,,-0.23567220000000003,0,2.01,67041,149,0.82,,,,,,,,,,
45000,22319,-0.050400657383725046,0,45000,1.34,0.96,,,,,,,0.1894657552242279,0.0,0.2,-0.004482186445966363,1.6484410103601022e-08,0.001,0.0,0.2733811140060425,0.11598393321037292,745
45000,,,,,,,-0.22851138,0,2.23,67504,150,0.77,,,,,,,,,,
45300,22471,-0.07517347926273941,0,45300,1.42,0.94,,,,,,,0.20577722191810607,0.0,0.2,-0.004430039599537849,-2.1869147914799215e-08,0.001,0.0,0.13315623998641968,0.08367594331502914,750
45300,,,,,,,-0.21440984999999999,0,2.06,67964,151,0.8,,,,,,,,,,
45600,22627,-0.007135894955135882,0,45600,1.08,1.0,,,,,,,0.18451616615056993,0.0,0.2,-0.004418275412172079,1.871111736662101e-08,0.001,0.0,0.21663528680801392,0.10152304172515869,755
45600,,,,,,,-0.15805546999999998,0,1.87,68401,152,0.86,,,,,,,,,,
45900,22765,-0.09486418874934316,0,45900,1.42,0.9,,,,,,,0.14906277805566787,0.0,0.2,-0.004417030373588204,-3.757040367702303e-09,0.001,0.0,0.29409676790237427,0.058771371841430664,760
45900,,,,,,,-0.2875453,0,2.18,68842,153,0.78,,,,,,,,,,
46200,22920,-0.11350644789636136,0,46200,1.56,0.9,,,,,,,0.19769143164157868,0.0,0.2,-0.004406014503911137,1.4289451666371634e-08,0.001,0.0,0.3189241290092468,0.08941330760717392,765
46200,,,,,,,-0.17471528999999997,0,1.96,69303,154,0.87,,,,,,,,,,
46500,23084,-0.029683151762001217,0,46500,1.22,0.96,,,,,,,0.1937170848250389,0.0,0.2,-0.004391659097746014,-5.774199962615967e-09,0.001,0.0,0.2885538339614868,0.08151087164878845,770
46500,,,,,,,-0.17565306000000003,0,1.86,69747,155,0.87,,,,,,,,,,
46800,23229,-0.05389605528209358,0,46800,1.38,0.96,,,,,,,0.1666198894381523,0.0,0.2,-0.004401017585769296,-6.667423058104305e-09,0.001,0.0,0.30047398805618286,0.0707675889134407,775
46800,,,,,,,-0.25938105,0,2.14,70179,156,0.81,,,,,,,,,,
47100,23389,-0.029045182280242443,0,47100,1.22,0.98,,,,,,,0.20229443162679672,0.0,0.2,-0.004401657823473215,-1.3080848404456447e-09,0.001,0.0,0.23504823446273804,0.0955033078789711,780
47100,,,,,,,-0.17273695999999997,0,1.85,70609,157,0.86,,,,,,,,,,
47400,23539,-0.05464404912665486,0,47400,1.42,0.94,,,,,,,0.17560276687145232,0.0,0.2,-0.004395305411890149,-1.8584120020648242e-09,0.001,0.0,0.25559890270233154,0.07005815953016281,785
47400,,,,,,,-0.18909323999999997,0,1.91,71083,158,0.83,,,,,,,,,,
47700,23700,-0.030464203022420408,0,47700,1.34,0.94,,,,,,,0.19243899434804917,0.0,0.2,-0.00454912381246686,-2.9874288287601303e-07,0.001,0.0,0.17811989784240723,0.08501490205526352,790
47700,,,,,,,-0.19389426999999998,0,1.84,71541,159,0.84,,,,,,,,,,
48000,23862,-0.07566298614256084,0,48000,1.42,0.94,,,,,,,0.18446965962648393,0.0,0.2,-0.005109359510242939,-6.561810865512996e-06,0.001,2.1960163e-08,0.2670333981513977,0.10792215168476105,795
48000,,,,,,,-0.16261339999999996,0,1.87,71985,160,0.86,,,,,,,,,,
48300,24019,-0.03317683650646359,0,48300,1.44,0.98,,,,,,,0.16178766638040543,0.0,0.2,-0.004411824466660619,6.68943608950201e-08,0.001,0.0,0.3583369851112366,0.06860537081956863,800
48300,,,,,,,-0.20604469000000003,0,2.02,72429,161,0.83,,,,,,,,,,
48600,24176,-0.051489299051463606,0,48600,1.38,0.96,,,,,,,0.16724431961774827,0.0,0.2,-0.004426619922742248,1.8118457401072874e-08,0.001,0.0,0.33727550506591797,0.09448637068271637,805
48600,,,,,,,-0.15461565,0,1.84,72867,162,0.86,,,,,,,,,,
48900,24321,-0.05152415801770985,0,48900,1.38,0.96,,,,,,,0.15914314538240432,0.0,0.2,-0.004476849175989628,-8.957629482608808e-09,0.001,0.0,0.31220877170562744,0.07904140651226044,810
48900,,,,,,,-0.24735327,0,2.1,73320,163,0.81,,,,,,,,,,
49200,24483,-0.027823132295161486,0,49200,1.14,0.98,,,,,,,0.20880581438541412,0.00078125,0.2,-0.004665381042286754,-0.0003154741854148213,0.001,7.328577e-05,0.20632445812225342,0.08302950859069824,815
49200,,,,,,,-0.18246294,0,1.77,73749,164,0.85,,,,,,,,,,
49500,24635,-0.01174324213527143,0,49500,1.34,0.98,,,,,,,0.18551389425992965,0.00078125,0.2,-0.005389097845181823,-0.0001374008671106708,0.001,0.00013411697,0.28543639183044434,0.0644732192158699,820
49500,,,,,,,-0.14663629999999997,0,1.9,74210,165,0.86,,,,,,,,,,
49800,24780,-0.0580271482327953,0,49800,1.32,0.96,,,,,,,0.18311067670583725,0.000390625,0.2,-0.006285736290737987,-0.00011289536288927593,0.001,5.8393693e-05,0.24392515420913696,0.09706466645002365,825
49800,,,,,,,-0.25163082999999997,0,2.11,74674,166,0.79,,,,,,,,,,
50100,24935,-0.053532538977451624,0,50100,1.36,0.96,,,,,,,0.2010447323322296,0.0,0.2,-0.007059070281684399,1.651827652437987e-08,0.001,0.0,0.2961832284927368,0.09553062170743942,830
50100,,,,,,,-0.23022635000000002,0,2.06,75132,167,0.81,,,,,,,,,,
50400,25103,-0.04995208049193025,0,50400,1.32,0.94,,,,,,,0.14590341821312905,0.0,0.2,-0.007204059744253755,-0.000450625703457419,0.001,0.00023764507,0.3426455855369568,0.05033035948872566,835
50400,,,,,,,-0.13684628000000004,0,1.68,75585,168,0.88,,,,,,,,,,
50700,25258,-0.05358459766488522,0,50700,1.26,0.96,,,,,,,0.1853257566690445,0.0,0.2,-0.005867322999984026,-1.716173692045686e-08,0.001,0.0,0.22823256254196167,0.06624028831720352,840
50700,,,,,,,-0.16877508,0,1.99,76018,169,0.83,,,,,,,,,,
51000,25416,-0.05411878225393593,0,51000,1.34,0.96,,,,,,,0.1883966252207756,0.0,0.2,-0.005179128423333168,3.1093470909127064e-09,0.001,0.0,0.0783071517944336,0.0994051918387413,845
51000,,,,,,,-0.20904986999999997,0,1.93,76444,170,0.83,,,,,,,,,,
51300,25569,-0.03006263985298574,0,51300,1.26,0.96,,,,,,,0.1957545354962349,0.0,0.2,-0.0049710484687238935,4.322183411176184e-09,0.001,0.0,0.23729681968688965,0.10090921074151993,850
51300,,,,,,,-0.19540758999999994,0,2.01,76907,171,0.79,,,,,,,,,,
51600,25715,-0.02914596422109753,0,51600,1.22,0.98,,,,,,,0.16403988301753997,0.0,0.2,-0.004923266498371959,-3.769316450075166e-08,0.001,0.0,0.28380072116851807,0.05877015367150307,855
51600,,,,,,,-0.18168151999999996,0,1.97,77352,172,0.81,,,,,,,,,,
51900,25860,-0.07345868106931448,0,51900,1.52,0.94,,,,,,,0.14020170494914055,0.000390625,0.2,-0.005148842977359891,-0.00021393072198794272,0.001,4.1335123e-05,0.32909631729125977,0.06398705393075943,860
51900,,,,,,,-0.25323066,0,2.22,77807,173,0.78,,,,,,,,,,
52200,26010,-0.009244705848395825,0,52200,1.24,1.0,,,,,,,0.18805869966745375,0.0,0.2,-0.005767380725592375,1.1821870016248681e-07,0.001,0.0,0.25594913959503174,0.06799902021884918,865
52200,,,,,,,-0.20927839000000004,0,2.0,78270,174,0.82,,,,,,,,,,
52500,26141,-0.07458325487095863,0,52500,1.54,0.9,,,,,,,0.17716869339346886,0.0,0.2,-0.006112443935126066,-2.5086443500299537e-08,0.001,0.0,0.26002389192581177,0.09263234585523605,870
52500,,,,,,,-0.34061810000000003,0,2.38,78736,175,0.73,,,,,,,,,,
52800,26301,-0.13653294302057475,0,52800,1.64,0.88,,,,,,,0.1975979909300804,0.0,0.2,-0.006200475106015802,1.4119061919615206e-08,0.001,0.0,0.33917760848999023,0.08336178213357925,875
52800,,,,,,,-0.18096609,0,2.01,79190,176,0.83,,,,,,,,,,
53100,26440,-0.05911719290539622,0,53100,1.68,0.92,,,,,,,0.17135616391897202,0.0,0.2,-0.0062199130188673735,-1.9117512639610367e-08,0.001,0.0,0.29863977432250977,0.065673828125,880
53100,,,,,,,-0.23994067000000002,0,2.22,79656,177,0.77,,,,,,,,,,
53400,26584,-0.0716412279754877,0,53400,1.36,0.94,,,,,,,0.19954435229301454,0.0,0.2,-0.0062653785571455956,-6.908720262543966e-09,0.001,0.0,0.2732246518135071,0.08473287522792816,885
53400,,,,,,,-0.22467366,0,2.04,80113,178,0.78,,,,,,,,,,
53700,26730,-0.0920108062401414,0,53700,1.4,0.92,,,,,,,0.19998678117990493,0.0,0.2,-0.0062673804350197315,-1.6721470874614397e-09,0.001,0.0,0.11005890369415283,0.12204744666814804,890
53700,,,,,,,-0.26206092999999997,0,2.29,80541,179,0.76,,,,,,,,,,
54000,26877,-0.05953668882139027,0,54000,1.36,0.94,,,,,,,0.17743909657001494,0.0,0.2,-0.006242216890677809,-1.9197944833848624e-08,0.001,0.0,0.31457871198654175,0.08360084146261215,895
54000,,,,,,,-0.16064457000000001,0,2.01,80975,180,0.83,,,,,,,,,,
54300,27024,-0.02943853515665978,0,54300,1.2,0.98,,,,,,,0.17235975936055184,0.0,0.2,-0.006240698276087642,1.0117548576715762e-09,0.001,0.0,0.27330631017684937,0.08898809552192688,900
54300,,,,,,,-0.24890476,0,2.09,81417,181,0.82,,,,,,,,,,
54600,27183,-0.009261805126443505,0,54600,1.22,1.0,,,,,,,0.21496489644050598,0.00078125,0.2,-0.00568099096417427,-0.0003915996830489377,0.001,0.0001671433,0.26166635751724243,0.09584090113639832,905
54600,,,,,,,-0.23489754999999998,0,1.91,81858,182,0.81,,,,,,,,,,
54900,27338,-0.008890109332278372,0,54900,1.2,1.0,,,,,,,0.18369635939598083,0.0,0.2,-0.004401144059374929,2.4777413010212967e-08,0.001,0.0,0.26617681980133057,0.07462005317211151,910
54900,,,,,,,-0.17565450000000002,0,1.87,82290,183,0.86,,,,,,,,,,
55200,27499,-0.07242374169640244,0,55200,1.44,0.92,,,,,,,0.1533923327922821,0.0,0.2,-0.004004242178052664,9.237026699082662e-09,0.001,0.0,0.3615533709526062,0.08484695106744766,915
55200,,,,,,,-0.14368544,0,1.84,82743,184,0.85,,,,,,,,,,
55500,27648,-0.09349179347977042,0,55500,1.46,0.92,,,,,,,0.16095642149448394,0.0,0.2,-0.003862304496578872,1.858411851074493e-08,0.001,0.0,0.2563040256500244,0.06875824183225632,920
55500,,,,,,,-0.27593161999999993,0,1.99,83219,185,0.79,,,,,,,,,,
55800,27795,-0.05441700856201351,0,55800,1.3,0.96,,,,,,,0.19145322144031524,0.0,0.2,-0.003823241638019681,-4.9952756597804185e-09,0.001,0.0,0.2977408766746521,0.10065797716379166,925
55800,,,,,,,-0.23733883,0,2.09,83675,186,0.83,,,,,,,,,,
56100,27943,-0.07288601224310697,0,56100,1.34,0.94,,,,,,,0.15682900995016097,0.0,0.2,-0.0038485404103994368,-1.656210727301044e-05,0.001,3.2684766e-06,0.4270082712173462,0.09065475314855576,930
56100,,,,,,,-0.19971413,0,1.97,84116,187,0.84,,,,,,,,,,
56400,28089,-0.010023661670275033,0,56400,1.24,1.0,,,,,,,0.207088440656662,0.0,0.2,-0.003988525224849581,2.6872889691276214e-08,0.001,0.0,0.239721417427063,0.11397905647754669,935
56400,,,,,,,-0.1936958,0,2.04,84574,188,0.85,,,,,,,,,,
56700,28216,-0.10404147746041417,0,56700,1.6,0.92,,,,,,,0.15907743871212005,0.0,0.2,-0.004043681034818292,7.272782376332998e-09,0.001,0.0,0.27725303173065186,0.08113598823547363,940
56700,,,,,,,-0.35187006000000004,0,2.5,85065,189,0.7,,,,,,,,,,
57000,28371,-0.030894617652520537,0,57000,1.3,0.98,,,,,,,0.2091152101755142,0.0,0.2,-0.004079005541279912,-2.3875724508570784e-09,0.001,0.0,0.259477436542511,0.10090013593435287,945
57000,,,,,,,-0.15951705,0,1.82,85511,190,0.88,,,,,,,,,,
57300,28510,-0.056905453433282675,0,57300,1.34,0.96,,,,,,,0.1832253098487854,0.0,0.2,-0.004082772554829717,-2.8303739707524754e-08,0.001,0.0,0.253845751285553,0.07736331969499588,950
57300,,,,,,,-0.27269128,0,2.08,85958,191,0.8,,,,,,,,,,
57600,28679,-0.03640979412011802,0,57600,1.4,0.98,,,,,,,0.22953133285045624,0.0,0.2,-0.004071255540475249,1.7940659358117727e-08,0.001,0.0,0.22094720602035522,0.12189594656229019,955
57600,,,,,,,-0.0786221,0,1.68,86409,192,0.9,,,,,,,,,,
57900,28829,-0.055212639388628304,0,57900,1.54,0.94,,,,,,,0.16311999037861824,0.0,0.2,-0.004081315500661731,1.4731828201774987e-09,0.001,0.0,0.15559697151184082,0.049921665340662,960
57900,,,,,,,-0.18662683000000002,0,2.16,86872,193,0.8,,,,,,,,,,
58200,28972,-0.06361476618330926,0,58200,1.46,0.96,,,,,,,0.18350267857313157,0.0,0.2,-0.004073995677754283,1.9350343194446397e-08,0.001,0.0,0.2543681263923645,0.06766461580991745,965
58200,,,,,,,-0.19776556000000003,0,1.92,87360,194,0.82,,,,,,,,,,
58500,29128,-0.09481946365907788,0,58500,1.36,0.92,,,,,,,0.185349440574646,0.00078125,0.2,-0.0038783698575571178,-0.0003726067148486223,0.001,0.00012526102,0.20961660146713257,0.09084788709878922,970
58500,,,,,,,-0.17786462,0,1.92,87789,195,0.83,,,,,,,,,,
58800,29281,-0.009054040145128965,0,58800,1.18,1.0,,,,,,,0.14952650889754296,0.0,0.2,-0.0034755817614495754,2.450225045080856e-08,0.001,0.0,0.33208203315734863,0.08764619380235672,975
58800,,,,,,,-0.16138639,0,1.92,88226,196,0.85,,,,,,,,,,
59100,29419,-0.02922585079446435,0,59100,1.2,0.98,,,,,,,0.17972159534692764,0.0,0.2,-0.003357604844495654,4.26207082071528e-08,0.001,0.0,0.2637224793434143,0.08047975599765778,980
59100,,,,,,,-0.21597238999999996,0,2.14,88673,197,0.79,,,,,,,,,,
59400,29578,-0.0570988880796358,0,59400,1.26,0.96,,,,,,,0.17309087365865708,0.0,0.2,-0.0032969155348837377,-3.4395436721013083e-09,0.001,0.0,0.24667572975158691,0.06608211994171143,985
59400,,,,,,,-0.19517213000000003,0,1.85,89114,198,0.85,,,,,,,,,,
59700,29733,-0.07810077148023993,0,59700,1.5,0.92,,,,,,,0.1753641612827778,0.0,0.2,-0.003278531902469695,1.223842520658991e-08,0.001,0.0,0.33238905668258667,0.07942918688058853,990
59700,,,,,,,-0.21927227999999996,0,2.04,89626,199,0.79,,,,,,,,,,
60000,29868,-0.058106747576966884,0,60000,1.66,0.94,,,,,,,0.16336404383182526,0.0,0.2,-0.0032795761711895467,1.2445855901432878e-08,0.001,0.0,0.3234744668006897,0.08064941316843033,995
60000,,,,,,,-0.23484385999999996,0,2.31,90132,200,0.78,,,,,,,,,,
60300,30016,-0.07343514858279378,0,60300,1.38,0.94,,,,,,,0.1748344972729683,0.0,0.2,-0.003274320322088897,2.7601017471567955e-09,0.001,0.0,0.1879928708076477,0.07002389430999756,1000
60300,,,,,,,-0.19057685000000002,0,2.0,90611,201,0.85,,,,,,,,,,
60600,30173,-0.03134496187325567,0,60600,1.32,0.94,,,,,,,0.1351343311369419,0.0,0.2,-0.0032797268591821193,-2.0700761993452944e-09,0.001,0.0,0.3749654293060303,0.048876553773880005,1005
60600,,,,,,,-0.18867286,0,1.83,91096,202,0.85,,,,,,,,,,
60900,30344,-0.0095770741160959,0,60900,1.2,1.0,,,,,,,0.17892130762338637,0.0,0.2,-0.0033005370758473875,-2.6991421675504056e-08,0.001,0.0,0.2817392349243164,0.0717051774263382,1010
60900,,,,,,,-0.15176918000000003,0,1.67,91575,203,0.88,,,,,,,,,,
61200,30501,-0.09601586236618459,0,61200,1.52,0.92,,,,,,,0.17292919307947158,0.0,0.2,-0.0032736511202529073,-2.0785428933578487e-09,0.001,0.0,0.29590535163879395,0.07000089436769485,1015
61200,,,,,,,-0.21161228,0,1.96,92066,204,0.83,,,,,,,,,,
61500,30649,-0.07520049723796546,0,61500,1.42,0.92,,,,,,,0.15495864748954774,0.0,0.2,-0.0033011218067258595,-7.162717352571235e-09,0.001,0.0,0.3202736973762512,0.07146482914686203,1020
61500,,,,,,,-0.23926840999999996,0,2.13,92556,205,0.81,,,,,,,,,,
61800,30793,-0.07835837763268501,0,61800,1.32,0.94,,,,,,,0.1785264365375042,0.0,0.2,-0.003321563499048352,-2.3215492481121202e-05,0.001,8.180505e-06,0.31630194187164307,0.08242018520832062,1025
61800,,,,,,,-0.24749118999999997,0,2.24,93021,206,0.77,,,,,,,,,,
62100,30947,-0.07173929265700281,0,62100,1.36,0.94,,,,,,,0.1648780420422554,0.0,0.2,-0.0035960448207333685,-9.095211472853748e-09,0.001,0.0,0.30778443813323975,0.07045143097639084,1030
62100,,,,,,,-0.19509286000000003,0,1.76,93492,207,0.86,,,,,,,,,,
62400,31103,-0.058643317613750696,0,62400,1.64,0.92,,,,,,,0.2242924913764,0.0,0.2,-0.0037559647811576725,2.1818348194813097e-08,0.001,0.0,0.2845305800437927,0.10865213721990585,1035
62400,,,,,,,-0.17595886000000005,0,2.0,94114,208,0.86,,,,,,,,,,
62700,31260,-0.053181499778293076,0,62700,1.28,0.96,,,,,,,0.20850891172885894,0.0,0.2,-0.003696268773637712,-8.839381308458626e-05,0.001,2.0110398e-05,0.1386396884918213,0.09602447599172592,1040
62700,,,,,,,-0.15149511,0,1.87,94702,209,0.87,,,,,,,,,,
63000,31413,-0.054125567940063776,0,63000,1.42,0.94,,,,,,,0.15992655083537102,0.0,0.2,-0.003400694881565869,2.625482999896178e-08,0.001,0.0,0.2300252914428711,0.06757862120866776,1045
63000,,,,,,,-0.17292455,0,1.88,95169,210,0.86,,,,,,,,,,
63300,31567,-0.09226833452470601,0,63300,1.46,0.92,,,,,,,0.15450208112597466,0.0,0.2,-0.0032780390931293367,2.113043917617574e-08,0.001,0.0,0.2508813142776489,0.0694635808467865,1050
63300,,,,,,,-0.19867233999999998,0,1.84,95676,211,0.85,,,,,,,,,,
63600,31730,-0.05181796478573233,0,63600,1.3,0.96,,,,,,,0.17881030440330506,0.0,0.2,-0.003258738573640585,9.00631267342078e-09,0.001,0.0,0.3600526452064514,0.07585842907428741,1055
63600,,,,,,,-0.19576189999999996,0,1.96,96178,212,0.83,,,,,,,,,,
63900,31883,-0.07723480183631182,0,63900,1.34,0.94,,,,,,,0.16099676936864854,0.0,0.2,-0.003201217344030738,-5.617568499260983e-09,0.001,0.0,0.2614235281944275,0.07532041519880295,1060
63900,,,,,,,-0.20997226000000005,0,1.94,96770,213,0.84,,,,,,,,,,
64200,32026,-0.0748461317596957,0,64200,1.38,0.94,,,,,,,0.22337993681430818,0.0,0.2,-0.003223915956914425,3.348528210267432e-09,0.001,0.0,0.11934548616409302,0.12375061213970184,1065
64200,,,,,,,-0.27716607000000004,0,2.2,97242,214,0.78,,,,,,,,,,
64500,32187,-0.07871706201229245,0,64500,1.42,0.94,,,,,,,0.2070710614323616,0.0,0.2,-0.0032118381233885883,9.499490039033275e-09,0.001,0.0,0.2107323408126831,0.11567429453134537,1070
64500,,,,,,,-0.14342470000000002,0,1.67,97751,215,0.88,,,,,,,,,,
64800,32338,-0.05429270851891488,0,64800,1.36,0.94,,,,,,,0.17247132658958436,0.0,0.2,-0.0032100091222673653,-8.483501900968804e-09,0.001,0.0,0.28212970495224,0.07691023498773575,1075
64800,,,,,,,-0.22807253,0,2.03,98225,216,0.81,,,,,,,,,,
65100,32482,-0.07465536901261657,0,65100,1.52,0.94,,,,,,,0.17709158435463906,0.0,0.2,-0.0032064389903098344,-1.6001818536892643e-09,0.001,0.0,0.36230504512786865,0.11497016996145248,1080
65100,,,,,,,-0.20739744000000004,0,2.13,98725,217,0.83,,,,,,,,,,
65400,32644,-0.010455577149987221,0,65400,1.18,0.98,,,,,,,0.2038882404565811,0.0,0.2,-0.003200218197889626,-9.622255348062936e-09,0.001,0.0,0.2392723560333252,0.08674585819244385,1085
65400,,,,,,,-0.17445803999999998,0,1.89,99192,218,0.86,,,,,,,,,,
