env/completion_counter,eval/mean_reward,eval/mean_ep_length,env/current_idx,time/total_timesteps,eval/success_rate,env/n_steps,rollout/ep_len_mean,rollout/success_rate,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/clip_range,train/loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/n_updates,train/approx_kl,train/explained_variance,train/value_loss,train/policy_gradient_loss
0,-0.0715170129109174,1.26,33454,55800,0.9,55800,,,,,,,0.2,0.09543699771165848,0.0001,0.0,-0.12396823614835739,925,2.9875137e-06,0.2500729560852051,0.1712436705827713,-4.985834745809825e-05
,,,,55800,,,1.68,0.75,0,80410,186,-0.16953465000000004,,,,,,,,,,
0,-0.029041058118455112,1.16,33655,56100,0.96,56100,,,,,,,0.2,0.0745229423046112,0.0001,0.0,-0.12335019633173942,930,1.2191013e-06,0.1425265073776245,0.16217388808727265,-5.6406426963206965e-05
,,,,56100,,,1.41,0.87,0,80848,187,-0.13051443000000001,,,,,,,,,,
0,-0.027976993201300503,1.16,33843,56400,0.96,56400,,,,,,,0.2,0.08183660358190536,0.0001,0.0,-0.12165315523743629,935,8.508796e-07,0.27895689010620117,0.1736464962363243,9.892611542454688e-05
,,,,56400,,,1.55,0.77,0,81295,188,-0.23021187000000004,,,,,,,,,,
0,-0.08964302070438862,1.22,34029,56700,0.92,56700,,,,,,,0.2,0.07764898985624313,0.0001,0.0,-0.1337633453309536,940,1.322368e-05,0.28661930561065674,0.1843504175543785,-2.0967000128280234e-05
,,,,56700,,,1.55,0.76,0,81734,189,-0.21522769,,,,,,,,,,
0,-0.04854626201093197,1.16,34214,57000,0.94,57000,,,,,,,0.2,0.08727684617042542,0.0001,0.0,-0.12317506074905396,945,2.1774322e-06,0.2805858254432678,0.1755411610007286,-6.568323088558259e-05
,,,,57000,,,1.63,0.72,0,82166,190,-0.30816635,,,,,,,,,,
0,-0.11002762255258858,1.26,34405,57300,0.88,57300,,,,,,,0.2,0.0706237405538559,0.0001,0.0,-0.12265382558107377,950,3.6731044e-06,0.3375769257545471,0.17169375345110893,-7.786768513735609e-05
,,,,57300,,,1.59,0.76,0,82605,191,-0.23540905,,,,,,,,,,
0,-0.03154249909799546,1.24,34601,57600,0.94,57600,,,,,,,0.2,0.09714172035455704,0.0001,0.0,-0.1209595188498497,955,5.750917e-08,0.2919362783432007,0.17717205435037614,2.7060847990867385e-06
,,,,57600,,,1.61,0.76,0,83052,192,-0.21503923000000003,,,,,,,,,,
0,-0.13204230439383535,1.36,34801,57900,0.86,57900,,,,,,,0.2,0.07952219992876053,0.0001,0.0,-0.11964153125882149,960,1.440174e-06,0.19332194328308105,0.17259688824415206,-7.537502659165085e-05
,,,,57900,,,1.47,0.83,0,83507,193,-0.15267227000000003,,,,,,,,,,
0,-0.05027590746525675,1.18,34986,58200,0.94,58200,,,,,,,0.2,0.09183627367019653,0.0001,0.0,-0.11702877655625343,965,2.1913384e-06,0.26114434003829956,0.15440675020217895,-2.14799981977265e-05
,,,,58200,,,1.66,0.73,0,83939,194,-0.23218570999999996,,,,,,,,,,
0,-0.02879299683496356,1.2,35168,58500,0.92,58500,,,,,,,0.2,0.07209481298923492,0.0001,0.0,-0.11508680805563927,970,1.7457642e-06,0.14089173078536987,0.18006681352853776,-5.8512949379352366e-05
,,,,58500,,,1.62,0.73,0,84373,195,-0.24281826000000004,,,,,,,,,,
0,-0.1737009209394455,1.48,35354,58800,0.8,58800,,,,,,,0.2,0.09528693556785583,0.0001,0.0,-0.11364502087235451,975,6.5308996e-08,0.2656915783882141,0.18181327730417252,3.8925697762337565e-05
,,,,58800,,,1.6,0.76,0,84820,196,-0.26074853000000003,,,,,,,,,,
0,-0.070058349003084,1.16,35533,59100,0.94,59100,,,,,,,0.2,0.09658423811197281,0.0001,0.0,-0.11308733820915222,980,1.9521685e-06,0.26985371112823486,0.19077954888343812,-8.732920421348212e-05
,,,,59100,,,1.63,0.75,0,85263,197,-0.24558837000000003,,,,,,,,,,
0,-0.07232223678380251,1.26,35725,59400,0.92,59400,,,,,,,0.2,0.053386371582746506,0.0001,0.0015625,-0.11550670191645622,985,0.0006763841,0.28897565603256226,0.16596171036362647,-0.00038179594759490953
,,,,59400,,,1.6,0.78,0,85714,198,-0.22582937,,,,,,,,,,
0,-0.13149394797626882,1.28,35910,59700,0.88,59700,,,,,,,0.2,0.1078881025314331,0.0001,0.0,-0.11198490187525749,990,6.459844e-06,0.21378135681152344,0.1996259644627571,-0.00012747828623105306
,,,,59700,,,1.66,0.75,0,86156,199,-0.25710113,,,,,,,,,,
0,-0.028357805502600968,1.14,36101,60000,0.98,60000,,,,,,,0.2,0.1032821387052536,0.0001,0.000390625,-0.11515816897153855,995,0.000103885744,0.2800385355949402,0.18489133566617966,-0.00048592438691601457
,,,,60000,,,1.51,0.79,0,86595,200,-0.18600266999999998,,,,,,,,,,
0,-0.06860723228659481,1.24,36295,60300,0.92,60300,,,,,,,0.2,0.08887717127799988,0.0001,0.0,-0.13041091114282607,1000,1.7425988e-05,0.2299249768257141,0.1732586979866028,-0.00028290882328292356
,,,,60300,,,1.55,0.82,0,87044,201,-0.16414285,,,,,,,,,,
0,-0.12940338489599526,1.28,36481,60600,0.88,60600,,,,,,,0.2,0.0714578703045845,0.0001,0.0,-0.10690794959664345,1005,2.4446847e-05,0.20418161153793335,0.16562047302722932,-0.0002893001910047488
,,,,60600,,,1.6,0.75,0,87488,202,-0.24844781000000002,,,,,,,,,,
0,-0.17035910512320698,1.36,36679,60900,0.84,60900,,,,,,,0.2,0.0642242357134819,0.0001,0.0,-0.10274595990777016,1010,9.616752e-06,0.2741771936416626,0.19221547693014146,-0.00031453136179493413
,,,,60900,,,1.53,0.79,0,87928,203,-0.19922621999999998,,,,,,,,,,
0,-0.05109752026386559,1.16,36854,61200,0.94,61200,,,,,,,0.2,0.08661679923534393,0.0001,0.0,-0.0991952195763588,1015,1.03687635e-05,0.26971906423568726,0.1622493512928486,-0.0003120637013623195
,,,,61200,,,1.76,0.66,0,88345,204,-0.28754058,,,,,,,,,,
0,-0.008601397895254194,1.1,37038,61500,0.98,61500,,,,,,,0.2,0.08882627636194229,0.0001,0.0,-0.09595231413841247,1020,3.82037e-06,0.21840804815292358,0.19500149488449098,-2.1346674475264392e-05
,,,,61500,,,1.6,0.73,0,88767,205,-0.25965181000000004,,,,,,,,,,
0,-0.04919942860491574,1.22,37224,61800,0.9,61800,,,,,,,0.2,0.08073686063289642,0.0001,0.0,-0.09497275277972221,1025,1.7811544e-06,0.24538707733154297,0.1865570589900017,-7.70321201800428e-05
,,,,61800,,,1.66,0.75,0,89220,206,-0.18634059999999997,,,,,,,,,,
0,-0.04843940849415958,1.2,37409,62100,0.92,62100,,,,,,,0.2,0.08009576797485352,0.0001,0.0,-0.09407684206962585,1030,1.093288e-06,0.2959548830986023,0.15373957976698877,-2.512719311829059e-05
,,,,62100,,,1.51,0.8,0,89681,207,-0.18382356000000002,,,,,,,,,,
0,-0.11291600502096116,1.26,37603,62400,0.9,62400,,,,,,,0.2,0.10077224671840668,0.0001,0.0,-0.09432875365018845,1035,1.678402e-06,0.26817792654037476,0.1949858099222183,-5.893089950070873e-05
,,,,62400,,,1.6,0.76,0,90133,208,-0.19328277,,,,,,,,,,
0,-0.09358786288648843,1.28,37797,62700,0.9,62700,,,,,,,0.2,0.0984545350074768,0.0001,0.0,-0.09582755714654922,1040,1.0811491e-06,0.24369686841964722,0.16822218671441078,-3.7437842349952175e-05
,,,,62700,,,1.49,0.81,0,90603,209,-0.20481098000000003,,,,,,,,,,
0,-0.09080032494850457,1.24,37978,63000,0.9,63000,,,,,,,0.2,0.07537516951560974,0.0001,0.0,-0.09636104106903076,1045,9.146752e-07,0.24502944946289062,0.15763092488050462,-4.492961124924477e-05
,,,,63000,,,1.76,0.65,0,91060,210,-0.32987426999999997,,,,,,,,,,
0,-0.17432418579701334,1.4,38162,63300,0.84,63300,,,,,,,0.2,0.08141659200191498,0.0001,0.0,-0.09577120169997215,1050,1.0053976e-05,0.2926937937736511,0.16963196396827698,-8.51743346590439e-05
,,,,63300,,,1.66,0.73,0,91527,211,-0.29491245000000005,,,,,,,,,,
0,-0.07567482935264706,1.28,38345,63600,0.86,63600,,,,,,,0.2,0.07849883288145065,0.0001,0.0,-0.0935640774667263,1055,2.2351742e-08,0.2774743437767029,0.1840560495853424,4.500878788959994e-06
,,,,63600,,,1.66,0.7,0,91989,212,-0.27642458000000003,,,,,,,,,,
0,-0.09328036566264927,1.32,38533,63900,0.9,63900,,,,,,,0.2,0.08041351288557053,0.0001,0.0,-0.09359812214970589,1060,4.1909516e-09,0.3373264670372009,0.15952209532260894,4.374028429499077e-06
,,,,63900,,,1.61,0.76,0,92452,213,-0.21335153,,,,,,,,,,
0,-0.089399289553985,1.26,38717,64200,0.9,64200,,,,,,,0.2,0.06278864294290543,0.0001,0.0,-0.09340394437313079,1065,1.1641532e-10,0.2760998010635376,0.1755440652370453,1.4658593974203882e-07
,,,,64200,,,1.58,0.77,0,92892,214,-0.21549689,,,,,,,,,,
0,-0.0684339279960841,1.2,38911,64500,0.92,64500,,,,,,,0.2,0.07442279905080795,0.0001,0.0,-0.09353043735027314,1070,1.1202117e-06,0.16155260801315308,0.1952495738863945,-3.607571945227761e-05
,,,,64500,,,1.47,0.79,0,93367,215,-0.20420789,,,,,,,,,,
0,-0.029162195245735347,1.12,39103,64800,0.94,64800,,,,,,,0.2,0.08729536831378937,0.0001,0.0,-0.09489533975720406,1075,1.0305084e-06,0.3898618817329407,0.15452668815851212,-4.942496849622557e-05
,,,,64800,,,1.63,0.73,0,93829,216,-0.22896069000000005,,,,,,,,,,
0,-0.08919521547853947,1.28,39302,65100,0.9,65100,,,,,,,0.2,0.09582574665546417,0.0001,0.0,-0.10165024548768997,1080,2.4597393e-06,0.205915629863739,0.193825426697731,-0.0001330148251412311
,,,,65100,,,1.49,0.82,0,94556,217,-0.15954601000000002,,,,,,,,,,
0,-0.08852153395768254,1.22,39491,65400,0.9,65400,,,,,,,0.2,0.09320215880870819,0.0001,0.0,-0.09148573130369186,1085,1.6440415e-05,0.30591821670532227,0.14367004185914994,-0.00041819279299080134
,,,,65400,,,1.63,0.72,0,95034,218,-0.29715253,,,,,,,,,,
0,-0.08959993857424706,1.22,39681,65700,0.9,65700,,,,,,,0.2,0.10770993679761887,0.0001,0.0,-0.08772841468453407,1090,5.6335493e-06,0.2795599699020386,0.18984748274087906,4.2448599030464607e-05
,,,,65700,,,1.58,0.78,0,95486,219,-0.21851748999999998,,,,,,,,,,
0,-0.048527746577747166,1.18,39878,66000,0.96,66000,,,,,,,0.2,0.11733847111463547,0.0001,0.0,-0.08580982834100723,1095,3.8829166e-06,0.298653244972229,0.17893639504909514,-7.368995462790906e-05
,,,,66000,,,1.57,0.75,0,95987,220,-0.21658735,,,,,,,,,,
0,-0.050637122867628934,1.12,40061,66300,0.96,66300,,,,,,,0.2,0.08971275389194489,0.0001,0.0,-0.08391966819763183,1100,0.0,0.2777133584022522,0.1680544689297676,2.8113241334892792e-08
,,,,66300,,,1.57,0.77,0,96442,221,-0.23290690000000003,,,,,,,,,,
0,-0.049149339054711166,1.22,40262,66600,0.94,66600,,,,,,,0.2,0.09837426990270615,0.0001,0.0,-0.08334140628576278,1105,1.0024417e-07,0.2667679190635681,0.17960952818393708,-1.2859388871788723e-05
,,,,66600,,,1.38,0.87,0,96901,222,-0.14371544,,,,,,,,,,
0,-0.07424607284832746,1.36,40448,66900,0.88,66900,,,,,,,0.2,0.08952313661575317,0.0001,0.0,-0.0835873804986477,1110,7.941112e-06,0.15052485466003418,0.1773789905011654,-0.0001886756677940582
,,,,66900,,,1.7,0.71,0,97391,223,-0.27926203,,,,,,,,,,
0,-0.13980522422585637,1.34,40621,67200,0.84,67200,,,,,,,0.2,0.09141050279140472,0.0001,0.0,-0.09529716819524765,1115,9.498559e-06,0.2903572916984558,0.17234245389699937,3.6880198917899064e-06
,,,,67200,,,1.75,0.72,0,97867,224,-0.28200596999999994,,,,,,,,,,
0,-0.11132576024159789,1.28,40821,67500,0.9,67500,,,,,,,0.2,0.12409571558237076,0.0001,0.0,-0.08149289041757583,1120,4.703179e-08,0.2093290090560913,0.19833949208259583,6.276649497038988e-07
,,,,67500,,,1.48,0.8,0,98343,225,-0.19613176,,,,,,,,,,
0,-0.06895838194992393,1.22,41021,67800,0.9,67800,,,,,,,0.2,0.10069157928228378,0.0001,0.0,-0.08725056350231171,1125,3.783265e-05,0.2837286591529846,0.16927492395043373,-7.729223497392468e-05
,,,,67800,,,1.51,0.81,0,98791,226,-0.19117183000000001,,,,,,,,,,
