eval/mean_ep_length,env/completion_counter,eval/success_rate,env/current_idx,env/n_steps,time/total_timesteps,eval/mean_reward,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/success_rate,train/clip_fraction,train/explained_variance,train/loss,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/clip_range,train/n_updates,train/learning_rate,train/entropy_loss
1.3,0,0.86,133,300,300,-0.11142587940674276,,,,,,,,,,,,,,,,
,,,,,300,,1,2.32,463,-0.6166074300000001,0,0.38,,,,,,,,,,
1.3,0,0.86,268,600,600,-0.13196646820753813,,,,,,,0.0,-0.6168938875198364,0.0984073206782341,0.0013795084,-0.005179885030956939,0.2674562051892281,0.2,10,0.0001,-1.9454882550239563
,,,,,600,,2,2.17,929,-0.49567320000000004,0,0.46,,,,,,,,,,
1.3,0,0.88,409,900,900,-0.07087461148854345,,,,,,,0.05303977280855179,-0.05740344524383545,0.04694531112909317,0.0123560615,-0.02895397309679538,0.21389562755823135,0.2,20,0.0001,-1.9376136994361877
,,,,,900,,3,2.15,1363,-0.47946797999999996,0,0.48,,,,,,,,,,
1.16,0,0.94,546,1200,1200,-0.06785985302645713,,,,,,,0.0,0.019846558570861816,0.06486324965953827,0.0059266402,-0.007812664823723026,0.1839403699338436,0.2,30,0.0001,-1.9139832091331481
,,,,,1200,,4,2.2,1781,-0.54792361,0,0.46,,,,,,,,,,
1.22,0,0.92,690,1500,1500,-0.068814966971986,,,,,,,0.08661931842565536,-0.12584185600280762,0.09939040243625641,0.007721469,-0.013814209984848275,0.22988805443048477,0.2,40,0.0001,-1.8723713660240173
,,,,,1500,,5,2.07,2222,-0.42824169000000006,0,0.53,,,,,,,,,,
1.44,0,0.8,831,1800,1800,-0.13268852851353585,,,,,,,0.11920454502105712,0.017285585403442383,0.014080166816711426,0.013948394,-0.0244801079435274,0.21300586968660354,0.2,50,0.0001,-1.819430983066559
,,,,,1800,,6,2.17,2675,-0.51234073,0,0.47,,,,,,,,,,
1.16,0,0.96,976,2100,2100,-0.02837745888158679,,,,,,,0.04670454561710358,0.05870288610458374,0.06930657476186752,0.014066666,-0.012574308906914666,0.2005547171831131,0.2,60,0.0001,-1.7469459748268128
,,,,,2100,,7,1.99,3132,-0.37357856,0,0.57,,,,,,,,,,
1.22,0,0.92,1135,2400,2400,-0.030277523198165,,,,,,,0.0,-0.0495915412902832,0.07593429088592529,0.004014545,-0.0033462622089427897,0.20605091482400895,0.2,70,0.0001,-1.654458372592926
,,,,,2400,,8,1.95,3566,-0.41060479,0,0.56,,,,,,,,,,
1.28,0,0.92,1301,2700,2700,-0.0697601300664246,,,,,,,0.17409090861678123,0.13086849451065063,0.05619931221008301,0.020216115,-0.023373775407671927,0.2045937705039978,0.2,80,0.0001,-1.5089095282554625
,,,,,2700,,9,1.77,4019,-0.31023535,0,0.65,,,,,,,,,,
1.14,0,0.96,1464,3000,3000,-0.028105175076052546,,,,,,,0.0628977271914482,0.13510817289352417,0.03501328453421593,0.016554544,-0.017325611083069816,0.1920663011074066,0.2,90,0.0001,-1.3484313011169433
,,,,,3000,,10,1.81,4462,-0.32294982,0,0.65,,,,,,,,,,
1.32,0,0.9,1628,3300,3300,-0.1143937915423885,,,,,,,0.09411931842565537,0.16419267654418945,0.04954221099615097,0.014260086,-0.018358615515753626,0.18693641275167466,0.2,100,0.0001,-1.1249790120124816
,,,,,3300,,11,1.86,4917,-0.34916036999999994,0,0.62,,,,,,,,,,
1.28,0,0.9,1804,3600,3600,-0.050067420178093014,,,,,,,0.03485795468091965,0.07088476419448853,0.07293855398893356,0.008487383,-0.008791940450028051,0.19537600964307786,0.2,110,0.0001,-0.9731397497653961
,,,,,3600,,12,1.72,5383,-0.28403420999999995,0,0.7,,,,,,,,,,
1.28,0,0.88,1982,3900,3900,-0.1326247124420479,,,,,,,0.0,0.13083893060684204,0.05924966558814049,0.0013843989,-0.002934153263340704,0.172139553129673,0.2,120,0.0001,-0.8672246754169464
,,,,,3900,,13,1.74,5870,-0.24894534000000001,0,0.69,,,,,,,,,,
1.04,0,0.98,2155,4200,4200,-0.006753376494161785,,,,,,,0.0,0.1576143503189087,0.052418969571590424,0.0016589102,-0.0036279560008551925,0.16995007961988448,0.2,130,0.0001,-0.8181361985206604
,,,,,4200,,14,1.6,6306,-0.22780956000000002,0,0.76,,,,,,,,,,
1.22,0,0.92,2330,4500,4500,-0.06918138711713255,,,,,,,0.020000000149011612,0.16173380613327026,0.06339617073535919,0.005121912,-0.004320388335036114,0.16697826251387596,0.2,140,0.0001,-0.736302524805069
,,,,,4500,,15,1.73,6766,-0.25908317,0,0.68,,,,,,,,,,
1.16,0,0.96,2500,4800,4800,-0.008730777082964778,,,,,,,0.0,0.054268717765808105,0.05612219125032425,0.0006842966,-0.0015279435094271321,0.16765161260962486,0.2,150,0.0001,-0.6722353005409241
,,,,,4800,,16,1.75,7220,-0.2956023,0,0.68,,,,,,,,,,
1.22,0,0.92,2685,5100,5100,-0.0887534643895924,,,,,,,0.0023295454680919646,0.1619301438331604,0.08134881407022476,0.0009684811,-0.002478791315224953,0.16628043353557587,0.2,160,0.0001,-0.661493638753891
,,,,,5100,,17,1.59,7676,-0.22300750000000005,0,0.74,,,,,,,,,,
1.24,0,0.92,2854,5400,5400,-0.06993312151171267,,,,,,,0.0004545454680919647,0.03865891695022583,0.06360480934381485,0.0004837105,-0.0013504936327808537,0.17531528532505036,0.2,170,0.0001,-0.6736317813396454
,,,,,5400,,18,1.74,8127,-0.30703956999999993,0,0.68,,,,,,,,,,
1.22,0,0.94,3030,5700,5700,-0.051320822774432596,,,,,,,0.011761363595724106,0.07436984777450562,0.056110043078660965,0.004006448,-0.004626842206344009,0.18012886345386506,0.2,180,0.0001,-0.6472053825855255
,,,,,5700,,19,1.8,8612,-0.35586085000000006,0,0.64,,,,,,,,,,
1.3,0,0.88,3228,6000,6000,-0.08939215545076877,,,,,,,0.019573863744735718,0.07058602571487427,0.07098126411437988,0.004067391,-0.006864093253971078,0.19108449354767798,0.2,190,0.0001,-0.5313706630468369
,,,,,6000,,20,1.57,9057,-0.23147321,0,0.76,,,,,,,,,,
1.16,0,0.96,3405,6300,6300,-0.029256675755605102,,,,,,,0.01588068187236786,0.208795964717865,0.07203393429517746,0.0018758966,-0.005099787449362339,0.1680802321434021,0.2,200,0.0001,-0.4517482155561447
,,,,,6300,,21,1.72,9491,-0.27673961,0,0.7,,,,,,,,,,
1.24,0,0.92,3577,6600,6600,-0.06963036690372974,,,,,,,0.019176136404275894,0.07154744863510132,0.06035314500331879,0.003035099,-0.007693453643005341,0.18596144914627075,0.2,210,0.0001,-0.38801890671253203
,,,,,6600,,22,1.7,9923,-0.29455541999999996,0,0.7,,,,,,,,,,
1.12,0,0.96,3750,6900,6900,-0.04751628030091524,,,,,,,0.0021875,0.1600678563117981,0.06844798475503922,0.0009692578,-0.0028153157079213995,0.18294084519147874,0.2,220,0.0001,-0.3323616313934326
,,,,,6900,,23,1.71,10370,-0.27628997,0,0.73,,,,,,,,,,
1.28,0,0.92,3930,7200,7200,-0.04974305699579418,,,,,,,0.003238636404275894,0.08194249868392944,0.07779867202043533,0.00082495966,-0.0027016652893144056,0.19667571634054185,0.2,230,0.0001,-0.296298868060112
,,,,,7200,,24,1.71,10839,-0.29100519,0,0.7,,,,,,,,,,
1.24,0,0.92,4104,7500,7500,-0.06951595353893936,,,,,,,0.0,0.18897902965545654,0.08375225216150284,6.0987375e-05,-0.00022942760919818282,0.15928430944681168,0.2,240,0.0001,-0.2778750079870224
,,,,,7500,,25,1.71,11280,-0.27040959000000003,0,0.7,,,,,,,,,,
1.28,0,0.88,4283,7800,7800,-0.07014510711189359,,,,,,,0.0,0.15832698345184326,0.05648070573806763,0.00021312674,-0.0004388294822865646,0.1618340639770031,0.2,250,0.0001,-0.2618138700723648
,,,,,7800,,26,1.59,11717,-0.24796032,0,0.74,,,,,,,,,,
1.26,0,0.9,4459,8100,8100,-0.05209683109074831,,,,,,,0.002017045468091965,0.13648909330368042,0.0665254220366478,0.00094170624,-0.0007140165308175028,0.19061461895704268,0.2,260,0.0001,-0.26538238525390623
,,,,,8100,,27,1.7,12164,-0.26803472999999994,0,0.69,,,,,,,,,,
1.16,0,0.94,4633,8400,8400,-0.04906971836928278,,,,,,,0.0,0.2452598214149475,0.0504719614982605,6.986865e-05,-0.0003099425788241206,0.16188466057181358,0.2,270,0.0001,-0.27693638861179354
,,,,,8400,,28,1.75,12635,-0.30127914999999994,0,0.66,,,,,,,,,,
1.3,0,0.86,4814,8700,8700,-0.13193971259519457,,,,,,,0.0015625,0.12895673513412476,0.07932870090007782,0.0006615378,-0.0020462603205623963,0.17346552804112433,0.2,280,0.0001,-0.2615383291244507
,,,,,8700,,29,1.7,13079,-0.2500141,0,0.71,,,,,,,,,,
1.32,0,0.86,5009,9000,9000,-0.13357969768811018,,,,,,,0.0,-0.06402742862701416,0.04245695099234581,0.00019231897,-0.0006444570122039295,0.1747910988330841,0.2,290,0.0001,-0.24471307575702667
,,,,,9000,,30,1.61,13572,-0.21378255,0,0.72,,,,,,,,,,
1.26,0,0.9,5189,9300,9300,-0.07038493094965816,,,,,,,0.0,0.044313907623291016,0.05675490200519562,0.00023979018,-0.0007875235384562984,0.1547626495361328,0.2,300,0.0001,-0.2655599218606949
,,,,,9300,,31,1.67,14085,-0.25465124000000006,0,0.73,,,,,,,,,,
1.24,0,0.88,5375,9600,9600,-0.0489700524089858,,,,,,,0.0,0.14510738849639893,0.09015868604183197,0.00015906886,-0.0007663510576674071,0.1679334457218647,0.2,310,0.0001,-0.2678678321838379
,,,,,9600,,32,1.63,14529,-0.21180841000000006,0,0.74,,,,,,,,,,
1.2,0,0.92,5559,9900,9900,-0.06897775876801461,,,,,,,0.005596590936183929,0.14282619953155518,0.08552932739257812,0.0008915118,-0.002907559924362886,0.1651203802227974,0.2,320,0.0001,-0.24507641911506653
,,,,,9900,,33,1.71,14989,-0.301367,0,0.69,,,,,,,,,,
1.18,0,0.94,5732,10200,10200,-0.050032245274633166,,,,,,,0.008352272808551789,0.17182743549346924,0.06985362619161606,0.0010801817,-0.004346648916543927,0.18084164440631867,0.2,330,0.0001,-0.20073788434267045
,,,,,10200,,34,1.68,15444,-0.25159240000000005,0,0.71,,,,,,,,,,
1.1,0,0.96,5927,10500,10500,-0.027230443470180034,,,,,,,0.0015340909361839295,0.13490551710128784,0.07192277908325195,0.0007526617,-0.002108235125183455,0.17377524122595786,0.2,340,0.0001,-0.1682628321647644
,,,,,10500,,35,1.52,15893,-0.15335608000000003,0,0.78,,,,,,,,,,
1.28,0,0.9,6114,10800,10800,-0.02966660209465772,,,,,,,0.0,0.012258291244506836,0.09564463794231415,7.925641e-05,-0.0004480661686234555,0.1679630932211876,0.2,350,0.0001,-0.14645260363817214
,,,,,10800,,36,1.6,16337,-0.22599565000000002,0,0.74,,,,,,,,,,
1.26,0,0.9,6288,11100,11100,-0.0693096865620464,,,,,,,0.0,0.15264403820037842,0.052695248275995255,0.0001464877,-0.000782431460048656,0.1577565124630928,0.2,360,0.0001,-0.14406869560480118
,,,,,11100,,37,1.74,16845,-0.27922032,0,0.69,,,,,,,,,,
1.14,0,0.96,6488,11400,11400,-0.047456589243374765,,,,,,,0.009772727340459824,0.1187584400177002,0.06907236576080322,0.0012382412,-0.0047267092561712335,0.174412729293108,0.2,370,0.0001,-0.13716832280158997
,,,,,11400,,38,1.47,17308,-0.20051492000000004,0,0.8,,,,,,,,,,
1.18,0,0.94,6672,11700,11700,-0.07000526687130332,,,,,,,0.0003125,0.10554850101470947,0.062302909791469574,0.00016219613,-0.0010604731469481977,0.17404812335968017,0.2,380,0.0001,-0.11586337000131607
,,,,,11700,,39,1.7,17758,-0.30122967,0,0.69,,,,,,,,,,
1.32,0,0.88,6857,12000,12000,-0.09159996869973838,,,,,,,0.0,0.16375935077667236,0.05135263875126839,0.00018024728,-0.00046537860422901645,0.17402238190174102,0.2,390,0.0001,-0.11431590333580971
,,,,,12000,,40,1.71,18210,-0.26668181999999996,0,0.7,,,,,,,,,,
1.3,0,0.86,7040,12300,12300,-0.13249918703455477,,,,,,,0.0003125,0.19980084896087646,0.04516691341996193,0.00026629138,-0.0009454830923775858,0.15446393564343452,0.2,400,0.0001,-0.11730940356850623
,,,,,12300,,41,1.66,18655,-0.24971194,0,0.73,,,,,,,,,,
1.24,0,0.9,7237,12600,12600,-0.06908130859024823,,,,,,,0.0004545454680919647,0.15967857837677002,0.04088301956653595,0.00018615619,-0.0005984208686011527,0.16145489633083343,0.2,410,0.0001,-0.11182096809148788
,,,,,12600,,42,1.53,19110,-0.18066385000000004,0,0.79,,,,,,,,,,
1.18,0,0.94,7424,12900,12900,-0.048235534485429526,,,,,,,0.0,0.053999125957489014,0.05718635395169258,2.8103877e-05,-0.00026630733024617825,0.17221470266580582,0.2,420,0.0001,-0.12195620715618133
,,,,,12900,,43,1.69,19555,-0.27401415,0,0.7,,,,,,,,,,
1.28,0,0.92,7593,13200,13200,-0.08919368246104568,,,,,,,0.0,0.1978502869606018,0.07989431917667389,0.00017633765,-0.0009421649651471853,0.17143064737319946,0.2,430,0.0001,-0.1159878459572792
,,,,,13200,,44,1.77,20019,-0.3312935,0,0.67,,,,,,,,,,
1.28,0,0.88,7770,13500,13500,-0.09134627853520215,,,,,,,0.0,0.14574861526489258,0.07198826968669891,4.2902575e-05,-0.00026668453205385133,0.18568732038140298,0.2,440,0.0001,-0.10969990670681
,,,,,13500,,45,1.59,20490,-0.22379317999999998,0,0.74,,,,,,,,,,
1.2,0,0.94,7965,13800,13800,-0.04902077064849436,,,,,,,0.0,0.19647514820098877,0.05914445221424103,9.947699e-05,-0.0005888342804455959,0.1669782218337059,0.2,450,0.0001,-0.11187978535890579
,,,,,13800,,46,1.37,20960,-0.15334643,0,0.85,,,,,,,,,,
1.36,0,0.84,8143,14100,14100,-0.17155854660086334,,,,,,,0.0010795454680919648,0.15338152647018433,0.05160999298095703,0.0002975314,-0.0014924095986431141,0.16933025509119035,0.2,460,0.0001,-0.1016262985765934
,,,,,14100,,47,1.73,21429,-0.32676938,0,0.67,,,,,,,,,,
1.36,0,0.86,8330,14400,14400,-0.15028893243521452,,,,,,,0.0013920454680919647,0.2232547402381897,0.06632693111896515,0.00022421326,-0.0013117955717925156,0.17299192503094674,0.2,470,0.0001,-0.09409679293632507
,,,,,14400,,48,1.64,21885,-0.19890168,0,0.72,,,,,,,,,,
1.2,0,0.9,8507,14700,14700,-0.09185938381589949,,,,,,,0.0,0.09354907274246216,0.06809347867965698,9.59374e-06,-7.573412886054953e-05,0.15975875049829483,0.2,480,0.0001,-0.0928814435005188
,,,,,14700,,49,1.67,22340,-0.25654037,0,0.69,,,,,,,,,,
1.18,0,0.92,8705,15000,15000,-0.04995909534860402,,,,,,,0.0,0.1924983263015747,0.058789122849702835,3.2361597e-05,-0.00022807768588391396,0.15857585355639459,0.2,490,0.0001,-0.08883517935872078
,,,,,15000,,50,1.52,22815,-0.20213877,0,0.77,,,,,,,,,,
1.3,0,0.86,8896,15300,15300,-0.13082463962957264,,,,,,,0.0,0.07181185483932495,0.0661495253443718,2.467031e-05,-0.0001811709697688002,0.16471830800175666,0.2,500,0.0001,-0.08492649182677268
,,,,,15300,,51,1.52,23271,-0.17584842,0,0.77,,,,,,,,,,
1.28,0,0.9,9080,15600,15600,-0.08964445990510285,,,,,,,0.0,0.18286114931106567,0.047253597527742386,7.3631774e-05,-0.0004938792921265289,0.14697342231869698,0.2,510,0.0001,-0.0843561440706253
,,,,,15600,,52,1.64,23725,-0.23638447999999998,0,0.73,,,,,,,,,,
1.24,0,0.9,9253,15900,15900,-0.11374910288024694,,,,,,,0.0,0.14263814687728882,0.059887371957302094,1.327646e-05,-2.3824941096961537e-05,0.16166672959923745,0.2,520,0.0001,-0.0860748989880085
,,,,,15900,,53,1.68,24182,-0.27533452,0,0.71,,,,,,,,,,
1.32,0,0.86,9444,16200,16200,-0.09752859266940504,,,,,,,0.0013920454680919647,0.18047809600830078,0.06126781925559044,0.00023787268,-0.0011751512256359931,0.16685930147767067,0.2,530,0.0001,-0.08288374185562133
,,,,,16200,,54,1.6,24653,-0.21049705,0,0.76,,,,,,,,,,
1.18,0,0.94,9630,16500,16500,-0.0291106266900897,,,,,,,0.0010795454680919648,0.19024044275283813,0.0523768849670887,0.000121628495,-0.0008952776927682038,0.148808473944664,0.2,540,0.0001,-0.08128808796405793
,,,,,16500,,55,1.59,25075,-0.22970035000000003,0,0.75,,,,,,,,,,
1.28,0,0.88,9813,16800,16800,-0.030581921176053583,,,,,,,0.0,0.19277411699295044,0.060814134776592255,0.00010628756,-0.0004655877193365221,0.15026941135525704,0.2,550,0.0001,-0.08058641955256463
,,,,,16800,,56,1.67,25496,-0.24498563999999998,0,0.74,,,,,,,,,,
1.16,0,0.92,10001,17100,17100,-0.04857344525400549,,,,,,,0.000625,0.15121209621429443,0.06536360830068588,0.00021750518,-0.0010077811999411068,0.16810241356492042,0.2,560,0.0001,-0.07273125320672989
,,,,,17100,,57,1.6,25932,-0.23239602999999998,0,0.74,,,,,,,,,,
1.12,0,0.94,10197,17400,17400,-0.0494227897329256,,,,,,,0.0028125,0.22884231805801392,0.05994907394051552,0.054913312,-0.0012336264245898577,0.1602083295583725,0.2,570,0.0001,-0.07374648824334144
,,,,,17400,,58,1.53,26365,-0.21647731999999997,0,0.78,,,,,,,,,,
1.26,0,0.88,10382,17700,17700,-0.08933394823223352,,,,,,,0.0,0.14420175552368164,0.0623466856777668,5.2481635e-05,-0.0004174501806581787,0.15987549126148223,0.2,580,0.0001,-0.06540527865290642
,,,,,17700,,59,1.65,26803,-0.27134524,0,0.72,,,,,,,,,,
1.22,0,0.92,10566,18000,18000,-0.05078976474236697,,,,,,,0.0,0.21451646089553833,0.07644893229007721,7.72715e-05,-0.00016895801728527893,0.1687409457564354,0.2,590,0.0001,-0.0641031315177679
,,,,,18000,,60,1.65,27223,-0.17143692000000005,0,0.73,,,,,,,,,,
1.32,0,0.84,10756,18300,18300,-0.11204575317911804,,,,,,,0.0038920454680919647,0.13393330574035645,0.04748034104704857,0.00041364226,-0.0013010915521158494,0.16261914476752282,0.2,600,0.0001,-0.06658447310328483
,,,,,18300,,61,1.51,27714,-0.22258664000000003,0,0.79,,,,,,,,,,
1.24,0,0.92,10944,18600,18600,-0.04931897331960499,,,,,,,0.006988636404275894,0.14906209707260132,0.06738217920064926,0.00071091094,-0.002121295260387157,0.17030836194753646,0.2,610,0.0001,-0.08010727122426033
,,,,,18600,,62,1.58,28153,-0.21705437,0,0.75,,,,,,,,,,
1.28,0,0.88,11124,18900,18900,-0.10999550656881184,,,,,,,0.0,0.1409621238708496,0.045935243368148804,0.00014323703,-0.00082228778867389,0.1726381638646126,0.2,620,0.0001,-0.08514343306422234
,,,,,18900,,63,1.69,28607,-0.21537835000000002,0,0.72,,,,,,,,,,
1.1,0,0.96,11310,19200,19200,-0.04712215181905776,,,,,,,0.0,0.19987988471984863,0.07335823029279709,0.0001463138,-0.0005919807331779126,0.15844053283333778,0.2,630,0.0001,-0.0757353214919567
,,,,,19200,,64,1.6,29023,-0.25525572999999996,0,0.73,,,,,,,,,,
1.2,0,0.94,11496,19500,19500,-0.05031501443125307,,,,,,,0.0,0.1632135510444641,0.054718632251024246,5.5879357e-10,-2.9409566379712258e-06,0.16802837654948236,0.2,640,0.0001,-0.07070892125368118
,,,,,19500,,65,1.5,29442,-0.190421,0,0.77,,,,,,,,,,
1.24,0,0.92,11684,19800,19800,-0.06974044243339449,,,,,,,0.0,0.27581554651260376,0.07842442393302917,1.4343672e-05,-7.41480376083814e-05,0.14907563596963883,0.2,650,0.0001,-0.07118377953767777
,,,,,19800,,66,1.61,29880,-0.20809126000000003,0,0.78,,,,,,,,,,
1.26,0,0.88,11852,20100,20100,-0.08950112359598279,,,,,,,0.0021590909361839297,0.054038941860198975,0.06363557279109955,0.00044773234,-0.0014033637331754534,0.18643406063318252,0.2,660,0.0001,-0.06726288214325905
,,,,,20100,,67,1.79,30323,-0.27231632,0,0.65,,,,,,,,,,
1.32,0,0.86,12054,20400,20400,-0.09038793292362243,,,,,,,0.0,0.17838925123214722,0.07530767470598221,0.00014975555,-0.00051959528085046,0.18192795276641846,0.2,670,0.0001,-0.057401112467050555
,,,,,20400,,68,1.43,30771,-0.16562386,0,0.83,,,,,,,,,,
1.18,0,0.96,12240,20700,20700,-0.028940480696037413,,,,,,,0.000625,0.189003586769104,0.053194671869277954,9.952449e-05,-0.0006642972948877102,0.14746566727757454,0.2,680,0.0001,-0.051591290831565856
,,,,,20700,,69,1.69,31209,-0.28445806000000007,0,0.69,,,,,,,,,,
1.22,0,0.92,12431,21000,21000,-0.04877261103130877,,,,,,,0.0,0.08920073509216309,0.08306500315666199,7.22222e-06,-1.9309477542082122e-05,0.17765581205487252,0.2,690,0.0001,-0.05172227546572685
,,,,,21000,,70,1.68,31636,-0.28033691,0,0.7,,,,,,,,,,
1.22,0,0.92,12611,21300,21300,-0.06977084688842297,,,,,,,0.0,0.1613619327545166,0.0653555691242218,1.92279e-05,-0.0001621715816535385,0.1724095080792904,0.2,700,0.0001,-0.05104926124215126
,,,,,21300,,71,1.71,32080,-0.2489724,0,0.7,,,,,,,,,,
1.3,0,0.88,12807,21600,21600,-0.1105113944131881,,,,,,,0.0,0.13102465867996216,0.07266072183847427,6.4372085e-05,-0.00044016789561941217,0.172851240336895,0.2,710,0.0001,-0.048837065175175665
,,,,,21600,,72,1.47,32546,-0.20055640000000005,0,0.82,,,,,,,,,,
1.44,0,0.8,12993,21900,21900,-0.15464456162881107,,,,,,,0.000625,0.29837530851364136,0.04797505587339401,9.808988e-05,-0.0006749138947235523,0.13966069445014,0.2,720,0.0001,-0.04654210112988949
,,,,,21900,,73,1.64,33003,-0.2564188,0,0.73,,,,,,,,,,
1.28,0,0.88,13177,22200,22200,-0.0924995931936428,,,,,,,0.0028125,0.06720376014709473,0.07632219791412354,0.008216437,-0.0012984561975201813,0.1765585123002529,0.2,730,0.0001,-0.04298948079347611
,,,,,22200,,74,1.6,33477,-0.20453517,0,0.76,,,,,,,,,,
1.2,0,0.92,13356,22500,22500,-0.051044447529129684,,,,,,,0.00403409093618393,0.1345643401145935,0.05046210065484047,0.00040218869,-0.0021609457433011416,0.1519386038184166,0.2,740,0.0001,-0.03707367457449436
,,,,,22500,,75,1.56,33922,-0.21546259000000004,0,0.78,,,,,,,,,,
1.26,0,0.9,13538,22800,22800,-0.09105326646007597,,,,,,,0.0,0.17389941215515137,0.0815151110291481,0.0,-7.725744186615202e-09,0.18006892681121825,0.2,750,0.0001,-0.03310571074485779
,,,,,22800,,76,1.64,34370,-0.23250069999999998,0,0.74,,,,,,,,,,
1.18,0,0.96,13720,23100,23100,-0.028297121939249336,,,,,,,0.0,0.32606130838394165,0.08185435831546783,4.617003e-05,-0.0001482635609465177,0.14389316454529763,0.2,760,0.0001,-0.03243099197745323
,,,,,23100,,77,1.65,34819,-0.25637012,0,0.71,,,,,,,,,,
1.32,0,0.84,13913,23400,23400,-0.11178738607559353,,,,,,,0.0004545454680919647,0.20560264587402344,0.03813714161515236,0.0001653934,-0.00045279224890037995,0.16130217552185058,0.2,770,0.0001,-0.033078426644206044
,,,,,23400,,78,1.54,35280,-0.22072983000000002,0,0.76,,,,,,,,,,
1.28,0,0.88,14106,23700,23700,-0.09084097967483103,,,,,,,0.0010795454680919648,0.1957552433013916,0.05521628260612488,0.000107792766,-0.0009918836013160881,0.16006838917732238,0.2,780,0.0001,-0.03514504589140415
,,,,,23700,,79,1.54,35738,-0.26627941,0,0.75,,,,,,,,,,
1.28,0,0.88,14293,24000,24000,-0.07089300357736647,,,,,,,0.0,0.20794004201889038,0.06283209472894669,0.00012740164,-0.0004280987880405718,0.15195444494485855,0.2,790,0.0001,-0.03329847015440464
,,,,,24000,,80,1.47,36173,-0.14684425999999998,0,0.81,,,,,,,,,,
1.32,0,0.86,14481,24300,24300,-0.0760146535281092,,,,,,,0.0,0.03143119812011719,0.0668473020195961,0.0,-1.5981495646855138e-08,0.15388826087117194,0.2,800,0.0001,-0.030307074300944804
,,,,,24300,,81,1.53,36617,-0.19299689999999997,0,0.78,,,,,,,,,,
1.26,0,0.9,14666,24600,24600,-0.11119796394370496,,,,,,,0.00125,0.05152827501296997,0.09553665667772293,0.0001319589,-0.0008635222657838071,0.17047090739011764,0.2,810,0.0001,-0.03213047690689564
,,,,,24600,,82,1.59,37153,-0.16329992000000002,0,0.75,,,,,,,,,,
1.08,0,0.98,14847,24900,24900,-0.027970822341740132,,,,,,,0.0,0.06283897161483765,0.06420818716287613,0.0,-1.469965692280084e-08,0.16734855979681015,0.2,820,0.0001,-0.03420002944767475
,,,,,24900,,83,1.75,37571,-0.2746286,0,0.67,,,,,,,,,,
1.34,0,0.86,15016,25200,25200,-0.13527380438987166,,,,,,,0.0009375,0.12887084484100342,0.061315592378377914,0.00018091593,-0.0011090804179812075,0.1795954330265522,0.2,830,0.0001,-0.034293411523103716
,,,,,25200,,84,1.88,38027,-0.26864095000000004,0,0.63,,,,,,,,,,
1.12,0,0.96,15204,25500,25500,-0.030753007680177687,,,,,,,0.0010795454680919648,0.21906495094299316,0.04381765052676201,0.00011804512,-0.00032295232489676807,0.15933766841888428,0.2,840,0.0001,-0.03646827258169651
,,,,,25500,,85,1.43,38450,-0.16009654999999998,0,0.84,,,,,,,,,,
1.24,0,0.92,15392,25800,25800,-0.06876752567477525,,,,,,,0.0,0.23585176467895508,0.052222415804862976,8.899781e-05,-0.00013682372941822507,0.1681281377375126,0.2,850,0.0001,-0.03849547185003757
,,,,,25800,,86,1.65,38894,-0.26667913000000004,0,0.73,,,,,,,,,,
1.2,0,0.9,15578,26100,26100,-0.06879114925395698,,,,,,,0.0,0.2846243977546692,0.05140985921025276,5.4626165e-05,-0.000147531511981569,0.14858786925673484,0.2,860,0.0001,-0.04159744396805763
,,,,,26100,,87,1.59,39351,-0.23331028,0,0.77,,,,,,,,,,
1.14,0,0.96,15765,26400,26400,-0.0504572825692594,,,,,,,0.0,0.23221665620803833,0.06480789929628372,5.6387486e-05,-0.00020534369774399152,0.15568078696727752,0.2,870,0.0001,-0.041670509725809095
,,,,,26400,,88,1.67,39819,-0.23080652000000004,0,0.7,,,,,,,,,,
1.34,0,0.84,15961,26700,26700,-0.15143788469955324,,,,,,,0.0,0.10944586992263794,0.05637180805206299,3.8024038e-05,-0.00015428454953845261,0.16115957558155058,0.2,880,0.0001,-0.038062543645501136
,,,,,26700,,89,1.45,40265,-0.18390555,0,0.81,,,,,,,,,,
1.14,0,0.96,16141,27000,27000,-0.04812865311279893,,,,,,,0.000625,0.16448241472244263,0.08643385022878647,7.9886246e-05,-0.0004232838936149008,0.16320032745599747,0.2,890,0.0001,-0.03464391134679318
,,,,,27000,,90,1.55,40696,-0.18797292,0,0.75,,,,,,,,,,
1.08,0,0.98,16340,27300,27300,-0.027203270639292895,,,,,,,0.0,0.20543521642684937,0.07264717668294907,1.2410805e-05,-5.153760578561872e-05,0.1688719016313553,0.2,900,0.0001,-0.033334812894463536
,,,,,27300,,91,1.6,41122,-0.23091041,0,0.74,,,,,,,,,,
1.14,0,0.96,16534,27600,27600,-0.05152209824882448,,,,,,,0.0,0.19944268465042114,0.06421012431383133,0.0,-1.3300979873065443e-09,0.1601511210203171,0.2,910,0.0001,-0.03455450288951397
,,,,,27600,,92,1.55,41557,-0.21909085,0,0.77,,,,,,,,,,
1.16,0,0.94,16720,27900,27900,-0.048480049008503556,,,,,,,0.0,0.13467329740524292,0.07176882028579712,5.76742e-05,-0.0001353409072245526,0.1697484301030636,0.2,920,0.0001,-0.03575625345110893
