env/current_idx,eval/mean_reward,env/n_steps,eval/success_rate,env/completion_counter,time/total_timesteps,eval/mean_ep_length,time/fps,time/time_elapsed,rollout/success_rate,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/loss,train/clip_range,train/n_updates,train/learning_rate,train/explained_variance,train/entropy_loss,train/clip_fraction,train/value_loss,train/approx_kl,train/policy_gradient_loss
,,,,,630,,0,2360,0.45,2.2,21,-0.5627074499999999,,,,,,,,,,
303,-0.069549490949139,660,0.92,0,660,1.2,,,,,,,0.11568800359964371,0.2,105,0.0001,0.043010830879211426,-1.9427768468856812,0.0,0.25760779678821566,4.0207306e-05,-0.0006495763993978442
,,,,,660,,0,2470,0.45,2.21,22,-0.56524167,,,,,,,,,,
317,-0.0270211392827332,690,0.98,0,690,1.06,,,,,,,0.06707005947828293,0.2,110,0.0001,0.2472085952758789,-1.9419731378555298,0.0,0.16208336055278777,1.0353327e-05,0.00019292722485246826
,,,,,690,,0,2579,0.45,2.21,23,-0.5689278400000001,,,,,,,,,,
329,-0.028608653885312377,720,0.94,0,720,1.18,,,,,,,0.14690838754177094,0.2,115,0.0001,-0.09852981567382812,-1.94172523021698,0.0,0.2968403100967407,2.1817286e-05,-0.001277844130915362
,,,,,720,,0,2695,0.44,2.23,24,-0.58752313,,,,,,,,,,
341,-0.09084444891195745,750,0.9,0,750,1.24,,,,,,,0.10067640244960785,0.2,120,0.0001,-0.22310209274291992,-1.9417893648147584,0.0,0.22017404735088347,1.5280644e-05,-0.0007170857011805865
,,,,,750,,0,2811,0.44,2.23,25,-0.5747450700000001,,,,,,,,,,
358,-0.04808642446063459,780,0.96,0,780,1.12,,,,,,,0.0860806256532669,0.2,125,0.0001,0.12053006887435913,-1.9414804935455323,0.0,0.18898657858371734,2.2379558e-05,-0.0013766928537126688
,,,,,780,,0,2919,0.49,2.12,26,-0.52862806,,,,,,,,,,
371,-0.09086640457157046,810,0.88,0,810,1.34,,,,,,,0.16172808408737183,0.2,130,0.0001,0.009132087230682373,-1.941407322883606,0.0,0.36777756214141843,2.3110708e-05,-0.0006914377229989555
,,,,,810,,0,3043,0.45,2.17,27,-0.57967515,,,,,,,,,,
384,-0.049732966935262087,840,0.92,0,840,1.24,,,,,,,0.10037731379270554,0.2,135,0.0001,0.12545794248580933,-1.94113130569458,0.0,0.21284495592117308,3.8576127e-05,-0.0018391565613757876
,,,,,840,,0,3157,0.43,2.19,28,-0.59778782,,,,,,,,,,
397,-0.047795426831580695,870,0.96,0,870,1.1,,,,,,,0.06944779306650162,0.2,140,0.0001,0.2636605501174927,-1.9412434816360473,0.0,0.1561852514743805,4.1357674e-05,-0.0011167553983008282
,,,,,870,,0,3257,0.41,2.23,29,-0.6086696800000001,,,,,,,,,,
412,-0.07106100040953606,900,0.88,0,900,1.32,,,,,,,0.09397769719362259,0.2,145,0.0001,0.14955675601959229,-1.940163016319275,0.0,0.19367725849151612,2.549092e-05,-0.0004678551355027594
,,,,,900,,0,3373,0.43,2.19,30,-0.57585401,,,,,,,,,,
425,-0.030074902498163282,930,0.92,0,930,1.24,,,,,,,0.10041611641645432,0.2,150,0.0001,0.14558565616607666,-1.9397065877914428,0.0,0.2159918487071991,2.2397438e-05,-0.0008620055504918511
,,,,,930,,0,3482,0.43,2.19,31,-0.58432304,,,,,,,,,,
438,-0.13007499252445995,960,0.88,0,960,1.3,,,,,,,0.11515789479017258,0.2,155,0.0001,-0.010012626647949219,-1.9393229007720947,0.0,0.251719468832016,8.627772e-05,-0.002545098049255756
,,,,,960,,0,3599,0.43,2.19,32,-0.5723043000000001,,,,,,,,,,
450,-0.029361091004684568,990,0.96,0,990,1.14,,,,,,,0.10886858403682709,0.2,160,0.0001,-0.015725374221801758,-1.9389222621917725,0.0,0.23172784745693206,4.5126675e-05,0.0001366927249666361
,,,,,990,,0,3704,0.39,2.26,33,-0.5998281700000001,,,,,,,,,,
462,-0.04810732650570571,1020,0.96,0,1020,1.08,,,,,,,0.10057196766138077,0.2,165,0.0001,-0.0107194185256958,-1.9378062725067138,0.0,0.22211377918720246,4.9183767e-05,-0.001834681973947916
,,,,,1020,,0,3807,0.38,2.3,34,-0.60324746,,,,,,,,,,
476,-0.05044748984277248,1050,0.86,0,1050,1.34,,,,,,,0.13301555812358856,0.2,170,0.0001,-0.2321925163269043,-1.9353394985198975,0.0,0.2872031331062317,9.4791256e-05,-0.000933074572822079
,,,,,1050,,0,3936,0.41,2.26,35,-0.56721092,,,,,,,,,,
488,-0.04899516375735402,1080,0.96,0,1080,1.16,,,,,,,0.09626012295484543,0.2,175,0.0001,0.018554329872131348,-1.9336763381958009,0.0,0.21032838225364686,8.804003e-05,-0.0019385989413908788
,,,,,1080,,0,4042,0.4,2.3,36,-0.59023902,,,,,,,,,,
499,-0.048805955899879336,1110,0.96,0,1110,1.16,,,,,,,0.06657291948795319,0.2,180,0.0001,0.11323505640029907,-1.9313289165496825,0.0,0.15806304216384887,9.27786e-05,-0.002668950830896577
,,,,,1110,,0,4148,0.37,2.36,37,-0.6040715200000001,,,,,,,,,,
514,-0.1116728265862912,1140,0.86,0,1140,1.36,,,,,,,0.12156297266483307,0.2,185,0.0001,-0.3303215503692627,-1.9290565729141236,0.0,0.254055118560791,3.0392408e-05,0.0007743225456216862
,,,,,1140,,0,4266,0.37,2.36,38,-0.60521013,,,,,,,,,,
528,-0.03158780072350055,1170,0.96,0,1170,1.18,,,,,,,0.08510296791791916,0.2,190,0.0001,0.23845738172531128,-1.9278173923492432,0.0,0.18659017384052276,2.2043785e-05,-0.0008322568548221554
,,,,,1170,,0,4376,0.39,2.32,39,-0.5752804699999998,,,,,,,,,,
543,-0.06902836203575134,1200,0.92,0,1200,1.2,,,,,,,0.11205781251192093,0.2,195,0.0001,0.09217661619186401,-1.9268755912780762,0.0,0.2467592567205429,2.4698178e-05,-0.0003357148029316193
,,,,,1200,,0,4481,0.43,2.26,40,-0.5549750999999999,,,,,,,,,,
558,-0.06992107269354164,1230,0.92,0,1230,1.2,,,,,,,0.07319188117980957,0.2,200,0.0001,0.29810774326324463,-1.9269901752471923,0.0,0.16072306036949158,2.7320782e-05,-0.001174782912712402
,,,,,1230,,0,4592,0.45,2.22,41,-0.55398609,,,,,,,,,,
574,-0.048241815865039825,1260,0.96,0,1260,1.12,,,,,,,0.11358284205198288,0.2,205,0.0001,0.12856298685073853,-1.9259119510650635,0.0,0.24496345818042756,2.45591e-05,-0.0007552051615009603
,,,,,1260,,0,4702,0.48,2.13,42,-0.51238167,,,,,,,,,,
587,-0.048926872331649066,1290,0.92,0,1290,1.22,,,,,,,0.13080817461013794,0.2,210,0.0001,0.10364103317260742,-1.926340651512146,0.0,0.27381299138069154,1.9675494e-05,-0.00078613042831428
,,,,,1290,,0,4812,0.49,2.1,43,-0.48926541,,,,,,,,,,
601,-0.048147493340075016,1320,0.94,0,1320,1.14,,,,,,,0.11894723027944565,0.2,215,0.0001,-0.3372560739517212,-1.926578402519226,0.0,0.2534283548593521,4.4113396e-05,-0.0014297850942242007
,,,,,1320,,0,4923,0.51,2.04,44,-0.50186445,,,,,,,,,,
617,-0.04908228490501642,1350,0.94,0,1350,1.18,,,,,,,0.0894489511847496,0.2,220,0.0001,0.19123655557632446,-1.9239204168319701,0.0,0.20432718694210053,6.743074e-05,-0.00035125712602166457
,,,,,1350,,0,5034,0.53,2.01,45,-0.48257155999999995,,,,,,,,,,
634,-0.09316140468697995,1380,0.88,0,1380,1.26,,,,,,,0.10800644755363464,0.2,225,0.0001,0.21484440565109253,-1.9221149682998657,0.0,0.22342710793018342,3.03785e-05,-0.0009656530626429571
,,,,,1380,,0,5152,0.54,1.97,46,-0.4734728599999999,,,,,,,,,,
649,-0.10973164098337293,1410,0.9,0,1410,1.24,,,,,,,0.10559609532356262,0.2,230,0.0001,0.15116524696350098,-1.921130394935608,0.0,0.24085041880607605,9.430845e-05,-0.0035044347308570423
,,,,,1410,,0,5267,0.55,1.95,47,-0.45470211000000005,,,,,,,,,,
665,-0.04907829197589308,1440,0.9,0,1440,1.24,,,,,,,0.12574300169944763,0.2,235,0.0001,-0.24655663967132568,-1.9160167932510377,0.0,0.2784099578857422,0.00028066238,-0.003189702016922169
,,,,,1440,,0,5390,0.55,1.96,48,-0.4573678100000001,,,,,,,,,,
680,-0.07461353996302933,1470,0.92,0,1470,1.26,,,,,,,0.12489933520555496,0.2,240,0.0001,0.02576601505279541,-1.909790825843811,0.0,0.276131671667099,0.00018395782,-0.0027882703424744193
,,,,,1470,,0,5504,0.56,1.97,49,-0.4607878899999999,,,,,,,,,,
695,-0.07103314884472639,1500,0.9,0,1500,1.3,,,,,,,0.0869273841381073,0.2,245,0.0001,0.18476557731628418,-1.9022136211395264,0.0,0.190999835729599,0.0002315541,-0.002749640126712549
,,,,,1500,,0,5625,0.58,1.94,50,-0.40787856999999994,,,,,,,,,,
708,-0.06891295741312206,1530,0.92,0,1530,1.24,,,,,,,0.08373410254716873,0.2,250,0.0001,0.3259468674659729,-1.894891381263733,0.0,0.19371925294399261,0.00026511351,-0.0038276953281215498
,,,,,1530,,0,5738,0.56,1.97,51,-0.40813890999999997,,,,,,,,,,
722,-0.027084646690636874,1560,0.96,0,1560,1.08,,,,,,,0.10954854637384415,0.2,255,0.0001,0.011759400367736816,-1.88732168674469,0.0,0.23166051805019378,0.0001674215,-0.0010928343077345915
,,,,,1560,,0,5845,0.54,2.01,52,-0.43242456999999995,,,,,,,,,,
734,-0.070405915370211,1590,0.92,0,1590,1.26,,,,,,,0.09440780431032181,0.2,260,0.0001,0.18275678157806396,-1.8812029600143432,0.0,0.2196824371814728,0.00021381775,-0.004515990489162469
,,,,,1590,,0,5955,0.49,2.1,53,-0.45051834999999996,,,,,,,,,,
749,-0.0496336953388527,1620,0.96,0,1620,1.18,,,,,,,0.12818926572799683,0.2,265,0.0001,-0.29324936866760254,-1.8722728729248046,0.0,0.2762370228767395,0.00020495057,-0.001519507196886849
,,,,,1620,,0,6064,0.49,2.12,54,-0.45950551000000006,,,,,,,,,,
763,-0.09161142281722277,1650,0.84,0,1650,1.4,,,,,,,0.12059761583805084,0.2,270,0.0001,0.019179344177246094,-1.864149260520935,0.0,0.2692995309829712,0.00023988486,-0.005973633502920706
,,,,,1650,,0,6192,0.48,2.14,55,-0.44748106,,,,,,,,,,
780,-0.07052416164427995,1680,0.9,0,1680,1.32,,,,,,,0.07360400259494781,0.2,275,0.0001,0.315885066986084,-1.8504563331604005,0.0,0.1748665452003479,0.00040537317,-0.005083591605847104
,,,,,1680,,0,6308,0.5,2.1,56,-0.43213339000000006,,,,,,,,,,
794,-0.09499947517178953,1710,0.9,0,1710,1.26,,,,,,,0.08982574194669724,0.2,280,0.0001,0.20456916093826294,-1.8364213943481444,0.0,0.20481393337249756,0.00044392346,-0.00422917131644982
,,,,,1710,,0,6422,0.5,2.11,57,-0.44472431999999995,,,,,,,,,,
810,-0.11340821180026978,1740,0.86,0,1740,1.3,,,,,,,0.09657055139541626,0.2,285,0.0001,0.027461886405944824,-1.8179893255233766,0.0,0.22056345343589784,0.0003459573,-0.0037721226674811703
,,,,,1740,,0,6546,0.54,2.06,58,-0.4052191700000001,,,,,,,,,,
820,-0.027884974633343516,1770,0.96,0,1770,1.1,,,,,,,0.07595972716808319,0.2,290,0.0001,0.07829654216766357,-1.7988409757614137,0.0,0.18962916135787963,0.0005103032,-0.005132990389441261
,,,,,1770,,0,6653,0.5,2.13,59,-0.41973435000000003,,,,,,,,,,
834,-0.11276228612754494,1800,0.84,0,1800,1.36,,,,,,,0.16382183134555817,0.2,295,0.0001,-0.12064588069915771,-1.780453896522522,0.0,0.3448336601257324,0.00028318365,-0.003352177633593456
,,,,,1800,,0,6775,0.51,2.11,60,-0.4478033499999999,,,,,,,,,,
847,-0.05067430788651109,1830,0.94,0,1830,1.16,,,,,,,0.14556580781936646,0.2,300,0.0001,0.17233926057815552,-1.7624107599258423,0.0,0.35610562562942505,0.00015904705,-0.002959699005198502
,,,,,1830,,0,6892,0.49,2.14,61,-0.4561833,,,,,,,,,,
859,-0.029707401944324374,1860,0.92,0,1860,1.18,,,,,,,0.08863867074251175,0.2,305,0.0001,0.2275087833404541,-1.749710464477539,0.0,0.22024363577365874,0.00012144049,-0.0015358074172397095
,,,,,1860,,0,7010,0.45,2.22,62,-0.50219862,,,,,,,,,,
877,-0.06906918259803206,1890,0.92,0,1890,1.24,,,,,,,0.14447832107543945,0.2,310,0.0001,-0.1482534408569336,-1.7438709497451783,0.0,0.29088322520256044,2.443393e-05,0.0003416824275824126
,,,,,1890,,0,7127,0.47,2.18,63,-0.49411472,,,,,,,,,,
891,-0.04838914113584906,1920,0.94,0,1920,1.16,,,,,,,0.13624514639377594,0.2,315,0.0001,0.13689011335372925,-1.7350247859954835,0.0,0.28770382404327394,5.1488478e-05,-0.0019407714096210781
,,,,,1920,,0,7239,0.46,2.18,64,-0.50260487,,,,,,,,,,
906,-0.1332016689144075,1950,0.86,0,1950,1.28,,,,,,,0.09164053201675415,0.2,320,0.0001,0.16608840227127075,-1.7231104612350463,0.0,0.20348837375640869,0.0001301388,-0.0009334166770956998
,,,,,1950,,0,7363,0.45,2.19,65,-0.50678754,,,,,,,,,,
919,-0.07020509954076261,1980,0.92,0,1980,1.3,,,,,,,0.12129833549261093,0.2,325,0.0001,-0.05302858352661133,-1.718370509147644,0.0,0.2692287564277649,8.929173e-05,-0.00036119421546274564
,,,,,1980,,0,7480,0.48,2.14,66,-0.51115831,,,,,,,,,,
933,-0.0893041976634413,2010,0.9,0,2010,1.26,,,,,,,0.18275386095046997,0.2,330,0.0001,-0.2334076166152954,-1.703226351737976,0.0,0.36595648527145386,3.75847e-05,-0.00014982859439136576
,,,,,2010,,0,7594,0.49,2.13,67,-0.48206621999999993,,,,,,,,,,
947,-0.10993310563266277,2040,0.88,0,2040,1.3,,,,,,,0.08984334766864777,0.2,335,0.0001,0.21285158395767212,-1.7050312042236329,0.0,0.195590141415596,7.96179e-05,-0.0019101691618558902
,,,,,2040,,0,7715,0.51,2.09,68,-0.44065456999999997,,,,,,,,,,
963,-0.0894816437875852,2070,0.9,0,2070,1.22,,,,,,,0.12120494246482849,0.2,340,0.0001,-0.1281285285949707,-1.6792377710342408,0.0,0.27033479809761046,0.00023857554,-0.004577637923260625
,,,,,2070,,0,7841,0.53,2.03,69,-0.4334996899999999,,,,,,,,,,
978,-0.13151018419303,2100,0.86,0,2100,1.34,,,,,,,0.09466817229986191,0.2,345,0.0001,0.09164172410964966,-1.6592063903808594,0.0,0.20682573616504668,0.00032883484,-0.00260262091178447
,,,,,2100,,0,7969,0.51,2.09,70,-0.4436365799999999,,,,,,,,,,
992,-0.08973263163585216,2130,0.88,0,2130,1.3,,,,,,,0.10338927805423737,0.2,350,0.0001,0.04400354623794556,-1.6332800149917603,0.0,0.2336220234632492,0.0002489984,-0.003951294009263506
,,,,,2130,,0,8089,0.52,2.08,71,-0.43794094999999994,,,,,,,,,,
1008,-0.06830002347473055,2160,0.92,0,2160,1.2,,,,,,,0.11652731150388718,0.2,355,0.0001,-0.051383018493652344,-1.6138124465942383,0.0,0.2521010100841522,0.00026584268,-0.0015576037003970811
,,,,,2160,,0,8206,0.53,2.05,72,-0.4264562599999999,,,,,,,,,,
1023,-0.13066583303269,2190,0.88,0,2190,1.3,,,,,,,0.1242193877696991,0.2,360,0.0001,-0.10319018363952637,-1.5952250003814696,0.0,0.2695638000965118,0.00024805267,-0.0031862000391509326
,,,,,2190,,0,8322,0.55,2.01,73,-0.4001733200000001,,,,,,,,,,
1039,-0.10919048743322492,2220,0.9,0,2220,1.24,,,,,,,0.11646400392055511,0.2,365,0.0001,-0.1869593858718872,-1.5695077657699585,0.0,0.2529066413640976,0.00035518606,-0.002982614863043054
,,,,,2220,,0,8439,0.57,1.97,74,-0.38895974999999994,,,,,,,,,,
1053,-0.050045693265274166,2250,0.92,0,2250,1.26,,,,,,,0.11229169368743896,0.2,370,0.0001,0.010988116264343262,-1.5416707277297974,0.0,0.2415736585855484,0.00021262566,-0.0013141377615587756
,,,,,2250,,0,8563,0.58,1.96,75,-0.36889201000000005,,,,,,,,,,
1069,-0.06910258675459773,2280,0.92,0,2280,1.26,,,,,,,0.11088356375694275,0.2,375,0.0001,-0.07216417789459229,-1.5221263408660888,0.0,0.24159955084323884,0.00017003417,-0.0027219251729547977
,,,,,2280,,0,8677,0.6,1.94,76,-0.32925684999999993,,,,,,,,,,
1082,-0.12976188134867697,2310,0.86,0,2310,1.28,,,,,,,0.10596625506877899,0.2,380,0.0001,0.21535801887512207,-1.49969322681427,0.0,0.22657080888748168,0.00018386642,-0.0019443464170521452
,,,,,2310,,0,8791,0.56,2.01,77,-0.36420035999999995,,,,,,,,,,
1094,-0.08953475653659553,2340,0.9,0,2340,1.24,,,,,,,0.1294473111629486,0.2,385,0.0001,-0.06098055839538574,-1.4763760328292848,0.0,0.2775236189365387,0.00016261339,-0.003076690503706914
,,,,,2340,,0,8903,0.54,2.04,78,-0.3868105,,,,,,,,,,
1110,-0.026960616866126656,2370,0.96,0,2370,1.08,,,,,,,0.12785477936267853,0.2,390,0.0001,-0.2127772569656372,-1.452113389968872,0.0,0.2752812147140503,0.00028819838,-0.0027538590567800724
,,,,,2370,,0,9009,0.53,2.08,79,-0.40007078,,,,,,,,,,
1124,-0.08869480080436914,2400,0.92,0,2400,1.22,,,,,,,0.100221186876297,0.2,395,0.0001,0.1344146728515625,-1.424975872039795,0.0,0.21376393735408783,0.00014860829,-0.0005927070070175233
,,,,,2400,,0,9136,0.54,2.06,80,-0.4143147999999999,,,,,,,,,,
1138,-0.0895279677817598,2430,0.9,0,2430,1.24,,,,,,,0.08884221315383911,0.2,400,0.0001,0.10919928550720215,-1.402370524406433,0.0,0.2003655403852463,0.00026399692,-0.0027969487663359162
,,,,,2430,,0,9249,0.51,2.14,81,-0.4418612900000001,,,,,,,,,,
1153,-0.06832249532919377,2460,0.92,0,2460,1.22,,,,,,,0.10285737365484238,0.2,405,0.0001,0.07841658592224121,-1.3726433992385865,0.0,0.22280670404434205,0.00036063592,-0.003734166605087452
,,,,,2460,,0,9364,0.54,2.1,82,-0.4267512499999999,,,,,,,,,,
1172,-0.0685281329182908,2490,0.94,0,2490,1.18,,,,,,,0.14057978987693787,0.2,410,0.0001,-0.05379366874694824,-1.3495534181594848,0.0,0.31202069520950315,0.00030014117,-0.004267545531814321
,,,,,2490,,0,9476,0.57,2.05,83,-0.39925146000000006,,,,,,,,,,
1190,-0.11427157257217914,2520,0.84,0,2520,1.34,,,,,,,0.08767092972993851,0.2,415,0.0001,0.17279720306396484,-1.3080825090408326,0.0,0.20857374370098114,0.00018261869,0.00016099293852036566
,,,,,2520,,0,9590,0.62,1.94,84,-0.35150094000000004,,,,,,,,,,
1206,-0.06882611243054271,2550,0.94,0,2550,1.16,,,,,,,0.06602045148611069,0.2,420,0.0001,0.24883854389190674,-1.2877863645553589,0.0,0.16597370505332948,0.00020248095,-0.005152582715575704
,,,,,2550,,0,9700,0.64,1.89,85,-0.31926608,,,,,,,,,,
1222,-0.07219489127397537,2580,0.88,0,2580,1.28,,,,,,,0.1122250035405159,0.2,425,0.0001,0.09112352132797241,-1.2601731538772583,0.0,0.22859012484550476,0.00018324256,-0.0007561930109902804
,,,,,2580,,0,9817,0.67,1.85,86,-0.28179585,,,,,,,,,,
1237,-0.04765179839450866,2610,0.96,0,2610,1.12,,,,,,,0.11752644181251526,0.2,430,0.0001,0.08777731657028198,-1.2400440454483033,0.0,0.25741657316684724,8.1733866e-05,-0.0005105789543208061
,,,,,2610,,0,9927,0.66,1.83,87,-0.30225354000000004,,,,,,,,,,
1254,-0.08873244173359125,2640,0.92,0,2640,1.22,,,,,,,0.10607308894395828,0.2,435,0.0001,-0.01833927631378174,-1.2216549396514893,0.0,0.24304155707359315,4.4945875e-05,-0.00043197075814518373
,,,,,2640,,0,10048,0.67,1.77,88,-0.29391087,,,,,,,,,,
1274,-0.02909464228898287,2670,0.94,0,2670,1.12,,,,,,,0.09518785774707794,0.2,440,0.0001,0.145901620388031,-1.2214225769042968,0.0,0.1987195670604706,1.0760626e-05,-0.0004031733540127647
,,,,,2670,,0,10158,0.67,1.76,89,-0.31305333,,,,,,,,,,
1293,-0.06925021599978208,2700,0.92,0,2700,1.24,,,,,,,0.11394331604242325,0.2,445,0.0001,0.30940020084381104,-1.2140953540802002,0.0,0.2390904039144516,5.5416425e-05,-0.0014357686248453127
,,,,,2700,,0,10282,0.67,1.75,90,-0.3272317600000001,,,,,,,,,,
1311,-0.04819839010946453,2730,0.94,0,2730,1.2,,,,,,,0.0937538594007492,0.2,450,0.0001,0.40443092584609985,-1.1974610567092896,0.0,0.2204028069972992,0.00010260145,-0.0031267674670864666
,,,,,2730,,0,10391,0.69,1.72,91,-0.30696561,,,,,,,,,,
