env/completion_counter,env/current_idx,eval/mean_reward,eval/mean_ep_length,eval/success_rate,time/total_timesteps,env/n_steps,time/iterations,time/fps,time/time_elapsed,rollout/success_rate,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/entropy_loss,train/loss,train/explained_variance,train/clip_range,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl
,,,,,6300,,21,0,9586,0.76,1.59,-0.1770628,,,,,,,,,,
0,3413,-0.09124184285290539,1.34,0.88,6600,6600,,,,,,,0.0001,210,-0.6401850432157516,0.08087463676929474,0.22262102365493774,0.2,0.16585436798632144,0.0013671875,-0.0006681982544250786,0.00081425236
,,,,,6600,,22,0,10067,0.72,1.66,-0.27704464000000006,,,,,,,,,,
0,3578,-0.028400604887865485,1.18,0.94,6900,6900,,,,,,,0.0001,220,-0.6156210958957672,0.09679465740919113,0.18314498662948608,0.2,0.19319494552910327,0.0,-0.0011374993790184361,0.00016023564
,,,,,6900,,23,0,10531,0.59,1.92,-0.32535741,,,,,,,,,,
0,3749,-0.04875841430388391,1.2,0.92,7200,7200,,,,,,,0.0001,230,-0.5897271126508713,0.08607649058103561,0.062490880489349365,0.2,0.2296566553413868,0.0,-0.002886994513391983,0.0011708217
,,,,,7200,,24,0,10977,0.72,1.74,-0.24665291000000003,,,,,,,,,,
0,3925,-0.028874190519563855,1.2,0.94,7500,7500,,,,,,,0.0001,240,-0.5531010955572129,0.07564186304807663,0.1364833116531372,0.2,0.18858774602413178,0.0,-0.0006451691861002473,0.0003624975
,,,,,7500,,25,0,11437,0.67,1.74,-0.29376619,,,,,,,,,,
0,4095,-0.11057002213317901,1.26,0.88,7800,7800,,,,,,,0.0001,250,-0.5300258725881577,0.07500811666250229,0.2420700192451477,0.2,0.1888873055577278,0.0,-0.002262140437102289,0.00037277205
,,,,,7800,,26,0,11901,0.72,1.68,-0.24386475000000002,,,,,,,,,,
0,4276,-0.06787849023938179,1.18,0.92,8100,8100,,,,,,,0.0001,260,-0.4996523454785347,0.09008616954088211,0.13091593980789185,0.2,0.2017609693109989,0.0,-0.0007581044923426816,0.00024898048
,,,,,8100,,27,0,12345,0.68,1.7,-0.33194467999999994,,,,,,,,,,
0,4462,-0.028670090846717358,1.2,0.96,8400,8400,,,,,,,0.0001,270,-0.4775995537638664,0.08902090787887573,0.13602346181869507,0.2,0.20750219672918319,0.0,-0.0013240935833891854,0.00037015983
,,,,,8400,,28,0,12806,0.71,1.7,-0.27337713999999996,,,,,,,,,,
0,4655,-0.04946566968690604,1.16,0.96,8700,8700,,,,,,,0.0001,280,-0.4558802843093872,0.10093837976455688,0.20464974641799927,0.2,0.18058603964745998,0.0,-0.0006018499814672395,0.00013283544
,,,,,8700,,29,0,13243,0.78,1.6,-0.20929487000000002,,,,,,,,,,
0,4844,-0.07215286936610937,1.22,0.92,9000,9000,,,,,,,0.0001,290,-0.43211550563573836,0.06813352555036545,0.1504693627357483,0.2,0.17681425139307977,0.0,-0.0021854233595973937,0.000374256
,,,,,9000,,30,0,13691,0.79,1.57,-0.20906547999999997,,,,,,,,,,
0,5032,-0.08998567555565387,1.3,0.88,9300,9300,,,,,,,0.0001,300,-0.39392923563718796,0.05741918087005615,0.1108168363571167,0.2,0.19038626030087472,0.006889204680919647,-0.006295601913006976,0.0013230504
,,,,,9300,,31,0,14143,0.81,1.48,-0.20151233,,,,,,,,,,
0,5220,-0.11513143269345165,1.26,0.88,9600,9600,,,,,,,0.0001,310,-0.3552636653184891,0.07662846893072128,0.14321231842041016,0.2,0.210186605155468,0.0,-0.0019104959908872842,0.0004430206
,,,,,9600,,32,0,14587,0.74,1.63,-0.25046284999999996,,,,,,,,,,
0,5403,-0.06870829461608081,1.2,0.92,9900,9900,,,,,,,0.0001,320,-0.3258584037423134,0.09586656838655472,0.1837460994720459,0.2,0.18954853639006614,0.0,-0.0013820516778650926,0.00045327953
,,,,,9900,,33,0,15050,0.77,1.56,-0.17258846000000003,,,,,,,,,,
