env/n_steps,eval/success_rate,env/completion_counter,env/current_idx,eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/success_rate,time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/value_loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/learning_rate,train/loss,train/clip_range,train/n_updates
3000,0.9,0,1121,1.6,-0.0968371851881966,3000,,,,,,,0.1652167885005474,0.008516556,0.013181818276643753,-0.008295650412328541,0.12753385305404663,-1.4844788527488708,0.0001,0.04907984659075737,0.2,90
,,,,,,3000,0.73,0,10,2.51,4372,-0.305401,,,,,,,,,,
3300,0.98,0,1260,1.18,-0.02866463044658303,3300,,,,,,,0.14977442383766174,0.003927851,0.013778409212827683,-0.007290702760219574,0.15884435176849365,-1.366002116203308,0.0001,0.030940158292651176,0.2,100
,,,,,,3300,0.85,0,11,2.06,4812,-0.19697186000000003,,,,,,,,,,
3600,0.9,0,1403,1.64,-0.11466099656186998,3600,,,,,,,0.1485169307887554,0.0029131507,0.0032102273404598235,-0.007329208615701645,0.16182303428649902,-1.3401606917381286,0.0001,0.028430549427866936,0.2,110
,,,,,,3600,0.8,0,12,2.23,5281,-0.26623809,,,,,,,,,,
3900,0.98,0,1529,1.16,-0.027976740142330526,3900,,,,,,,0.15503802835941316,0.003372167,0.007755681872367859,-0.008709082230343484,0.19713175296783447,-1.3051280450820923,0.0001,0.03131943196058273,0.2,120
,,,,,,3900,0.76,0,13,2.33,5719,-0.29579979,,,,,,,,,,
4200,0.96,0,1671,1.18,-0.04828505970537662,4200,,,,,,,0.17036211296916007,0.014437428,0.10392045423388481,-0.017108267898438497,0.13897395133972168,-1.186578552722931,0.0001,-0.005802057683467865,0.2,130
,,,,,,4200,0.81,0,14,2.0,6163,-0.25353313,,,,,,,,,,
4500,0.94,0,1813,1.32,-0.05167765262536705,4500,,,,,,,0.17716944515705108,0.008019648,0.045596591085195544,-0.012306169287185184,0.17555344104766846,-1.033126745223999,0.0001,0.04434729740023613,0.2,140
,,,,,,4500,0.83,0,15,2.11,6630,-0.20310198,,,,,,,,,,
4800,0.98,0,1968,1.16,-0.02894932236056775,4800,,,,,,,0.1501000902056694,0.0022304207,0.02079545468091965,-0.008710446264594794,0.22097808122634888,-1.005276265144348,0.0001,0.0421726256608963,0.2,150
,,,,,,4800,0.86,0,16,1.83,7092,-0.16780344999999997,,,,,,,,,,
5100,0.96,0,2112,1.3,-0.03134192240424454,5100,,,,,,,0.15579935446381568,0.003723845,0.03482954576611519,-0.005411644212435931,0.07498824596405029,-1.0454504024982452,0.0001,0.03244345635175705,0.2,160
,,,,,,5100,0.87,0,17,1.86,7563,-0.17344662000000002,,,,,,,,,,
5400,0.92,0,2248,1.42,-0.07947170920670033,5400,,,,,,,0.18737540796399116,0.0034018294,0.018181818276643752,-0.01193475588108413,0.07248848676681519,-1.0767259693145752,0.0001,0.04703931510448456,0.2,170
,,,,,,5400,0.81,0,18,2.11,8031,-0.20329714999999995,,,,,,,,,,
5700,0.98,0,2382,1.2,-0.02907775084488094,5700,,,,,,,0.13980286911129952,0.0043825307,0.014232954680919648,-0.01592033088876633,0.22908461093902588,-1.1286043977737428,0.0001,0.010383795946836472,0.2,180
,,,,,,5700,0.76,0,19,2.14,8471,-0.26812382000000007,,,,,,,,,,
