env/current_idx,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/success_rate,env/n_steps,time/fps,env/completion_counter,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/loss,train/approx_kl,train/n_updates,train/clip_range,train/value_loss,train/clip_fraction,eval/success_rate,eval/mean_reward,eval/mean_ep_length
2251,3897,1.26,-0.05048056,106,3180,0.93,3180,0,0,0.001,-0.0021889378751317246,-0.08988699465990066,-0.21557092666625977,0.04609163850545883,0.001743408,1050,0.2,0.11415693759918213,0.010000000521540642,,,
2269,3940,1.31,-0.07074096999999999,107,3210,0.92,3210,0,0,0.001,5.731880649761934e-06,-0.08005261346697808,-98.3626937866211,0.0008924577268771827,3.695488e-07,1060,0.2,0.023563604883383958,0.0,,,
2288,3976,1.34,-0.08146553999999999,108,3240,0.91,3240,0,0,0.001,-0.0009787623043425952,-0.10496409609913826,-0.04137444496154785,0.09008046239614487,0.00040357313,1070,0.2,0.23363486677408218,0.0,,,
2309,4013,1.34,-0.06171954,109,3270,0.91,3270,0,0,0.001,-0.003753976042692919,-0.10691197216510773,0.10244691371917725,0.08390215039253235,0.0054611266,1080,0.2,0.197900952398777,0.020000001043081285,,,
2330,4046,1.39,-0.08264898999999998,110,3300,0.9,3300,0,0,0.001,0.0009573096667494952,-0.1255882889032364,-0.716844916343689,0.028719807043671608,0.00043869615,1090,0.2,0.20273807197809218,0.0,,,
2348,4078,1.53,-0.12549781999999998,111,3330,0.86,3330,0,0,0.001,-0.001782545181922579,-0.1974656894803047,0.282589852809906,0.03875507414340973,0.0026189089,1100,0.2,0.11906416490674018,0.01666666753590107,,,
2369,4113,1.5,-0.13623982999999998,112,3360,0.86,3360,0,0,0.001,-0.0001554629176826694,-0.1534549742937088,0.09639787673950195,0.09983792901039124,3.1252703e-06,1110,0.2,0.22482234686613084,0.0,,,
2393,4148,1.43,-0.10448091000000001,113,3390,0.89,3390,0,0,0.001,-0.007928199052500062,-0.17393306642770767,0.1615855097770691,0.06811779737472534,0.015497276,1120,0.2,0.20525916665792465,0.023333334550261497,,,
2416,4183,1.37,-0.10351724000000001,114,3420,0.91,3420,0,0,0.001,-7.571250313063161e-05,-0.14008946269750594,-3.376067638397217,0.017774945124983788,1.8676123e-07,1130,0.2,0.058497270569205284,0.0,,,
2436,4218,1.35,-0.10350408000000001,115,3450,0.91,3450,0,0,0.001,-5.8514675314036424e-05,-0.14054393917322158,0.39851999282836914,0.05443142354488373,9.775162e-07,1140,0.2,0.1282123789191246,0.0,,,
2454,4255,1.41,-0.10413750000000001,116,3480,0.9,3480,0,0,0.001,-0.00243311502291661,-0.14799493104219436,0.17225265502929688,0.057909995317459106,0.006079187,1150,0.2,0.16021293476223947,0.020000001043081285,,,
2479,4294,1.38,-0.09358732000000002,117,3510,0.91,3510,0,0,0.001,-0.0033117928247277106,-0.22688112258911133,0.5007621645927429,0.016167372465133667,0.03557224,1160,0.2,0.07554664574563504,0.04000000208616257,,,
2503,4327,1.37,-0.08349061,118,3540,0.92,3540,0,0,0.001,-0.013892593945686826,-0.18945246785879136,0.38430750370025635,-0.004037279635667801,0.014821738,1170,0.2,0.0555321890860796,0.040000001713633535,,,
