rollout/success_rate,time/fps,time/total_timesteps,env/completion_counter,time/iterations,env/n_steps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,env/current_idx,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/n_updates,train/clip_range,train/learning_rate,train/explained_variance,train/loss,train/value_loss,train/clip_fraction,eval/mean_ep_length,eval/success_rate,eval/mean_reward
0.94,0,3780,0,63,3780,-0.07469768,4801,1.35,2630,-0.043642422302315964,0.036298115,-1.0882344603538514,620,0.2,0.001,0.14791107177734375,-0.004171378910541534,0.1567822203040123,0.16500000096857548,,,
0.95,0,3840,0,64,3840,-0.06249155,4875,1.28,2680,-0.04128441260506701,0.041120112,-0.911341804265976,630,0.2,0.001,-0.04781186580657959,-0.010207783430814743,0.1347452498972416,0.17500000074505806,,,
0.94,0,3900,0,65,3900,-0.05463005,4958,1.33,2723,-0.019435488910724708,0.058395036,-0.6605295836925507,640,0.2,0.001,-0.03223538398742676,0.006165696308016777,0.08076304495334626,0.22000000327825547,,,
0.93,0,3960,0,66,3960,-0.05212155999999999,5033,1.33,2770,-0.013290368213007931,0.013772558,-0.6917591273784638,650,0.2,0.001,0.18683111667633057,-0.00542173907160759,0.041023312136530876,0.14166666939854622,,,
0.93,0,4020,0,67,4020,-0.07268485999999999,5108,1.35,2814,-0.03796340625733139,0.08191872,-0.7694604337215424,660,0.2,0.001,-0.045998215675354004,-0.020354535430669785,0.1218414194881916,0.17666666731238365,,,
0.94,0,4080,0,68,4080,-0.07310436,5180,1.36,2855,-0.02371939270446699,0.033053163,-0.8042298793792725,670,0.2,0.001,0.04766249656677246,0.0032912231981754303,0.09509121179580689,0.11333333682268858,,,
0.94,0,4140,0,69,4140,-0.06193096000000001,5254,1.35,2904,-0.04120094150304796,0.035038132,-0.77345409989357,680,0.2,0.001,0.08343905210494995,-0.01901741325855255,0.11621053591370582,0.17333333417773247,,,
0.93,0,4200,0,70,4200,-0.06185180999999998,5329,1.35,2947,-0.01684890650523201,0.021795655,-0.5991459786891937,690,0.2,0.001,0.007327258586883545,-0.002370743080973625,0.060801750794053075,0.09666666872799397,,,
0.91,0,4260,0,71,4260,-0.08441589,5408,1.4,2986,-0.022045726024856195,0.076830275,-0.5964831650257111,700,0.2,0.001,-0.06535184383392334,0.0037719979882240295,0.09842339009046555,0.10500000342726708,,,
0.88,0,4320,0,72,4320,-0.10904940999999999,5488,1.48,3029,-0.03163610386351721,0.048854914,-0.781308501958847,710,0.2,0.001,0.1453987956047058,0.005147919058799744,0.15559297502040864,0.21000000275671482,,,
0.9,0,4380,0,73,4380,-0.10767155999999999,5564,1.38,3076,-0.029128251733879208,0.02142828,-0.7206144809722901,720,0.2,0.001,0.2753032445907593,-0.021937616169452667,0.10002833604812622,0.11500000283122062,,,
0.93,0,4440,0,74,4440,-0.08102307000000002,5641,1.31,3121,-0.036339607856546864,0.06071557,-0.701302707195282,730,0.2,0.001,0.016752302646636963,-0.02493220567703247,0.09758299589157104,0.2166666679084301,,,
0.9,0,4500,0,75,4500,-0.10309811999999999,5739,1.4,3162,-0.0394997346773744,0.061156172,-0.6241515934467315,740,0.2,0.001,0.15890806913375854,-0.011830687522888184,0.1182674452662468,0.12500000298023223,,,
0.91,0,4560,0,76,4560,-0.09403081999999997,5829,1.38,3208,-0.04205323762570821,0.083497696,-0.6041021108627319,750,0.2,0.001,-0.07407522201538086,-0.015587564557790756,0.15947025567293166,0.18666666746139526,,,
0.93,0,4620,0,77,4620,-0.07186864,5903,1.28,3257,-0.019876129869371796,0.024218297,-0.5592861473560333,760,0.2,0.001,0.3176397681236267,-0.010072704404592514,0.0809096485376358,0.22166666854172945,,,
0.88,0,4680,0,78,4680,-0.11275894000000003,5981,1.44,3293,-0.0449815965195496,0.039557107,-0.6955426275730133,770,0.2,0.001,-0.08454751968383789,-0.05513770133256912,0.06449206471443177,0.18333333507180213,,,
0.88,0,4740,0,79,4740,-0.11325663999999999,6056,1.45,3337,-0.039681670960659776,0.04425986,-0.7361758530139924,780,0.2,0.001,-0.04940962791442871,0.02206655591726303,0.22702302932739257,0.17166667059063911,,,
0.94,0,4800,0,80,4800,-0.06121040999999999,6135,1.27,3389,-0.022618665583431685,0.033408098,-0.6134791791439056,790,0.2,0.001,0.24143576622009277,0.011263418942689896,0.13347168490290642,0.13666666802018881,,,
0.91,0,4860,0,81,4860,-0.08272533000000001,6207,1.37,3427,-0.03323104538644337,0.031767797,-0.7195827245712281,800,0.2,0.001,-123.40689086914062,-0.020654164254665375,0.0929078847169876,0.11333333626389504,,,
0.92,0,4920,0,82,4920,-0.08224705,6280,1.32,3477,-0.02591219503898188,0.01792347,-0.6875686049461365,810,0.2,0.001,0.1583302617073059,0.02823793515563011,0.19578332602977752,0.10000000316649675,,,
0.94,0,4980,0,83,4980,-0.07014589,6352,1.23,3526,-0.005338327946568189,0.04596851,-0.4604893386363983,820,0.2,0.001,0.1251562237739563,0.04158686473965645,0.12502023130655288,0.040000001713633535,,,
0.95,0,5040,0,84,5040,-0.06041201999999999,6427,1.29,3569,-0.030331665842483434,0.05511011,-0.6150848388671875,830,0.2,0.001,0.2041994333267212,-0.0032664090394973755,0.1061373494565487,0.13833333626389505,,,
0.93,0,5100,0,85,5100,-0.06241806,6504,1.36,3610,-0.02097670710024744,0.02600524,-0.6409181416034698,840,0.2,0.001,0.23260498046875,0.005642540752887726,0.08019129037857056,0.08666666857898235,,,
