env/n_steps,env/completion_counter,env/current_idx,eval/mean_reward,eval/success_rate,time/total_timesteps,eval/mean_ep_length,time/iterations,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/loss,train/clip_range,train/approx_kl,train/entropy_loss,train/n_updates,train/clip_fraction,train/explained_variance
6600,0,3523,-0.13147611711639912,0.88,6600,1.3,,,,,,,0.0001,-0.0028798032319173215,0.1787945546209812,0.08270074427127838,0.2,0.0013860344,-0.6882348746061325,210,0.0,0.2328120470046997
,,,,,6600,,22,0.71,1.69,9633,0,-0.25689833000000006,,,,,,,,,,
6900,0,3690,-0.07223883126396685,0.92,6900,1.24,,,,,,,0.0001,-0.002289720365524772,0.2054055143147707,0.10150226205587387,0.2,0.001296964,-0.6229939311742783,220,0.0,0.07005244493484497
,,,,,6900,,23,0.68,1.8,10098,0,-0.28523993,,,,,,,,,,
7200,0,3866,-0.06857632380910218,0.92,7200,1.2,,,,,,,0.0001,-0.0004843070288188756,0.20898928344249726,0.10167849063873291,0.2,0.00017198152,-0.5811022877693176,230,0.0,0.09325730800628662
,,,,,7200,,24,0.73,1.65,10551,0,-0.2685978500000001,,,,,,,,,,
7500,0,4056,-0.08945426083635538,0.88,7500,1.26,,,,,,,0.0001,-0.0011692671043419978,0.19656018540263176,0.09171633422374725,0.2,0.00040280924,-0.5662033081054687,240,0.0,0.15097945928573608
,,,,,7500,,25,0.76,1.64,11002,0,-0.23740418000000002,,,,,,,,,,
7800,0,4239,-0.09051366303116083,0.86,7800,1.34,,,,,,,0.0001,-0.0006151802044769283,0.1810802049934864,0.07821141928434372,0.2,0.0015148957,-0.5402691632509231,250,0.002112926170229912,0.1573960781097412
,,,,,7800,,26,0.7,1.74,11484,0,-0.30897172,,,,,,,,,,
8100,0,4429,-0.02907981556840241,0.96,8100,1.16,,,,,,,0.0001,-0.0018404340746201342,0.17589926049113275,0.07371826469898224,0.2,0.0003517929,-0.5472252577543258,260,0.0,0.2779242992401123
,,,,,8100,,27,0.76,1.63,11915,0,-0.2407109,,,,,,,,,,
8400,0,4608,-0.11095092770643532,0.88,8400,1.28,,,,,,,0.0001,-0.0006133694546406332,0.18929084166884422,0.08796678483486176,0.2,0.00020037468,-0.5610172301530838,270,0.000390625,0.1667047142982483
,,,,,8400,,28,0.75,1.65,12353,0,-0.21231767999999998,,,,,,,,,,
8700,0,4783,-0.09066794547252358,0.88,8700,1.32,,,,,,,0.0001,-0.004456664045210346,0.19123229756951332,0.06291784346103668,0.2,0.0012231581,-0.523161880671978,280,0.0,0.09599602222442627
,,,,,8700,,29,0.71,1.71,12816,0,-0.24428393,,,,,,,,,,
9000,0,4966,-0.06769405961036683,0.94,9000,1.14,,,,,,,0.0001,-0.000863070880586747,0.18265115842223167,0.08516785502433777,0.2,0.00047623424,-0.47755865901708605,290,0.000390625,0.1945180892944336
,,,,,9000,,30,0.7,1.67,13250,0,-0.29420593000000006,,,,,,,,,,
9300,0,5153,-0.030110890734940766,0.96,9300,1.14,,,,,,,0.0001,-0.003934494023366142,0.1902397684752941,0.07007353007793427,0.2,0.0018724899,-0.4641585752367973,300,0.007510653510689735,0.14922142028808594
,,,,,9300,,31,0.76,1.62,13703,0,-0.22459120999999999,,,,,,,,,,
9600,0,5332,-0.13075550250709056,0.86,9600,1.32,,,,,,,0.0001,-0.0012555702610825392,0.18902275413274766,0.06882435083389282,0.2,0.00019511525,-0.4389811396598816,310,0.0,0.12957000732421875
,,,,,9600,,32,0.7,1.64,14152,0,-0.25020358000000004,,,,,,,,,,
9900,0,5521,-0.11081260209903121,0.9,9900,1.26,,,,,,,0.0001,-0.000519379202459902,0.17827611416578293,0.07528498768806458,0.2,9.9769e-05,-0.41417741775512695,320,0.0,0.2738732099533081
,,,,,9900,,33,0.79,1.58,14584,0,-0.18282568000000002,,,,,,,,,,
10200,0,5694,-0.0687696139793843,0.92,10200,1.2,,,,,,,0.0001,-0.001638146469304047,0.18802578039467335,0.08100651949644089,0.2,0.00029620886,-0.3968630194664001,330,0.0,0.10448628664016724
,,,,,10200,,34,0.66,1.79,15051,0,-0.29375721,,,,,,,,,,
10500,0,5881,-0.0900907112006098,0.88,10500,1.3,,,,,,,0.0001,-0.0010184713938958367,0.18733048364520072,0.08363264054059982,0.2,0.00032329749,-0.376647424697876,340,0.0,0.19852954149246216
,,,,,10500,,35,0.75,1.59,15498,0,-0.25250966999999996,,,,,,,,,,
10800,0,6075,-0.06837266014423221,0.94,10800,1.16,,,,,,,0.0001,-0.0003184823222909472,0.17357458770275117,0.08149921894073486,0.2,4.35444e-05,-0.3749901905655861,350,0.0,0.19334667921066284
,,,,,10800,,36,0.73,1.62,15943,0,-0.26464118000000003,,,,,,,,,,
11100,0,6255,-0.1519552205968648,0.84,11100,1.36,,,,,,,0.0001,-8.586287472738263e-05,0.17983398884534835,0.10969390720129013,0.2,4.370316e-05,-0.3762377753853798,360,0.0,0.2132495641708374
,,,,,11100,,37,0.74,1.65,16422,0,-0.26482227999999997,,,,,,,,,,
11400,0,6431,-0.09086895979009568,0.9,11400,1.3,,,,,,,0.0001,-0.0003379231600717958,0.19970413520932198,0.08373179286718369,0.2,0.00012532214,-0.36663237363100054,370,0.0,0.19314509630203247
,,,,,11400,,38,0.7,1.71,16894,0,-0.25406713000000003,,,,,,,,,,
11700,0,6622,-0.07048474186565727,0.92,11700,1.26,,,,,,,0.0001,-3.5002463846467435e-05,0.1687418270856142,0.08338851481676102,0.2,1.49534635e-05,-0.3602702707052231,380,0.0,0.20575857162475586
,,,,,11700,,39,0.81,1.53,17353,0,-0.18256880000000003,,,,,,,,,,
12000,0,6804,-0.08922684153541922,0.9,12000,1.26,,,,,,,0.0001,-0.0002674357916930603,0.1651492014527321,0.06875228881835938,0.2,5.0997212e-05,-0.36653544306755065,390,0.0,0.22352749109268188
,,,,,12000,,40,0.75,1.62,17814,0,-0.25327848,,,,,,,,,,
12300,0,6984,-0.06964589820243418,0.9,12300,1.28,,,,,,,0.0001,-0.002204260709549999,0.1781970478594303,0.08728370070457458,0.2,0.000519139,-0.3561561554670334,400,0.0,0.2495008111000061
,,,,,12300,,41,0.78,1.6,18259,0,-0.19482386999999995,,,,,,,,,,
12600,0,7168,-0.04877062170766294,0.96,12600,1.14,,,,,,,0.0001,-0.0014940709620532289,0.1916257381439209,0.07287248224020004,0.2,0.0003865407,-0.3222725734114647,410,0.0,0.16827428340911865
,,,,,12600,,42,0.75,1.65,18708,0,-0.24727441,,,,,,,,,,
12900,0,7350,-0.07436662142165006,0.86,12900,1.34,,,,,,,0.0001,-0.0007221365231089294,0.16971571668982505,0.10177095979452133,0.2,0.00044599385,-0.3072646751999855,420,0.002112926170229912,0.2973695993423462
,,,,,12900,,43,0.72,1.75,19168,0,-0.268681,,,,,,,,,,
13200,0,7517,-0.04876854498870671,0.92,13200,1.18,,,,,,,0.0001,-0.00047245633249985984,0.17880347184836864,0.09504560381174088,0.2,7.387267e-05,-0.2906732216477394,430,0.0,0.14086759090423584
,,,,,13200,,44,0.69,1.78,19613,0,-0.28622099,,,,,,,,,,
13500,0,7699,-0.09147528827656061,0.9,13500,1.24,,,,,,,0.0001,-0.00013236330351809044,0.17867363840341569,0.087690569460392,0.2,1.082346e-05,-0.2868622049689293,440,0.0,0.24530678987503052
,,,,,13500,,45,0.77,1.57,20060,0,-0.19724732999999997,,,,,,,,,,
13800,0,7873,-0.06931562191806734,0.9,13800,1.24,,,,,,,0.0001,-0.0013210918728418619,0.1516727339476347,0.05684079974889755,0.2,7.468112e-05,-0.28828083276748656,450,0.0,0.34294652938842773
,,,,,13800,,46,0.66,1.76,20502,0,-0.30777019,,,,,,,,,,
14100,0,8050,-0.049863841482438144,0.94,14100,1.18,,,,,,,0.0001,-0.0017834659818618092,0.18707500845193864,0.060611944645643234,0.2,0.00046709605,-0.28344685584306717,460,0.0,0.18928056955337524
,,,,,14100,,47,0.76,1.56,20934,0,-0.23075375999999997,,,,,,,,,,
14400,0,8234,-0.026873173024505377,0.98,14400,1.06,,,,,,,0.0001,-0.0010871938461903597,0.1679909870028496,0.07540901005268097,0.2,0.00064986973,-0.26120331734418867,470,0.0023082386702299117,0.27666640281677246
,,,,,14400,,48,0.79,1.49,21355,0,-0.17948516999999994,,,,,,,,,,
14700,0,8428,-0.1104971636319533,0.86,14700,1.36,,,,,,,0.0001,-0.0007521976546613019,0.17150081768631936,0.0846199318766594,0.2,8.335805e-05,-0.24952755719423295,480,0.0,0.26691675186157227
,,,,,14700,,49,0.82,1.46,21805,0,-0.1889952,,,,,,,,,,
15000,0,8619,-0.11771716048475354,0.86,15000,1.34,,,,,,,0.0001,-4.847352543215777e-05,0.1778116174042225,0.08605413138866425,0.2,8.611463e-06,-0.23849022537469863,490,0.0,0.2201552391052246
,,,,,15000,,50,0.72,1.68,22251,0,-0.2748967,,,,,,,,,,
15300,0,8795,-0.06826024529989809,0.92,15300,1.18,,,,,,,0.0001,-0.0003516277308573734,0.19188545048236846,0.08191915601491928,0.2,1.6029755e-05,-0.23794628083705902,500,0.0,0.15183871984481812
,,,,,15300,,51,0.67,1.75,22708,0,-0.30488428,,,,,,,,,,
