env/n_steps,env/completion_counter,env/current_idx,eval/mean_reward,eval/success_rate,time/total_timesteps,eval/mean_ep_length,time/iterations,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/loss,train/clip_range,train/approx_kl,train/entropy_loss,train/n_updates,train/clip_fraction,train/explained_variance
,,,,,25800,,86,0.74,1.67,38068,0,-0.23336071999999997,,,,,,,,,,
26100,0,15542,-0.15476492633111774,0.84,26100,1.36,,,,,,,0.0001,-0.00039116697293632984,0.1688053485006094,0.09331446886062622,0.2,0.00017320806,-0.09988401494920254,860,0.0,0.1976262927055359
,,,,,26100,,87,0.69,1.72,38518,0,-0.29259504,,,,,,,,,,
26400,0,15728,-0.11156085789669305,0.88,26400,1.28,,,,,,,0.0001,-0.0002585002314597684,0.1657628111541271,0.08593865483999252,0.2,3.4118835e-05,-0.09579796753823758,870,0.0,0.2968534231185913
,,,,,26400,,88,0.74,1.63,38946,0,-0.19622478999999998,,,,,,,,,,
26700,0,15919,-0.09197733450680971,0.86,26700,1.38,,,,,,,0.0001,1.753200988918735e-06,0.17542582675814627,0.06980132311582565,0.2,7.683411e-09,-0.09330497235059738,880,0.0,0.19009268283843994
,,,,,26700,,89,0.72,1.64,39398,0,-0.27005222,,,,,,,,,,
27000,0,16107,-0.08915001702029259,0.92,27000,1.22,,,,,,,0.0001,-5.526664542343518e-05,0.17529768720269204,0.10211993008852005,0.2,2.0434275e-06,-0.09341288544237614,890,0.0,0.25074928998947144
,,,,,27000,,90,0.73,1.61,39845,0,-0.29856992000000004,,,,,,,,,,
27300,0,16292,-0.028603982888162138,0.96,27300,1.14,,,,,,,0.0001,1.391416928342437e-07,0.17844380028545856,0.0983944684267044,0.2,5.8091246e-08,-0.09118379652500153,900,0.0,0.26726090908050537
,,,,,27300,,91,0.75,1.67,40275,0,-0.19821428000000002,,,,,,,,,,
27600,0,16479,-0.0697103886725381,0.92,27600,1.2,,,,,,,0.0001,-5.840106398480316e-05,0.18811338394880295,0.06812776625156403,0.2,1.6211998e-06,-0.0912439126521349,910,0.0,0.1198432445526123
,,,,,27600,,92,0.77,1.55,40710,0,-0.21529819999999997,,,,,,,,,,
27900,0,16664,-0.13238078601192682,0.82,27900,1.4,,,,,,,0.0001,-2.9108448860526438e-05,0.17152053005993367,0.05830366909503937,0.2,1.8200794e-06,-0.0922523032873869,920,0.0,0.2135670781135559
,,,,,27900,,93,0.75,1.62,41138,0,-0.20579816999999997,,,,,,,,,,
28200,0,16860,-0.07050136482343078,0.94,28200,1.16,,,,,,,0.0001,-0.0003106343957633761,0.17102276235818864,0.08225544542074203,0.2,1.3021012e-05,-0.0926198024302721,930,0.0,0.23593682050704956
,,,,,28200,,94,0.83,1.49,41564,0,-0.17675586,,,,,,,,,,
28500,0,17061,-0.11183840894140303,0.9,28500,1.26,,,,,,,0.0001,-0.001077972272072758,0.16066007912158967,0.08070385456085205,0.2,4.9013295e-05,-0.09006026610732079,940,0.0,0.22728973627090454
,,,,,28500,,95,0.83,1.45,42033,0,-0.1383591,,,,,,,,,,
28800,0,17260,-0.0713821887364611,0.9,28800,1.3,,,,,,,0.0001,-0.00012747157849277713,0.15379431881010533,0.07540317624807358,0.2,8.074302e-06,-0.08655687533318997,950,0.0,0.2442636489868164
,,,,,28800,,96,0.76,1.58,42465,0,-0.23498934999999996,,,,,,,,,,
29100,0,17443,-0.11023091471288353,0.88,29100,1.3,,,,,,,0.0001,4.8886506182910236e-05,0.14560568183660508,0.05482349917292595,0.2,2.0759455e-05,-0.08824652545154095,960,0.0,0.35432881116867065
,,,,,29100,,97,0.74,1.65,42884,0,-0.24391161000000003,,,,,,,,,,
29400,0,17635,-0.027708484758622944,0.96,29400,1.12,,,,,,,0.0001,-0.0005734261419010345,0.17375223115086555,0.09093746542930603,0.2,5.253018e-05,-0.08546686433255672,970,0.0,0.2594538927078247
,,,,,29400,,98,0.79,1.54,43309,0,-0.21728264999999994,,,,,,,,,,
29700,0,17817,-0.09023571581579745,0.9,29700,1.28,,,,,,,0.0001,4.322350706309486e-05,0.18789579346776009,0.08078987896442413,0.2,1.1216722e-06,-0.0830109667032957,980,0.0,0.19672167301177979
,,,,,29700,,99,0.76,1.61,43746,0,-0.22856924,,,,,,,,,,
30000,0,18009,-0.03232702964451164,0.9,30000,1.24,,,,,,,0.0001,-0.00018972257756981746,0.17036675065755844,0.0752774253487587,0.2,3.6183268e-05,-0.08671551942825317,990,0.0,0.27865201234817505
,,,,,30000,,100,0.75,1.61,44162,0,-0.25729899999999994,,,,,,,,,,
30300,0,18200,-0.046710717515088616,0.96,30300,1.08,,,,,,,0.0001,-0.0001873866826600512,0.1765938490629196,0.08405233919620514,0.2,9.371899e-06,-0.09069639220833778,1000,0.0,0.26915037631988525
,,,,,30300,,101,0.75,1.58,44577,0,-0.23914939000000002,,,,,,,,,,
30600,0,18401,-0.12969821104779838,0.88,30600,1.28,,,,,,,0.0001,-0.0005396361568443808,0.17187943309545517,0.06520599126815796,0.2,6.399853e-05,-0.09168585650622844,1010,0.0,0.26142418384552
,,,,,30600,,102,0.8,1.47,44989,0,-0.20012757000000003,,,,,,,,,,
30900,0,18580,-0.06856683898717165,0.94,30900,1.16,,,,,,,0.0001,-5.564358937220071e-05,0.15438391342759133,0.0837826058268547,0.2,1.5412923e-05,-0.08638198375701904,1020,0.0,0.3507317900657654
,,,,,30900,,103,0.77,1.6,45395,0,-0.24831059000000003,,,,,,,,,,
31200,0,18769,-0.10945009688846767,0.9,31200,1.3,,,,,,,0.0001,-0.00042660952676527587,0.1590141411870718,0.057274866849184036,0.2,7.242878e-05,-0.08276624493300914,1030,0.0,0.3279702067375183
,,,,,31200,,104,0.78,1.56,45804,0,-0.19152262,,,,,,,,,,
31500,0,18963,-0.13200893378350884,0.86,31500,1.36,,,,,,,0.0001,-0.00044962119473650474,0.16662777066230774,0.06961960345506668,0.2,8.7348046e-05,-0.07534093745052814,1040,0.0,0.25888073444366455
,,,,,31500,,105,0.86,1.41,46224,0,-0.13240678000000006,,,,,,,,,,
31800,0,19140,-0.07087181397713721,0.92,31800,1.2,,,,,,,0.0001,-0.000344950703716318,0.13625863716006278,0.0579695925116539,0.2,5.50549e-05,-0.07428683638572693,1050,0.0001953125,0.37650781869888306
,,,,,31800,,106,0.74,1.66,46718,0,-0.25038446999999997,,,,,,,,,,
32100,0,19326,-0.04930562381632626,0.94,32100,1.22,,,,,,,0.0001,-0.000332158916153702,0.17582433857023716,0.08888765424489975,0.2,0.00069072796,-0.07375036738812923,1060,0.0011363636702299118,0.29866111278533936
,,,,,32100,,107,0.73,1.62,47128,0,-0.23414315,,,,,,,,,,
32400,0,19518,-0.07016931322868913,0.9,32400,1.32,,,,,,,0.0001,1.6531949359266386e-05,0.20572080463171005,0.09470988810062408,0.2,5.9534796e-07,-0.06653196960687638,1070,0.0,0.05530202388763428
,,,,,32400,,108,0.73,1.67,47535,0,-0.29125375,,,,,,,,,,
32700,0,19705,-0.06905668230261654,0.94,32700,1.18,,,,,,,0.0001,-4.599192786443051e-05,0.1885312333703041,0.09954749792814255,0.2,1.8310966e-06,-0.06699266098439693,1080,0.0,0.2613922953605652
,,,,,32700,,109,0.78,1.52,47948,0,-0.2275951,,,,,,,,,,
33000,0,19894,-0.09139292882755398,0.92,33000,1.2,,,,,,,0.0001,-0.00019480042631068173,0.16735843233764172,0.07341817766427994,0.2,0.00052244007,-0.0669254146516323,1090,0.0032492898404598235,0.293690025806427
,,,,,33000,,110,0.75,1.63,48349,0,-0.25509899,,,,,,,,,,
33300,0,20081,-0.04948415740393102,0.94,33300,1.2,,,,,,,0.0001,-2.8610007249518786e-06,0.17245321869850158,0.05069897323846817,0.2,1.0384247e-07,-0.0660896971821785,1100,0.0,0.2566964626312256
,,,,,33300,,111,0.78,1.52,48756,0,-0.20462822000000003,,,,,,,,,,
33600,0,20268,-0.008498812895268201,1.0,33600,1.12,,,,,,,0.0001,8.907550255177199e-07,0.16609032042324542,0.07574903219938278,0.2,3.8417056e-08,-0.06589212454855442,1110,0.0,0.3075062036514282
,,,,,33600,,112,0.75,1.55,49162,0,-0.22139562,,,,,,,,,,
33900,0,20445,-0.03154053914360702,0.96,33900,1.14,,,,,,,0.0001,-0.0006907127914099309,0.1646931253373623,0.08260185271501541,0.2,0.00015076261,-0.07507114671170712,1120,0.004190341010689736,0.2650824785232544
,,,,,33900,,113,0.7,1.7,49573,0,-0.27877631,,,,,,,,,,
34200,0,20639,-0.06923291296698153,0.92,34200,1.2,,,,,,,0.0001,-2.434049648245562e-05,0.1680405355989933,0.07435692846775055,0.2,1.530163e-06,-0.0664254181087017,1130,0.0,0.31585949659347534
,,,,,34200,,114,0.74,1.67,49998,0,-0.21628156000000004,,,,,,,,,,
34500,0,20823,-0.08917162749916314,0.9,34500,1.22,,,,,,,0.0001,-0.00013190570082395326,0.14553262218832969,0.07727006822824478,0.2,8.309641e-06,-0.06928326524794101,1140,0.0,0.2697415351867676
,,,,,34500,,115,0.77,1.57,50417,0,-0.21005323000000004,,,,,,,,,,
34800,0,21005,-0.15190025054849685,0.86,34800,1.38,,,,,,,0.0001,-4.8016951204488125e-06,0.15752080529928209,0.06839410215616226,0.2,2.3455782e-06,-0.065878364443779,1150,0.0,0.3023267984390259
,,,,,34800,,116,0.75,1.62,50843,0,-0.24226825999999999,,,,,,,,,,
35100,0,21196,-0.13046401019208134,0.84,35100,1.32,,,,,,,0.0001,-0.0002001066075206559,0.17441925182938575,0.07228516787290573,0.2,1.0049436e-05,-0.06476014368236065,1160,0.0,0.24740254878997803
,,,,,35100,,117,0.77,1.61,51258,0,-0.18583128000000002,,,,,,,,,,
35400,0,21381,-0.06849088582210243,0.94,35400,1.12,,,,,,,0.0001,1.565305640487402e-05,0.18403328508138656,0.08659815788269043,0.2,3.772703e-07,-0.06346273608505726,1170,0.0,0.18185955286026
,,,,,35400,,118,0.75,1.66,51656,0,-0.21873576999999997,,,,,,,,,,
35700,0,21566,-0.0674464090168476,0.94,35700,1.12,,,,,,,0.0001,-6.378774852056068e-05,0.15474002696573735,0.05835138261318207,0.2,4.308182e-06,-0.0644593235105276,1180,0.0,0.3073360323905945
,,,,,35700,,119,0.74,1.62,52066,0,-0.27529533000000006,,,,,,,,,,
36000,0,21755,-0.13146932664327324,0.84,36000,1.36,,,,,,,0.0001,-2.5010938671643502e-05,0.1590563427656889,0.06059002876281738,0.2,1.1145603e-06,-0.06533689387142658,1190,0.0,0.3359372019767761
,,,,,36000,,120,0.75,1.58,52484,0,-0.23967787999999995,,,,,,,,,,
36300,0,21948,-0.04846175337675959,0.94,36300,1.2,,,,,,,0.0001,-7.179326322223067e-05,0.18058902621269227,0.06193939968943596,0.2,5.4664088e-06,-0.06562169604003429,1200,0.0,0.21521437168121338
,,,,,36300,,121,0.79,1.55,52907,0,-0.21543338,,,,,,,,,,
36600,0,22128,-0.02813688571564853,0.96,36600,1.12,,,,,,,0.0001,-0.00021490828363779357,0.1784255649894476,0.11191176623106003,0.2,5.0128015e-06,-0.06621442250907421,1210,0.0,0.2043384313583374
,,,,,36600,,122,0.77,1.6,53317,0,-0.24924982999999998,,,,,,,,,,
36900,0,22322,-0.028800478228367864,0.94,36900,1.22,,,,,,,0.0001,-0.0009384697692186528,0.17569342628121376,0.10177230089902878,0.2,0.00054592005,-0.07157458104193211,1220,0.0036399148404598234,0.2944820523262024
,,,,,36900,,123,0.72,1.63,53732,0,-0.24418168999999998,,,,,,,,,,
37200,0,22513,-0.06939585840329528,0.92,37200,1.2,,,,,,,0.0001,4.773029083082748e-10,0.15377203412353993,0.1023479551076889,0.2,0.0,-0.06755944155156612,1230,0.0,0.2938128113746643
,,,,,37200,,124,0.81,1.51,54139,0,-0.18261693999999995,,,,,,,,,,
37500,0,22697,-0.06846550521440804,0.94,37500,1.12,,,,,,,0.0001,-4.820403211791558e-06,0.16586054414510726,0.07838954031467438,0.2,2.3650937e-06,-0.06750784590840339,1240,0.0,0.2430640459060669
,,,,,37500,,125,0.75,1.63,54582,0,-0.24956481999999997,,,,,,,,,,
37800,0,22875,-0.04809556833468378,0.96,37800,1.18,,,,,,,0.0001,-0.00015957961837904656,0.17841421961784362,0.0793667584657669,0.2,1.0448857e-05,-0.06604178659617901,1250,0.0,0.18759417533874512
,,,,,37800,,126,0.7,1.73,55003,0,-0.23597068999999993,,,,,,,,,,
38100,0,23074,-0.048864164375700056,0.94,38100,1.2,,,,,,,0.0001,-0.00012082614816675275,0.19126611426472664,0.092543825507164,0.2,7.9270685e-06,-0.06366702653467655,1260,0.0,0.11723804473876953
,,,,,38100,,127,0.83,1.44,55442,0,-0.14912387000000002,,,,,,,,,,
38400,0,23271,-0.09274317535571754,0.86,38400,1.36,,,,,,,0.0001,-6.739710492649209e-05,0.17197725772857667,0.09928450733423233,0.2,1.505648e-05,-0.06283388175070286,1270,0.0,0.2157955765724182
,,,,,38400,,128,0.8,1.5,55858,0,-0.20528805000000003,,,,,,,,,,
38700,0,23463,-0.008314019083045424,0.98,38700,1.12,,,,,,,0.0001,-8.821947538502073e-05,0.16543094739317893,0.08538561314344406,0.2,1.9925064e-05,-0.06472241878509521,1280,0.0,0.24152755737304688
,,,,,38700,,129,0.76,1.59,56261,0,-0.22081921999999995,,,,,,,,,,
39000,0,23654,-0.13137318009510637,0.88,39000,1.28,,,,,,,0.0001,-6.389673786140193e-05,0.15682140067219735,0.07505160570144653,0.2,4.890724e-06,-0.06716234534978867,1290,0.0,0.22575116157531738
,,,,,39000,,130,0.69,1.69,56691,0,-0.27180966,,,,,,,,,,
39300,0,23851,-0.04783063410781324,0.96,39300,1.16,,,,,,,0.0001,-0.00018823020568974335,0.1800511859357357,0.07309774309396744,0.2,7.732899e-06,-0.06811577230691909,1300,0.0,0.2424560785293579
,,,,,39300,,131,0.73,1.65,57120,0,-0.27984513000000005,,,,,,,,,,
39600,0,24056,-0.027408043672330677,0.96,39600,1.08,,,,,,,0.0001,-0.00012651382183466177,0.14494400843977928,0.04331924393773079,0.2,4.5426423e-06,-0.06721623241901398,1310,0.0,0.32466280460357666
,,,,,39600,,132,0.81,1.42,57532,0,-0.17641476,,,,,,,,,,
39900,0,24230,-0.028197473105974494,0.96,39900,1.14,,,,,,,0.0001,-1.2901935340181581e-05,0.15008966848254204,0.05089284107089043,0.2,4.781177e-07,-0.06651417389512063,1320,0.0,0.3297464847564697
,,,,,39900,,133,0.74,1.67,57960,0,-0.24808787,,,,,,,,,,
40200,0,24426,-0.047916559474542736,0.96,40200,1.1,,,,,,,0.0001,-0.0005207615853350944,0.1730574205517769,0.08317182213068008,0.2,0.00017356717,-0.06394068039953708,1330,0.0,0.2250537872314453
,,,,,40200,,134,0.79,1.56,58378,0,-0.23117750999999997,,,,,,,,,,
40500,0,24611,-0.0700088557275012,0.94,40500,1.12,,,,,,,0.0001,3.179710825388371e-05,0.17626719772815705,0.09578168392181396,0.2,2.9591123e-05,-0.059944676049053666,1340,0.0,0.20663505792617798
,,,,,40500,,135,0.74,1.62,58804,0,-0.25317951,,,,,,,,,,
40800,0,24803,-0.06896554248873145,0.94,40800,1.18,,,,,,,0.0001,-5.360548873589721e-06,0.17830993235111237,0.0815608948469162,0.2,2.256129e-07,-0.05860713217407465,1350,0.0,0.28108012676239014
,,,,,40800,,136,0.74,1.61,59222,0,-0.24570221999999997,,,,,,,,,,
41100,0,24998,-0.06886267363093794,0.92,41100,1.22,,,,,,,0.0001,-0.00015552393302167288,0.1655326269567013,0.07798619568347931,0.2,7.179915e-06,-0.057547332160174845,1360,0.0,0.29185593128204346
,,,,,41100,,137,0.85,1.4,59661,0,-0.14274825,,,,,,,,,,
41400,0,25193,-0.07168498503509908,0.94,41400,1.2,,,,,,,0.0001,-0.0002795720449285888,0.16191976442933081,0.06426231563091278,0.2,2.244045e-05,-0.056213065050542355,1370,0.0,0.2643335461616516
,,,,,41400,,138,0.82,1.48,60086,0,-0.17297641999999996,,,,,,,,,,
41700,0,25377,-0.11207426236011088,0.9,41700,1.3,,,,,,,0.0001,1.5092358667700978e-06,0.1579322475939989,0.05815434083342552,0.2,4.2573083e-07,-0.05770925898104906,1380,0.0,0.2664675712585449
,,,,,41700,,139,0.74,1.69,60520,0,-0.23494626999999998,,,,,,,,,,
42000,0,25561,-0.0275565854460001,0.96,42000,1.12,,,,,,,0.0001,-2.341560843444057e-06,0.17663916274905206,0.06429922580718994,0.2,1.3055661e-06,-0.058372584730386735,1390,0.0,0.24209624528884888
,,,,,42000,,140,0.75,1.61,60913,0,-0.27384337999999997,,,,,,,,,,
42300,0,25744,-0.0926031727483496,0.88,42300,1.28,,,,,,,0.0001,1.911962964840086e-07,0.1435906134545803,0.056502051651477814,0.2,3.9401296e-08,-0.05873466804623604,1400,0.0,0.38143664598464966
,,,,,42300,,141,0.72,1.63,61332,0,-0.25335225,,,,,,,,,,
42600,0,25947,-0.09139427958521992,0.92,42600,1.26,,,,,,,0.0001,-0.0003229035974067429,0.15863365083932876,0.07579496502876282,0.2,5.5738237e-05,-0.05937984064221382,1410,0.0,0.30020254850387573
,,,,,42600,,142,0.82,1.48,61766,0,-0.14360156999999998,,,,,,,,,,
42900,0,26133,-0.03049741046037525,0.94,42900,1.26,,,,,,,0.0001,-3.655441047634156e-08,0.17482853382825853,0.07616165280342102,0.2,5.9604645e-08,-0.06226128526031971,1420,0.0,0.10094374418258667
,,,,,42900,,143,0.75,1.58,62178,0,-0.20336453999999995,,,,,,,,,,
43200,0,26318,-0.09111719992011785,0.86,43200,1.3,,,,,,,0.0001,6.194353296962163e-09,0.17401602044701575,0.09991439431905746,0.2,0.0,-0.06328712701797486,1430,0.0,0.20451945066452026
,,,,,43200,,144,0.77,1.55,62627,0,-0.22338753,,,,,,,,,,
43500,0,26502,-0.03203089170157909,0.98,43500,1.08,,,,,,,0.0001,-4.277908354319848e-05,0.1543493539094925,0.06520170718431473,0.2,1.9422732e-06,-0.06321050822734833,1440,0.0,0.3441832661628723
,,,,,43500,,145,0.76,1.59,63030,0,-0.22629365999999998,,,,,,,,,,
43800,0,26688,-0.09248524704482407,0.9,43800,1.26,,,,,,,0.0001,-6.401784373721852e-08,0.18127661496400832,0.10338199883699417,0.2,0.0,-0.06195418927818537,1450,0.0,0.2433111071586609
,,,,,43800,,146,0.76,1.57,63468,0,-0.22277634000000002,,,,,,,,,,
44100,0,26882,-0.09057090050540864,0.92,44100,1.22,,,,,,,0.0001,-9.399989017258025e-05,0.1648668795824051,0.08785860240459442,0.2,7.3729316e-06,-0.061255468241870406,1460,0.0,0.33595550060272217
,,,,,44100,,147,0.79,1.56,63887,0,-0.22587441999999996,,,,,,,,,,
44400,0,27065,-0.09021353418473155,0.92,44400,1.22,,,,,,,0.0001,-0.00013114255429673704,0.16220380440354348,0.07185856252908707,0.2,1.173258e-05,-0.061489911004900935,1470,0.0,0.3030815124511719
,,,,,44400,,148,0.74,1.64,64310,0,-0.23977460999999997,,,,,,,,,,
44700,0,27255,-0.11505859657656402,0.88,44700,1.26,,,,,,,0.0001,-1.7810001463436364e-05,0.1652238614857197,0.09319882839918137,0.2,1.9188737e-06,-0.06364547908306122,1480,0.0,0.27076035737991333
,,,,,44700,,149,0.73,1.63,64755,0,-0.25197436,,,,,,,,,,
45000,0,27443,-0.04852166679222137,0.92,45000,1.18,,,,,,,0.0001,-0.0001132623861384019,0.15243689864873886,0.07813649624586105,0.2,9.699216e-06,-0.061958528496325015,1490,0.0,0.3142176866531372
,,,,,45000,,150,0.73,1.64,65184,0,-0.28557932,,,,,,,,,,
45300,0,27635,-0.09148479038849473,0.82,45300,1.38,,,,,,,0.0001,-7.040573207905964e-06,0.16724151596426964,0.0877266451716423,0.2,6.601807e-07,-0.061082088761031626,1500,0.0,0.30273574590682983
,,,,,45300,,151,0.75,1.62,65617,0,-0.21798502000000003,,,,,,,,,,
45600,0,27818,-0.1533212474733591,0.8,45600,1.42,,,,,,,0.0001,-3.600581100990929e-05,0.1460797980427742,0.0947432741522789,0.2,4.381978e-06,-0.06140514146536589,1510,0.0,0.3173524737358093
,,,,,45600,,152,0.7,1.72,66062,0,-0.30073976,,,,,,,,,,
45900,0,28002,-0.027952991435304286,0.98,45900,1.14,,,,,,,0.0001,-3.2011352330885146e-05,0.17167868316173554,0.09454019367694855,0.2,2.445071e-06,-0.06097984090447426,1520,0.0,0.31475192308425903
,,,,,45900,,153,0.78,1.57,66471,0,-0.23606579999999996,,,,,,,,,,
46200,0,28195,-0.13012895530089735,0.88,46200,1.28,,,,,,,0.0001,1.0920310628392827e-05,0.15133242420852183,0.06038552150130272,0.2,7.0374754e-06,-0.059670038521289825,1530,0.0,0.3820708990097046
,,,,,46200,,154,0.8,1.52,66926,0,-0.21347198999999997,,,,,,,,,,
46500,0,28373,-0.11529830483254046,0.86,46500,1.36,,,,,,,0.0001,-6.17601305498816e-05,0.17528025656938553,0.09787671267986298,0.2,2.7031638e-06,-0.059702098555862906,1540,0.0,0.2696130871772766
,,,,,46500,,155,0.71,1.69,67368,0,-0.29227564000000006,,,,,,,,,,
46800,0,28571,-0.05466381403617561,0.94,46800,1.2,,,,,,,0.0001,4.0322033423301204e-08,0.18890014365315438,0.1023741215467453,0.2,0.0,-0.06109279971569777,1550,0.0,0.17791277170181274
,,,,,46800,,156,0.8,1.51,67808,0,-0.19077026999999996,,,,,,,,,,
47100,0,28756,-0.04877894336823374,0.96,47100,1.14,,,,,,,0.0001,-3.3668594286417884e-05,0.17628588750958443,0.09400378167629242,0.2,7.867813e-06,-0.061130079254508016,1560,0.0,0.24628853797912598
,,,,,47100,,157,0.77,1.59,68235,0,-0.20896891999999997,,,,,,,,,,
47400,0,28954,-0.08928046843968332,0.92,47400,1.22,,,,,,,0.0001,-0.00015392226910504458,0.16035585328936577,0.08515682816505432,0.2,6.5075e-06,-0.06091528423130512,1570,0.0,0.31267279386520386
,,,,,47400,,158,0.81,1.46,68686,0,-0.16297469000000003,,,,,,,,,,
47700,0,29142,-0.11200426870491356,0.88,47700,1.26,,,,,,,0.0001,-0.0008448788155197562,0.16270659416913985,0.09513706713914871,0.2,2.7411648e-05,-0.05891120750457048,1580,0.0,0.25139862298965454
,,,,,47700,,159,0.73,1.63,69117,0,-0.19461606000000004,,,,,,,,,,
48000,0,29336,-0.02939499751664698,0.96,48000,1.14,,,,,,,0.0001,-4.221089501807995e-05,0.17290341667830944,0.07645274698734283,0.2,2.776606e-05,-0.05479248892515898,1590,0.0,0.16539156436920166
,,,,,48000,,160,0.8,1.51,69527,0,-0.20744477,,,,,,,,,,
48300,0,29529,-0.0912664980161935,0.92,48300,1.2,,,,,,,0.0001,-0.00038126748034006397,0.14398001059889792,0.07162599265575409,0.2,2.6686117e-05,-0.052336192689836025,1600,0.0,0.27761465311050415
,,,,,48300,,161,0.77,1.58,69968,0,-0.20999206999999995,,,,,,,,,,
48600,0,29717,-0.1510114542534575,0.86,48600,1.3,,,,,,,0.0001,-4.049791152045401e-05,0.15650485828518867,0.0963698998093605,0.2,7.704482e-06,-0.04840069878846407,1610,0.0,0.31893426179885864
,,,,,48600,,162,0.73,1.63,70392,0,-0.27559639,,,,,,,,,,
48900,0,29907,-0.00880924795754254,0.94,48900,1.18,,,,,,,0.0001,3.866247962758252e-06,0.17228525951504708,0.06321913003921509,0.2,2.0954758e-08,-0.04729779716581106,1620,0.0,0.26590490341186523
,,,,,48900,,163,0.76,1.57,71066,0,-0.22480498999999998,,,,,,,,,,
49200,0,30100,-0.027441961551085116,0.98,49200,1.08,,,,,,,0.0001,-2.2112560849052442e-08,0.1654378242790699,0.10446523129940033,0.2,0.0,-0.04761581253260374,1630,0.0,0.25080156326293945
,,,,,49200,,164,0.75,1.58,71506,0,-0.26002482,,,,,,,,,,
49500,0,30285,-0.008470429088920355,0.92,49500,1.16,,,,,,,0.0001,-2.7378341603467858e-05,0.16393206007778643,0.07094218581914902,0.2,1.4542602e-06,-0.04827127959579229,1640,0.0,0.2869228720664978
,,,,,49500,,165,0.74,1.66,71940,0,-0.25750059,,,,,,,,,,
49800,0,30470,-0.06859401946421713,0.9,49800,1.22,,,,,,,0.0001,-1.6975468364321955e-09,0.16792632192373275,0.06646744906902313,0.2,0.0,-0.04873348008841276,1650,0.0,0.2879844903945923
,,,,,49800,,166,0.72,1.7,72360,0,-0.27697961000000004,,,,,,,,,,
50100,0,30657,-0.11301055257208645,0.9,50100,1.22,,,,,,,0.0001,-1.553864829768603e-05,0.18083991557359697,0.09011267870664597,0.2,6.1723404e-07,-0.04910021536052227,1660,0.0,0.22478610277175903
,,,,,50100,,167,0.71,1.68,72790,0,-0.28083875999999997,,,,,,,,,,
50400,0,30842,-0.0493483499577269,0.96,50400,1.12,,,,,,,0.0001,-1.7197356101039672e-05,0.1550910346210003,0.06562034040689468,0.2,1.7917482e-06,-0.04975035469979048,1670,0.0,0.34764522314071655
,,,,,50400,,168,0.73,1.68,73200,0,-0.26175815999999996,,,,,,,,,,
50700,0,31029,-0.15002831199206412,0.84,50700,1.38,,,,,,,0.0001,-0.00020250158932739738,0.17246851325035095,0.09895225614309311,0.2,1.2753881e-05,-0.048839707672595975,1680,0.0,0.24818772077560425
,,,,,50700,,169,0.78,1.56,73630,0,-0.18731859,,,,,,,,,,
51000,0,31219,-0.08991202119737864,0.9,51000,1.28,,,,,,,0.0001,-0.00028003230532291923,0.16881894543766976,0.08079114556312561,0.2,1.28612155e-05,-0.045507661812007424,1690,0.0,0.2182161808013916
,,,,,51000,,170,0.72,1.67,74055,0,-0.26075696,,,,,,,,,,
51300,0,31413,-0.04850735045969486,0.94,51300,1.14,,,,,,,0.0001,-1.4474869445280091e-07,0.16131862066686153,0.05747309699654579,0.2,2.3283064e-10,-0.04275876209139824,1700,0.0,0.25722718238830566
,,,,,51300,,171,0.69,1.69,74586,0,-0.32190561,,,,,,,,,,
51600,0,31597,-0.13220418088603764,0.88,51600,1.3,,,,,,,0.0001,-7.120307170715989e-06,0.14649859815835953,0.0736599788069725,0.2,4.564412e-06,-0.0436956163495779,1710,0.0,0.4222247004508972
,,,,,51600,,172,0.71,1.72,75019,0,-0.28811162,,,,,,,,,,
51900,0,31787,-0.09214328831527382,0.9,51900,1.24,,,,,,,0.0001,-3.74317823032988e-05,0.18254860416054725,0.10537715256214142,0.2,2.143439e-06,-0.04223998263478279,1720,0.0,0.2305930256843567
,,,,,51900,,173,0.74,1.64,75470,0,-0.22379172,,,,,,,,,,
52200,0,31976,-0.17452633885201066,0.82,52200,1.46,,,,,,,0.0001,-0.00016712583388880375,0.1625135365873575,0.08915315568447113,0.2,1.6925856e-05,-0.043695240281522274,1730,0.0,0.2320041060447693
,,,,,52200,,174,0.75,1.62,75915,0,-0.25251417,,,,,,,,,,
52500,0,32169,-0.04687165381852537,0.96,52500,1.1,,,,,,,0.0001,-0.00037647645655685124,0.1409276369959116,0.05873788520693779,0.2,3.504312e-05,-0.04543558042496443,1740,0.0,0.36300164461135864
,,,,,52500,,175,0.81,1.54,76338,0,-0.17468615000000004,,,,,,,,,,
52800,0,32358,-0.07588196753989905,0.9,52800,1.22,,,,,,,0.0001,-0.00025010975864852013,0.17869261801242828,0.09974488615989685,0.2,1.9815168e-05,-0.04372859355062246,1750,0.0,0.20473909378051758
,,,,,52800,,176,0.87,1.43,76772,0,-0.12395541000000003,,,,,,,,,,
53100,0,32549,-0.0895526900421828,0.92,53100,1.22,,,,,,,0.0001,7.01165250145408e-06,0.17113724052906037,0.090632863342762,0.2,7.21775e-09,-0.04091715309768915,1760,0.0,0.20024853944778442
,,,,,53100,,177,0.76,1.55,77192,0,-0.23018804999999998,,,,,,,,,,
