env/n_steps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/success_rate,env/completion_counter,time/iterations,env/current_idx,time/fps,train/clip_fraction,train/n_updates,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/approx_kl,train/loss,train/clip_range,eval/mean_reward,eval/mean_ep_length,eval/success_rate
4740,-0.03956814,1.22,4740,6451,0.96,0,79,3371,0,0.0,3900,-0.0020248043490573766,-0.42529475688934326,-5.015025527743688e-06,0.001,0.03586209788918495,0.0,0.0091379564255476,0.2,,,
4800,-0.05154669,1.21,4800,6536,0.95,0,80,3419,0,0.0,3950,-0.0022297122748568656,0.055594444274902344,-2.533853021251531e-06,0.001,0.03881895564030856,0.0,0.001410127617418766,0.2,,,
4860,-0.042359789999999994,1.23,4860,6608,0.94,0,81,3468,0,0.0,4000,-0.002632087548263371,0.3769530653953552,-1.7282913203331418e-06,0.001,0.03965471651405096,9.934108e-10,0.014933775179088116,0.2,,,
4920,-0.06218312,1.25,4920,6694,0.93,0,82,3515,0,0.0,4050,-0.001932323738001287,-0.5720653533935547,-3.2202464762960404e-05,0.001,0.044430394843220714,1.39077505e-08,0.02033022977411747,0.2,,,
4980,-0.07299807999999999,1.3,4980,6784,0.91,0,83,3561,0,0.0,4100,-0.0015789322345517575,0.15106719732284546,-1.467227947724581e-06,0.001,0.04853130550007336,0.0,0.0003306175349280238,0.2,,,
5040,-0.08517533000000001,1.36,5040,6867,0.9,0,84,3602,0,0.0,4150,-0.0019211186771281063,-0.2712686061859131,-3.518770632195967e-05,0.001,0.05109371842816472,1.39077505e-08,0.0023908973671495914,0.2,,,
5100,-0.09234227,1.32,5100,6941,0.91,0,85,3649,0,0.0,4200,-0.001619376891758293,0.15899324417114258,-3.026192644012937e-05,0.001,0.0706736071780324,1.7881394e-08,0.004129634238779545,0.2,,,
5160,-0.08139886,1.34,5160,7022,0.91,0,86,3696,0,0.07066666826605797,4250,-0.1158654447644949,0.09591329097747803,-0.02670159806061264,0.001,0.03552800186909735,0.19522165,-0.04649937525391579,0.2,,,
5220,-0.09345655000000001,1.32,5220,7101,0.91,0,87,3740,0,0.18033333674073218,4300,-0.23889532208442688,0.01436537504196167,-0.047898078888654716,0.001,0.025805410761386156,0.10136603,-0.05173850804567337,0.2,,,
5280,-0.12719645999999998,1.41,5280,7185,0.88,0,88,3781,0,0.22833333663642408,4350,-0.21942794024944307,0.11959779262542725,-0.06456848758459093,0.001,0.06776941451244056,0.31832442,-0.07896718382835388,0.2,,,
5340,-0.11396300999999999,1.36,5340,7259,0.9,0,89,3831,0,0.2700000052154064,4400,-0.2070431151986122,0.11144626140594482,-0.07039656613022088,0.001,0.0460686240112409,0.31275228,-0.09045379608869553,0.2,,,
5400,-0.08266706000000001,1.35,5400,7336,0.92,0,90,3869,0,0.3496666683256626,4450,-0.3880282610654831,-0.4967827796936035,-0.08232200273623072,0.001,0.056893328968435526,0.3381761,-0.09141615778207779,0.2,,,
5460,-0.10226298,1.43,5460,7408,0.9,0,91,3909,0,0.35299999818205835,4500,-0.2880139046907425,-0.5747698545455933,-0.09504721866796416,0.001,0.03931567539460957,0.21159782,-0.1106875091791153,0.2,,,
5520,-0.13579107,1.49,5520,7480,0.87,0,92,3952,0,0.3006666699051857,4550,-0.2814807263016701,-0.051526665687561035,-0.06663081820557515,0.001,0.058179156775586306,0.28645155,-0.08673041313886642,0.2,,,
5580,-0.13494814999999996,1.47,5580,7551,0.87,0,93,3993,0,0.16100000388920307,4600,-0.03719314955174923,0.06233859062194824,-0.054514027528464765,0.001,0.046329891094937924,0.51075834,-0.06512104719877243,0.2,,,
5640,-0.09370169999999999,1.39,5640,7634,0.91,0,94,4038,0,0.23633333653211594,4650,-0.1510543292760849,0.04173707962036133,-0.07524512167399124,0.001,0.04667799255810678,0.59808177,-0.09550050646066666,0.2,,,
5700,-0.07157915,1.36,5700,7709,0.93,0,95,4081,0,0.2413333373516798,4700,-0.13301011741161348,-0.6020959615707397,-0.06063619477301835,0.001,0.037943166699260476,0.33546782,-0.0682952031493187,0.2,,,
5760,-0.050067979999999984,1.25,5760,7791,0.94,0,96,4134,0,0.18433333575725555,4750,-0.1374538443982601,0.01347053050994873,-0.061152573864907044,0.001,0.10633092395961284,0.16520095,-0.04872773215174675,0.2,,,
5820,-0.06184862000000001,1.26,5820,7868,0.94,0,97,4178,0,0.1553333367779851,4800,-0.10477974131703377,-41.78827667236328,-0.03948130674163494,0.001,0.0011972097305988428,0.56186783,-0.05471276491880417,0.2,,,
5880,-0.07362966000000001,1.37,5880,7947,0.92,0,98,4217,0,0.2840000028908253,4850,-0.1740404684841633,0.07387727499008179,-0.06022749196117122,0.001,0.0947391989082098,0.25087097,-0.0831463634967804,0.2,,,
5940,-0.08397825999999999,1.4,5940,8038,0.91,0,99,4265,0,0.29633333697915076,4900,-0.2801221999526024,-0.35900044441223145,-0.055394189651434625,0.001,0.03649070798885077,0.36662635,-0.06863656640052795,0.2,,,
6000,,,6000,,,0,,4317,,0.35800000131130216,4950,-0.28647692561149596,0.007743358612060547,-0.07003903906295697,0.001,0.04537450839066878,0.18737043,-0.07930547744035721,0.2,-0.09163376573240384,1.39,0.9
,-0.05965247,1.2,6000,8290,0.95,,100,,0,,,,,,,,,,,,,
6060,-0.10151097,1.33,6060,8369,0.91,0,101,4355,0,0.1890000031888485,5000,-0.1905507493019104,0.023191332817077637,-0.04250422387694318,0.001,0.057330264281481504,0.14150743,-0.0479838103055954,0.2,,,
6120,-0.11335993000000003,1.38,6120,8449,0.9,0,102,4404,0,0.4579999904334545,5050,-0.22063385725021362,0.46668553352355957,-0.08556718253344296,0.001,0.05351141048595309,0.93342716,-0.08844094723463058,0.2,,,
6180,-0.10362854,1.37,6180,8522,0.9,0,103,4445,0,0.23200000509619711,5100,-0.13859319776296616,-0.2150782346725464,-0.042602370558927447,0.001,0.04748960251919925,0.6454936,-0.053453803062438965,0.2,,,
6240,-0.09401569000000003,1.35,6240,8605,0.91,0,104,4492,0,0.31100000292062757,5150,-0.1527305233478546,0.00969308614730835,-0.0556130170027415,0.001,0.02847571258665994,0.44485816,-0.06507529318332672,0.2,,,
6300,-0.061953829999999994,1.25,6300,8677,0.95,0,105,4540,0,0.25766666695475576,5200,-0.11720898643136024,-0.15725457668304443,-0.06254518608252205,0.001,0.04417201101314276,0.34878042,-0.06653283536434174,0.2,,,
6360,-0.12500282,1.45,6360,8750,0.88,0,106,4575,0,0.16366667076945304,5250,-0.0987234964966774,0.2745448350906372,-0.03483049212023616,0.001,0.010483412202447653,0.6877458,-0.0753752738237381,0.2,,,
