env/current_idx,env/completion_counter,env/n_steps,time/total_timesteps,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,train/n_updates,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/learning_rate,train/loss,train/approx_kl,train/value_loss,eval/mean_reward,eval/success_rate,eval/mean_ep_length
478,0,720,720,0.87,1.55,812,24,0,-0.13045904000000003,1150,0.2,0.49600000858306886,-0.05477601362516484,-0.3712243801355362,-517.2924194335938,0.001,-0.07039859890937805,0.74883187,0.0028985517885303123,,,
499,0,750,750,0.88,1.51,844,25,0,-0.1172134,1200,0.2,0.6079999969899654,-0.13263366364315154,-0.49883759796619415,0.021731972694396973,0.001,-0.1559835821390152,0.2736053,0.10558848520275205,,,
521,0,780,780,0.9,1.48,876,26,0,-0.10918624999999998,1250,0.2,0.5206666706502437,-0.12033858091384175,-0.4702823269367218,0.24462240934371948,0.001,-0.1414256989955902,0.44908124,0.01896037842147052,,,
547,0,810,810,0.93,1.39,910,27,0,-0.07794704000000001,1300,0.2,0.4006666711717844,-0.08820818001280227,-0.3034886425733566,0.029420554637908936,0.001,-0.09752410650253296,0.37027514,0.029343846635892987,,,
571,0,840,840,0.93,1.33,941,28,0,-0.07609616000000001,1350,0.2,0.2940000058710575,-0.05465487974882126,-0.2858717995882034,-70.51209259033203,0.001,-0.07130776345729828,0.34078422,0.0008056512125767767,,,
598,0,870,870,0.97,1.21,973,29,0,-0.041619619999999996,1400,0.2,0.43933333560824395,-0.10090509221206108,-0.3343039488792419,0.01611328125,0.001,-0.12667213380336761,0.6405183,0.062182954648742454,,,
621,0,900,900,0.96,1.2,1010,30,0,-0.029622679999999995,1450,0.2,0.46133334323763847,-0.08162225573261579,-0.39337454080581663,-85.6129379272461,0.001,-0.10515084117650986,0.8244761,0.0029708519905398134,,,
639,0,930,930,0.93,1.29,1040,31,0,-0.05057129999999999,1500,0.2,0.68800000295043,-0.11223915429413317,-0.9188687133789063,-1.3351044654846191,0.001,-0.12095920741558075,0.40740368,0.0005279576074099169,,,
662,0,960,960,0.92,1.34,1072,32,0,-0.062279009999999996,1550,0.2,0.4326666693389416,-0.11204705875118574,-0.5652103042602539,0.007204413414001465,0.001,-0.13152503967285156,0.20407735,0.06682046092581004,,,
690,0,990,990,0.93,1.28,1109,33,0,-0.051358289999999994,1600,0.2,0.4693333475291729,-0.08525432037810486,-0.6041619992256164,-0.3080183267593384,0.001,-0.08995387703180313,0.436562,0.026290409193607048,,,
