env/n_steps,time/total_timesteps,eval/mean_reward,eval/success_rate,env/completion_counter,env/current_idx,eval/mean_ep_length,time/time_elapsed,rollout/ep_rew_mean,rollout/success_rate,time/iterations,time/fps,rollout/ep_len_mean,train/approx_kl,train/n_updates,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/clip_range,train/explained_variance,train/entropy_loss,train/loss
210,210,-0.09839772298932076,0.92,0,78,1.62,,,,,,,0.018105112,60,0.17308679223060608,-0.03341975703331013,0.1766666729003191,0.001,0.2,-0.3678014278411865,-1.8968369603157043,-0.0698065236210823
,210,,,,,,954,-0.3396893636363637,0.6753246753246753,7,0,2.727272727272727,,,,,,,,,,
240,240,-0.07601626511663198,0.92,0,87,1.42,,,,,,,0.021975292,70,0.21324612125754355,-0.04520844470709564,0.2933333370834589,0.001,0.2,-1.1138994693756104,-1.8886431455612183,-0.06186415255069733
,240,,,,,,1080,-0.3454469302325581,0.6744186046511628,8,0,2.7674418604651163,,,,,,,,,,
270,270,-0.05393769639078528,0.94,0,97,1.42,,,,,,,0.037483633,80,0.17256783396005632,-0.06670753962981238,0.22333333939313887,0.001,0.2,-0.01969778537750244,-1.8817689418792725,-0.07873298227787018
,270,,,,,,1198,-0.36824723958333333,0.6666666666666666,9,0,2.78125,,,,,,,,,,
300,300,-0.05657144443131983,0.92,0,107,1.6,,,,,,,0.032256234,90,0.1831682302057743,-0.0528357143048197,0.18000000417232515,0.001,0.2,0.35900694131851196,-1.7923354864120484,-0.0458013080060482
,300,,,,,,1329,-0.38862452000000003,0.66,10,0,2.79,,,,,,,,,,
330,330,-0.07297884374391288,0.94,0,123,1.3,,,,,,,0.04517552,100,0.16067092791199683,-0.07230718313405911,0.2966666705906391,0.001,0.2,0.04217904806137085,-1.756865656375885,-0.07812494039535522
,330,,,,,,1437,-0.32645016,0.73,11,0,2.59,,,,,,,,,,
360,360,-0.051524311401881275,0.94,0,131,1.28,,,,,,,0.02902875,110,0.16878171265125275,-0.047906492864713004,0.17000000067055226,0.001,0.2,-0.7250913381576538,-1.7053352355957032,-0.05405454710125923
,360,,,,,,1547,-0.32620615999999997,0.72,12,0,2.63,,,,,,,,,,
390,390,-0.09301977625116706,0.92,0,143,1.36,,,,,,,0.037219014,120,0.21148443296551706,-0.048072794862091685,0.3000000022351742,0.001,0.2,-0.0832204818725586,-1.605236792564392,-0.039555519819259644
,390,,,,,,1673,-0.31863379000000003,0.73,13,0,2.7,,,,,,,,,,
420,420,-0.07392098413780332,0.94,0,151,1.36,,,,,,,0.040864892,130,0.15155720785260202,-0.055424122009426216,0.20666666850447654,0.001,0.2,0.05388283729553223,-1.593936836719513,-0.04731049761176109
,420,,,,,,1794,-0.32984757000000003,0.72,14,0,2.79,,,,,,,,,,
