env/n_steps,eval/mean_reward,eval/success_rate,eval/mean_ep_length,time/total_timesteps,env/current_idx,env/completion_counter,rollout/ep_rew_mean,time/fps,time/iterations,rollout/success_rate,time/time_elapsed,rollout/ep_len_mean,train/value_loss,train/policy_gradient_loss,train/loss,train/entropy_loss,train/clip_range,train/n_updates,train/explained_variance,train/learning_rate,train/clip_fraction,train/approx_kl
38100,-0.10977495915722102,0.86,1.3,38100,22001,0,,,,,,,0.12310513965785504,-0.04671851767227054,-0.057434216141700745,-0.2640807509422302,0.2,1260,-0.09619104862213135,0.001,0.24275568202137948,0.21138814
,,,,38100,,,-0.27210887000000006,0,127,0.7,54851,1.73,,,,,,,,,,
38400,-0.1335702981147915,0.84,1.38,38400,22178,0,,,,,,,0.11386166151612997,-0.05301812127232552,-0.03615957871079445,-0.30276709228754045,0.2,1270,0.0022603869438171387,0.001,0.25295454561710357,0.13207912
,,,,38400,,,-0.24428694999999995,0,128,0.7,55272,1.71,,,,,,,,,,
38700,-0.02917586681433022,0.94,1.16,38700,22347,0,,,,,,,0.1247286070883274,-0.04616716455901042,-0.042105533182621,-0.3301999518275261,0.2,1280,-0.006928205490112305,0.001,0.2567045450210571,0.13615818
,,,,38700,,,-0.28306810000000004,0,129,0.68,55670,1.73,,,,,,,,,,
39000,-0.15361933364532887,0.86,1.36,39000,22522,0,,,,,,,0.1325538747012615,-0.04826911552809179,-0.037668805569410324,-0.31600622802972794,0.2,1290,-0.01393747329711914,0.001,0.26696022793650626,0.2075566
,,,,39000,,,-0.25533558,0,130,0.7,56074,1.74,,,,,,,,,,
39300,-0.1165089753549546,0.88,1.32,39300,22694,0,,,,,,,0.11805838651955128,-0.04408572421874851,-0.058057017624378204,-0.31468156576156614,0.2,1300,0.024561583995819092,0.001,0.22928977265954018,0.21076718
,,,,39300,,,-0.28536232,0,131,0.65,56508,1.86,,,,,,,,,,
39600,-0.1545724615966901,0.84,1.48,39600,22869,0,,,,,,,0.1156640336662531,-0.04578692803159356,-0.0766914039850235,-0.339909273982048,0.2,1310,-0.06156575679779053,0.001,0.23122159138321877,0.1843582
,,,,39600,,,-0.23470727000000002,0,132,0.76,56927,1.62,,,,,,,,,,
39900,-0.06877330813091248,0.92,1.2,39900,23034,0,,,,,,,0.14351952530443668,-0.0582012908346951,-0.062116384506225586,-0.40142108500003815,0.2,1320,0.0324934720993042,0.001,0.2793181820213795,0.22638813
,,,,39900,,,-0.28987519999999994,0,133,0.66,57330,1.77,,,,,,,,,,
40200,-0.17205758722499012,0.8,1.44,40200,23216,0,,,,,,,0.13737769916653633,-0.05752534715458751,-0.05588522180914879,-0.40573411285877226,0.2,1330,0.058564960956573486,0.001,0.300085226893425,0.15756518
,,,,40200,,,-0.35047839,0,134,0.68,57755,1.76,,,,,,,,,,
40500,-0.07081718088593333,0.88,1.34,40500,23392,0,,,,,,,0.1294610310345888,-0.04819555402500555,-0.059914253652095795,-0.32300486832857134,0.2,1340,0.1288941502571106,0.001,0.2574999997019768,0.20035625
,,,,40500,,,-0.28266952,0,135,0.69,58156,1.72,,,,,,,,,,
40800,-0.05062429239973426,0.88,1.26,40800,23565,0,,,,,,,0.11701399449259042,-0.05663785328157246,-0.0507715567946434,-0.41412923753261566,0.2,1350,0.1414884328842163,0.001,0.2928693176805973,0.2308397
,,,,40800,,,-0.25244246,0,136,0.69,58552,1.8,,,,,,,,,,
41100,-0.09250580457504838,0.86,1.38,41100,23729,0,,,,,,,0.11383687991648912,-0.0584382448066026,-0.05071614682674408,-0.4095757335424423,0.2,1360,-0.06206178665161133,0.001,0.267443181425333,0.18885586
,,,,41100,,,-0.3340397000000001,0,137,0.64,58950,1.89,,,,,,,,,,
41400,-0.11066897678654641,0.88,1.28,41400,23898,0,,,,,,,0.12260813232511282,-0.05543640384450555,-0.07239235192537308,-0.39062416553497314,0.2,1370,0.025743961334228516,0.001,0.26113636314868927,0.20197105
,,,,41400,,,-0.2974514,0,138,0.67,59357,1.79,,,,,,,,,,
41700,-0.11321348637808114,0.88,1.3,41700,24067,0,,,,,,,0.11220376193523407,-0.0428162765421439,-0.03135410696268082,-0.39400303184986113,0.2,1380,0.0400734543800354,0.001,0.2676136365532875,0.19506693
,,,,41700,,,-0.32890038,0,139,0.67,59770,1.79,,,,,,,,,,
42000,-0.13517047075554728,0.8,1.44,42000,24243,0,,,,,,,0.11297522839158773,-0.06333561565726996,-0.0771559625864029,-0.3746564382314682,0.2,1390,0.11047732830047607,0.001,0.306477273106575,0.23297875
,,,,42000,,,-0.25918742,0,140,0.73,60197,1.63,,,,,,,,,,
42300,-0.15337556299753488,0.8,1.5,42300,24420,0,,,,,,,0.1114943653345108,-0.04849086608039215,-0.035763487219810486,-0.3201199117302895,0.2,1400,0.1781126856803894,0.001,0.2462499998509884,0.17330113
,,,,42300,,,-0.26385317,0,141,0.72,60621,1.74,,,,,,,,,,
42600,-0.09394116853829473,0.9,1.28,42600,24602,0,,,,,,,0.1156280704960227,-0.04535394614562392,-0.06557722389698029,-0.3227998232841492,0.2,1410,-0.03778696060180664,0.001,0.23164772763848304,0.16845374
,,,,42600,,,-0.22188163000000002,0,142,0.73,61028,1.6,,,,,,,,,,
42900,-0.13074252566322683,0.86,1.36,42900,24776,0,,,,,,,0.12804240688681603,-0.040088326397817585,-0.021709254011511803,-0.2950629162788391,0.2,1420,-0.0991898775100708,0.001,0.23250000059604645,0.15893516
,,,,42900,,,-0.24374375000000004,0,143,0.74,61441,1.66,,,,,,,,,,
43200,-0.09051017627120019,0.9,1.26,43200,24947,0,,,,,,,0.13990702331066132,-0.04977753972634673,-0.03593066707253456,-0.3155656349658966,0.2,1430,0.012081325054168701,0.001,0.2547727265954018,0.25287864
,,,,43200,,,-0.2530868,0,144,0.73,61856,1.77,,,,,,,,,,
43500,-0.027602373049594463,0.98,1.08,43500,25120,0,,,,,,,0.12129187323153019,-0.052289266269654036,-0.05098004639148712,-0.3727987241744995,0.2,1440,0.01432943344116211,0.001,0.2885227270424366,0.26491922
,,,,43500,,,-0.19088119999999997,0,145,0.76,62252,1.7,,,,,,,,,,
43800,-0.028175638476386666,0.98,1.1,43800,25290,0,,,,,,,0.11498696684837341,-0.05913701562210918,-0.06156022846698761,-0.40577884912490847,0.2,1450,0.006546676158905029,0.001,0.3052556820213795,0.45063275
,,,,43800,,,-0.36898854999999997,0,146,0.61,62661,1.86,,,,,,,,,,
44100,-0.09184699199162423,0.82,1.42,44100,25460,0,,,,,,,0.1429652502387762,-0.05350809366907924,-0.020789701491594315,-0.3881153118610382,0.2,1460,-0.017198562622070312,0.001,0.29269886314868926,0.28568342
,,,,44100,,,-0.27640927000000004,0,147,0.74,63076,1.67,,,,,,,,,,
44400,-0.15452793966047465,0.86,1.3,44400,25628,0,,,,,,,0.11202413860708475,-0.062330313734710215,-0.07559852302074432,-0.4157909405231476,0.2,1470,0.04577279090881348,0.001,0.2948295450210571,0.19868423
,,,,44400,,,-0.32936085000000004,0,148,0.63,63485,1.86,,,,,,,,,,
44700,-0.17058337095193565,0.82,1.36,44700,25792,0,,,,,,,0.12646462470293046,-0.057939714286476374,-0.043006159365177155,-0.40549752831459046,0.2,1480,-0.0010769367218017578,0.001,0.30406250059604645,0.19777301
,,,,44700,,,-0.36133308,0,149,0.63,63887,1.91,,,,,,,,,,
45000,-0.11037597671151161,0.9,1.22,45000,25958,0,,,,,,,0.12154129639267922,-0.05643845216371119,-0.0697321817278862,-0.3955105322599411,0.2,1490,-0.0071440935134887695,0.001,0.28951704517006877,0.19541673
,,,,45000,,,-0.23534212,0,150,0.74,64338,1.74,,,,,,,,,,
45300,-0.09144059565849602,0.88,1.34,45300,26138,0,,,,,,,0.12022373389452695,-0.055648193284869196,-0.049650173634290695,-0.32151337176561356,0.2,1500,0.009998738765716553,0.001,0.283835226893425,0.19462155
,,,,45300,,,-0.25471974,0,151,0.73,64778,1.69,,,,,,,,,,
45600,-0.0924586531938985,0.9,1.24,45600,26325,0,,,,,,,0.12643879130482674,-0.05216283576563001,-0.02677321620285511,-0.2949042770266533,0.2,1510,-0.08154857158660889,0.001,0.2750000004470348,0.26143062
,,,,45600,,,-0.23181413999999997,0,152,0.75,65201,1.65,,,,,,,,,,
45900,-0.08905992154963314,0.92,1.24,45900,26498,0,,,,,,,0.11944245129823684,-0.04410467321053147,-0.04815829545259476,-0.22280821591615677,0.2,1520,0.06323587894439697,0.001,0.19349431827664376,0.13217309
,,,,45900,,,-0.24297886000000002,0,153,0.72,65631,1.72,,,,,,,,,,
46200,-0.06979758192785085,0.88,1.28,46200,26683,0,,,,,,,0.11765054993331432,-0.03726152216084302,-0.042098578065633774,-0.2426518741250038,0.2,1530,0.0542941689491272,0.001,0.21536931827664374,0.16665016
,,,,46200,,,-0.24356399000000004,0,154,0.74,66038,1.65,,,,,,,,,,
46500,-0.04865172295831144,0.96,1.12,46500,26853,0,,,,,,,0.1324513454735279,-0.04578593651764095,-0.0424128919839859,-0.2738982391357422,0.2,1540,-0.16167211532592773,0.001,0.21991477206349372,0.2689306
,,,,46500,,,-0.3305641899999999,0,155,0.68,66436,1.78,,,,,,,,,,
46800,-0.19654082723427563,0.8,1.44,46800,27041,0,,,,,,,0.11283106878399848,-0.04434090092778206,-0.0389162041246891,-0.2960637304186821,0.2,1550,0.18369919061660767,0.001,0.2259090907871723,0.1402175
,,,,46800,,,-0.26908959000000005,0,156,0.68,66851,1.74,,,,,,,,,,
47100,-0.13137397235725076,0.84,1.4,47100,27221,0,,,,,,,0.12027589116245509,-0.0470265151001513,-0.033200353384017944,-0.28516678482294083,0.2,1560,-0.07163369655609131,0.001,0.24338068231940269,0.21060462
,,,,47100,,,-0.22696917999999996,0,157,0.76,67277,1.62,,,,,,,,,,
47400,-0.0912808091705665,0.88,1.26,47400,27398,0,,,,,,,0.1243265450745821,-0.05384748814627528,-0.06436830759048462,-0.31950413912534714,0.2,1570,0.020059585571289062,0.001,0.240909091681242,0.1258234
,,,,47400,,,-0.23353015,0,158,0.74,67720,1.64,,,,,,,,,,
47700,-0.05107542798388749,0.9,1.28,47700,27561,0,,,,,,,0.11168761320412159,-0.04836025960743427,-0.014855187386274338,-0.2950201314687729,0.2,1580,0.12844419479370117,0.001,0.2554829548299313,0.21340223
,,,,47700,,,-0.36603933,0,159,0.64,68164,1.83,,,,,,,,,,
48000,-0.0734629548760131,0.88,1.24,48000,27745,0,,,,,,,0.11500802248716355,-0.06082931283861399,-0.07464543730020523,-0.38851371258497236,0.2,1590,0.19518357515335083,0.001,0.31792613700032235,0.3105288
,,,,48000,,,-0.22959465000000004,0,160,0.72,68595,1.7,,,,,,,,,,
48300,-0.11161812379024923,0.84,1.42,48300,27939,0,,,,,,,0.11563089802861214,-0.05014810871332884,-0.05882920324802399,-0.2914173009991646,0.2,1600,-0.13683152198791504,0.001,0.2585795450210571,0.28719229
,,,,48300,,,-0.21864861000000005,0,161,0.79,69045,1.56,,,,,,,,,,
48600,-0.04909140700474381,0.92,1.2,48600,28134,0,,,,,,,0.13368888296186923,-0.04767631184309721,-0.03310684859752655,-0.256658576130867,0.2,1610,-0.03689241409301758,0.001,0.23218750059604645,0.20302889
,,,,48600,,,-0.18569927,0,162,0.81,69473,1.54,,,,,,,,,,
48900,-0.047938658129423856,0.94,1.16,48900,28316,0,,,,,,,0.0964710108190775,-0.05611868880689144,-0.05199090391397476,-0.30086599707603456,0.2,1620,0.09915429353713989,0.001,0.2593181821703911,0.1721738
,,,,48900,,,-0.27156285999999996,0,163,0.74,69891,1.64,,,,,,,,,,
49200,-0.07130749866366387,0.88,1.28,49200,28497,0,,,,,,,0.13241765201091765,-0.05077155441977084,-0.04649293050169945,-0.3066087630391121,0.2,1630,0.09702223539352417,0.001,0.2573863637447357,0.1601151
,,,,49200,,,-0.23366328,0,164,0.73,70317,1.63,,,,,,,,,,
49500,-0.13065967840142548,0.84,1.32,49500,28662,0,,,,,,,0.12997589342296123,-0.05176173560321331,-0.0425843670964241,-0.33490151405334473,0.2,1640,0.08881270885467529,0.001,0.2681818179786205,0.25008348
,,,,49500,,,-0.30761466,0,165,0.66,70758,1.79,,,,,,,,,,
49800,-0.06893805195111781,0.92,1.22,49800,28854,0,,,,,,,0.12685358211398123,-0.0454534705542028,-0.033061474561691284,-0.3345727199316025,0.2,1650,0.11078089475631714,0.001,0.23778409138321877,0.19095232
,,,,49800,,,-0.24215792,0,166,0.77,71399,1.57,,,,,,,,,,
50100,-0.1320624631550163,0.86,1.38,50100,29025,0,,,,,,,0.11756208039820194,-0.0368991675414145,-0.01944253034889698,-0.28328820288181306,0.2,1660,0.15701961517333984,0.001,0.19948863685131074,0.20473763
,,,,50100,,,-0.25419896000000003,0,167,0.75,71849,1.74,,,,,,,,,,
50400,-0.05312668768689036,0.86,1.36,50400,29206,0,,,,,,,0.12302131429314614,-0.04912364875897765,-0.049146562814712524,-0.35023970246315,0.2,1670,-0.026188254356384277,0.001,0.2584659089148045,0.24011293
,,,,50400,,,-0.22800003,0,168,0.76,72266,1.65,,,,,,,,,,
50700,-0.11186538466718048,0.9,1.28,50700,29388,0,,,,,,,0.11780890978872777,-0.057538528144359585,-0.04117021709680557,-0.3422015804052353,0.2,1680,0.07331061363220215,0.001,0.28096590876579286,0.16437604
,,,,50700,,,-0.27086117,0,169,0.74,72694,1.6,,,,,,,,,,
51000,-0.04810419403016567,0.96,1.14,51000,29574,0,,,,,,,0.13855823703110218,-0.03959120964631438,-0.023157283663749695,-0.3057486528158188,0.2,1690,0.09822142124176025,0.001,0.22394886374473572,0.15734603
,,,,51000,,,-0.23093682999999998,0,170,0.75,73140,1.61,,,,,,,,,,
51300,-0.06997189457528293,0.94,1.18,51300,29753,0,,,,,,,0.12888167202472686,-0.040488091558218,-0.04556901007890701,-0.2611420273780823,0.2,1700,-0.11013960838317871,0.001,0.2124147729575634,0.15321183
,,,,51300,,,-0.25275622,0,171,0.74,73565,1.69,,,,,,,,,,
51600,-0.07157542563974857,0.92,1.2,51600,29925,0,,,,,,,0.12277953721582889,-0.04681000655516982,-0.05335378274321556,-0.292749043405056,0.2,1710,-0.051029086112976074,0.001,0.21633522778749467,0.22750719
,,,,51600,,,-0.26629311000000006,0,172,0.75,73977,1.59,,,,,,,,,,
51900,-0.06975215067155659,0.92,1.22,51900,30118,0,,,,,,,0.1299012428894639,-0.04568364905193448,-0.06502783298492432,-0.316935852766037,0.2,1720,0.11787557601928711,0.001,0.22545454546809196,0.13392672
,,,,51900,,,-0.23520539,0,173,0.77,74435,1.57,,,,,,,,,,
52200,-0.09110673796851188,0.86,1.32,52200,30294,0,,,,,,,0.12230276636779308,-0.043831430077552795,-0.034084197133779526,-0.33300510138273237,0.2,1730,0.12765979766845703,0.001,0.2067045457661152,0.26204666
,,,,52200,,,-0.28308764,0,174,0.71,74908,1.68,,,,,,,,,,
52500,-0.17629039010498673,0.8,1.44,52500,30481,0,,,,,,,0.14865503832697868,-0.04992465134942904,-0.02712113782763481,-0.33576232492923735,0.2,1740,-0.0425262451171875,0.001,0.23599431827664374,0.17660017
,,,,52500,,,-0.23262878000000003,0,175,0.78,75350,1.54,,,,,,,,,,
52800,-0.11079183979891241,0.86,1.28,52800,30658,0,,,,,,,0.1113070321828127,-0.04923649333417415,-0.019167983904480934,-0.33565100103616713,0.2,1750,0.11708670854568481,0.001,0.2667045459151268,0.25202194
,,,,52800,,,-0.25632097,0,176,0.74,75772,1.68,,,,,,,,,,
53100,-0.08901079404633493,0.9,1.24,53100,30835,0,,,,,,,0.11288064397871495,-0.04896630438044667,-0.06614404916763306,-0.3247078943252564,0.2,1760,0.0766800045967102,0.001,0.2518465918302536,0.17484488
,,,,53100,,,-0.31538134,0,177,0.67,76288,1.75,,,,,,,,,,
53400,-0.0482099064392969,0.96,1.16,53400,31005,0,,,,,,,0.10751811906695366,-0.04799845697358251,-0.051570408046245575,-0.34946461737155915,0.2,1770,0.22862815856933594,0.001,0.2544318184256554,0.110877454
,,,,53400,,,-0.30076176999999993,0,178,0.68,76723,1.77,,,,,,,,,,
53700,-0.08822495168074966,0.92,1.16,53700,31186,0,,,,,,,0.12271643795073033,-0.05196887087076903,-0.06325582414865494,-0.42197080731391906,0.2,1780,0.11986374855041504,0.001,0.2903125,0.2102476
,,,,53700,,,-0.30819053,0,179,0.7,77141,1.68,,,,,,,,,,
54000,-0.1333779620146379,0.86,1.32,54000,31375,0,,,,,,,0.11754195876419544,-0.04298293028026819,-0.05647684633731842,-0.31869510680437085,0.2,1790,0.21796643733978271,0.001,0.22477272838354112,0.18594474
,,,,54000,,,-0.22808282,0,180,0.76,77591,1.57,,,,,,,,,,
54300,-0.13494444160722197,0.84,1.38,54300,31553,0,,,,,,,0.12760439291596412,-0.04608034735778346,-0.03847873955965042,-0.3326650032401085,0.2,1800,0.0502094030380249,0.001,0.2212784095108509,0.18273203
,,,,54300,,,-0.24648025,0,181,0.73,78047,1.73,,,,,,,,,,
54600,-0.07212000446859747,0.94,1.14,54600,31728,0,,,,,,,0.11734959527850151,-0.047606008984148504,-0.01969035528600216,-0.3257596915960312,0.2,1810,0.09314632415771484,0.001,0.23201704606413842,0.16283496
,,,,54600,,,-0.26340735,0,182,0.69,78481,1.73,,,,,,,,,,
54900,-0.08999353001825511,0.88,1.26,54900,31902,0,,,,,,,0.11660307753831148,-0.05062310580164194,-0.040766313672065735,-0.3134426599740982,0.2,1820,-0.03172171115875244,0.001,0.2574147728085518,0.17907554
,,,,54900,,,-0.23560368000000004,0,183,0.71,78908,1.62,,,,,,,,,,
55200,-0.11355616151355206,0.88,1.32,55200,32087,0,,,,,,,0.12203350692987441,-0.04754878937499598,-0.042454224079847336,-0.33141074776649476,0.2,1830,0.030701756477355957,0.001,0.21718750029802322,0.1505924
,,,,55200,,,-0.27090258,0,184,0.72,79327,1.63,,,,,,,,,,
55500,-0.13307610203046352,0.88,1.32,55500,32284,0,,,,,,,0.12644017346203326,-0.044151446372270586,-0.024293506518006325,-0.35508592188358307,0.2,1840,-0.0882190465927124,0.001,0.23065340936183928,0.11380632
,,,,55500,,,-0.21139965000000008,0,185,0.8,79759,1.53,,,,,,,,,,
55800,-0.08901218145154416,0.92,1.22,55800,32475,0,,,,,,,0.1048384714499116,-0.04038028541021049,-0.03777512162923813,-0.25733778178691863,0.2,1850,0.11282199621200562,0.001,0.18653409138321878,0.14976808
,,,,55800,,,-0.22658513,0,186,0.78,80172,1.6,,,,,,,,,,
56100,-0.16014621008187532,0.82,1.5,56100,32655,0,,,,,,,0.0868702021613717,-0.0469297593832016,-0.045471273362636566,-0.3163715818524361,0.2,1860,0.20456838607788086,0.001,0.22034090921282767,0.3140367
,,,,56100,,,-0.31020034,0,187,0.67,80602,1.78,,,,,,,,,,
56400,-0.09170337829738856,0.9,1.22,56400,32829,0,,,,,,,0.11878844801336527,-0.03986004618927837,-0.014572247862815857,-0.2669116935133934,0.2,1870,0.09674727916717529,0.001,0.19917613685131072,0.16308787
,,,,56400,,,-0.28330614,0,188,0.71,81055,1.71,,,,,,,,,,
56700,-0.09167097569443286,0.84,1.38,56700,33017,0,,,,,,,0.13127332843840123,-0.04085843782871962,-0.057155754417181015,-0.25195078283548356,0.2,1880,-0.08814501762390137,0.001,0.21022727236151695,0.17586397
,,,,56700,,,-0.20715587,0,189,0.77,81498,1.56,,,,,,,,,,
57000,-0.11194444099441171,0.9,1.26,57000,33199,0,,,,,,,0.10528233017772436,-0.03265511968173087,-0.05504579469561577,-0.22665032207965852,0.2,1890,0.05320084095001221,0.001,0.1726136364042759,0.13468459
,,,,57000,,,-0.24888842,0,190,0.76,81946,1.59,,,,,,,,,,
57300,-0.028831161949783565,0.98,1.16,57300,33387,0,,,,,,,0.14078550167381765,-0.04597806897945702,-0.04189686104655266,-0.2233460608124733,0.2,1900,-0.021299004554748535,0.001,0.2107670459151268,0.17841947
,,,,57300,,,-0.21175369999999996,0,191,0.78,82358,1.58,,,,,,,,,,
57600,-0.07094279016833753,0.92,1.26,57600,33566,0,,,,,,,0.12502746537327766,-0.04766192032024264,-0.05643139034509659,-0.24621684312820435,0.2,1910,-0.08228540420532227,0.001,0.20792613700032234,0.1727864
,,,,57600,,,-0.31805446000000004,0,192,0.67,82796,1.74,,,,,,,,,,
57900,-0.0512223541829735,0.92,1.16,57900,33744,0,,,,,,,0.13629131734371186,-0.04778980417991988,-0.06226620078086853,-0.2476292160153389,0.2,1920,-0.006279110908508301,0.001,0.21144886404275895,0.21345611
,,,,57900,,,-0.33832898,0,193,0.68,83209,1.75,,,,,,,,,,
58200,-0.09102243219036608,0.9,1.28,58200,33917,0,,,,,,,0.16075389355421066,-0.04165483172982931,-0.008128255605697632,-0.24180769473314284,0.2,1930,-0.13725244998931885,0.001,0.22079545468091966,0.20399694
,,,,58200,,,-0.3239214,0,194,0.65,83663,1.78,,,,,,,,,,
58500,-0.11167863638605922,0.86,1.34,58500,34092,0,,,,,,,0.13259825482964516,-0.04683834080351516,-0.012624748051166534,-0.2575303944945335,0.2,1940,-0.05546307563781738,0.001,0.2121022729575634,0.17754295
,,,,58500,,,-0.3718843600000001,0,195,0.65,84079,1.79,,,,,,,,,,
58800,-0.06952971281483769,0.92,1.22,58800,34276,0,,,,,,,0.15247809201478957,-0.04440919451415539,-0.029651109129190445,-0.26573566526174547,0.2,1950,0.07863235473632812,0.001,0.23159091010689736,0.17083833
,,,,58800,,,-0.27280098999999997,0,196,0.7,84501,1.68,,,,,,,,,,
59100,-0.11068585972301662,0.88,1.34,59100,34464,0,,,,,,,0.12721818253397943,-0.03813539430266246,-0.013759948313236237,-0.21507731556892395,0.2,1960,0.14883095026016235,0.001,0.18775568217039107,0.17827669
,,,,59100,,,-0.25005066000000004,0,197,0.73,84943,1.64,,,,,,,,,,
59400,-0.11308991006575525,0.88,1.32,59400,34640,0,,,,,,,0.12038901761174202,-0.0327200546709355,-0.031011568382382393,-0.1716130194067955,0.2,1970,0.12769299745559692,0.001,0.1738920457661152,0.22084203
,,,,59400,,,-0.33499393,0,198,0.67,85369,1.73,,,,,,,,,,
59700,-0.09227660565637053,0.84,1.32,59700,34827,0,,,,,,,0.12010756596922874,-0.03241366715636104,-0.023866917937994003,-0.22969850927591323,0.2,1980,0.1324353814125061,0.001,0.19230113685131073,0.19837976
,,,,59700,,,-0.27720849000000003,0,199,0.73,85813,1.64,,,,,,,,,,
60000,-0.08878756612539292,0.9,1.22,60000,35005,0,,,,,,,0.10824890874326229,-0.03359021233394742,-0.03605031594634056,-0.2974774220585823,0.2,1990,0.13976675271987915,0.001,0.2136363632977009,0.12851866
,,,,60000,,,-0.27641514,0,200,0.69,86240,1.73,,,,,,,,,,
60300,-0.09053830799646675,0.88,1.24,60300,35197,0,,,,,,,0.11643579646945,-0.04538231099024415,-0.06879983842372894,-0.29920558154582977,0.2,2000,0.027560770511627197,0.001,0.24389204517006874,0.17202452
,,,,60300,,,-0.23653060000000004,0,201,0.77,86651,1.53,,,,,,,,,,
60600,-0.1712198196304962,0.82,1.4,60600,35390,0,,,,,,,0.12432057522237301,-0.047429126123897734,-0.02176564559340477,-0.2456667873263359,0.2,2010,0.11115455627441406,0.001,0.2238920460641384,0.21956792
,,,,60600,,,-0.22076187,0,202,0.74,87100,1.56,,,,,,,,,,
60900,-0.15365667273290456,0.86,1.38,60900,35570,0,,,,,,,0.11898296155035495,-0.03520778148435056,-0.07651206851005554,-0.240842265188694,0.2,2020,0.027276277542114258,0.001,0.19360795497894287,0.106549576
,,,,60900,,,-0.25791921,0,203,0.72,87555,1.7,,,,,,,,,,
61200,-0.12931768323760479,0.86,1.3,61200,35748,0,,,,,,,0.12560165546834468,-0.04402993976138532,-0.040699753910303116,-0.24038613587617874,0.2,2030,-0.06203794479370117,0.001,0.2151704551279545,0.23100209
,,,,61200,,,-0.31084754000000003,0,204,0.71,88004,1.68,,,,,,,,,,
61500,-0.08985932846087963,0.92,1.24,61500,35937,0,,,,,,,0.09242129053920507,-0.040828566970303654,-0.055694930255413055,-0.23899494647979735,0.2,2040,0.17744243144989014,0.001,0.2160227280855179,0.25458047
,,,,61500,,,-0.22672141999999998,0,205,0.73,88424,1.65,,,,,,,,,,
61800,-0.04857247667387128,0.96,1.12,61800,36125,0,,,,,,,0.10315435983240605,-0.046966687198728325,-0.01594224013388157,-0.2594300401210785,0.2,2050,0.16735756397247314,0.001,0.23431818127632142,0.21134353
,,,,61800,,,-0.28584131999999995,0,206,0.71,88857,1.65,,,,,,,,,,
62100,-0.10945268356706947,0.88,1.26,62100,36291,0,,,,,,,0.11142368216067552,-0.039232738353312015,-0.02757776342332363,-0.23071892976760863,0.2,2060,0.1254441738128662,0.001,0.2150852271914482,0.15987113
,,,,62100,,,-0.32175407,0,207,0.61,89291,1.87,,,,,,,,,,
62400,-0.0683986599277705,0.92,1.16,62400,36458,0,,,,,,,0.14997208468616008,-0.038510801328811795,0.010064389556646347,-0.25410072058439254,0.2,2070,-0.16697418689727783,0.001,0.20752840846776963,0.13872474
,,,,62400,,,-0.30234440999999995,0,208,0.66,89706,1.82,,,,,,,,,,
62700,-0.13364646767266095,0.82,1.38,62700,36638,0,,,,,,,0.13991814017295837,-0.041651378637179735,-0.017142916098237038,-0.23243137896060945,0.2,2080,-0.16073894500732422,0.001,0.2269886365532875,0.16200763
,,,,62700,,,-0.19674576,0,209,0.76,90159,1.56,,,,,,,,,,
63000,-0.03033121269661933,0.96,1.22,63000,36824,0,,,,,,,0.12391239069402218,-0.03769599845167249,-0.02434341423213482,-0.23168834686279297,0.2,2090,0.0676494836807251,0.001,0.2045738635957241,0.13228285
,,,,63000,,,-0.17551647999999997,0,210,0.8,90618,1.49,,,,,,,,,,
63300,-0.0896626921184361,0.92,1.26,63300,37018,0,,,,,,,0.11773905135691166,-0.028577986098825933,0.03644286096096039,-0.19903265491127967,0.2,2100,0.05950742959976196,0.001,0.20403409108519555,0.20154226
,,,,63300,,,-0.17886565000000001,0,211,0.82,91077,1.51,,,,,,,,,,
63600,-0.15272167560178787,0.82,1.4,63600,37200,0,,,,,,,0.10446720704436302,-0.03352827780880034,-0.03543449938297272,-0.21313218638300896,0.2,2110,0.19093334674835205,0.001,0.2026136365532875,0.14867803
,,,,63600,,,-0.26681258,0,212,0.71,91530,1.69,,,,,,,,,,
63900,-0.21475005869753658,0.76,1.58,63900,37378,0,,,,,,,0.13049572542309762,-0.052331090425141155,-0.027625543996691704,-0.26393176972866056,0.2,2120,0.028519630432128906,0.001,0.2455681824684143,0.19282931
,,,,63900,,,-0.29044563999999995,0,213,0.7,92022,1.71,,,,,,,,,,
64200,-0.04872358368244022,0.94,1.2,64200,37564,0,,,,,,,0.11127072408795356,-0.04916909825988114,-0.04333196580410004,-0.2853720539808273,0.2,2130,0.1348111629486084,0.001,0.25511363610625265,0.18111517
,,,,64200,,,-0.23451375000000005,0,214,0.74,92491,1.57,,,,,,,,,,
64500,-0.13002929946873337,0.88,1.26,64500,37737,0,,,,,,,0.10371716521680355,-0.04101043028756976,-0.07248719781637192,-0.25900960445404053,0.2,2140,0.24528539180755615,0.001,0.22926136404275893,0.38798952
,,,,64500,,,-0.3026431,0,215,0.68,92921,1.76,,,,,,,,,,
64800,-0.15128053443972023,0.86,1.38,64800,37913,0,,,,,,,0.137378501445055,-0.056324915462173525,-0.07307873666286469,-0.32425267577171324,0.2,2150,0.007625937461853027,0.001,0.28977272629737855,0.20272064
,,,,64800,,,-0.24320946000000002,0,216,0.73,93381,1.62,,,,,,,,,,
65100,-0.1088520125579089,0.9,1.26,65100,38092,0,,,,,,,0.12087234064936637,-0.041747940611094235,-0.022672131657600403,-0.25505872428417203,0.2,2160,0.0826263427734375,0.001,0.23642045468091966,0.19022301
,,,,65100,,,-0.22538054,0,217,0.73,93841,1.67,,,,,,,,,,
