eval/mean_ep_length,eval/success_rate,env/current_idx,env/completion_counter,time/total_timesteps,eval/mean_reward,env/n_steps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,rollout/success_rate,time/time_elapsed,train/value_loss,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/clip_range,train/explained_variance,train/loss,train/clip_fraction,train/approx_kl
,,,,6300,,,2.14,21,0,-0.24469038999999998,0.81,9762,,,,,,,,,,
1.44,0.92,2561,0,6600,-0.05315646391827613,6600,,,,,,,0.20263317450881005,-0.7574879884719848,0.0001,-0.007177855680492939,210,0.2,0.17190134525299072,0.06857851147651672,0.0034090910106897355,0.0032085644
,,,,6600,,,1.76,22,0,-0.14575983000000003,0.89,10227,,,,,,,,,,
1.54,0.9,2697,0,6900,-0.09682003657333553,6900,,,,,,,0.18762567192316054,-0.6802488684654235,0.0001,-0.0017729084036545828,220,0.2,0.0785711407661438,0.05547601729631424,0.0,0.0006366058
,,,,6900,,,2.33,23,0,-0.30088738000000004,0.77,10723,,,,,,,,,,
1.76,0.88,2852,0,7200,-0.12133611414581537,7200,,,,,,,0.18138162568211555,-0.6438641995191574,0.0001,-0.0029919801199866924,230,0.2,0.21582895517349243,0.06732024252414703,0.0,0.0012282185
,,,,7200,,,1.93,24,0,-0.15779259,0.87,11222,,,,,,,,,,
1.2,1.0,2985,0,7500,-0.008905708603560925,7500,,,,,,,0.18134031891822816,-0.6048224717378616,0.0001,0.0004510453043621965,240,0.2,0.018414556980133057,0.10082141309976578,0.0,4.832145e-05
,,,,7500,,,2.21,25,0,-0.23230647,0.82,11666,,,,,,,,,,
1.2,0.98,3128,0,7800,-0.029666183898225427,7800,,,,,,,0.22500878646969796,-0.6156978994607926,0.0001,-0.0005953436145773594,250,0.2,0.11543005704879761,0.10554420202970505,0.0,6.674126e-05
,,,,7800,,,2.11,26,0,-0.24771137000000004,0.78,12097,,,,,,,,,,
1.34,0.96,3260,0,8100,-0.05236245375592261,8100,,,,,,,0.19279148802161217,-0.6195757061243057,0.0001,-0.0011382909295207355,260,0.2,0.152654230594635,0.10314449667930603,0.002112926170229912,0.00054281624
,,,,8100,,,2.17,27,0,-0.21941697999999998,0.8,12554,,,,,,,,,,
1.44,0.92,3410,0,8400,-0.10510197327937931,8400,,,,,,,0.21196857690811158,-0.5750414311885834,0.0001,-0.002227292419411242,270,0.2,0.06849980354309082,0.06988704204559326,0.0,0.00062895403
,,,,8400,,,2.04,28,0,-0.26337719000000004,0.79,13029,,,,,,,,,,
1.48,0.9,3570,0,8700,-0.05757746229879558,8700,,,,,,,0.15876541659235954,-0.537323635816574,0.0001,-0.00022045913137844764,280,0.2,0.3200179934501648,0.06860889494419098,0.0,0.00024093858
,,,,8700,,,1.71,29,0,-0.15745258999999998,0.87,13482,,,,,,,,,,
1.08,0.98,3717,0,9000,-0.027344212983734906,9000,,,,,,,0.20065807402133942,-0.5179529249668121,0.0001,-0.0004450388209079392,290,0.2,0.25260698795318604,0.10633768886327744,0.0,0.00017008523
,,,,9000,,,2.04,30,0,-0.19960553,0.82,13938,,,,,,,,,,
1.32,0.96,3853,0,9300,-0.051362105603329836,9300,,,,,,,0.18063812032341958,-0.5031154587864876,0.0001,-0.0007122281418560306,300,0.2,0.23129338026046753,0.07308819144964218,0.0015625,0.001361706
,,,,9300,,,2.21,31,0,-0.24704954999999998,0.78,14400,,,,,,,,,,
1.48,0.92,4011,0,9600,-0.0727579961810261,9600,,,,,,,0.19254824444651603,-0.4907500222325325,0.0001,-0.0002484670614649076,310,0.2,0.17783129215240479,0.06679748743772507,0.0,4.392679e-05
,,,,9600,,,1.87,32,0,-0.17350254000000004,0.84,14916,,,,,,,,,,
1.28,0.96,4161,0,9900,-0.029938388499431312,9900,,,,,,,0.14240798875689506,-0.49700682163238524,0.0001,-0.0005579612492510932,320,0.2,0.3653903007507324,0.07324200868606567,0.0017578125,0.0004339094
,,,,9900,,,1.92,33,0,-0.1541616,0.87,15375,,,,,,,,,,
1.28,1.0,4303,0,10200,-0.010779313202947378,10200,,,,,,,0.18258729428052903,-0.48802493661642077,0.0001,-0.0005417470554220927,330,0.2,0.10713380575180054,0.06963520497083664,0.0,5.0121664e-05
,,,,10200,,,1.99,34,0,-0.19348669999999998,0.84,15845,,,,,,,,,,
1.38,0.92,4447,0,10500,-0.09375932234805077,10500,,,,,,,0.18104379028081893,-0.48873486518859866,0.0001,-0.0005784418524854118,340,0.2,0.16573387384414673,0.0758761540055275,0.0,8.408123e-05
,,,,10500,,,2.15,35,0,-0.22839321000000004,0.81,16300,,,,,,,,,,
1.36,0.96,4590,0,10800,-0.05165312888566405,10800,,,,,,,0.19536498188972473,-0.4783015206456184,0.0001,-0.0012479603925385162,350,0.2,0.17153584957122803,0.06685219705104828,0.0,0.0003425703
,,,,10800,,,1.97,36,0,-0.18671352999999996,0.83,16775,,,,,,,,,,
1.46,0.94,4734,0,11100,-0.05481783371418714,11100,,,,,,,0.16871335878968238,-0.46342133581638334,0.0001,7.65630161822628e-05,360,0.2,0.21447426080703735,0.07022576034069061,0.0,1.27501235e-05
,,,,11100,,,1.98,37,0,-0.20819155000000003,0.85,17267,,,,,,,,,,
1.32,0.96,4887,0,11400,-0.032431572349742054,11400,,,,,,,0.1919532548636198,-0.45650169551372527,0.0001,-0.0014501619400107302,370,0.2,0.16602134704589844,0.09729968756437302,0.0,0.00012929368
,,,,11400,,,2.0,38,0,-0.25297905,0.8,17760,,,,,,,,,,
1.28,0.96,5038,0,11700,-0.030280207497999072,11700,,,,,,,0.14506166204810142,-0.4319977104663849,0.0001,-0.0011107815490504435,380,0.2,0.4036402106285095,0.07308463752269745,0.0015269886702299119,0.00033758985
,,,,11700,,,1.99,39,0,-0.22931533999999995,0.83,18233,,,,,,,,,,
1.44,0.94,5193,0,12000,-0.07145543832331896,12000,,,,,,,0.20072359442710877,-0.39215264320373533,0.0001,-0.0036327880107705824,390,0.2,0.18296891450881958,0.07066863030195236,0.0,0.00078783697
,,,,12000,,,1.8,40,0,-0.12466344000000001,0.88,18702,,,,,,,,,,
1.2,0.96,5343,0,12300,-0.04845537173096091,12300,,,,,,,0.16978265345096588,-0.3499831140041351,0.0001,-0.0025904438647557982,400,0.2,0.30608969926834106,0.07618729770183563,0.0,0.0009162034
,,,,12300,,,2.04,41,0,-0.21890904,0.81,19159,,,,,,,,,,
1.46,0.94,5499,0,12600,-0.0725315995933488,12600,,,,,,,0.19767364859580994,-0.3206161171197891,0.0001,-0.0023161081389503125,410,0.2,0.15123552083969116,0.10314203053712845,0.0,0.0006987158
,,,,12600,,,2.09,42,0,-0.26046374,0.79,19633,,,,,,,,,,
1.52,0.9,5646,0,12900,-0.11339845188427716,12900,,,,,,,0.2170184798538685,-0.28982997983694075,0.0001,-0.0012236266539815688,420,0.2,0.21571087837219238,0.09523085504770279,0.0,0.00013199136
,,,,12900,,,2.04,43,0,-0.16911435,0.84,20101,,,,,,,,,,
1.28,1.0,5797,0,13200,-0.010646403506398202,13200,,,,,,,0.18088750392198563,-0.28165808469057085,0.0001,4.048729369969806e-05,430,0.2,0.12004250288009644,0.08975102752447128,0.0,7.0656906e-06
,,,,13200,,,2.09,44,0,-0.19843053000000002,0.83,20557,,,,,,,,,,
