eval/mean_ep_length,eval/success_rate,env/current_idx,env/completion_counter,time/total_timesteps,eval/mean_reward,env/n_steps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,rollout/success_rate,time/time_elapsed,train/value_loss,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/clip_range,train/explained_variance,train/loss,train/clip_fraction,train/approx_kl
,,,,26100,,,2.03,87,0,-0.19039757999999998,0.82,40319,,,,,,,,,,
1.36,0.94,12341,0,26400,-0.0527120619546622,26400,,,,,,,0.16372219920158387,-0.1000968363136053,0.0001,6.49013117346442e-06,870,0.2,0.2817106246948242,0.06511691957712173,0.0,3.647292e-07
,,,,26400,,,1.97,88,0,-0.19036652,0.85,40765,,,,,,,,,,
1.2,0.98,12490,0,26700,-0.029407266918569805,26700,,,,,,,0.16502004414796828,-0.10452788546681405,0.0001,-0.00040634670616519487,880,0.2,0.3393208980560303,0.07723278552293777,0.004190341010689736,0.00012561341
,,,,26700,,,1.88,89,0,-0.23534196,0.82,41197,,,,,,,,,,
1.42,0.92,12645,0,27000,-0.05066616892348975,27000,,,,,,,0.18885870650410652,-0.10370854437351226,0.0001,-0.00018039979068080748,890,0.2,0.32692211866378784,0.06424639374017715,0.0,9.821146e-06
,,,,27000,,,2.01,90,0,-0.17284543,0.86,41634,,,,,,,,,,
1.32,0.98,12803,0,27300,-0.013389176679775119,27300,,,,,,,0.17368387430906296,-0.10542485080659389,0.0001,-1.1968985150057066e-05,900,0.2,0.1275537610054016,0.06928334385156631,0.0,1.1386583e-06
,,,,27300,,,1.86,91,0,-0.14315306,0.87,42087,,,,,,,,,,
1.34,0.94,12952,0,27600,-0.07339139836840332,27600,,,,,,,0.19164608120918275,-0.10262127108871937,0.0001,-0.00026622231572099865,910,0.2,0.0802152156829834,0.10284138470888138,0.0,7.755705e-06
,,,,27600,,,1.89,92,0,-0.15418099,0.85,42526,,,,,,,,,,
1.4,0.92,13109,0,27900,-0.0719981065997854,27900,,,,,,,0.1565054889768362,-0.10027900189161301,0.0001,-2.436896298516622e-05,920,0.2,0.30377858877182007,0.08755680918693542,0.0,1.2779227e-06
,,,,27900,,,1.89,93,0,-0.19359133,0.84,42968,,,,,,,,,,
1.46,0.9,13265,0,28200,-0.10093180729076266,28200,,,,,,,0.1801975078880787,-0.09918405450880527,0.0001,-4.705063699717016e-05,930,0.2,0.2590014338493347,0.09408142417669296,0.0,4.9109804e-06
,,,,28200,,,1.8,94,0,-0.14023831,0.87,43427,,,,,,,,,,
1.28,0.96,13423,0,28500,-0.00950399165507406,28500,,,,,,,0.17300548292696477,-0.10092867128551006,0.0001,-0.0006682387295189329,940,0.2,0.18579399585723877,0.06640329211950302,0.00078125,0.0004873178
,,,,28500,,,1.98,95,0,-0.15891682,0.88,43854,,,,,,,,,,
1.04,1.0,13579,0,28800,-0.007461575455963611,28800,,,,,,,0.18458931148052216,-0.08706845715641975,0.0001,-0.0009864983259003425,950,0.2,0.12939435243606567,0.06424877047538757,0.0,0.00011418259
,,,,28800,,,1.93,96,0,-0.19979636999999997,0.84,44260,,,,,,,,,,
1.68,0.9,13737,0,29100,-0.08531395162921399,29100,,,,,,,0.17848669588565827,-0.07941646762192249,0.0001,-6.756085974393144e-05,960,0.2,0.25850772857666016,0.08448075503110886,0.0,5.7494883e-05
,,,,29100,,,1.64,97,0,-0.13881439,0.89,44703,,,,,,,,,,
1.3,0.96,13894,0,29400,-0.05403944639954716,29400,,,,,,,0.1859376199543476,-0.07620803192257881,0.0001,-0.00037897494857572764,970,0.2,0.27110570669174194,0.06664365530014038,0.0,2.5575991e-05
,,,,29400,,,1.98,98,0,-0.17345055,0.86,45129,,,,,,,,,,
1.46,0.94,14050,0,29700,-0.07286669165361673,29700,,,,,,,0.19643170461058618,-0.07624005563557149,0.0001,-0.0015068361672912367,980,0.2,0.16618812084197998,0.09890858829021454,0.0013671875,0.0009529586
,,,,29700,,,1.97,99,0,-0.17429736000000007,0.83,45569,,,,,,,,,,
1.38,0.94,14223,0,30000,-0.03213081660680473,30000,,,,,,,0.16308693289756776,-0.06914096847176551,0.0001,8.413414616437187e-06,990,0.2,0.25370901823043823,0.09536394476890564,0.0,2.7532224e-07
,,,,30000,,,1.77,100,0,-0.17351568999999997,0.87,45995,,,,,,,,,,
1.42,0.94,14389,0,30300,-0.07262454794254154,30300,,,,,,,0.18176225945353508,-0.07554134204983712,0.0001,-0.00038879008351635493,1000,0.2,0.17481589317321777,0.08075350522994995,0.0034446023404598237,0.0005764301
,,,,30300,,,1.84,101,0,-0.12548059000000003,0.88,46415,,,,,,,,,,
1.42,0.92,14535,0,30600,-0.055674548563547435,30600,,,,,,,0.1407356895506382,-0.06648383997380733,0.0001,1.388775535815512e-06,1010,0.2,0.218671977519989,0.08029001206159592,0.0,8.127906e-09
,,,,30600,,,1.98,102,0,-0.27327362,0.81,46892,,,,,,,,,,
1.08,1.0,14682,0,30900,-0.007745222272351384,30900,,,,,,,0.22233217284083368,-0.0680333685129881,0.0001,-0.0004000755984758797,1020,0.2,0.20884835720062256,0.0994604229927063,0.002112926170229912,0.014173349
,,,,30900,,,2.03,103,0,-0.22692122,0.82,47300,,,,,,,,,,
1.34,0.96,14834,0,31200,-0.05244662445038557,31200,,,,,,,0.19208598434925078,-0.06642648801207543,0.0001,-0.0003917551807138153,1030,0.2,0.2179688811302185,0.09927131980657578,0.0,1.9700616e-05
,,,,31200,,,1.99,104,0,-0.19757731,0.84,47715,,,,,,,,,,
1.28,0.96,14984,0,31500,-0.05186425300780684,31500,,,,,,,0.17905393168330191,-0.06277168095111847,0.0001,-0.00014087947744307884,1040,0.2,0.23286068439483643,0.07692941278219223,0.0,9.36212e-06
,,,,31500,,,1.96,105,0,-0.14734431,0.84,48136,,,,,,,,,,
1.2,0.98,15125,0,31800,-0.028869736408814788,31800,,,,,,,0.18732160478830337,-0.06180184073746205,0.0001,-0.0001774247291408848,1050,0.2,0.1423463225364685,0.09610168635845184,0.0,1.7023667e-05
,,,,31800,,,2.3,106,0,-0.29066832000000004,0.73,48555,,,,,,,,,,
1.32,0.98,15261,0,32100,-0.03339614343829453,32100,,,,,,,0.18404024243354797,-0.06347638927400112,0.0001,-4.4740601383352895e-05,1060,0.2,0.23343414068222046,0.08538495749235153,0.0,2.7843867e-05
,,,,32100,,,2.2,107,0,-0.25143982000000004,0.78,48982,,,,,,,,,,
1.44,0.94,15403,0,32400,-0.05261737674009055,32400,,,,,,,0.182391020655632,-0.06473666876554489,0.0001,-2.2523236930060973e-05,1070,0.2,0.1861233115196228,0.0692773163318634,0.0,9.400537e-07
,,,,32400,,,2.24,108,0,-0.29569422,0.75,49416,,,,,,,,,,
1.32,0.94,15549,0,32700,-0.07365899979136885,32700,,,,,,,0.18086427971720695,-0.0640204168856144,0.0001,-1.108803056037999e-08,1080,0.2,0.29000693559646606,0.06406908482313156,0.0,0.0
,,,,32700,,,2.07,109,0,-0.24255817000000002,0.82,49831,,,,,,,,,,
1.5,0.94,15708,0,33000,-0.05633809573482722,33000,,,,,,,0.20674701333045958,-0.06292294412851333,0.0001,-0.0006472566736527519,1090,0.2,0.25004225969314575,0.10766968876123428,0.0,2.3170025e-05
,,,,33000,,,1.85,110,0,-0.18865062000000002,0.87,50289,,,,,,,,,,
1.32,0.94,15858,0,33300,-0.010152077227830887,33300,,,,,,,0.17753969356417656,-0.058945965766906736,0.0001,-0.00041576018811353423,1100,0.2,0.2846897840499878,0.0878174677491188,0.0,7.668139e-05
,,,,33300,,,1.96,111,0,-0.21903128,0.81,50732,,,,,,,,,,
1.4,0.96,16024,0,33600,-0.032825070777907965,33600,,,,,,,0.1610007993876934,-0.05609759911894798,0.0001,3.850792550577076e-05,1110,0.2,0.3020230531692505,0.07934383302927017,0.0,4.5262277e-07
,,,,33600,,,1.91,112,0,-0.20030500000000004,0.84,51177,,,,,,,,,,
1.62,0.9,16181,0,33900,-0.12681530630216004,33900,,,,,,,0.1576601956039667,-0.057578078284859655,0.0001,-5.776378503368207e-05,1120,0.2,0.30000078678131104,0.08656295388936996,0.0,7.044524e-06
,,,,33900,,,1.97,113,0,-0.21048154000000005,0.85,51627,,,,,,,,,,
1.28,0.96,16322,0,34200,-0.04949821245856583,34200,,,,,,,0.18376240581274034,-0.05831798668950796,0.0001,1.3068149047334997e-07,1130,0.2,0.2927190065383911,0.10025691241025925,0.0,4.4703484e-08
,,,,34200,,,2.12,114,0,-0.21585859,0.82,52038,,,,,,,,,,
1.44,0.94,16480,0,34500,-0.07268269245978445,34500,,,,,,,0.1842129934579134,-0.05869500730186701,0.0001,-2.38862547805585e-06,1140,0.2,0.2802540063858032,0.05749626085162163,0.0,1.0849908e-07
,,,,34500,,,1.81,115,0,-0.14164710000000003,0.88,52468,,,,,,,,,,
1.4,0.96,16623,0,34800,-0.03274079674389213,34800,,,,,,,0.15476069673895837,-0.05860474724322558,0.0001,-0.00017913665662740996,1150,0.2,0.3669888973236084,0.07395615428686142,0.0,7.4685086e-06
,,,,34800,,,1.9,116,0,-0.13045756000000003,0.86,52904,,,,,,,,,,
1.26,0.98,16779,0,35100,-0.03589920218568295,35100,,,,,,,0.18932335451245308,-0.05692374631762505,0.0001,-0.00031816527738213194,1160,0.2,0.15379106998443604,0.10586163401603699,0.0,2.1310407e-05
,,,,35100,,,2.0,117,0,-0.23303172000000003,0.81,53340,,,,,,,,,,
1.66,0.9,16941,0,35400,-0.11997275119647384,35400,,,,,,,0.21473280638456343,-0.05500753615051508,0.0001,-2.4126292290826968e-05,1170,0.2,0.21962225437164307,0.10797294229269028,0.0,7.0175156e-07
,,,,35400,,,1.89,118,0,-0.20221519000000002,0.84,53794,,,,,,,,,,
1.14,1.0,17093,0,35700,-0.007704560630954802,35700,,,,,,,0.16179926916956902,-0.05522799342870712,0.0001,-0.00027875290248342567,1180,0.2,0.3648086190223694,0.09433005750179291,0.0,9.844704e-06
,,,,35700,,,1.94,119,0,-0.20781569000000005,0.82,54225,,,,,,,,,,
1.38,0.92,17240,0,36000,-0.09187381134834141,36000,,,,,,,0.15513510294258595,-0.05613489840179682,0.0001,-7.02281059687504e-05,1190,0.2,0.33328723907470703,0.07209562510251999,0.0,4.7752296e-06
,,,,36000,,,1.96,120,0,-0.18324558999999996,0.83,54682,,,,,,,,,,
1.14,0.98,17364,0,36300,-0.02802095324732363,36300,,,,,,,0.16908258572220802,-0.06236329525709152,0.0001,-0.00023586639889665583,1200,0.2,0.2925266623497009,0.07509301602840424,0.0023082386702299117,0.0004582
,,,,36300,,,2.43,121,0,-0.27011198999999997,0.74,55091,,,,,,,,,,
1.38,0.94,17505,0,36600,-0.08067052883096039,36600,,,,,,,0.2094956524670124,-0.06117416843771935,0.0001,-0.0003040594575312028,1210,0.2,0.10441935062408447,0.07016544044017792,0.0,6.1592626e-05
,,,,36600,,,2.18,122,0,-0.26713363,0.78,55528,,,,,,,,,,
1.28,1.0,17660,0,36900,-0.010870680776424706,36900,,,,,,,0.2030140243470669,-0.06905000545084476,0.0001,-0.0003860214648430116,1220,0.2,0.28823262453079224,0.08542400598526001,0.0033203125,0.0005263622
,,,,36900,,,1.76,123,0,-0.09588128999999998,0.92,55952,,,,,,,,,,
1.32,0.94,17811,0,37200,-0.0717517127096653,37200,,,,,,,0.17230328992009164,-0.06830227412283421,0.0001,-6.530709035978965e-05,1230,0.2,0.1951269507408142,0.08607228845357895,0.0,4.088887e-06
,,,,37200,,,1.91,124,0,-0.21372871,0.82,56401,,,,,,,,,,
1.6,0.9,17944,0,37500,-0.0997444078931585,37500,,,,,,,0.20544326901435853,-0.06895033046603202,0.0001,-0.00016417545524696208,1240,0.2,0.2770370841026306,0.07833917438983917,0.0,4.9558003e-06
,,,,37500,,,2.29,125,0,-0.30036919,0.74,56849,,,,,,,,,,
1.58,0.92,18082,0,37800,-0.09563922706060111,37800,,,,,,,0.17097357511520386,-0.06887753754854202,0.0001,-0.0002735704171670683,1250,0.2,0.34310799837112427,0.11211191117763519,0.0,3.632065e-05
,,,,37800,,,1.98,126,0,-0.20686697,0.82,57311,,,,,,,,,,
1.22,0.98,18223,0,38100,-0.03280233270954341,38100,,,,,,,0.16897616237401963,-0.06574321389198304,0.0001,-0.00019170129737791086,1260,0.2,0.36561429500579834,0.07198874652385712,0.0,1.3089972e-05
,,,,38100,,,2.08,127,0,-0.25413105999999996,0.78,57719,,,,,,,,,,
1.34,0.94,18373,0,38400,-0.07113563829567283,38400,,,,,,,0.19169205278158188,-0.06273571625351906,0.0001,-1.9061456392055474e-05,1270,0.2,0.274761438369751,0.112447589635849,0.0,7.955823e-07
,,,,38400,,,2.04,128,0,-0.21582,0.81,58162,,,,,,,,,,
1.24,0.96,18526,0,38700,-0.05098684860393405,38700,,,,,,,0.156051667034626,-0.06318027190864087,0.0001,-2.9191807060535703e-05,1280,0.2,0.3133593797683716,0.0694526880979538,0.0,1.2666623e-06
,,,,38700,,,1.94,129,0,-0.16762305999999996,0.84,58579,,,,,,,,,,
1.5,0.9,18667,0,39000,-0.11857898047193885,39000,,,,,,,0.15709235407412053,-0.0631318774074316,0.0001,-7.69113898955176e-06,1290,0.2,0.3178466558456421,0.10452847927808762,0.0,1.3993545e-06
,,,,39000,,,2.21,130,0,-0.32917811,0.75,59016,,,,,,,,,,
1.5,0.9,18824,0,39300,-0.0951237275218591,39300,,,,,,,0.21590387411415576,-0.06362965777516365,0.0001,-5.0316460791610676e-05,1300,0.2,0.3085407614707947,0.12021815776824951,0.0,5.376144e-06
,,,,39300,,,1.84,131,0,-0.20692542999999997,0.85,59463,,,,,,,,,,
1.12,1.0,18978,0,39600,-0.008242161371745169,39600,,,,,,,0.1865887712687254,-0.06671178601682186,0.0001,-8.930397036133186e-06,1310,0.2,0.2802639603614807,0.08075375854969025,0.0,1.6090926e-06
,,,,39600,,,1.94,132,0,-0.19274551000000004,0.84,59890,,,,,,,,,,
1.26,0.96,19149,0,39900,-0.04935366264078766,39900,,,,,,,0.16222699210047722,-0.0780713528394699,0.0001,-0.003351728374726903,1320,0.2,0.3621426820755005,0.05957871675491333,0.007634943351149559,0.00220034
,,,,39900,,,1.65,133,0,-0.13505282999999998,0.9,60327,,,,,,,,,,
1.26,0.96,19306,0,40200,-0.031883739000186324,40200,,,,,,,0.14416635856032373,-0.07068606987595558,0.0001,-7.609156306642717e-06,1330,0.2,0.3928094506263733,0.06952466815710068,0.0,7.4959826e-07
,,,,40200,,,1.8,134,0,-0.12373028999999999,0.88,60769,,,,,,,,,,
1.32,0.96,19447,0,40500,-0.050950981117784976,40500,,,,,,,0.1527123160660267,-0.07253025732934475,0.0001,-5.572668480287035e-05,1340,0.2,0.2726948857307434,0.05596715211868286,0.0,1.34442025e-05
,,,,40500,,,2.05,135,0,-0.24417445000000004,0.8,61196,,,,,,,,,,
1.34,0.96,19594,0,40800,-0.03866240870207548,40800,,,,,,,0.18845449462532998,-0.07322345376014709,0.0001,-0.00013822623555332926,1350,0.2,0.2497658133506775,0.07762022316455841,0.0,1.1139041e-05
,,,,40800,,,2.11,136,0,-0.20129129999999995,0.82,61614,,,,,,,,,,
1.2,0.96,19735,0,41100,-0.05382648987695575,41100,,,,,,,0.17059078961610794,-0.07196122929453849,0.0001,-0.0001226006970671101,1360,0.2,0.3322926163673401,0.06290245801210403,0.0,1.1215801e-05
,,,,41100,,,2.07,137,0,-0.20243309999999998,0.84,62051,,,,,,,,,,
1.3,0.96,19887,0,41400,-0.04953250873833895,41400,,,,,,,0.15104762353003026,-0.07334140241146088,0.0001,-0.00023964418119688525,1370,0.2,0.4202079772949219,0.0848093256354332,0.0,6.6749053e-06
,,,,41400,,,1.99,138,0,-0.22176089000000002,0.81,62518,,,,,,,,,,
1.4,0.94,20049,0,41700,-0.07380466014612466,41700,,,,,,,0.15818730033934117,-0.07013743668794632,0.0001,-0.00025471612733429794,1380,0.2,0.3166229724884033,0.05564068257808685,0.0,2.6412223e-05
,,,,41700,,,1.7,139,0,-0.14638885,0.88,62953,,,,,,,,,,
1.38,0.92,20192,0,42000,-0.07289093962404877,42000,,,,,,,0.11882613897323609,-0.06784730926156043,0.0001,-6.842371801982772e-05,1390,0.2,0.4837535619735718,0.04511687532067299,0.0,2.0437663e-05
,,,,42000,,,2.12,140,0,-0.19422407999999997,0.82,63409,,,,,,,,,,
1.26,0.98,20333,0,42300,-0.03035259913187474,42300,,,,,,,0.1798996612429619,-0.06886444315314293,0.0001,-6.95972123800459e-05,1400,0.2,0.20719003677368164,0.07112784683704376,0.0,5.5078417e-06
,,,,42300,,,2.17,141,0,-0.21582551,0.8,63837,,,,,,,,,,
1.1,1.0,20493,0,42600,-0.008614695193246006,42600,,,,,,,0.1959736168384552,-0.06779115162789821,0.0001,-0.00035646014875938546,1410,0.2,0.16306763887405396,0.06388066709041595,0.0,1.9622035e-05
,,,,42600,,,1.88,142,0,-0.19522041000000004,0.84,64279,,,,,,,,,,
1.46,0.92,20645,0,42900,-0.07459206510800868,42900,,,,,,,0.13849479407072068,-0.06468552500009536,0.0001,-2.240889118709788e-08,1420,0.2,0.36674433946609497,0.051347583532333374,0.0,0.0
,,,,42900,,,1.91,143,0,-0.18453175,0.85,64728,,,,,,,,,,
1.5,0.94,20796,0,43200,-0.03525577336549759,43200,,,,,,,0.19178264476358892,-0.06458174996078014,0.0001,-6.537146453764465e-05,1430,0.2,0.22484338283538818,0.08345149457454681,0.0,3.0654483e-06
,,,,43200,,,1.7,144,0,-0.16132230999999997,0.88,65167,,,,,,,,,,
1.4,0.96,20954,0,43500,-0.03138391733169556,43500,,,,,,,0.15517877452075482,-0.06622504480183125,0.0001,-8.291197856031829e-05,1440,0.2,0.39274662733078003,0.08046455681324005,0.0,4.393747e-06
,,,,43500,,,1.77,145,0,-0.14824511999999998,0.89,65624,,,,,,,,,,
1.26,0.96,21110,0,43800,-0.052658592876978216,43800,,,,,,,0.18848801106214524,-0.06808560043573379,0.0001,-2.0124947307564866e-05,1450,0.2,0.302267849445343,0.09416409581899643,0.0,1.3152603e-06
,,,,43800,,,1.78,146,0,-0.17947755000000004,0.86,66055,,,,,,,,,,
1.28,0.98,21255,0,44100,-0.030289087537676097,44100,,,,,,,0.15833786986768245,-0.0689989473670721,0.0001,-6.427513858726641e-05,1460,0.2,0.3081549406051636,0.05531255155801773,0.0,4.084273e-06
,,,,44100,,,2.03,147,0,-0.23525675000000004,0.81,66490,,,,,,,,,,
1.38,0.94,21407,0,44400,-0.05433396453037858,44400,,,,,,,0.1734921492636204,-0.06764622367918491,0.0001,-0.00011010177781898279,1470,0.2,0.3257044553756714,0.07167510688304901,0.0,2.2886288e-05
,,,,44400,,,2.0,148,0,-0.18712042,0.84,66905,,,,,,,,,,
1.46,0.92,21572,0,44700,-0.10437275561969728,44700,,,,,,,0.13725776486098767,-0.06530868485569954,0.0001,-0.00012574445524726752,1480,0.2,0.38720637559890747,0.05657854676246643,0.0,1.0768534e-05
,,,,44700,,,1.99,149,0,-0.23492120000000002,0.81,67356,,,,,,,,,,
1.36,0.98,21731,0,45000,-0.012198725030757487,45000,,,,,,,0.19486085698008537,-0.06568187959492207,0.0001,-0.0006324677686440738,1490,0.2,0.2434314489364624,0.12890172004699707,0.0,4.4531844e-05
,,,,45000,,,1.93,150,0,-0.14833411000000005,0.87,67808,,,,,,,,,,
1.34,0.96,21892,0,45300,-0.03210172564256936,45300,,,,,,,0.16979243122041227,-0.06457473039627075,0.0001,-8.048441766073111e-05,1500,0.2,0.17889666557312012,0.11574313044548035,0.0,6.531249e-06
,,,,45300,,,2.02,151,0,-0.22611499000000002,0.82,68277,,,,,,,,,,
1.34,0.96,22057,0,45600,-0.034678528155200186,45600,,,,,,,0.1638088312000036,-0.06707855202257633,0.0001,-7.087740344702276e-05,1510,0.2,0.2651224136352539,0.07363462448120117,0.0,6.0005113e-06
,,,,45600,,,1.92,152,0,-0.15889789999999998,0.87,68737,,,,,,,,,,
1.36,0.94,22204,0,45900,-0.051324505871161816,45900,,,,,,,0.13119760639965533,-0.0688175044953823,0.0001,-0.00013032986376344536,1520,0.2,0.3036878705024719,0.06019996479153633,0.0,7.777824e-06
,,,,45900,,,2.03,153,0,-0.17427266,0.83,69176,,,,,,,,,,
1.22,0.96,22350,0,46200,-0.050177633953280745,46200,,,,,,,0.14675653651356696,-0.07077605240046977,0.0001,-0.00010445112533150614,1530,0.2,0.29379796981811523,0.06765753030776978,0.0,1.3785902e-05
,,,,46200,,,2.15,154,0,-0.26386142,0.79,69611,,,,,,,,,,
1.46,0.96,22518,0,46500,-0.03364841629285365,46500,,,,,,,0.21177133917808533,-0.07227430418133736,0.0001,-0.00046251554847249744,1540,0.2,0.16114288568496704,0.10538782179355621,0.0,0.00011045102
,,,,46500,,,1.64,155,0,-0.11527065999999998,0.91,70052,,,,,,,,,,
1.16,0.98,22662,0,46800,-0.028654547045007348,46800,,,,,,,0.14885409958660603,-0.07031521983444691,0.0001,-0.00021030604572263022,1550,0.2,0.24686342477798462,0.0670103058218956,0.0,8.127652e-06
,,,,46800,,,2.05,156,0,-0.23706845,0.81,70514,,,,,,,,,,
1.12,1.0,22806,0,47100,-0.0077859059069305655,47100,,,,,,,0.18498464711010457,-0.07105720639228821,0.0001,-3.879415765695171e-06,1560,0.2,0.32790106534957886,0.04684530198574066,0.0,1.3977988e-06
,,,,47100,,,2.06,157,0,-0.23318516999999997,0.8,71203,,,,,,,,,,
1.56,0.9,22967,0,47400,-0.11435620650183409,47400,,,,,,,0.18962552547454833,-0.06892215758562088,0.0001,-0.0005477510734801072,1570,0.2,0.28729933500289917,0.08953925967216492,0.0,8.033321e-05
,,,,47400,,,1.9,158,0,-0.20968942999999998,0.83,71684,,,,,,,,,,
1.14,0.98,23130,0,47700,-0.029588574268855153,47700,,,,,,,0.15037686042487622,-0.06492434665560723,0.0001,-0.00021434944848648386,1580,0.2,0.3940880298614502,0.07834652811288834,0.0,1.6182428e-05
,,,,47700,,,1.73,159,0,-0.15554527,0.88,72108,,,,,,,,,,
1.18,0.98,23287,0,48000,-0.028857965893112122,48000,,,,,,,0.17334402203559876,-0.06696945168077946,0.0001,-0.0003357951338712084,1590,0.2,0.31054335832595825,0.07728409767150879,0.0,0.00011661655
,,,,48000,,,1.93,160,0,-0.19870549,0.82,72540,,,,,,,,,,
1.14,1.0,23440,0,48300,-0.008472085185348987,48300,,,,,,,0.19017825834453106,-0.07141731642186641,0.0001,-1.1268605141445676e-05,1600,0.2,0.2385687232017517,0.0891147330403328,0.0,1.5518162e-06
,,,,48300,,,1.93,161,0,-0.19127661999999998,0.84,72972,,,,,,,,,,
1.22,0.98,23589,0,48600,-0.012005141819827259,48600,,,,,,,0.1591951236128807,-0.07886928766965866,0.0001,-0.0009342626087429195,1610,0.2,0.30572521686553955,0.06151227280497551,0.0026988636702299116,0.001179978
,,,,48600,,,1.97,162,0,-0.17943790999999998,0.85,73395,,,,,,,,,,
1.22,0.98,23744,0,48900,-0.029998652660287915,48900,,,,,,,0.18388547599315644,-0.07275202199816704,0.0001,-5.603370657532025e-05,1620,0.2,0.24975740909576416,0.07686887681484222,0.0,6.401795e-06
,,,,48900,,,1.77,163,0,-0.19028997999999997,0.84,73834,,,,,,,,,,
1.52,0.9,23898,0,49200,-0.09517085530795157,49200,,,,,,,0.17272462286055087,-0.07656545676290989,0.0001,-0.0011838892789747036,1630,0.2,0.3390738368034363,0.09200035035610199,0.0023082386702299117,0.0012143557
,,,,49200,,,1.9,164,0,-0.15382607,0.86,74330,,,,,,,,,,
1.3,0.94,24055,0,49500,-0.0750779813202098,49500,,,,,,,0.1539931520819664,-0.06735516041517257,0.0001,-7.575313377010673e-05,1640,0.2,0.30249303579330444,0.08600393682718277,0.0,3.9126026e-06
,,,,49500,,,1.9,165,0,-0.19350627999999992,0.86,74794,,,,,,,,,,
1.26,0.94,24213,0,49800,-0.07105729066766799,49800,,,,,,,0.19022597149014472,-0.06457049436867238,0.0001,-0.00020388062605594114,1650,0.2,0.2480599284172058,0.06885150074958801,0.0,2.6647922e-05
,,,,49800,,,2.02,166,0,-0.19949512,0.81,75269,,,,,,,,,,
1.3,0.96,24374,0,50100,-0.03095769351813942,50100,,,,,,,0.17158518955111504,-0.06129718217998743,0.0001,-0.00017056437038154293,1660,0.2,0.2272971272468567,0.058675020933151245,0.0,8.668518e-06
,,,,50100,,,1.87,167,0,-0.17634613000000002,0.87,75711,,,,,,,,,,
1.28,0.94,24529,0,50400,-0.05195378071628511,50400,,,,,,,0.15229328125715255,-0.05830004960298538,0.0001,-0.00026704367906584816,1670,0.2,0.32425934076309204,0.06290365010499954,0.0,1.7120736e-05
,,,,50400,,,1.79,168,0,-0.15443323,0.87,76150,,,,,,,,,,
1.26,0.98,24675,0,50700,-0.029855372309684755,50700,,,,,,,0.16874744258821012,-0.05611036010086536,0.0001,-7.209336832083579e-05,1680,0.2,0.36031830310821533,0.08469461649656296,0.0,3.2577664e-06
,,,,50700,,,2.14,169,0,-0.26082562,0.79,76584,,,,,,,,,,
1.5,0.9,24826,0,51000,-0.09735174751840532,51000,,,,,,,0.19222354143857956,-0.05688733607530594,0.0001,-0.00020189527091307724,1690,0.2,0.29285627603530884,0.08472276479005814,0.0,1.147165e-05
,,,,51000,,,2.04,170,0,-0.19649899999999998,0.84,77030,,,,,,,,,,
1.34,0.94,24973,0,51300,-0.07086906904820353,51300,,,,,,,0.17615895606577398,-0.0563578374683857,0.0001,6.00833338482154e-06,1700,0.2,0.28296732902526855,0.04372301697731018,0.0,2.9237708e-06
,,,,51300,,,1.9,171,0,-0.15598906,0.87,77480,,,,,,,,,,
1.48,0.92,25135,0,51600,-0.0967782499268651,51600,,,,,,,0.1862454369664192,-0.05518209785223007,0.0001,-6.36816733853962e-05,1710,0.2,0.20460480451583862,0.07524458318948746,0.0,3.031455e-06
,,,,51600,,,1.96,172,0,-0.18626885,0.85,77927,,,,,,,,,,
1.38,0.96,25295,0,51900,-0.031895644413307306,51900,,,,,,,0.1543934416025877,-0.05314978454262018,0.0001,-4.599492914909575e-05,1720,0.2,0.3629363179206848,0.07351554930210114,0.0,4.271511e-06
,,,,51900,,,1.94,173,0,-0.17414454999999995,0.84,78392,,,,,,,,,,
1.34,0.96,25437,0,52200,-0.051219545574858784,52200,,,,,,,0.17521099746227264,-0.05196565054357052,0.0001,1.0015950913100368e-08,1730,0.2,0.2617538571357727,0.11684343218803406,0.0,0.0
,,,,52200,,,2.21,174,0,-0.27693519999999994,0.75,78879,,,,,,,,,,
1.4,0.96,25588,0,52500,-0.05292567451484501,52500,,,,,,,0.19125137478113174,-0.05285687614232302,0.0001,-0.00020495488100680248,1740,0.2,0.25071048736572266,0.1078510582447052,0.0,1.6917707e-05
,,,,52500,,,1.89,175,0,-0.17559239000000004,0.86,79338,,,,,,,,,,
1.3,0.94,25753,0,52800,-0.07562531648669392,52800,,,,,,,0.18144276961684228,-0.0567883525043726,0.0001,-0.0006088900216622229,1750,0.2,0.22060388326644897,0.0882621482014656,0.0,0.0001796389
,,,,52800,,,1.9,176,0,-0.19337343,0.82,79798,,,,,,,,,,
1.46,0.92,25920,0,53100,-0.07416054411791265,53100,,,,,,,0.16258371621370316,-0.060400364361703394,0.0001,-4.4799902984848924e-05,1760,0.2,0.2791808843612671,0.07996267080307007,0.0,2.4404144e-06
,,,,53100,,,1.9,177,0,-0.18859250000000002,0.84,80259,,,,,,,,,,
1.3,0.94,26076,0,53400,-0.03115018195938319,53400,,,,,,,0.18287062868475915,-0.05741597339510918,0.0001,-0.00035263833506986585,1770,0.2,0.2637772560119629,0.07958628982305527,0.0,3.511738e-05
,,,,53400,,,1.96,178,0,-0.16463598000000002,0.83,80689,,,,,,,,,,
