time/time_elapsed,env/n_steps,env/current_idx,rollout/ep_len_mean,env/completion_counter,time/fps,time/total_timesteps,rollout/success_rate,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/value_loss,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/loss,train/entropy_loss,train/n_updates,train/clip_fraction,eval/success_rate,eval/mean_reward,eval/mean_ep_length
393,330,215,1.56,0,0,330,0.86,-0.11908686999999998,11,0.001,0.16929255798459053,0.2,0.025038417,-0.06058721795988546,-0.10134506225585938,-0.09780379384756088,-1.838637113571167,100,0.17666666880249976,,,
429,360,240,1.51,0,0,360,0.87,-0.09734373999999997,12,0.001,0.06087480653077364,0.2,0.027198333,-0.051016888739541154,0.3412783741950989,-0.08041167259216309,-1.8452519536018372,110,0.18333333916962147,,,
464,390,259,1.52,0,0,390,0.87,-0.10388275,13,0.001,0.025431772973388434,0.2,0.040371284,-0.06635616536562647,-76.1666488647461,-0.1268368363380432,-1.8812722206115722,120,0.24666667282581328,,,
496,420,276,1.55,0,0,420,0.85,-0.11615269,14,0.001,0.11593296937644482,0.2,0.07880532,-0.05875577107071876,0.21056002378463745,-0.08302415162324905,-1.8740943908691405,130,0.343333338201046,,,
538,450,300,1.46,0,0,450,0.88,-0.08389717000000002,15,0.001,0.08742646854370832,0.2,0.050167874,-0.07648204584916432,0.23892998695373535,-0.11100836098194122,-1.8426820278167724,140,0.40000000670552255,,,
571,480,316,1.48,0,0,480,0.88,-0.11657468000000001,16,0.001,0.10822964143007993,0.2,0.0726521,-0.07884711084887393,-0.71863853931427,-0.10440986603498459,-1.8540157794952392,150,0.37000000178813935,,,
604,510,333,1.57,0,0,510,0.87,-0.13843787999999999,17,0.001,0.17778918892145157,0.2,0.018010562,-0.047930417554453084,0.13353288173675537,-0.06270631402730942,-1.7951143383979797,160,0.11666667014360428,,,
639,540,353,1.59,0,0,540,0.86,-0.14907436000000002,18,0.001,0.15810039564967154,0.2,0.047998596,-0.06885739642505832,-0.24910664558410645,-0.09073341637849808,-1.7622921466827393,170,0.25333333760499954,,,
675,570,379,1.47,0,0,570,0.88,-0.136106,19,0.001,0.1605220280587673,0.2,0.040844012,-0.05913098711520437,0.22222626209259033,-0.060504231601953506,-1.7160027027130127,180,0.30000000186264514,,,
708,600,396,1.57,0,0,600,0.86,-0.15839809000000002,20,0.001,0.07425793539732695,0.2,0.035007454,-0.04173464740005599,0.18181967735290527,-0.06780532002449036,-1.6982633948326111,190,0.14666667059063912,,,
746,630,416,1.51,0,0,630,0.88,-0.12583972000000002,21,0.001,0.14505612775683402,0.2,0.017809795,-0.04557092692470181,0.22640931606292725,-0.05717181786894798,-1.6714349508285522,200,0.14000000432133675,,,
781,660,434,1.48,0,0,660,0.89,-0.11469394,22,0.001,0.04933179169893265,0.2,0.033625282,-0.05114902715509153,0.4364919066429138,-0.0923667922616005,-1.6022684454917908,210,0.2366666667163372,,,
814,690,454,1.49,0,0,690,0.89,-0.1164883,23,0.001,0.12393213883042335,0.2,0.050704367,-0.06639523972446729,0.013206124305725098,-0.0822926014661789,-1.6811428785324096,220,0.3233333364129066,,,
847,720,470,1.62,0,0,720,0.85,-0.14814388999999997,24,0.001,0.15953440964221954,0.2,0.032973595,-0.05862480418756606,0.24242448806762695,-0.06241854652762413,-1.5622039675712585,230,0.35000000298023226,,,
879,750,488,1.67,0,0,750,0.83,-0.15861154,25,0.001,0.19763753041625023,0.2,0.07756351,-0.06668349910527453,-0.2410120964050293,-0.046812158077955246,-1.641304647922516,240,0.5166666753590107,,,
912,780,506,1.63,0,0,780,0.82,-0.17174596999999994,26,0.001,0.1615604467689991,0.2,0.06446156,-0.0677998106274754,0.10479140281677246,-0.0612545870244503,-1.6712214589118957,250,0.28333333507180214,,,
947,810,526,1.64,0,0,810,0.82,-0.17267736,27,0.001,0.09025724306702614,0.2,0.0339479,-0.05519394277905434,0.5262341499328613,-0.08131785690784454,-1.6609431862831117,260,0.24333333671092988,,,
979,840,549,1.61,0,0,840,0.82,-0.17329543,28,0.001,0.05697200447320938,0.2,0.0672064,-0.06066523451978938,-0.014658570289611816,-0.07956603914499283,-1.6194798707962037,270,0.393333338201046,,,
1012,870,572,1.47,0,0,870,0.87,-0.11976996999999999,29,0.001,0.1406340405344963,0.2,0.014640939,-0.03380593472238007,-0.13094186782836914,-0.03980690985918045,-1.4876017093658447,280,0.08666666820645333,,,
1043,900,593,1.44,0,0,900,0.89,-0.10010224,30,0.001,0.028252597711980344,0.2,0.02863169,-0.03416500066717463,-42.52133560180664,-0.06304095685482025,-1.4539385914802552,290,0.19333333857357501,,,
1080,930,618,1.35,0,0,930,0.93,-0.05377075000000001,31,0.001,0.08138514384627342,0.2,0.039045174,-0.05400333601981409,-0.04253983497619629,-0.06798958033323288,-1.3204567193984986,300,0.2766666688024998,,,
1114,960,635,1.37,0,0,960,0.92,-0.07467524,32,0.001,0.005064805084839463,0.2,0.027941575,-0.04748534124655026,-113.69857788085938,-0.08441939949989319,-1.2634876251220704,310,0.2133333384990692,,,
1151,990,653,1.45,0,0,990,0.9,-0.09632715000000001,33,0.001,0.23552558124065398,0.2,0.03102559,-0.03547814591865332,0.1507541537284851,0.014392487704753876,-1.1522379279136659,320,0.08666666895151139,,,
1185,1020,679,1.37,0,0,1020,0.93,-0.08453409999999999,34,0.001,0.15391694083809854,0.2,0.034547396,-0.04081763880987035,0.32419806718826294,-0.03735921531915665,-1.1554898619651794,330,0.1166666716337204,,,
1219,1050,699,1.41,0,0,1050,0.91,-0.10596973,35,0.001,0.09921058528125286,0.2,0.046039693,-0.036678413220991676,-191.17855834960938,-0.03492405265569687,-1.143534505367279,340,0.31000000312924386,,,
1249,1080,723,1.36,0,0,1080,0.92,-0.08292899000000001,36,0.001,0.16518310010433196,0.2,0.02360106,-0.0585861924414834,0.3442656397819519,-0.025370609015226364,-1.3329017281532287,350,0.293333338201046,,,
1283,1110,744,1.37,0,0,1110,0.91,-0.09280817,37,0.001,0.09118639715015889,0.2,0.015086065,-0.016246284957160205,0.2046504020690918,-0.012692645192146301,-0.8497651875019073,360,0.14666667059063912,,,
1314,1140,763,1.37,0,0,1140,0.91,-0.08279849,38,0.001,0.17573901936411856,0.2,0.007900003,-0.019261367589545754,0.3254486918449402,0.013621285557746887,-0.834425812959671,370,0.0766666702926159,,,
1347,1170,785,1.43,0,0,1170,0.89,-0.10398122000000001,39,0.001,0.18521963581442832,0.2,0.020490713,-0.010352607054325346,-0.05826842784881592,0.02780510112643242,-0.7378253281116486,380,0.026666668057441712,,,
1385,1200,806,1.41,0,0,1200,0.9,-0.09685049000000001,40,0.001,0.1685852237045765,0.2,0.0108416,-0.018783102423185483,0.32140034437179565,0.018263906240463257,-0.95547154545784,390,0.05000000223517418,,,
1416,1230,825,1.44,0,0,1230,0.89,-0.11663171,41,0.001,0.11885899752378463,0.2,0.057926632,-0.03613612346351154,0.4178900122642517,-0.024089884012937546,-1.1270331859588623,400,0.35000000335276127,,,
1448,1260,844,1.5,0,0,1260,0.88,-0.12957586999999998,42,0.001,0.09940954800695181,0.2,0.03203938,-0.0422045767183105,0.37789684534072876,-0.05905001610517502,-0.9575966358184814,410,0.14666667096316816,,,
1481,1290,862,1.51,0,0,1290,0.87,-0.12965163000000005,43,0.001,0.18052146211266518,0.2,0.043091852,-0.03275722750152159,0.14378315210342407,-0.01679074391722679,-0.9497337222099305,420,0.11000000275671482,,,
1515,1320,876,1.64,0,0,1320,0.84,-0.15182324,44,0.001,0.09957604967057705,0.2,0.033787217,-0.02094684902733821,-0.41231322288513184,-0.011361075565218925,-0.9595959663391114,430,0.19666667245328426,,,
1546,1350,897,1.62,0,0,1350,0.84,-0.14323427,45,0.001,0.1421590529382229,0.2,0.025925161,-0.040155255189165476,0.18405359983444214,-0.026418618857860565,-0.8185933351516723,440,0.1466666717082262,,,
1581,1380,912,1.73,0,0,1380,0.81,-0.17335498000000002,46,0.001,0.08808482326567173,0.2,0.046974227,-0.050754788257181715,0.07204866409301758,-0.05347106233239174,-0.9765053987503052,450,0.2000000063329935,,,
1613,1410,931,1.72,0,0,1410,0.81,-0.16620697999999998,47,0.001,0.14703157767653466,0.2,0.14007065,-0.05367041870951646,0.3252333402633667,-0.04561338201165199,-1.04021857380867,460,0.29666667282581327,,,
1650,1440,951,1.68,0,0,1440,0.83,-0.14560761,48,0.001,0.19388928934931754,0.2,0.040208336,-0.03997178673744202,-0.19849872589111328,-0.004432622343301773,-1.102047073841095,470,0.19666667133569718,,,
1683,1470,968,1.63,0,0,1470,0.85,-0.1444749,49,0.001,0.14445442333817482,0.2,0.06452707,-0.04155625945578052,0.2080664038658142,-0.027224700897932053,-0.9853092014789582,480,0.20000000447034835,,,
1716,1500,986,1.67,0,0,1500,0.83,-0.17682248999999994,50,0.001,0.24110016971826553,0.2,0.043501243,-0.04014397660270337,0.02443110942840576,0.007315769791603088,-0.769608598947525,490,0.1500000048428774,,,
1751,1530,1004,1.62,0,0,1530,0.83,-0.17353688,51,0.001,0.14494286328554154,0.2,0.019425295,-0.014171637453061336,0.37556588649749756,0.016800638288259506,-0.9338167130947113,500,0.10333333648741246,,,
1785,1560,1025,1.59,0,0,1560,0.84,-0.16178315000000004,52,0.001,0.08257967233657837,0.2,0.12898721,-0.037022708375006895,0.5586953163146973,-0.04050687327980995,-0.8295743703842163,510,0.2266666740179062,,,
1828,1590,1041,1.68,0,0,1590,0.82,-0.16005036,53,0.001,0.10953523889183998,0.2,0.10797754,-0.0679430713380376,0.07776820659637451,-0.059911295771598816,-0.9282369971275329,520,0.24000000581145287,,,
1862,1620,1062,1.59,0,0,1620,0.84,-0.12760638,54,0.001,0.10425373874604701,0.2,0.022580713,-0.02425628459391511,-0.4506869316101074,-0.03139506280422211,-0.7905611634254456,530,0.08666666932404041,,,
1894,1650,1084,1.52,0,0,1650,0.87,-0.09636813999999998,55,0.001,0.06610511839389802,0.2,0.043762293,-0.0374679872145256,0.40951263904571533,-0.05184832587838173,-0.8953593730926513,540,0.17666667141020298,,,
1927,1680,1102,1.55,0,0,1680,0.87,-0.08735491999999999,56,0.001,0.09284392818808555,0.2,0.02771916,-0.01170342791204657,-0.09283411502838135,0.008088631555438042,-0.513500764966011,550,0.13000000342726709,,,
